"Jalen Coleman-Lands",Kansas,B12,39,19.8,113,19.6,60.6,61.75,4.2,6,7.4,18.4,12,16,0.75,21,42,0.5,30,67,0.448,1.3,1.3,14.7,Sr,6-4,55,1.01618,121.432,4.4,2022,40204,"Indianapolis, IN",92.8,0.64996102,8,12,13,30,0.6667,0.4333,0,0,,,101.433,95.7106,0.893602,48.5577,4.43632,4.35757,0.0787523,4.88359,8.2051,4.11938,0.764215,0.2821,0.4615,0.7436,0.3333,0.1795,0.1026,3.6923,"Wing G",12.0614,1996-07-15
"B.J. Maxwell","IU Indy",Horz,27,83.8,91.1,23.8,42,46.22,4.8,13.6,8.8,15.7,61,75,0.813,86,200,0.43,35,130,0.269,1.9,2.2,22.7,Sr,6-5,00,0.72022,91.5902,3.5,2022,41634,"Austin, TX",,0.57404337,39,72,47,128,0.5417,0.3672,2,2,1.0000,,107.298,110.109,2.01089,154.56,-4.2367,-2.70407,-1.53262,-3.1301,33.7143,-1.81043,-1.31967,1.3929,3.6429,5.0357,1.1071,1.1786,0.4643,12.5357,"Wing G",9.16067,1997-06-03
"K.J. Walton",Akron,MAC,4,5.9,90.9,20.3,58.8,59.77,5,9.4,0,28.4,6,10,0.6,10,17,0.588,0,0,0,0,2.5,58.8,Sr,6-3,1,0.545929,93.6783,3.7,2022,41728,"Indianapolis, IN",74.0,1.14279591,6,6,4,11,1.0000,0.3636,0,0,,,101.625,103.625,1.56732,12.4802,-8.3881,-5.40752,-2.98058,-0.19532,19.5000,-1.32213,1.12681,1.1667,2.0000,3.1667,1.3333,1.3333,0.0000,7.3333,"Wing G",0,1996-07-20
"Camron Justice","Western Kentucky",CUSA,28,76.5,105.7,23.5,53.5,57,0.5,11.1,18.4,17.7,70,87,0.805,66,135,0.489,73,193,0.378,0.2,2.5,26.5,Sr,6-3,5,2.87935,110.707,2,2022,42129,"Hindman, KY",67.6,1.37144812,49,86,17,49,0.5698,0.3469,0,1,0.0000,,103.757,103.509,2.71771,162.404,0.409497,2.38833,-1.97883,1.25848,32.0000,1.9156,-0.657113,0.1333,3.2333,3.3667,3.2000,1.6000,0.0667,14.7333,"Combo G",11.9529,1997-02-13
"Traci Carter",Hartford,AE,22,51.2,91.1,22.4,43.2,46.06,2.2,13.1,18.1,18.7,27,34,0.794,34,112,0.304,39,102,0.382,1.7,3.3,15.9,Sr,6-1,25,0.419209,89.4601,4.5,2022,42956,"Philadelphia, PA",74.8,1.32607975,4,14,27,85,0.2857,0.3176,0,0,,,104.507,109.451,1.85208,128.326,-2.64532,-1.79203,-0.853288,-3.65642,29.9091,-3.23764,-0.418781,0.5455,3.3636,3.9091,2.7727,1.6364,0.4545,9.6364,"Scoring PG",9.25142,1996-06-25
"Shaheed Medlock",DePaul,BE,4,0.6,0,0,0,0,0,26.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sr,6-5,55,-0.641748,-7.07306,0,2022,44197,"Chicago, IL",,0.00000000,,,,,,,,,,,103.088,111.79,0.108317,1.46511,-7.87852,-5.35373,-2.52479,-5.97127,2.0000,-4.69837,-1.2729,0.0000,0.5000,0.5000,0.0000,0.0000,0.0000,0.0000,PF/C,0,1997-10-13
"Jeriah Horne",Tulsa,Amer,31,84.8,109,23.6,53,57.26,4.2,19.9,10.2,14.6,93,111,0.838,104,224,0.464,66,159,0.415,2.6,2.3,29,Sr,6-7,41,3.77592,117.494,2.1,2022,44216,"Overland Park, KS",65.0,0.77049349,45,80,59,144,0.5625,0.4097,4,6,0.6667,,100.812,99.3893,3.29504,216.159,4.42822,3.04553,1.38269,5.31962,33.9032,4.72703,0.592587,1.1935,5.7097,6.9032,1.5161,1.2903,0.6774,16.0968,"Wing F",8.97373,1998-04-09
"Eric Curry",Minnesota,B10,26,59.6,92.2,20.2,41.5,44.99,4.7,19.9,13.8,13.4,35,49,0.714,81,187,0.433,1,12,0.083,2.8,2,24.6,Sr,6-9,1,1.05082,96.4232,3.7,2022,44217,"Memphis, TN",77.4,1.56247964,28,47,53,140,0.5957,0.3786,0,2,0.0000,,101.693,97.23,2.87528,140.906,0.543857,-1.91186,2.45572,0.382023,27.7308,-1.3234,1.70543,1.1154,4.6538,5.7692,1.9231,0.8846,0.7308,7.6923,PF/C,1.01463,1998-06-30
"James Butler",Drexel,CAA,24,45.3,116.6,19.2,54.9,56.64,10.3,30,6.4,9.6,35,56,0.625,69,128,0.539,6,14,0.429,0.8,0.8,39.4,Sr,6-8,51,2.10102,114.075,4.1,2022,44288,"Fairfax Station, VA",,1.31249999,48,71,21,57,0.6761,0.3684,3,3,1.0000,,99.5533,98.7419,2.09944,103.92,-0.215009,0.337072,-0.552082,1.86334,21.3600,1.85984,0.00350649,1.8800,5.3600,7.2400,0.8400,0.2800,0.1600,8.2800,PF/C,1.61413,1997-10-15
"Jailyn Ingram",Georgia,SEC,9,19.1,96.7,22.2,53.4,58.18,4,21.7,17.3,26.3,18,20,0.9,30,50,0.6,6,23,0.261,0.9,1.6,27.4,Sr,6-7,0,1.62079,102.556,4.1,2022,44344,"Madison, GA",,0.75998988,21,31,9,19,0.6774,0.4737,1,1,1.0000,,109.771,109.241,1.71512,47.7987,0.0205898,0.320038,-0.299449,0.352146,27.2222,-0.151981,0.504127,0.8889,5.1111,6.0000,2.1111,0.7778,0.2222,10.6667,"Wing F",5.37395,1997-10-15
"Quentin Jackson Jr.","Loyola Marymount",WCC,9,3.4,83,12.6,43.8,44.69,0,7.1,0,12.4,1,2,0.5,2,6,0.333,1,2,0.5,0,1.6,25,Sr,6-3,10,-0.135891,76.1228,1.1,2022,44346,"Cary, NC",63.6,0.00000000,2,2,0,4,1.0000,0.0000,0,0,,,112.866,108.004,0.284145,5.49281,-8.34788,-4.24324,-4.10464,-5.68887,4.0000,-2.7145,-2.97437,0.1000,0.2000,0.3000,0.0000,0.1000,0.0000,0.8000,"Wing G",3.0852,1997-10-15
"Charlie Moore","Miami FL",ACC,37,80.9,106.1,22.7,52.3,54.5,1.2,8.6,26.3,16.7,56,76,0.737,113,223,0.507,59,162,0.364,0.6,3.6,19.7,Sr,5-11,3,3.28919,114.674,3.3,2022,44420,"Chicago, IL",86.0,2.20777484,90,143,23,80,0.6294,0.2875,0,0,,,103.668,98.6173,3.23345,215.314,4.0041,3.62893,0.375163,3.34766,32.4865,2.06805,1.2796,0.3243,2.3243,2.6486,4.5946,2.0000,0.1622,12.4054,"Scoring PG",7.9748,1998-02-03
"Ben Shungu",Vermont,AE,33,76.9,116,26.1,60.7,62.34,2.8,15.3,15.6,13.7,72,100,0.72,143,240,0.596,65,156,0.417,0.9,2.5,25.3,Sr,6-2,24,3.86056,121.564,2.4,2022,44546,"South Burlington, VT",,1.25807513,98,146,44,93,0.6712,0.4731,6,7,0.8571,,92.4015,95.4505,3.41023,201.684,5.30536,3.93199,1.37337,6.26522,30.6471,4.75215,1.51307,0.6176,3.9706,4.5882,2.2941,1.2059,0.2353,16.2647,"Wing G",9.433,1997-10-04
