Team,Rec,Tms,Rat,Pwr,Off,Def,HFA,SoS,Year
Southeastern,179-610.746,16,18.18,146.37,1101.51,522.44,2.87,142.23,25-26
Big 12,182-520.778,16,28.15,245.72,299.12,224.17,2.9,341.76,25-26
Big 10,176-490.782,18,38.13,345.59,398.47,124.7,2.87,242.01,25-26
Big East,95-380.714,11,47.93,443.03,497.35,323.25,2.82,440.4,25-26
Atlantic Coast,187-660.739,18,57.86,542.15,597.22,422.5,2.83,538.77,25-26
Mountain West,92-520.639,12,67.47,637.59,794.14,621.03,2.86,635.72,25-26
West Coast,101-610.623,12,77.34,735.95,893.41,820.11,2.86,733.72,25-26
Atlantic 10,130-660.663,14,87.27,834.77,1192.02,720.33,2.83,932.37,25-26
American Athletic,102-730.583,13,97.18,933.95,993.15,1018.38,2.84,832.58,25-26
Missouri Val,78-510.605,11,107.16,1033.59,1092.13,919.03,2.87,1032.07,25-26
MAC East,110-390.738,6,117.16,1132.08,694.48,2215.17,2.8,1928.09,25-26
NCAA D1,544-60.989,365,127.01,1231.59,1391.57,1317.6,2.84,1130.8,25-26
Conference USA,78-570.578,12,136.97,1331.24,1691.12,1217.7,2.84,1229.81,25-26
Western Athletic,56-370.602,7,146.95,1430.4,2390.05,1117.93,2.89,1329.52,25-26
Big West,70-600.538,11,156.84,1529.37,1591.38,2015.56,2.82,1428.97,25-26
Ivy League,60-510.541,8,176.8,1629.23,1890.56,1616.24,2.79,1828.27,25-26
Mid-American,98-740.570,13,166.83,1729.15,1291.59,2315.13,2.82,1728.35,25-26
Big Sky,60-670.472,10,196.76,1828.62,1790.63,1915.56,2.82,1628.48,25-26
Coastal,96-710.575,13,186.78,1928.37,2589.37,1516.58,2.81,2327.89,25-26
Sun Belt,96-890.519,14,206.73,2028,2489.7,1815.87,2.87,2227.92,25-26
Horizon,58-620.483,11,216.71,2127.75,1491.41,2813.91,2.81,2127.93,25-26
Southland,49-620.441,12,226.69,2227.37,2787.83,1417.12,2.79,2027.98,25-26
Southern,62-670.481,10,236.62,2326.96,2290.14,2514.4,2.82,2526.65,25-26
Summit Lg,64-730.467,9,246.61,2426.83,1990.52,2913.89,2.87,2427.05,25-26
Big South,68-680.500,9,256.58,2526.57,2090.43,3113.72,2.8,2725.76,25-26
MAC West,47-950.331,6,266.5,2625.97,2688.23,2115.31,2.84,1528.68,25-26
Atlantic Sun,60-910.397,12,276.49,2725.2,2190.15,3212.63,2.88,2626.44,25-26
Metro Atlantic,64-720.471,13,286.45,2824.27,3185.9,1715.95,2.77,2825.29,25-26
OH Valley,56-650.463,11,296.33,2923.01,3285.67,2414.91,2.81,3123.59,25-26
Patriot League,51-810.386,10,306.3,3022.66,3086.2,2714.03,2.75,2924.03,25-26
America East,43-880.328,9,316.17,3121.49,3585.03,2614.04,2.83,3223.37,25-26
Northeast,43-850.336,10,326.08,3219.71,4283.41,3013.87,2.83,3322.33,25-26
Southwestern AC,40-1140.260,12,336.07,3319.58,3485.3,3311.85,2.84,3023.6,25-26
Mid-Eastern AC,39-920.298,8,345.95,3418.36,4084.1,3411.83,2.86,3421.86,25-26
Mid America IAA,99-470.678,14,365.88,3517.52,3684.86,3510.23,2.84,3615.21,25-26
PSAC West,89-280.761,6,355.89,3616.66,2986.73,457.51,2.88,4312.37,25-26
Northern Sun,42-470.472,16,385.68,3715.2,3884.41,418.36,2.83,3715.02,25-26
Great Lakes IAC,67-310.684,11,375.72,3815.06,4183.46,389.17,2.84,3813.97,25-26
Sunshine State,62-260.705,11,395.64,3914.54,2887.55,594.56,2.82,4212.49,25-26
Great Lakes Val,70-530.569,15,425.61,4014.41,4483.28,408.7,2.82,3913.23,25-26
Great Midwest,70-280.714,12,405.63,4114.09,4682.8,398.86,2.84,4412.21,25-26
Peach Belt East,69-390.639,5,415.62,4214.09,3784.51,487.15,2.85,4810.77,25-26
Great American,47-320.595,12,435.57,4313.27,5880.67,3610.17,2.85,4012.8,25-26
Lone Star,88-490.642,17,445.55,4413.07,4882.52,428.12,2.84,4112.61,25-26
South Atlantic,59-250.702,12,455.52,4512.7,3984.22,546.05,2.85,4511.81,25-26
Gulf South,50-280.641,12,465.48,4612.44,4383.38,506.64,2.83,4611.52,25-26
Great Northwest,64-420.604,10,485.42,4711.41,5181.54,467.44,2.81,5310.37,25-26
Peach Belt,63-330.656,11,475.43,4711.41,4782.53,516.45,2.82,5010.71,25-26
Penn St AC,85-360.702,17,495.37,4910.94,4582.99,565.53,2.9,569.72,25-26
Pacific West,43-490.467,13,535.33,5010.84,5481.22,477.19,2.81,4710.8,25-26
Northeast-10,44-330.571,10,545.33,5110.68,5780.7,447.56,2.84,559.93,25-26
California CAA,42-360.538,12,515.36,5210.66,6080.32,437.92,2.78,4910.73,25-26
NCAA D2,376-1090.775,298,525.33,5310.59,5081.99,526.17,2.84,5410.32,25-26
Peach Belt West,58-470.552,5,505.37,5410.52,5381.36,496.74,2.79,5110.7,25-26
Rocky Mtn AC,55-750.423,15,555.24,559.48,4982.23,584.82,2.84,5210.5,25-26
Mountain East,34-370.479,12,565.18,568.92,3385.47,711.03,2.87,579.31,25-26
University AA,81-250.764,8,575.09,577.43,5281.49,623.51,2.81,653.3,25-26
CIAA North,48-590.449,5,585.01,586.94,7275.31,379.21,2.83,597.44,25-26
