Team,Rec,Delta,Rat,Pwr,Off,Def,HFA,SoS,Year
MichiganNCAA D1,37-30.925,2,19.26,355.49,5105.25,1327.81,2.77,244.9,25-26
ArizonaNCAA D1,36-30.923,-1,29.26,255.89,3106.69,2026.78,2.81,344.36,25-26
DukeNCAA D1,35-30.921,-1,39.13,156,17102.12,231.45,2.61,3341.63,25-26
ConnecticutNCAA D1,34-60.850,1,48.85,1151.93,5798.27,331.23,2.61,1942.6,25-26
HoustonNCAA D1,30-70.811,-1,58.84,455.28,6397.8,135.05,2.88,2442.16,25-26
PurdueNCAA D1,30-90.769,,68.78,852.94,14102.56,1227.95,2.81,444.08,25-26
FloridaNCAA D1,27-80.771,1,78.73,554.41,4105.51,2326.48,2.82,1043.41,25-26
Iowa StNCAA D1,29-80.784,1,88.72,753.26,22101.04,529.79,2.78,2342.3,25-26
IllinoisNCAA D1,28-90.757,-2,98.71,653.34,7104.58,2426.34,2.78,943.53,25-26
GonzagaNCAA D1,31-40.886,,108.69,1052.1,15102.36,1627.31,2.8,7837.63,25-26
St John'sNCAA D1,30-70.811,,118.66,1450.58,21101.38,2126.77,2.65,3141.73,25-26
AlabamaNCAA D1,25-100.714,,128.63,952.17,1111.08,14918.67,2.93,145.31,25-26
Michigan StNCAA D1,27-80.771,,138.59,1350.68,3899.97,1028.28,2.86,1542.71,25-26
ArkansasNCAA D1,28-90.757,1,148.56,1748.82,2106.94,12319.46,2.89,1243.3,25-26
TennesseeNCAA D1,25-120.676,-1,158.55,1251.61,5298.47,430.71,2.98,843.65,25-26
NebraskaNCAA D1,28-70.800,,168.52,2248.04,6297.82,1527.79,2.81,3041.74,25-26
VanderbiltNCAA D1,27-90.750,,178.48,2347.89,13102.69,5522.78,2.69,1442.8,25-26
KansasNCAA D1,24-110.686,1,188.45,1648.94,5098.53,1127.99,3,543.95,25-26
Texas TechNCAA D1,23-110.676,-1,198.44,1549.46,28100.89,2626.15,2.89,743.82,25-26
VirginiaNCAA D1,30-60.833,,208.42,3146.32,7397.34,2226.56,2.83,6739.25,25-26
WisconsinNCAA D1,24-110.686,,218.38,1948.64,10103.23,5022.99,2.78,1642.67,25-26
IowaNCAA D1,24-130.649,1,228.34,2447.8,5498.36,1727.01,2.93,1742.63,25-26
KentuckyNCAA D1,22-140.611,-1,238.34,2048.3,18102.09,4123.78,3.02,643.94,25-26
BYUNCAA D1,23-120.657,,248.34,2148.11,8103.78,7221.9,2.85,1343.07,25-26
UCLANCAA D1,24-120.667,,258.31,2647.25,6098,1926.82,2.91,2542.12,25-26
AuburnNCAA D1,22-160.579,2,268.28,1848.81,9103.23,4823.15,2.86,1143.3,25-26
Utah StNCAA D1,29-70.806,-1,278.27,3445.96,35100.15,4523.39,2.86,7937.17,25-26
North CarolinaNCAA D1,24-90.727,-1,288.25,2747.21,25100.98,4023.8,2.85,5840.01,25-26
LouisvilleNCAA D1,24-110.686,,298.24,2846.71,27100.97,4723.32,2.8,4041.03,25-26
Ohio StNCAA D1,21-130.618,,308.24,2547.59,33100.46,3224.7,2.86,1842.62,25-26
TexasNCAA D1,21-150.583,,318.2,2946.63,29100.88,4623.32,2.85,2142.51,25-26
VillanovaNCAA D1,24-90.727,,328.2,3745.27,7597.2,2825.64,2.94,5240.3,25-26
St Mary's CANCAA D1,27-60.818,,338.19,3046.47,11594.41,629.64,2.87,9135.07,25-26
Texas A&MNCAA D1,22-120.647,,348.18,3246.26,19101.94,7321.9,2.8,3841.23,25-26
ClemsonNCAA D1,24-110.686,,358.18,3545.73,10894.79,728.52,2.79,6139.76,25-26
TCUNCAA D1,23-120.657,,368.16,4044.35,7696.96,3124.96,2.85,3641.25,25-26
Miami FLNCAA D1,26-90.743,,378.12,4443.46,4898.66,6322.37,2.73,7438.18,25-26
OklahomaNCAA D1,21-160.568,1,388.1,3645.52,20101.47,7721.62,2.87,2741.94,25-26
GeorgiaNCAA D1,22-110.667,-1,398.1,3844.58,11103.13,13719.02,2.89,4640.58,25-26
Santa ClaraNCAA D1,26-90.743,,408.03,4743.35,26100.98,10919.95,2.7,8036.75,25-26
VCUNCAA D1,28-80.778,,418.02,5442.57,7097.41,5722.73,2.72,9434.73,25-26
UCFNCAA D1,21-120.636,,428.01,5542.21,34100.23,11919.55,2.88,4140.95,25-26
West VirginiaNCAA D1,21-140.600,10,438,4543.45,15292.5,828.52,2.94,6039.92,25-26
St LouisNCAA D1,29-60.829,,447.99,5642.05,37100.09,12019.54,2.97,10633.26,25-26
MissouriNCAA D1,20-130.606,-2,457.99,4843.33,4798.7,6722.2,2.84,4540.59,25-26
IndianaNCAA D1,18-140.563,-1,467.98,3944.39,5698.28,4223.69,2.98,3741.25,25-26
BaylorNCAA D1,17-170.500,,477.97,3346.09,32100.59,4923.08,3.01,2841.82,25-26
San Diego StNCAA D1,22-110.667,-2,487.97,4343.53,8895.99,3025.11,2.88,7737.69,25-26
NC StateNCAA D1,20-140.588,,497.96,4243.87,31100.69,8920.75,2.72,4840.48,25-26
Seton HallNCAA D1,21-120.636,,507.95,5741.84,19491.05,928.36,2.85,6339.42,25-26
CincinnatiNCAA D1,18-150.545,,517.95,4144.32,12394.09,1427.8,2.84,4740.57,25-26
New MexicoNCAA D1,26-110.703,-4,527.9,4643.43,4399.13,7421.88,2.79,8935.46,25-26
SMUNCAA D1,20-140.588,-1,537.87,5042.93,36100.1,9620.4,2.82,6639.26,25-26
Arizona StNCAA D1,17-160.515,1,547.84,7440.36,7197.37,9220.57,2.89,2042.56,25-26
USCNCAA D1,18-140.563,-1,557.84,6341.38,4498.95,10620,2.83,4440.6,25-26
MississippiNCAA D1,15-200.429,,567.84,5342.76,7896.66,4323.67,2.75,2642.03,25-26
South FloridaNCAA D1,25-90.735,,577.82,7240.54,3999.92,16018.19,2.67,9534.7,25-26
NorthwesternNCAA D1,15-190.441,,587.82,5142.91,9795.38,2925.11,2.83,3241.68,25-26
WashingtonNCAA D1,16-170.485,,597.8,5941.8,7297.36,7022.01,2.8,3541.53,25-26
Oklahoma StNCAA D1,20-150.571,,607.79,7540.28,16102.27,23215.58,2.93,5939.92,25-26
CreightonNCAA D1,16-180.471,1,617.79,4942.99,6197.92,5922.65,2.93,3941.14,25-26
Virginia TechNCAA D1,19-130.594,-1,627.78,6840.91,6897.55,8620.93,3,7238.57,25-26
Boise StNCAA D1,20-120.625,1,637.76,5841.81,7497.24,6922.15,2.9,8136.65,25-26
