target_conference,player_name,player_key,source_school,source_conference,source_level,destination_school,first_target_season,source_season,position,height,weight,source_games,source_mpg,source_minutes_share,source_ppg,source_rpg,source_apg,source_spg,source_bpg,source_topg,source_fg_pct,source_fg3_pct,source_ft_pct,source_efg_pct,source_pts_per_40,source_reb_per_40,source_ast_per_40,source_stl_per_40,source_blk_per_40,source_tov_per_40,target_games,target_games_started,target_mpg,target_minutes,target_minutes_share,target_ppg,target_rpg,target_apg,target_spg,target_bpg,target_topg,target_ts_pct,target_per,target_usg_pct,target_ws,target_ws_per_40,target_bpm,source_url,outcome_url
Atlantic 10,Connor Kochera,connor kochera,William & Mary,CAA,D1,Davidson,2022-23,2021-22,G,6-5,200,32,32.3,0.8074999999999999,10.9,4.8,1.8,1.3,0.1,2.1,0.386,0.321,0.753,0.454,13.498452012383902,5.944272445820434,2.2291021671826625,1.6099071207430342,0.12383900928792571,2.60061919504644,32,15,23.5,752.0,0.5875,6.3,2.7,1.0,0.6,0.0,0.7,0.5541871921182265,11.7,14.4,1.7,0.091,1.0,https://www.sports-reference.com/cbb/players/connor-kochera-1.html,https://www.sports-reference.com/cbb/players/connor-kochera-1.html
Atlantic 10,David Skogman,david skogman,Buffalo,MAC,D1,Davidson,2022-23,2021-22,F,6-10,223,30,24.1,0.6025,8.0,6.3,1.0,0.5,0.4,1.2,0.587,0.375,0.814,0.665,13.278008298755186,10.45643153526971,1.6597510373443982,0.8298755186721991,0.6639004149377593,1.9917012448132778,32,0,22.4,716.8,0.5599999999999999,7.3,4.8,0.9,0.3,0.3,0.9,0.622017723244717,16.6,16.6,2.6,0.146,1.8,https://www.sports-reference.com/cbb/players/david-skogman-1.html,https://www.sports-reference.com/cbb/players/david-skogman-1.html
Atlantic 10,Angelo Brizzi,angelo brizzi,Villanova,Big East,D1,Davidson,2023-24,2022-23,G,6-3,180,9,10.8,0.27,2.0,1.9,0.6,1.1,0.0,0.9,0.385,0.143,0.778,0.423,7.4074074074074066,7.037037037037036,2.222222222222222,4.0740740740740735,0.0,3.333333333333333,32,15,18.5,592.0,0.4625,5.6,2.0,1.6,1.1,0.3,1.2,0.4787961696306429,11.2,20.6,1.0,0.069,-0.3,https://www.sports-reference.com/cbb/players/angelo-brizzi-1.html,https://www.sports-reference.com/cbb/players/angelo-brizzi-1.html
Atlantic 10,Jarvis Moss,jarvis moss,Stanford,Pac-12,D1,Davidson,2023-24,2022-23,G,6-4,190,12,3.8,0.095,1.8,0.8,0.1,0.1,0.1,0.2,0.381,0.429,0.0,0.524,18.947368421052634,8.421052631578947,1.0526315789473684,1.0526315789473684,1.0526315789473684,2.1052631578947367,17,0,6.1,103.69999999999999,0.1525,1.1,0.5,0.1,0.1,0.0,0.1,0.29826464208242953,-0.3,16.9,-0.1,-0.046,-12.7,https://www.sports-reference.com/cbb/players/jarvis-moss-1.html,https://www.sports-reference.com/cbb/players/jarvis-moss-1.html
Atlantic 10,Joe Hurlburt,joe hurlburt,Colorado,Pac-12,D1,Davidson,2024-25,2023-24,F,6-9,230,10,2.6,0.065,0.0,0.1,0.2,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,1.5384615384615383,3.0769230769230766,0.0,0.0,4.615384615384615,28,0,5.7,159.6,0.14250000000000002,1.2,1.2,0.2,0.1,0.1,0.4,0.3703703703703704,2.9,18.9,0.0,-0.012,-10.2,https://www.sports-reference.com/cbb/players/joe-hurlburt-1.html,https://www.sports-reference.com/cbb/players/joe-hurlburt-1.html
Atlantic 10,"JaQualon ""JQ"" Roberts",jaqualon jq roberts,Vanderbilt,SEC,D1,Davidson,2025-26,2024-25,F,6-8,220,21,4.6,0.11499999999999999,1.0,0.8,0.0,0.1,0.2,0.1,0.667,0.0,0.727,0.667,8.695652173913045,6.9565217391304355,0.0,0.8695652173913044,1.7391304347826089,0.8695652173913044,32,0,11.9,380.8,0.2975,2.7,2.4,0.4,0.6,0.4,0.6,0.5136986301369864,12.8,14.8,1.0,0.104,-0.7,https://www.sports-reference.com/cbb/players/jaqualon-roberts-1.html,https://www.sports-reference.com/cbb/players/jaqualon-roberts-1.html
Atlantic 10,Josh Scovens,josh scovens,Army,Patriot,D1,Davidson,2025-26,2024-25,F,6-4,214,29,31.7,0.7925,15.2,4.2,1.8,1.0,1.3,1.2,0.453,0.278,0.664,0.489,19.179810725552052,5.299684542586751,2.271293375394322,1.2618296529968454,1.640378548895899,1.5141955835962146,33,33,24.8,818.4,0.62,11.1,4.3,1.9,0.9,0.5,1.2,0.5983182406209573,21.4,23.1,3.4,0.168,4.2,https://www.sports-reference.com/cbb/players/josh-scovens-1.html,https://www.sports-reference.com/cbb/players/josh-scovens-1.html
Atlantic 10,Parker Friedrichsen,parker friedrichsen,Wake Forest,ACC,D1,Davidson,2025-26,2024-25,G,6-3,195,31,14.6,0.365,3.2,1.0,0.6,0.6,0.0,0.3,0.323,0.253,0.85,0.427,8.767123287671232,2.73972602739726,1.6438356164383563,1.6438356164383563,0.0,0.8219178082191781,34,33,25.3,860.2,0.6325000000000001,10.8,2.5,1.4,1.1,0.0,1.2,0.574468085106383,16.1,22.6,2.8,0.129,2.5,https://www.sports-reference.com/cbb/players/parker-friedrichsen-1.html,https://www.sports-reference.com/cbb/players/parker-friedrichsen-1.html
Atlantic 10,Sam Brown,sam brown,Pennsylvania,Ivy,D1,Davidson,2025-26,2024-25,G,6-3,180,27,33.0,0.825,13.9,3.3,2.3,0.7,0.1,1.4,0.422,0.344,0.837,0.51,16.848484848484848,4.0,2.787878787878788,0.8484848484848485,0.12121212121212122,1.696969696969697,32,32,23.7,758.4,0.5925,8.0,1.9,2.2,0.5,0.1,1.2,0.46554934823091243,9.8,22.4,1.1,0.058,-3.8,https://www.sports-reference.com/cbb/players/sam-brown-4.html,https://www.sports-reference.com/cbb/players/sam-brown-4.html
Atlantic 10,Richard Amaefule,richard amaefule,East Tennessee State,Southern,D1,Dayton,2022-23,2020-21,F,6-9,230,19,8.3,0.20750000000000002,1.5,2.4,0.2,0.3,0.2,0.5,0.455,0.0,0.571,0.455,7.228915662650602,11.566265060240962,0.9638554216867469,1.4457831325301203,0.9638554216867469,2.4096385542168672,7,0,3.3,23.099999999999998,0.08249999999999999,0.1,0.9,0.0,0.0,0.1,0.3,0.04844961240310078,-13.7,21.4,-0.1,-0.167,-20.8,https://www.sports-reference.com/cbb/players/richard-amaefule-1.html,https://www.sports-reference.com/cbb/players/richard-amaefule-1.html
Atlantic 10,Enoch Cheeks,enoch cheeks,Robert Morris,Horizon,D1,Dayton,2023-24,2022-23,G,6-3,190,31,33.4,0.835,15.4,4.4,3.5,1.8,1.3,3.0,0.446,0.358,0.794,0.509,18.443113772455092,5.269461077844311,4.1916167664670665,2.155688622754491,1.5568862275449102,3.5928143712574854,33,33,30.5,1006.5,0.7625,8.1,4.7,2.0,1.2,0.6,1.6,0.5391373801916932,13.3,16.7,2.6,0.103,3.1,https://www.sports-reference.com/cbb/players/enoch-cheeks-1.html,https://www.sports-reference.com/cbb/players/enoch-cheeks-1.html
Atlantic 10,Isaac Jack,isaac jack,Buffalo,MAC,D1,Dayton,2023-24,2022-23,C,6-11,251,31,16.3,0.40750000000000003,5.6,4.2,0.3,0.4,0.6,0.8,0.661,0.0,0.595,0.661,13.742331288343557,10.306748466257668,0.7361963190184049,0.9815950920245399,1.4723926380368098,1.9631901840490797,33,0,8.5,280.5,0.2125,3.1,1.6,0.2,0.2,0.4,0.7,0.750968992248062,16.7,18.4,0.9,0.127,0.6,https://www.sports-reference.com/cbb/players/isaac-jack-1.html,https://www.sports-reference.com/cbb/players/isaac-jack-1.html
Atlantic 10,Javon Bennett,javon bennett,Merrimack,NEC,D1,Dayton,2023-24,2022-23,G,5-11,155,34,29.2,0.73,9.6,1.9,3.4,2.9,0.1,2.6,0.359,0.279,0.733,0.432,13.15068493150685,2.6027397260273974,4.657534246575342,3.9726027397260273,0.136986301369863,3.5616438356164384,31,28,28.6,886.6,0.7150000000000001,8.4,2.1,3.3,1.2,0.1,1.0,0.5398457583547558,14.4,17.0,2.9,0.131,3.5,https://www.sports-reference.com/cbb/players/javon-bennett-1.html,https://www.sports-reference.com/cbb/players/javon-bennett-1.html
Atlantic 10,Nate Santos,nate santos,Pittsburgh,ACC,D1,Dayton,2023-24,2022-23,F,6-7,190,29,7.3,0.1825,1.6,1.2,0.2,0.3,0.1,0.3,0.293,0.156,0.636,0.336,8.767123287671232,6.575342465753425,1.095890410958904,1.6438356164383563,0.547945205479452,1.6438356164383563,33,33,33.4,1102.2,0.835,11.7,6.3,1.5,0.7,0.2,1.4,0.6025957972805933,16.0,18.4,3.9,0.142,3.3,https://www.sports-reference.com/cbb/players/nate-santos-1.html,https://www.sports-reference.com/cbb/players/nate-santos-1.html
Atlantic 10,Jacob Conner,jacob conner,Marshall,Sun Belt,D1,Dayton,2024-25,2023-24,F,6-8,190,33,26.5,0.6625,6.1,5.1,2.8,1.1,0.5,1.7,0.352,0.327,0.625,0.446,9.20754716981132,7.69811320754717,4.226415094339623,1.6603773584905661,0.7547169811320755,2.5660377358490565,28,2,12.1,338.8,0.3025,2.7,1.1,0.3,0.4,0.2,0.4,0.5090497737556562,7.6,13.4,0.5,0.057,-2.3,https://www.sports-reference.com/cbb/players/jacob-conner-1.html,https://www.sports-reference.com/cbb/players/jacob-conner-1.html
Atlantic 10,Posh Alexander,posh alexander,Butler,Big East,D1,Dayton,2024-25,2023-24,G,6-0,205,32,31.9,0.7975,11.3,4.6,4.9,2.2,0.1,2.8,0.432,0.333,0.781,0.483,14.169278996865204,5.768025078369906,6.144200626959248,2.7586206896551726,0.12539184952978058,3.510971786833856,29,3,19.0,551.0,0.475,5.8,2.2,2.2,1.1,0.1,1.0,0.5034722222222222,14.4,19.1,1.4,0.102,2.4,https://www.sports-reference.com/cbb/players/posh-alexander-1.html,https://www.sports-reference.com/cbb/players/posh-alexander-1.html
Atlantic 10,Zed Key,zed key,Ohio State,Big Ten,D1,Dayton,2024-25,2023-24,F,6-8,245,36,15.4,0.385,6.6,4.1,0.5,0.4,0.6,0.8,0.509,0.25,0.71,0.519,17.142857142857142,10.64935064935065,1.2987012987012987,1.0389610389610389,1.5584415584415585,2.0779220779220777,32,16,19.2,614.4,0.48,8.8,3.8,0.3,0.3,1.0,0.9,0.6707317073170732,22.6,21.0,2.9,0.187,3.2,https://www.sports-reference.com/cbb/players/zed-key-1.html,https://www.sports-reference.com/cbb/players/zed-key-1.html
Atlantic 10,Bryce Heard,bryce heard,NC State,ACC,D1,Dayton,2025-26,2024-25,G,6-5,170,24,6.3,0.1575,1.2,0.8,0.3,0.2,0.0,0.1,0.318,0.2,0.667,0.364,7.6190476190476195,5.079365079365079,1.9047619047619049,1.2698412698412698,0.0,0.6349206349206349,36,6,18.5,666.0,0.4625,6.6,2.4,0.8,0.4,0.1,0.8,0.5939524838012958,12.4,18.2,1.9,0.116,0.0,https://www.sports-reference.com/cbb/players/bryce-heard-1.html,https://www.sports-reference.com/cbb/players/bryce-heard-1.html
Atlantic 10,De'Shayne Montgomery,de shayne montgomery,Georgia,SEC,D1,Dayton,2025-26,2024-25,G,6-4,190,17,15.5,0.3875,6.5,2.1,0.8,1.1,0.2,1.7,0.409,0.25,0.711,0.446,16.774193548387096,5.419354838709677,2.064516129032258,2.838709677419355,0.5161290322580645,4.387096774193548,36,36,30.6,1101.6000000000001,0.765,13.4,4.0,2.1,2.1,0.6,1.9,0.5982142857142858,18.8,22.7,3.9,0.143,5.8,https://www.sports-reference.com/cbb/players/deshayne-montgomery-1.html,https://www.sports-reference.com/cbb/players/deshayne-montgomery-1.html
Atlantic 10,Jordan Derkack,jordan derkack,Rutgers,Big Ten,D1,Dayton,2025-26,2024-25,G,6-5,205,31,17.0,0.425,5.7,2.8,1.5,0.7,0.2,1.4,0.363,0.25,0.735,0.407,13.411764705882353,6.588235294117647,3.5294117647058822,1.6470588235294117,0.47058823529411764,3.2941176470588234,32,14,24.9,796.8,0.6224999999999999,9.2,4.8,2.5,1.2,0.1,1.7,0.5393996247654783,15.7,22.0,2.6,0.132,3.1,https://www.sports-reference.com/cbb/players/jordan-derkack-1.html,https://www.sports-reference.com/cbb/players/jordan-derkack-1.html
Atlantic 10,Keonte Jones,keonte jones,Cal State Northridge,Big West,D1,Dayton,2025-26,2024-25,F,6-6,175,33,30.8,0.77,13.1,9.0,4.1,1.8,1.3,2.6,0.506,0.382,0.675,0.528,17.01298701298701,11.688311688311687,5.324675324675325,2.3376623376623376,1.6883116883116882,3.3766233766233764,37,37,30.2,1117.3999999999999,0.755,7.7,5.3,2.2,1.5,0.7,1.4,0.5718954248366013,14.1,14.3,3.5,0.126,3.6,https://www.sports-reference.com/cbb/players/keonte-jones-1.html,https://www.sports-reference.com/cbb/players/keonte-jones-1.html
Atlantic 10,Dae Dae Grant,dae dae grant,Miami (OH),MAC,D1,Duquesne,2022-23,2021-22,G,6-2,180,32,33.0,0.825,17.5,4.7,4.1,0.9,0.1,1.9,0.423,0.343,0.853,0.497,21.21212121212121,5.696969696969697,4.96969696969697,1.0909090909090908,0.12121212121212122,2.303030303030303,33,33,32.6,1075.8,0.8150000000000001,15.5,4.6,2.5,1.2,0.1,1.6,0.5549985677456316,18.0,23.6,3.9,0.145,3.3,https://www.sports-reference.com/cbb/players/daedae-grant-1.html,https://www.sports-reference.com/cbb/players/daedae-grant-1.html
Atlantic 10,Joseph Reece,joseph reece,Bowling Green,MAC,D1,Duquesne,2022-23,2021-22,F,6-8,200,23,19.0,0.475,11.2,5.1,0.7,1.0,0.4,1.2,0.534,0.444,0.701,0.546,23.57894736842105,10.736842105263158,1.4736842105263157,2.1052631578947367,0.8421052631578947,2.526315789473684,29,27,18.4,533.5999999999999,0.45999999999999996,9.6,4.7,1.3,1.0,0.6,1.3,0.5657708628005658,24.4,26.4,2.4,0.182,4.5,https://www.sports-reference.com/cbb/players/joseph-reece-1.html,https://www.sports-reference.com/cbb/players/joseph-reece-1.html
