target_conference,first_target_season,destination_school,player_name,sr_season,sr_team,sr_conf,class,position,games,games_started,mpg,minutes,minutes_share,ppg,rpg,apg,spg,bpg,topg,fg_pct,fg3_pct,ft_pct,efg_pct,ts_pct,three_rate,ft_rate,per,ts_pct_advanced,usg_pct,ows,dws,ws,ws_per_40,bpm,source_url
Atlantic 10,2022-23,Davidson,Connor Kochera,2022-23,Davidson,A-10,JR,G,32,15,23.5,752.0,0.5875,6.3,2.7,1.0,0.6,0.0,0.7,0.43,0.343,0.676,0.539,0.5541871921182265,0.6346153846153846,0.21153846153846154,11.7,0.555,14.4,0.9,0.8,1.7,0.091,1.0,https://www.sports-reference.com/cbb/players/connor-kochera-1.html
Atlantic 10,2022-23,Davidson,David Skogman,2022-23,Davidson,A-10,JR,F,32,0,22.4,716.8,0.5599999999999999,7.3,4.8,0.9,0.3,0.3,0.9,0.462,0.368,0.887,0.541,0.622017723244717,0.42857142857142855,0.4489795918367347,16.6,0.61,16.6,1.7,0.9,2.6,0.146,1.8,https://www.sports-reference.com/cbb/players/david-skogman-1.html
Atlantic 10,2023-24,Davidson,Angelo Brizzi,2023-24,Davidson,A-10,SO,G,32,15,18.5,592.0,0.4625,5.6,2.0,1.6,1.1,0.3,1.2,0.366,0.256,0.704,0.427,0.4787961696306429,0.47058823529411764,0.33333333333333337,11.2,0.469,20.6,0.0,1.1,1.0,0.069,-0.3,https://www.sports-reference.com/cbb/players/angelo-brizzi-1.html
Atlantic 10,2023-24,Davidson,Jarvis Moss,2023-24,Davidson,A-10,JR,G,17,0,6.1,103.69999999999999,0.1525,1.1,0.5,0.1,0.1,0.0,0.1,0.233,0.087,1.0,0.267,0.29826464208242953,0.7777777777777777,0.05555555555555556,-0.3,0.291,16.9,-0.2,0.1,-0.1,-0.046,-12.7,https://www.sports-reference.com/cbb/players/jarvis-moss-1.html
Atlantic 10,2024-25,Davidson,Joe Hurlburt,2024-25,Davidson,A-10,SO,F,28,0,5.7,159.6,0.14250000000000002,1.2,1.2,0.2,0.1,0.1,0.4,0.256,0.15,0.714,0.295,0.3703703703703704,0.5,0.35714285714285715,2.9,0.361,18.9,-0.2,0.2,0.0,-0.012,-10.2,https://www.sports-reference.com/cbb/players/joe-hurlburt-1.html
Atlantic 10,2025-26,Davidson,"JaQualon ""JQ"" Roberts",2025-26,Davidson,A-10,JR,F,32,0,11.9,380.8,0.2975,2.7,2.4,0.4,0.6,0.4,0.6,0.455,0.111,0.615,0.462,0.5136986301369864,0.14285714285714285,0.5714285714285714,12.8,0.503,14.8,0.3,0.7,1.0,0.104,-0.7,https://www.sports-reference.com/cbb/players/jaqualon-roberts-1.html
Atlantic 10,2025-26,Davidson,Josh Scovens,2025-26,Davidson,A-10,JR,F,33,33,24.8,818.4,0.62,11.1,4.3,1.9,0.9,0.5,1.2,0.553,0.367,0.639,0.574,0.5983182406209573,0.1125,0.3625,21.4,0.589,23.1,2.1,1.3,3.4,0.168,4.2,https://www.sports-reference.com/cbb/players/josh-scovens-1.html
Atlantic 10,2025-26,Davidson,Parker Friedrichsen,2025-26,Davidson,A-10,JR,G,34,33,25.3,860.2,0.6325000000000001,10.8,2.5,1.4,1.1,0.0,1.2,0.42,0.405,0.75,0.541,0.574468085106383,0.5903614457831325,0.3012048192771084,16.1,0.572,22.6,1.5,1.3,2.8,0.129,2.5,https://www.sports-reference.com/cbb/players/parker-friedrichsen-1.html
Atlantic 10,2025-26,Davidson,Sam Brown,2025-26,Davidson,A-10,JR,G,32,32,23.7,758.4,0.5925,8.0,1.9,2.2,0.5,0.1,1.2,0.364,0.272,0.696,0.432,0.46554934823091243,0.5,0.23076923076923078,9.8,0.461,22.4,0.2,0.9,1.1,0.058,-3.8,https://www.sports-reference.com/cbb/players/sam-brown-4.html
Atlantic 10,2022-23,Dayton,Richard Amaefule,2022-23,Dayton,A-10,SO,F,7,0,3.3,23.099999999999998,0.08249999999999999,0.1,0.9,0.0,0.0,0.1,0.3,0.0,0.0,0.5,0.0,0.04844961240310078,0.11111111111111112,0.3333333333333333,-13.7,0.072,21.4,-0.1,0.1,-0.1,-0.167,-20.8,https://www.sports-reference.com/cbb/players/richard-amaefule-1.html
Atlantic 10,2023-24,Dayton,Enoch Cheeks,2023-24,Dayton,A-10,JR,G,33,33,30.5,1006.5,0.7625,8.1,4.7,2.0,1.2,0.6,1.6,0.444,0.304,0.684,0.5,0.5391373801916932,0.3692307692307692,0.3538461538461538,13.3,0.532,16.7,1.0,1.6,2.6,0.103,3.1,https://www.sports-reference.com/cbb/players/enoch-cheeks-1.html
Atlantic 10,2023-24,Dayton,Isaac Jack,2023-24,Dayton,A-10,SO,C,33,0,8.5,280.5,0.2125,3.1,1.6,0.2,0.2,0.4,0.7,0.717,0.0,0.714,0.717,0.750968992248062,0.0,0.3333333333333333,16.7,0.722,18.4,0.5,0.4,0.9,0.127,0.6,https://www.sports-reference.com/cbb/players/isaac-jack-1.html
