target_conference,first_target_season,destination_school,player_name,player_key,source_school,source_conference,source_level,source_season,class,position,height,weight,games,mpg,ppg,rpg,apg,spg,bpg,topg,fg_pct,fg3_pct,ft_pct,efg_pct,sports_reference_player_url,source_url,candidate_action
Atlantic 10,2022-23,Davidson,Connor Kochera,connor kochera,William & Mary,CAA,D1,2021-22,SO,G,6-5,200,32,32.3,10.9,4.8,1.8,1.3,0.1,2.1,.386,.321,.753,.454,https://www.sports-reference.com/cbb/players/connor-kochera-1.html,https://www.sports-reference.com/cbb/players/connor-kochera-1.html,add_transfer_row_and_d1_source_stats
Atlantic 10,2022-23,Davidson,David Skogman,david skogman,Buffalo,MAC,D1,2021-22,SO,F,6-10,223,30,24.1,8.0,6.3,1.0,0.5,0.4,1.2,.587,.375,.814,.665,https://www.sports-reference.com/cbb/players/david-skogman-1.html,https://www.sports-reference.com/cbb/players/david-skogman-1.html,add_transfer_row_and_d1_source_stats
Atlantic 10,2023-24,Davidson,Angelo Brizzi,angelo brizzi,Villanova,Big East,D1,2022-23,FR,G,6-3,180,9,10.8,2.0,1.9,0.6,1.1,0.0,0.9,.385,.143,.778,.423,https://www.sports-reference.com/cbb/players/angelo-brizzi-1.html,https://www.sports-reference.com/cbb/players/angelo-brizzi-1.html,add_transfer_row_and_d1_source_stats
Atlantic 10,2023-24,Davidson,Jarvis Moss,jarvis moss,Stanford,Pac-12,D1,2022-23,SO,G,6-4,190,12,3.8,1.8,0.8,0.1,0.1,0.1,0.2,.381,.429,,.524,https://www.sports-reference.com/cbb/players/jarvis-moss-1.html,https://www.sports-reference.com/cbb/players/jarvis-moss-1.html,add_transfer_row_and_d1_source_stats
Atlantic 10,2024-25,Davidson,Joe Hurlburt,joe hurlburt,Colorado,Pac-12,D1,2023-24,FR,F,6-9,230,10,2.6,0.0,0.1,0.2,0.0,0.0,0.3,.000,.000,,.000,https://www.sports-reference.com/cbb/players/joe-hurlburt-1.html,https://www.sports-reference.com/cbb/players/joe-hurlburt-1.html,add_transfer_row_and_d1_source_stats
Atlantic 10,2025-26,Davidson,"JaQualon ""JQ"" Roberts",jaqualon jq roberts,Vanderbilt,SEC,D1,2024-25,SO,F,6-8,220,21,4.6,1.0,0.8,0.0,0.1,0.2,0.1,.667,.000,.727,.667,https://www.sports-reference.com/cbb/players/jaqualon-roberts-1.html,https://www.sports-reference.com/cbb/players/jaqualon-roberts-1.html,add_transfer_row_and_d1_source_stats
Atlantic 10,2025-26,Davidson,Josh Scovens,josh scovens,Army,Patriot,D1,2024-25,SO,F,6-4,214,29,31.7,15.2,4.2,1.8,1.0,1.3,1.2,.453,.278,.664,.489,https://www.sports-reference.com/cbb/players/josh-scovens-1.html,https://www.sports-reference.com/cbb/players/josh-scovens-1.html,add_transfer_row_and_d1_source_stats
Atlantic 10,2025-26,Davidson,Parker Friedrichsen,parker friedrichsen,Wake Forest,ACC,D1,2024-25,SO,G,6-3,195,31,14.6,3.2,1.0,0.6,0.6,0.0,0.3,.323,.253,.850,.427,https://www.sports-reference.com/cbb/players/parker-friedrichsen-1.html,https://www.sports-reference.com/cbb/players/parker-friedrichsen-1.html,add_transfer_row_and_d1_source_stats
Atlantic 10,2025-26,Davidson,Sam Brown,sam brown,Pennsylvania,Ivy,D1,2024-25,SO,G,6-3,180,27,33.0,13.9,3.3,2.3,0.7,0.1,1.4,.422,.344,.837,.510,https://www.sports-reference.com/cbb/players/sam-brown-4.html,https://www.sports-reference.com/cbb/players/sam-brown-4.html,add_transfer_row_and_d1_source_stats
Atlantic 10,2022-23,Dayton,Richard Amaefule,richard amaefule,East Tennessee State,Southern,D1,2020-21,FR,F,6-9,230,19,8.3,1.5,2.4,0.2,0.3,0.2,0.5,.455,,.571,.455,https://www.sports-reference.com/cbb/players/richard-amaefule-1.html,https://www.sports-reference.com/cbb/players/richard-amaefule-1.html,add_transfer_row_and_d1_source_stats
