target_conference,first_target_season,destination_school,destination_school_slug,player_name,player_key,class,position,height,weight,sports_reference_player_url,roster_cache_path,previous_team_roster_status,profile_cache_status,profile_prior_season,profile_prior_school,profile_prior_conf,profile_prior_level_guess,profile_transfer_candidate,candidate_action,audit_status
Atlantic 10,2022-23,Davidson,davidson,Chris Sosnik,chris sosnik,JR,G,6-2,180,https://www.sports-reference.com/cbb/players/chris-sosnik-1.html,data/cache/sports_reference_a10_schools/davidson_2023.html,not_on_previous_roster,cached,2021-22,Did not play - manager,,,TRUE,manual_review_prior_school,possible_transfer
Atlantic 10,2022-23,Davidson,davidson,Connor Kochera,connor kochera,JR,G,6-5,200,https://www.sports-reference.com/cbb/players/connor-kochera-1.html,data/cache/sports_reference_a10_schools/davidson_2023.html,not_on_previous_roster,cached,2021-22,William & Mary,CAA,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
Atlantic 10,2022-23,Davidson,davidson,David Skogman,david skogman,JR,F,6-10,223,https://www.sports-reference.com/cbb/players/david-skogman-1.html,data/cache/sports_reference_a10_schools/davidson_2023.html,not_on_previous_roster,cached,2021-22,Buffalo,MAC,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
Atlantic 10,2023-24,Davidson,davidson,Angelo Brizzi,angelo brizzi,SO,G,6-3,180,https://www.sports-reference.com/cbb/players/angelo-brizzi-1.html,data/cache/sports_reference_a10_schools/davidson_2024.html,not_on_previous_roster,cached,2022-23,Villanova,Big East,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
Atlantic 10,2023-24,Davidson,davidson,Jarvis Moss,jarvis moss,JR,G,6-4,190,https://www.sports-reference.com/cbb/players/jarvis-moss-1.html,data/cache/sports_reference_a10_schools/davidson_2024.html,not_on_previous_roster,cached,2022-23,Stanford,Pac-12,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
Atlantic 10,2024-25,Davidson,davidson,Joe Hurlburt,joe hurlburt,SO,F,6-9,230,https://www.sports-reference.com/cbb/players/joe-hurlburt-1.html,data/cache/sports_reference_a10_schools/davidson_2025.html,not_on_previous_roster,cached,2023-24,Colorado,Pac-12,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
Atlantic 10,2024-25,Davidson,davidson,Luke Zimmerman,luke zimmerman,SO,G,6-3,190,https://www.sports-reference.com/cbb/players/luke-zimmerman-1.html,data/cache/sports_reference_a10_schools/davidson_2025.html,not_on_previous_roster,cached,2023-24,Did not play - manager,,,TRUE,manual_review_prior_school,possible_transfer
Atlantic 10,2024-25,Davidson,davidson,Zach Laput,zach laput,SR,G,6-4,210,https://www.sports-reference.com/cbb/players/zach-laput-1.html,data/cache/sports_reference_a10_schools/davidson_2025.html,not_on_previous_roster,cached,2023-24,Did not play - non-major team,,D2,TRUE,add_transfer_row_and_find_d2_source_stats,possible_transfer
Atlantic 10,2025-26,Davidson,davidson,"JaQualon ""JQ"" Roberts",jaqualon jq roberts,JR,F,6-8,220,https://www.sports-reference.com/cbb/players/jaqualon-roberts-1.html,data/cache/sports_reference_a10_schools/davidson_2026.html,not_on_previous_roster,cached,2024-25,Vanderbilt,SEC,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
Atlantic 10,2025-26,Davidson,davidson,Josh Scovens,josh scovens,JR,F,6-4,214,https://www.sports-reference.com/cbb/players/josh-scovens-1.html,data/cache/sports_reference_a10_schools/davidson_2026.html,not_on_previous_roster,cached,2024-25,Army,Patriot,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
Atlantic 10,2025-26,Davidson,davidson,Parker Friedrichsen,parker friedrichsen,JR,G,6-3,195,https://www.sports-reference.com/cbb/players/parker-friedrichsen-1.html,data/cache/sports_reference_a10_schools/davidson_2026.html,not_on_previous_roster,cached,2024-25,Wake Forest,ACC,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
Atlantic 10,2025-26,Davidson,davidson,Sam Brown,sam brown,JR,G,6-3,180,https://www.sports-reference.com/cbb/players/sam-brown-4.html,data/cache/sports_reference_a10_schools/davidson_2026.html,not_on_previous_roster,cached,2024-25,Pennsylvania,Ivy,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
Atlantic 10,2022-23,Dayton,dayton,Richard Amaefule,richard amaefule,SO,F,6-9,230,https://www.sports-reference.com/cbb/players/richard-amaefule-1.html,data/cache/sports_reference_a10_schools/dayton_2023.html,not_on_previous_roster,cached,2020-21,East Tennessee State,Southern,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
Atlantic 10,2023-24,Dayton,dayton,C.J. Napier,c j napier,SR,F,6-6,215,https://www.sports-reference.com/cbb/players/cj-napier-1.html,data/cache/sports_reference_a10_schools/dayton_2024.html,not_on_previous_roster,cached,2022-23,Did not play - non-major team,,D2,TRUE,add_transfer_row_and_find_d2_source_stats,possible_transfer
Atlantic 10,2023-24,Dayton,dayton,Enoch Cheeks,enoch cheeks,JR,G,6-3,190,https://www.sports-reference.com/cbb/players/enoch-cheeks-1.html,data/cache/sports_reference_a10_schools/dayton_2024.html,not_on_previous_roster,cached,2022-23,Robert Morris,Horizon,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
Atlantic 10,2023-24,Dayton,dayton,Isaac Jack,isaac jack,SO,C,6-11,251,https://www.sports-reference.com/cbb/players/isaac-jack-1.html,data/cache/sports_reference_a10_schools/dayton_2024.html,not_on_previous_roster,cached,2022-23,Buffalo,MAC,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
Atlantic 10,2023-24,Dayton,dayton,Javon Bennett,javon bennett,SO,G,5-11,155,https://www.sports-reference.com/cbb/players/javon-bennett-1.html,data/cache/sports_reference_a10_schools/dayton_2024.html,not_on_previous_roster,cached,2022-23,Merrimack,NEC,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
Atlantic 10,2023-24,Dayton,dayton,Nate Santos,nate santos,JR,F,6-7,190,https://www.sports-reference.com/cbb/players/nate-santos-1.html,data/cache/sports_reference_a10_schools/dayton_2024.html,not_on_previous_roster,cached,2022-23,Pittsburgh,ACC,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
