bucket,first_target_season,count
d1_source_stats_found,2022-23,9
d1_source_stats_found,2023-24,16
d1_source_stats_found,2024-25,12
d1_source_stats_found,2025-26,24
exclude or check earlier playable season before adding,2022-23,1
exclude or check earlier playable season before adding,2024-25,1
find D2 prior team and source-season stats from school/VC/official pages,2023-24,1
find D2 prior team and source-season stats from school/VC/official pages,2024-25,1
find JUCO prior team and source-season stats from school/VC/official pages,2022-23,2
find JUCO prior team and source-season stats from school/VC/official pages,2024-25,1
manual review prior school/level,2022-23,1
manual review prior school/level,2024-25,1
