target_conference,first_target_season,destination_school,destination_school_slug,player_name,player_key,class,position,height,weight,sports_reference_player_url,roster_cache_path,previous_team_roster_status,profile_cache_status,profile_prior_season,profile_prior_school,profile_prior_conf,profile_prior_level_guess,profile_transfer_candidate,candidate_action,audit_status
Atlantic 10,2021-22,Davidson,davidson,Ben Craig,ben craig,SR,G,6-1,190,https://www.sports-reference.com/cbb/players/ben-craig-1.html,data/cache/sports_reference_a10_schools/davidson_2022.html,no_previous_team_cache,not_cached,,,,,FALSE,,needs_prior_roster_cache
Atlantic 10,2021-22,Davidson,davidson,Chris Ford,chris ford,FR,F,6-5,200,https://www.sports-reference.com/cbb/players/chris-ford-5.html,data/cache/sports_reference_a10_schools/davidson_2022.html,no_previous_team_cache,not_cached,,,,,FALSE,,needs_prior_roster_cache
Atlantic 10,2021-22,Davidson,davidson,David Kristensen,david kristensen,JR,F,6-10,210,https://www.sports-reference.com/cbb/players/david-kristensen-1.html,data/cache/sports_reference_a10_schools/davidson_2022.html,no_previous_team_cache,not_cached,,,,,FALSE,,needs_prior_roster_cache
Atlantic 10,2021-22,Davidson,davidson,Desmond Watson,desmond watson,FR,G,6-5,200,https://www.sports-reference.com/cbb/players/desmond-watson-1.html,data/cache/sports_reference_a10_schools/davidson_2022.html,no_previous_team_cache,cached,,,,,FALSE,,needs_prior_roster_cache
Atlantic 10,2021-22,Davidson,davidson,Drew Dibble,drew dibble,SR,G,5-11,185,https://www.sports-reference.com/cbb/players/drew-dibble-1.html,data/cache/sports_reference_a10_schools/davidson_2022.html,no_previous_team_cache,not_cached,,,,,FALSE,,needs_prior_roster_cache
Atlantic 10,2021-22,Davidson,davidson,Emory Lanier,emory lanier,SO,G,6-3,180,https://www.sports-reference.com/cbb/players/emory-lanier-1.html,data/cache/sports_reference_a10_schools/davidson_2022.html,no_previous_team_cache,not_cached,,,,,FALSE,,needs_prior_roster_cache
Atlantic 10,2021-22,Davidson,davidson,Foster Loyer,foster loyer,JR,G,6-0,175,https://www.sports-reference.com/cbb/players/foster-loyer-1.html,data/cache/sports_reference_a10_schools/davidson_2022.html,no_previous_team_cache,cached,2020-21,Michigan State,Big Ten,D1,FALSE,,needs_prior_roster_cache
Atlantic 10,2021-22,Davidson,davidson,Grant Huffman,grant huffman,SO,G,6-3,185,https://www.sports-reference.com/cbb/players/grant-huffman-1.html,data/cache/sports_reference_a10_schools/davidson_2022.html,no_previous_team_cache,cached,2020-21,Davidson,A-10,D1,FALSE,,needs_prior_roster_cache
Atlantic 10,2021-22,Davidson,davidson,Hyunjung Lee,hyunjung lee,JR,G,6-7,210,https://www.sports-reference.com/cbb/players/hyunjung-lee-1.html,data/cache/sports_reference_a10_schools/davidson_2022.html,no_previous_team_cache,not_cached,,,,,FALSE,,needs_prior_roster_cache
Atlantic 10,2021-22,Davidson,davidson,Luka Brajkovic,luka brajkovic,SR,F,6-10,250,https://www.sports-reference.com/cbb/players/luka-brajkovic-1.html,data/cache/sports_reference_a10_schools/davidson_2022.html,no_previous_team_cache,not_cached,,,,,FALSE,,needs_prior_roster_cache
Atlantic 10,2021-22,Davidson,davidson,Michael Jones,michael jones,JR,G,6-5,210,https://www.sports-reference.com/cbb/players/mike-jones-35.html,data/cache/sports_reference_a10_schools/davidson_2022.html,no_previous_team_cache,not_cached,,,,,FALSE,,needs_prior_roster_cache
Atlantic 10,2021-22,Davidson,davidson,Michael Katsock,michael katsock,FR,F,6-6,190,https://www.sports-reference.com/cbb/players/michael-katsock-1.html,data/cache/sports_reference_a10_schools/davidson_2022.html,no_previous_team_cache,cached,,,,,FALSE,,needs_prior_roster_cache
Atlantic 10,2021-22,Davidson,davidson,Nelson Boachie-Yiadom,nelson boachie yiadom,SR,F,6-8,220,https://www.sports-reference.com/cbb/players/nelson-boachie-yiadom-1.html,data/cache/sports_reference_a10_schools/davidson_2022.html,no_previous_team_cache,not_cached,,,,,FALSE,,needs_prior_roster_cache
Atlantic 10,2021-22,Davidson,davidson,Sam Mennenga,sam mennenga,SO,F,6-9,245,https://www.sports-reference.com/cbb/players/sam-mennenga-1.html,data/cache/sports_reference_a10_schools/davidson_2022.html,no_previous_team_cache,cached,2020-21,Davidson,A-10,D1,FALSE,,needs_prior_roster_cache
Atlantic 10,2021-22,Davidson,davidson,Styrmir Thrastarson,styrmir thrastarson,FR,G,6-7,200,https://www.sports-reference.com/cbb/players/styrmir-thrastarson-1.html,data/cache/sports_reference_a10_schools/davidson_2022.html,no_previous_team_cache,not_cached,,,,,FALSE,,needs_prior_roster_cache
Atlantic 10,2022-23,Davidson,davidson,Achile Spadone,achile spadone,FR,G,6-4,185,https://www.sports-reference.com/cbb/players/achile-spadone-1.html,data/cache/sports_reference_a10_schools/davidson_2023.html,not_on_previous_roster,cached,,,,,FALSE,,returning_or_freshman
Atlantic 10,2022-23,Davidson,davidson,Brock Matheny,brock matheny,FR,G,5-10,155,https://www.sports-reference.com/cbb/players/brock-matheny-1.html,data/cache/sports_reference_a10_schools/davidson_2023.html,not_on_previous_roster,cached,,,,,FALSE,,returning_or_freshman
Atlantic 10,2022-23,Davidson,davidson,Chris Sosnik,chris sosnik,JR,G,6-2,180,https://www.sports-reference.com/cbb/players/chris-sosnik-1.html,data/cache/sports_reference_a10_schools/davidson_2023.html,not_on_previous_roster,cached,2021-22,Did not play - manager,,,TRUE,manual_review_prior_school,possible_transfer
Atlantic 10,2022-23,Davidson,davidson,Connor Kochera,connor kochera,JR,G,6-5,200,https://www.sports-reference.com/cbb/players/connor-kochera-1.html,data/cache/sports_reference_a10_schools/davidson_2023.html,not_on_previous_roster,cached,2021-22,William & Mary,CAA,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
Atlantic 10,2022-23,Davidson,davidson,David Skogman,david skogman,JR,F,6-10,223,https://www.sports-reference.com/cbb/players/david-skogman-1.html,data/cache/sports_reference_a10_schools/davidson_2023.html,not_on_previous_roster,cached,2021-22,Buffalo,MAC,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
Atlantic 10,2022-23,Davidson,davidson,Desmond Watson,desmond watson,SO,G,6-5,200,https://www.sports-reference.com/cbb/players/desmond-watson-1.html,data/cache/sports_reference_a10_schools/davidson_2023.html,returning_same_roster,cached,2021-22,Davidson,A-10,D1,FALSE,,returning_or_freshman
Atlantic 10,2022-23,Davidson,davidson,Foster Loyer,foster loyer,SR,G,6-0,175,https://www.sports-reference.com/cbb/players/foster-loyer-1.html,data/cache/sports_reference_a10_schools/davidson_2023.html,returning_same_roster,cached,2021-22,Davidson,A-10,D1,FALSE,,returning_or_freshman
Atlantic 10,2022-23,Davidson,davidson,Grant Huffman,grant huffman,JR,G,6-3,185,https://www.sports-reference.com/cbb/players/grant-huffman-1.html,data/cache/sports_reference_a10_schools/davidson_2023.html,returning_same_roster,cached,2021-22,Davidson,A-10,D1,FALSE,,returning_or_freshman
Atlantic 10,2022-23,Davidson,davidson,Joe Thomson,joe thomson,FR,F,6-7,220,https://www.sports-reference.com/cbb/players/joe-thomson-1.html,data/cache/sports_reference_a10_schools/davidson_2023.html,not_on_previous_roster,cached,,,,,FALSE,,returning_or_freshman
Atlantic 10,2022-23,Davidson,davidson,Michael Katsock,michael katsock,SO,F,6-6,190,https://www.sports-reference.com/cbb/players/michael-katsock-1.html,data/cache/sports_reference_a10_schools/davidson_2023.html,returning_same_roster,cached,2021-22,Davidson,A-10,D1,FALSE,,returning_or_freshman
Atlantic 10,2022-23,Davidson,davidson,Reed Bailey,reed bailey,FR,F,6-11,210,https://www.sports-reference.com/cbb/players/reed-bailey-1.html,data/cache/sports_reference_a10_schools/davidson_2023.html,not_on_previous_roster,cached,,,,,FALSE,,returning_or_freshman
Atlantic 10,2022-23,Davidson,davidson,Riccardo Ghedini,riccardo ghedini,FR,G,6-7,200,https://www.sports-reference.com/cbb/players/riccardo-ghedini-1.html,data/cache/sports_reference_a10_schools/davidson_2023.html,not_on_previous_roster,cached,,,,,FALSE,,returning_or_freshman
Atlantic 10,2022-23,Davidson,davidson,Sam Mennenga,sam mennenga,JR,F,6-9,245,https://www.sports-reference.com/cbb/players/sam-mennenga-1.html,data/cache/sports_reference_a10_schools/davidson_2023.html,returning_same_roster,cached,2021-22,Davidson,A-10,D1,FALSE,,returning_or_freshman
Atlantic 10,2022-23,Davidson,davidson,Sean Logan,sean logan,FR,F,6-10,205,https://www.sports-reference.com/cbb/players/sean-logan-1.html,data/cache/sports_reference_a10_schools/davidson_2023.html,not_on_previous_roster,cached,,,,,FALSE,,returning_or_freshman
Atlantic 10,2023-24,Davidson,davidson,Achile Spadone,achile spadone,SO,G,6-4,185,https://www.sports-reference.com/cbb/players/achile-spadone-1.html,data/cache/sports_reference_a10_schools/davidson_2024.html,returning_same_roster,cached,2022-23,Davidson,A-10,D1,FALSE,,returning_or_freshman
