target_conference,player_name,player_key,source_school,source_conference,source_level,destination_school,first_target_season,source_season,position,height,weight,source_games,source_mpg,source_minutes_share,source_ppg,source_rpg,source_apg,source_spg,source_bpg,source_topg,source_fg_pct,source_fg3_pct,source_ft_pct,source_efg_pct,source_pts_per_40,source_reb_per_40,source_ast_per_40,source_stl_per_40,source_blk_per_40,source_tov_per_40,target_games,target_games_started,target_mpg,target_minutes,target_minutes_share,target_ppg,target_rpg,target_apg,target_spg,target_bpg,target_topg,target_ts_pct,target_per,target_usg_pct,target_ws,target_ws_per_40,target_bpm,source_url,outcome_url
American,Leland Walker,leland walker,Eastern Kentucky,A-Sun,D1,Florida Atlantic,2024-25,2023-24,G,6-1,185,31,28.4,0.71,15.4,2.7,4.1,1.1,0.2,2.5,0.433,0.342,0.832,0.483,21.690140845070424,3.802816901408451,5.774647887323944,1.5492957746478875,0.28169014084507044,3.5211267605633805,33,33,28.5,940.5,0.7125,9.2,2.7,4.5,1.1,0.1,2.4,0.4757964418700869,10.6,21.2,1.2,0.052,-2.3,https://www.sports-reference.com/cbb/players/leland-walker-1.html,https://www.sports-reference.com/cbb/players/leland-walker-1.html
American,Ashton Hardaway,ashton hardaway,St. Mary's (CA),WCC,D1,Memphis,2025-26,2024-25,F,6-8,210,33,9.5,0.2375,2.1,1.2,0.4,0.3,0.2,0.3,0.354,0.31,0.917,0.454,8.842105263157896,5.052631578947368,1.6842105263157894,1.263157894736842,0.8421052631578947,1.263157894736842,25,9,19.5,487.5,0.4875,5.6,2.5,1.4,0.8,0.7,1.2,0.5135730007336757,10.9,16.3,0.8,0.062,2.2,https://www.sports-reference.com/cbb/players/ashton-hardaway-1.html,https://www.sports-reference.com/cbb/players/ashton-hardaway-1.html
American,Will McClendon,will mcclendon,San Jose State,MWC,D1,North Texas,2025-26,2024-25,G,6-2,210,24,32.1,0.8025,12.0,3.3,2.8,0.8,0.0,0.9,0.361,0.349,0.827,0.452,14.953271028037383,4.11214953271028,3.4890965732087227,0.9968847352024922,0.0,1.1214953271028036,4,0,24.5,98.0,0.6125,13.0,4.0,2.5,0.8,0.3,1.3,0.6327881619937694,22.9,24.4,0.6,0.234,4.9,https://www.sports-reference.com/cbb/players/will-mcclendon-1.html,https://www.sports-reference.com/cbb/players/will-mcclendon-1.html
American,Caden Powell,caden powell,Wyoming,MWC,D1,Rice,2024-25,2023-24,F,6-10,206,32,20.5,0.5125,5.4,4.6,1.3,0.4,0.8,1.4,0.482,0.0,0.66,0.482,10.536585365853659,8.975609756097562,2.5365853658536586,0.7804878048780488,1.5609756097560976,2.731707317073171,32,32,24.3,777.6,0.6075,10.4,7.2,0.8,0.5,1.0,1.1,0.6021306160259379,22.9,20.7,3.5,0.182,2.7,https://www.sports-reference.com/cbb/players/caden-powell-1.html,https://www.sports-reference.com/cbb/players/caden-powell-1.html
American,Jimmy Oladokun,jimmy oladokun,San Diego,WCC,D1,Rice,2024-25,2023-24,F,6-9,220,31,16.5,0.4125,5.7,3.0,0.5,0.4,0.5,1.0,0.491,0.0,0.422,0.491,13.818181818181818,7.2727272727272725,1.2121212121212122,0.9696969696969697,1.2121212121212122,2.4242424242424243,31,0,9.5,294.5,0.2375,2.9,2.5,0.4,0.2,0.2,0.6,0.45712484237074397,12.6,20.5,0.5,0.063,-4.3,https://www.sports-reference.com/cbb/players/jimmy-oladokun-jr-1.html,https://www.sports-reference.com/cbb/players/jimmy-oladokun-jr-1.html
American,Jefferson Koulibaly,jefferson koulibaly,Washington State,Pac-12,D1,SMU,2022-23,2021-22,G,6-3,180,16,8.3,0.20750000000000002,2.6,0.9,0.5,0.4,0.0,0.9,0.357,0.3,0.545,0.429,12.53012048192771,4.337349397590361,2.4096385542168672,1.9277108433734937,0.0,4.337349397590361,18,1,8.4,151.20000000000002,0.21000000000000002,1.6,0.9,0.7,0.3,0.1,0.8,0.5221932114882507,4.8,13.7,0.0,0.001,-3.3,https://www.sports-reference.com/cbb/players/jefferson-koulibaly-1.html,https://www.sports-reference.com/cbb/players/jefferson-koulibaly-1.html
American,Elijah Gray,elijah gray,Fordham,A-10,D1,Temple,2024-25,2023-24,F,6-8,220,32,18.0,0.45,8.4,3.7,0.8,0.3,0.4,1.5,0.42,0.286,0.767,0.473,18.666666666666668,8.222222222222221,1.7777777777777777,0.6666666666666666,0.8888888888888888,3.3333333333333335,25,0,19.7,492.5,0.4925,9.0,3.8,0.6,0.4,0.3,1.6,0.582901554404145,15.4,23.8,1.2,0.095,-3.5,https://www.sports-reference.com/cbb/players/elijah-gray-1.html,https://www.sports-reference.com/cbb/players/elijah-gray-1.html
American,Jamal Mashburn,jamal mashburn,New Mexico,MWC,D1,Temple,2024-25,2023-24,G,6-2,175,28,29.5,0.7375,14.1,2.1,1.5,0.4,0.1,1.3,0.36,0.317,0.847,0.416,19.11864406779661,2.847457627118644,2.0338983050847457,0.5423728813559322,0.13559322033898305,1.7627118644067796,23,23,36.0,828.0,0.9,22.0,3.0,2.2,0.7,0.0,1.8,0.5529861250754072,19.8,30.5,2.6,0.125,1.0,https://www.sports-reference.com/cbb/players/jamal-mashburnjr-1.html,https://www.sports-reference.com/cbb/players/jamal-mashburnjr-1.html
American,Kolby King,kolby king,St. John's (NY),Big East,D1,Tulane,2023-24,2022-23,G,6-2,170,26,7.7,0.1925,1.7,1.1,0.6,0.2,0.0,0.5,0.308,0.304,0.545,0.375,8.831168831168831,5.714285714285714,3.116883116883117,1.0389610389610389,0.0,2.5974025974025974,31,23,27.3,846.3000000000001,0.6825,10.4,3.6,1.8,1.4,0.4,1.3,0.5985267034990792,16.4,18.3,2.3,0.11,1.3,https://www.sports-reference.com/cbb/players/kolby-king-1.html,https://www.sports-reference.com/cbb/players/kolby-king-1.html
American,Brian Amuneke,brian amuneke,Fresno State,MWC,D1,Wichita State,2025-26,2024-25,G,6-4,180,29,21.2,0.53,7.7,2.6,0.4,0.8,0.0,0.9,0.424,0.407,0.672,0.526,14.528301886792454,4.90566037735849,0.7547169811320755,1.509433962264151,0.0,1.6981132075471699,36,0,7.9,284.40000000000003,0.1975,2.4,0.7,0.3,0.3,0.1,0.2,0.4658385093167702,8.2,17.7,0.6,0.084,-0.8,https://www.sports-reference.com/cbb/players/brian-amuneke-1.html,https://www.sports-reference.com/cbb/players/brian-amuneke-1.html
