target_conference,first_target_season,destination_school,player_name,sr_season,sr_team,sr_conf,class,position,games,games_started,mpg,minutes,minutes_share,ppg,rpg,apg,spg,bpg,topg,fg_pct,fg3_pct,ft_pct,efg_pct,ts_pct,three_rate,ft_rate,per,ts_pct_advanced,usg_pct,ows,dws,ws,ws_per_40,bpm,source_url
American,2024-25,Florida Atlantic,Leland Walker,2024-25,Florida Atlantic,AAC,JR,G,33,33,28.5,940.5,0.7125,9.2,2.7,4.5,1.1,0.1,2.4,0.373,0.296,0.767,0.429,0.4757964418700869,0.37931034482758624,0.25287356321839083,10.6,0.469,21.2,0.4,0.8,1.2,0.052,-2.3,https://www.sports-reference.com/cbb/players/leland-walker-1.html
American,2025-26,Memphis,Ashton Hardaway,2025-26,Memphis,American,JR,F,25,9,19.5,487.5,0.4875,5.6,2.5,1.4,0.8,0.7,1.2,0.398,0.343,0.737,0.488,0.5135730007336757,0.5294117647058825,0.15686274509803924,10.9,0.507,16.3,0.2,0.6,0.8,0.062,2.2,https://www.sports-reference.com/cbb/players/ashton-hardaway-1.html
American,2025-26,North Texas,Will McClendon,2025-26,North Texas,American,SR,G,4,0,24.5,98.0,0.6125,13.0,4.0,2.5,0.8,0.3,1.3,0.367,0.45,0.84,0.517,0.6327881619937694,0.6666666666666666,0.84,22.9,0.621,24.4,0.4,0.2,0.6,0.234,4.9,https://www.sports-reference.com/cbb/players/will-mcclendon-1.html
American,2024-25,Rice,Caden Powell,2024-25,Rice,AAC,JR,F,32,32,24.3,777.6,0.6075,10.4,7.2,0.8,0.5,1.0,1.1,0.565,0.0,0.65,0.565,0.6021306160259379,0.0,0.6567164179104478,22.9,0.594,20.7,2.3,1.2,3.5,0.182,2.7,https://www.sports-reference.com/cbb/players/caden-powell-1.html
American,2024-25,Rice,Jimmy Oladokun,2024-25,Rice,AAC,SO,F,31,0,9.5,294.5,0.2375,2.9,2.5,0.4,0.2,0.2,0.6,0.457,0.0,0.375,0.457,0.45712484237074397,0.0,0.5,12.6,0.445,20.5,0.1,0.4,0.5,0.063,-4.3,https://www.sports-reference.com/cbb/players/jimmy-oladokun-jr-1.html
American,2022-23,SMU,Jefferson Koulibaly,2022-23,SMU,AAC,SO,G,18,1,8.4,151.20000000000002,0.21000000000000002,1.6,0.9,0.7,0.3,0.1,0.8,0.36,0.467,0.5,0.5,0.5221932114882507,0.5714285714285715,0.2142857142857143,4.8,0.503,13.7,-0.1,0.1,0.0,0.001,-3.3,https://www.sports-reference.com/cbb/players/jefferson-koulibaly-1.html
American,2024-25,Temple,Elijah Gray,2024-25,Temple,AAC,JR,F,25,0,19.7,492.5,0.4925,9.0,3.8,0.6,0.4,0.3,1.6,0.481,0.304,0.75,0.525,0.582901554404145,0.28125,0.46875,15.4,0.574,23.8,0.8,0.4,1.2,0.095,-3.5,https://www.sports-reference.com/cbb/players/elijah-gray-1.html
American,2024-25,Temple,Jamal Mashburn,2024-25,Temple,AAC,SR,G,23,23,36.0,828.0,0.9,22.0,3.0,2.2,0.7,0.0,1.8,0.429,0.431,0.79,0.49,0.5529861250754072,0.2781065088757397,0.40236686390532544,19.8,0.545,30.5,2.3,0.3,2.6,0.125,1.0,https://www.sports-reference.com/cbb/players/jamal-mashburnjr-1.html
American,2023-24,Tulane,Kolby King,2023-24,Tulane,AAC,SO,G,31,23,27.3,846.3000000000001,0.6825,10.4,3.6,1.8,1.4,0.4,1.3,0.476,0.379,0.762,0.561,0.5985267034990792,0.44,0.36000000000000004,16.4,0.596,18.3,1.6,0.8,2.3,0.11,1.3,https://www.sports-reference.com/cbb/players/kolby-king-1.html
American,2025-26,Wichita State,Brian Amuneke,2025-26,Wichita State,American,SO,G,36,0,7.9,284.40000000000003,0.1975,2.4,0.7,0.3,0.3,0.1,0.2,0.33,0.333,0.5,0.438,0.4658385093167702,0.6666666666666667,0.16666666666666669,8.2,0.445,17.7,0.1,0.5,0.6,0.084,-0.8,https://www.sports-reference.com/cbb/players/brian-amuneke-1.html
