target_conference,first_target_season,destination_school,player_name,player_key,source_school,source_conference,source_level,source_season,class,position,height,weight,games,mpg,ppg,rpg,apg,spg,bpg,topg,fg_pct,fg3_pct,ft_pct,efg_pct,sports_reference_player_url,source_url,candidate_action
American,2024-25,Florida Atlantic,Leland Walker,leland walker,Eastern Kentucky,A-Sun,D1,2023-24,SO,G,6-1,185,31,28.4,15.4,2.7,4.1,1.1,0.2,2.5,.433,.342,.832,.483,https://www.sports-reference.com/cbb/players/leland-walker-1.html,https://www.sports-reference.com/cbb/players/leland-walker-1.html,add_transfer_row_and_d1_source_stats
American,2025-26,Memphis,Ashton Hardaway,ashton hardaway,St. Mary's (CA),WCC,D1,2024-25,SO,F,6-8,210,33,9.5,2.1,1.2,0.4,0.3,0.2,0.3,.354,.310,.917,.454,https://www.sports-reference.com/cbb/players/ashton-hardaway-1.html,https://www.sports-reference.com/cbb/players/ashton-hardaway-1.html,add_transfer_row_and_d1_source_stats
American,2025-26,North Texas,Will McClendon,will mcclendon,San Jose State,MWC,D1,2024-25,JR,G,6-2,210,24,32.1,12.0,3.3,2.8,0.8,0.0,0.9,.361,.349,.827,.452,https://www.sports-reference.com/cbb/players/will-mcclendon-1.html,https://www.sports-reference.com/cbb/players/will-mcclendon-1.html,add_transfer_row_and_d1_source_stats
American,2024-25,Rice,Caden Powell,caden powell,Wyoming,MWC,D1,2023-24,SO,F,6-10,206,32,20.5,5.4,4.6,1.3,0.4,0.8,1.4,.482,,.660,.482,https://www.sports-reference.com/cbb/players/caden-powell-1.html,https://www.sports-reference.com/cbb/players/caden-powell-1.html,add_transfer_row_and_d1_source_stats
American,2024-25,Rice,Jimmy Oladokun,jimmy oladokun,San Diego,WCC,D1,2023-24,FR,F,6-9,220,31,16.5,5.7,3.0,0.5,0.4,0.5,1.0,.491,.000,.422,.491,https://www.sports-reference.com/cbb/players/jimmy-oladokun-jr-1.html,https://www.sports-reference.com/cbb/players/jimmy-oladokun-jr-1.html,add_transfer_row_and_d1_source_stats
American,2022-23,SMU,Jefferson Koulibaly,jefferson koulibaly,Washington State,Pac-12,D1,2021-22,FR,G,6-3,180,16,8.3,2.6,0.9,0.5,0.4,0.0,0.9,.357,.300,.545,.429,https://www.sports-reference.com/cbb/players/jefferson-koulibaly-1.html,https://www.sports-reference.com/cbb/players/jefferson-koulibaly-1.html,add_transfer_row_and_d1_source_stats
American,2024-25,Temple,Elijah Gray,elijah gray,Fordham,A-10,D1,2023-24,SO,F,6-8,220,32,18.0,8.4,3.7,0.8,0.3,0.4,1.5,.420,.286,.767,.473,https://www.sports-reference.com/cbb/players/elijah-gray-1.html,https://www.sports-reference.com/cbb/players/elijah-gray-1.html,add_transfer_row_and_d1_source_stats
American,2024-25,Temple,Jamal Mashburn,jamal mashburn,New Mexico,MWC,D1,2023-24,SR,G,6-2,175,28,29.5,14.1,2.1,1.5,0.4,0.1,1.3,.360,.317,.847,.416,https://www.sports-reference.com/cbb/players/jamal-mashburnjr-1.html,https://www.sports-reference.com/cbb/players/jamal-mashburnjr-1.html,add_transfer_row_and_d1_source_stats
American,2023-24,Tulane,Kolby King,kolby king,St. John's (NY),Big East,D1,2022-23,FR,G,6-2,170,26,7.7,1.7,1.1,0.6,0.2,0.0,0.5,.308,.304,.545,.375,https://www.sports-reference.com/cbb/players/kolby-king-1.html,https://www.sports-reference.com/cbb/players/kolby-king-1.html,add_transfer_row_and_d1_source_stats
American,2025-26,Tulsa,Carter Benton,carter benton,Pacific,WCC,D1,2024-25,FR,G,6-4,205,19,10.2,2.0,0.7,0.6,0.5,0.0,0.1,.342,.333,,.500,https://www.sports-reference.com/cbb/players/carter-benton-1.html,https://www.sports-reference.com/cbb/players/carter-benton-1.html,add_transfer_row_and_d1_source_stats
American,2025-26,Wichita State,Brian Amuneke,brian amuneke,Fresno State,MWC,D1,2024-25,FR,G,6-4,180,29,21.2,7.7,2.6,0.4,0.8,0.0,0.9,.424,.407,.672,.526,https://www.sports-reference.com/cbb/players/brian-amuneke-1.html,https://www.sports-reference.com/cbb/players/brian-amuneke-1.html,add_transfer_row_and_d1_source_stats
