target_conference,first_target_season,destination_school,destination_school_slug,player_name,player_key,class,position,height,weight,sports_reference_player_url,roster_cache_path,previous_team_roster_status,profile_cache_status,profile_prior_season,profile_prior_school,profile_prior_conf,profile_prior_level_guess,profile_transfer_candidate,candidate_action,audit_status
American,2023-24,UAB,alabama-birmingham,Alejandro Vasquez,alejandro vasquez,JR,G,6-3,200,https://www.sports-reference.com/cbb/players/alejandro-vasquez-1.html,data/cache/sports_reference_aac_schools/alabama-birmingham_2024.html,no_previous_team_cache,not_cached,,,,,FALSE,,needs_prior_roster_cache
American,2023-24,UAB,alabama-birmingham,Barry Dunning,barry dunning,SO,G,6-6,195,https://www.sports-reference.com/cbb/players/barry-dunning-jr-1.html,data/cache/sports_reference_aac_schools/alabama-birmingham_2024.html,no_previous_team_cache,not_cached,,,,,FALSE,,needs_prior_roster_cache
American,2023-24,UAB,alabama-birmingham,Christian Coleman,christian coleman,JR,F,6-9,200,https://www.sports-reference.com/cbb/players/christian-coleman-1.html,data/cache/sports_reference_aac_schools/alabama-birmingham_2024.html,no_previous_team_cache,not_cached,,,,,FALSE,,needs_prior_roster_cache
American,2023-24,UAB,alabama-birmingham,Daniel Ortiz,daniel ortiz,JR,G,6-0,180,https://www.sports-reference.com/cbb/players/daniel-ortiz-1.html,data/cache/sports_reference_aac_schools/alabama-birmingham_2024.html,no_previous_team_cache,not_cached,,,,,FALSE,,needs_prior_roster_cache
American,2023-24,UAB,alabama-birmingham,Efrem Johnson,efrem johnson,SO,G,6-4,180,https://www.sports-reference.com/cbb/players/efrem-johnson-1.html,data/cache/sports_reference_aac_schools/alabama-birmingham_2024.html,no_previous_team_cache,not_cached,,,,,FALSE,,needs_prior_roster_cache
American,2023-24,UAB,alabama-birmingham,Eric Gaines,eric gaines,JR,G,6-2,155,https://www.sports-reference.com/cbb/players/eric-gaines-4.html,data/cache/sports_reference_aac_schools/alabama-birmingham_2024.html,no_previous_team_cache,not_cached,,,,,FALSE,,needs_prior_roster_cache
American,2023-24,UAB,alabama-birmingham,James White,james white,JR,G,6-5,190,https://www.sports-reference.com/cbb/players/james-white-7.html,data/cache/sports_reference_aac_schools/alabama-birmingham_2024.html,no_previous_team_cache,not_cached,,,,,FALSE,,needs_prior_roster_cache
American,2023-24,UAB,alabama-birmingham,Javian Davis,javian davis,SR,F,6-9,242,https://www.sports-reference.com/cbb/players/javian-davis-fleming-1.html,data/cache/sports_reference_aac_schools/alabama-birmingham_2024.html,no_previous_team_cache,not_cached,,,,,FALSE,,needs_prior_roster_cache
American,2023-24,UAB,alabama-birmingham,Jon Coleman,jon coleman,SR,G,5-10,165,https://www.sports-reference.com/cbb/players/jon-coleman-1.html,data/cache/sports_reference_aac_schools/alabama-birmingham_2024.html,no_previous_team_cache,not_cached,,,,,FALSE,,needs_prior_roster_cache
American,2023-24,UAB,alabama-birmingham,KJ Satterfield,kj satterfield,FR,G,6-4,180,https://www.sports-reference.com/cbb/players/kj-satterfield-1.html,data/cache/sports_reference_aac_schools/alabama-birmingham_2024.html,no_previous_team_cache,not_cached,,,,,FALSE,,needs_prior_roster_cache
