player_name,player_slug,destination_school,destination_school_slug,first_big_west_season,big_west_porpag,barttorvik_url
E.J. Anosike,ej-anosike,Cal State Fullerton,cal-state-fullerton,2021-22,,
Hamad Mousa,hamad-mousa,Cal Poly,cal-poly,2025-26,,
"Larry Hughes, Jr.",larry-hughes-jr,Cal State Northridge,cal-state-northridge,2025-26,,
Stephan Swenson,stephan-swenson,UC Santa Barbara,uc-santa-barbara,2024-25,,
Dominic Brewton,dominic-brewton,Cal State Fullerton,cal-state-fullerton,2023-24,,
Aniwaniwa Tait-Jones,aniwaniwa-tait-jones,UC San Diego,uc-san-diego,2023-24,,
Joel Murray,joel-murray,Long Beach State,long-beach-state,2021-22,,
"Marcus Adams, Jr.",marcus-adams-jr,Cal State Northridge,cal-state-northridge,2024-25,,
Max Jones,max-jones,Cal State Fullerton,cal-state-fullerton,2022-23,,
Tom Beattie,tom-beattie,UC San Diego,uc-san-diego,2025-26,,
Hayden Gray,hayden-gray,UC San Diego,uc-san-diego,2023-24,,
Devin Askew,devin-askew,Long Beach State,long-beach-state,2024-25,,
Justin McKoy,justin-mckoy,Hawaii,hawaii,2023-24,,
Owen Koonce,owen-koonce,Cal Poly,cal-poly,2024-25,,
Joshua Ward,joshua-ward,Cal State Fullerton,cal-state-fullerton,2025-26,,
Aidan Mahaney,aidan-mahaney,UC Santa Barbara,uc-santa-barbara,2025-26,,
Andrew Henderson,andrew-henderson,UC Riverside,uc-riverside,2025-26,,
Isaac Jessup,isaac-jessup,Cal Poly,cal-poly,2024-25,,
Miro Little,miro-little,UC Santa Barbara,uc-santa-barbara,2025-26,,
Chris Howell,chris-howell,UC San Diego,uc-san-diego,2024-25,,
Tyler McGhie,tyler-mcghie,UC San Diego,uc-san-diego,2023-24,,
Leo Beath,leo-beath,UC San Diego,uc-san-diego,2025-26,,
Scotty Washington,scotty-washington,Cal State Northridge,cal-state-northridge,2024-25,,
Isaac Johnson,isaac-johnson,Hawaii,hawaii,2025-26,,
Josiah Davis,josiah-davis,Cal State Northridge,cal-state-northridge,2025-26,,
Derin Saran,derin-saran,UC Irvine,uc-irvine,2025-26,,
Hunter Erickson,hunter-erickson,Hawaii,hawaii,2025-26,,
Gytis Nemeikša,gytis-nemeika,Hawaii,hawaii,2024-25,,
Kenny Pohto,kenny-pohto,UC Santa Barbara,uc-santa-barbara,2024-25,,
