player_name,player_slug,destination_school,destination_school_slug,first_big_west_season,big_west_porpag,barttorvik_url,barttorvik_player_name,barttorvik_team,match_status,source_file
E.J. Anosike,ej-anosike,Cal State Fullerton,cal-state-fullerton,2021-22,4.21684,https://barttorvik.com/playerstat.php?year=2022&p=52294,E.J. Anosike,Cal St. Fullerton,matched_player_and_team,Bart data/trank_data_2022.csv
Hamad Mousa,hamad-mousa,Cal Poly,cal-poly,2025-26,3.60809,https://barttorvik.com/playerstat.php?year=2026&p=126991,Hamad Mousa,Cal Poly,matched_player_and_team,Bart data/trank_data_2026.csv
"Larry Hughes, Jr.",larry-hughes-jr,Cal State Northridge,cal-state-northridge,2025-26,2.64754,https://barttorvik.com/playerstat.php?year=2026&p=77551,Larry Hughes II,Cal St. Northridge,matched_player_and_team,Bart data/trank_data_2026.csv
Stephan Swenson,stephan-swenson,UC Santa Barbara,uc-santa-barbara,2024-25,2.96127,https://barttorvik.com/playerstat.php?year=2025&p=74051,Stephan Swenson,UC Santa Barbara,matched_player_and_team,Bart data/trank_data_2025.csv
Dominic Brewton,dominic-brewton,Cal State Fullerton,cal-state-fullerton,2023-24,2.64603,https://barttorvik.com/playerstat.php?year=2024&p=71761,DJ Brewton,Cal St. Fullerton,matched_player_and_team,Bart data/trank_data_2024.csv
Aniwaniwa Tait-Jones,aniwaniwa-tait-jones,UC San Diego,uc-san-diego,2023-24,3.26841,https://barttorvik.com/playerstat.php?year=2024&p=79100,Aniwaniwa Tait-Jones,UC San Diego,matched_player_and_team,Bart data/trank_data_2024.csv
Joel Murray,joel-murray,Long Beach State,long-beach-state,2021-22,3.10224,https://barttorvik.com/playerstat.php?year=2022&p=75139,Joel Murray,Long Beach St.,matched_player_and_team,Bart data/trank_data_2022.csv
"Marcus Adams, Jr.",marcus-adams-jr,Cal State Northridge,cal-state-northridge,2024-25,3.00037,https://barttorvik.com/playerstat.php?year=2025&p=79160,Marcus Adams Jr.,Cal St. Northridge,matched_player_and_team,Bart data/trank_data_2025.csv
Max Jones,max-jones,Cal State Fullerton,cal-state-fullerton,2022-23,2.63081,https://barttorvik.com/playerstat.php?year=2023&p=77272,Max Jones,Cal St. Fullerton,matched_player_and_team,Bart data/trank_data_2023.csv
Tom Beattie,tom-beattie,UC San Diego,uc-san-diego,2025-26,1.69523,https://barttorvik.com/playerstat.php?year=2026&p=78345,Tom Beattie,UC San Diego,matched_player_and_team,Bart data/trank_data_2026.csv
Hayden Gray,hayden-gray,UC San Diego,uc-san-diego,2023-24,2.11879,https://barttorvik.com/playerstat.php?year=2024&p=77816,Hayden Gray,UC San Diego,matched_player_and_team,Bart data/trank_data_2024.csv
Devin Askew,devin-askew,Long Beach State,long-beach-state,2024-25,3.03766,https://barttorvik.com/playerstat.php?year=2025&p=72678,Devin Askew,Long Beach St.,matched_player_and_team,Bart data/trank_data_2025.csv
Justin McKoy,justin-mckoy,Hawaii,hawaii,2023-24,2.39965,https://barttorvik.com/playerstat.php?year=2024&p=70875,Justin McKoy,Hawaii,matched_player_and_team,Bart data/trank_data_2024.csv
Owen Koonce,owen-koonce,Cal Poly,cal-poly,2024-25,3.24076,https://barttorvik.com/playerstat.php?year=2025&p=72338,Owen Koonce,Cal Poly,matched_player_and_team,Bart data/trank_data_2025.csv
Joshua Ward,joshua-ward,Cal State Fullerton,cal-state-fullerton,2025-26,2.1,https://barttorvik.com/playerstat.php?year=2026&p=Josh%20Ward&t=Cal%20St.%20Fullerton,Josh Ward,Cal St. Fullerton,manual_barttorvik_prpg,user_provided_barttorvik_row
Aidan Mahaney,aidan-mahaney,UC Santa Barbara,uc-santa-barbara,2025-26,3.03163,https://barttorvik.com/playerstat.php?year=2026&p=77393,Aidan Mahaney,UC Santa Barbara,matched_player_and_team,Bart data/trank_data_2026.csv
Andrew Henderson,andrew-henderson,UC Riverside,uc-riverside,2025-26,2.07723,https://barttorvik.com/playerstat.php?year=2026&p=134828,Andrew Henderson,UC Riverside,matched_player_and_team,Bart data/trank_data_2026.csv
Isaac Jessup,isaac-jessup,Cal Poly,cal-poly,2024-25,2.94292,https://barttorvik.com/playerstat.php?year=2025&p=72335,Isaac Jessup,Cal Poly,matched_player_and_team,Bart data/trank_data_2025.csv
Miro Little,miro-little,UC Santa Barbara,uc-santa-barbara,2025-26,3.06759,https://barttorvik.com/playerstat.php?year=2026&p=78686,Miro Little,UC Santa Barbara,matched_player_and_team,Bart data/trank_data_2026.csv
Chris Howell,chris-howell,UC San Diego,uc-san-diego,2024-25,1.49028,https://barttorvik.com/playerstat.php?year=2025&p=74618,Chris Howell,UC San Diego,matched_player_and_team,Bart data/trank_data_2025.csv
Tyler McGhie,tyler-mcghie,UC San Diego,uc-san-diego,2023-24,3.37328,https://barttorvik.com/playerstat.php?year=2024&p=73438,Tyler McGhie,UC San Diego,matched_player_and_team,Bart data/trank_data_2024.csv
Leo Beath,leo-beath,UC San Diego,uc-san-diego,2025-26,0.859151,https://barttorvik.com/playerstat.php?year=2026&p=76538,Leo Beath,UC San Diego,matched_player_and_team,Bart data/trank_data_2026.csv
Scotty Washington,scotty-washington,Cal State Northridge,cal-state-northridge,2024-25,2.17644,https://barttorvik.com/playerstat.php?year=2025&p=74540,Scotty Washington,Cal St. Northridge,matched_player_and_team,Bart data/trank_data_2025.csv
Isaac Johnson,isaac-johnson,Hawaii,hawaii,2025-26,2.74427,https://barttorvik.com/playerstat.php?year=2026&p=75331,Isaac Johnson,Hawaii,matched_player_and_team,Bart data/trank_data_2026.csv
Josiah Davis,josiah-davis,Cal State Northridge,cal-state-northridge,2025-26,1.90806,https://barttorvik.com/playerstat.php?year=2026&p=76069,Josiah Davis,Cal St. Northridge,matched_player_and_team,Bart data/trank_data_2026.csv
Derin Saran,derin-saran,UC Irvine,uc-irvine,2025-26,0.44096,https://barttorvik.com/playerstat.php?year=2026&p=79165,Derin Saran,UC Irvine,matched_player_and_team,Bart data/trank_data_2026.csv
Hunter Erickson,hunter-erickson,Hawaii,hawaii,2025-26,0.356699,https://barttorvik.com/playerstat.php?year=2026&p=73285,Hunter Erickson,Hawaii,matched_player_and_team,Bart data/trank_data_2026.csv
Gytis Nemeikša,gytis-nemeika,Hawaii,hawaii,2024-25,2.75213,https://barttorvik.com/playerstat.php?year=2025&p=79138,Gytis Nemeiksa,Hawaii,matched_player_and_team,Bart data/trank_data_2025.csv
Kenny Pohto,kenny-pohto,UC Santa Barbara,uc-santa-barbara,2024-25,2.58405,https://barttorvik.com/playerstat.php?year=2025&p=74671,Kenny Pohto,UC Santa Barbara,matched_player_and_team,Bart data/trank_data_2025.csv
Jefferson De La Cruz Monegro,jefferson-monegro,Cal State Fullerton,cal-state-fullerton,2025-26,1.98132,https://barttorvik.com/playerstat.php?year=2026&p=76180,Jefferson De La Cruz Monegro,Cal St. Fullerton,matched_player_and_team,Bart data/trank_data_2026.csv
Tanner Christensen,tanner-christensen,Hawaii,hawaii,2024-25,2.52487,https://barttorvik.com/playerstat.php?year=2025&p=73090,Tanner Christensen,Hawaii,matched_player_and_team,Bart data/trank_data_2025.csv
Yohan Traore,yohan-traore,UC Santa Barbara,uc-santa-barbara,2023-24,2.70829,https://barttorvik.com/playerstat.php?year=2024&p=77014,Yohan Traore,UC Santa Barbara,matched_player_and_team,Bart data/trank_data_2024.csv
T.J. Wainwright,tj-wainwright,Long Beach State,long-beach-state,2024-25,2.66137,https://barttorvik.com/playerstat.php?year=2025&p=76409,TJ Wainwright,Long Beach St.,matched_player_and_team,Bart data/trank_data_2025.csv
Marcus Wilson,marcus-wilson,UC Davis,uc-davis,2025-26,1.76428,https://barttorvik.com/playerstat.php?year=2026&p=126910,Marcus Wilson,UC Davis,matched_player_and_team,Bart data/trank_data_2026.csv
DeSean Allen-Eikens,desean-allen-eikens,Cal State Northridge,cal-state-northridge,2022-23,1.59208,https://barttorvik.com/playerstat.php?year=2023&p=70463,De'Sean Allen-Eikens,Cal St. Northridge,matched_player_and_team,Bart data/trank_data_2023.csv
Nordin Kapić,nordin-kapi,UC San Diego,uc-san-diego,2024-25,1.60798,https://barttorvik.com/playerstat.php?year=2025&p=127042,Nordin Kapic,UC San Diego,matched_player_and_team,Bart data/trank_data_2025.csv
Myles Che,myles-che,UC Irvine,uc-irvine,2024-25,1.46247,https://barttorvik.com/playerstat.php?year=2025&p=78560,Myles Che,UC Irvine,matched_player_and_team,Bart data/trank_data_2025.csv
Kamaka Hepa,kamaka-hepa,Hawaii,hawaii,2021-22,1.41087,https://barttorvik.com/playerstat.php?year=2022&p=66070,Kamaka Hepa,Hawaii,matched_player_and_team,Bart data/trank_data_2022.csv
Trevon Taylor,trevon-taylor,Cal Poly,cal-poly,2021-22,1.454,https://barttorvik.com/playerstat.php?year=2022&p=65949,Trevon Taylor,Cal Poly,matched_player_and_team,Bart data/trank_data_2022.csv
Andre Kelly,andre-kelly,UC Santa Barbara,uc-santa-barbara,2022-23,1.67484,https://barttorvik.com/playerstat.php?year=2023&p=65654,Andre Kelly,UC Santa Barbara,matched_player_and_team,Bart data/trank_data_2023.csv
Ty Johnson,ty-johnson2,UC Davis,uc-davis,2022-23,1.50725,https://barttorvik.com/playerstat.php?year=2023&p=74389,Ty Johnson,UC Davis,matched_player_and_team,Bart data/trank_data_2023.csv
Bol Dengdit,bol-dengdit,UC San Diego,uc-san-diego,2025-26,1.4468,https://barttorvik.com/playerstat.php?year=2026&p=76150,Bol Dengdit,UC San Diego,matched_player_and_team,Bart data/trank_data_2026.csv
Brayden Fagbemi,brayden-fagbemi,UC Davis,uc-davis,2025-26,0.772363,https://barttorvik.com/playerstat.php?year=2026&p=126879,Brayden Fagbemi,UC Davis,matched_player_and_team,Bart data/trank_data_2026.csv
Kyle Owens,kyle-owens,UC Riverside,uc-riverside,2022-23,2.82274,https://barttorvik.com/playerstat.php?year=2023&p=71055,Kyle Owens,UC Riverside,matched_player_and_team,Bart data/trank_data_2023.csv
Landon Seaman,landon-seaman,Cal State Fullerton,cal-state-fullerton,2025-26,2.0026,https://barttorvik.com/playerstat.php?year=2026&p=135262,Landon Seaman,Cal St. Fullerton,matched_player_and_team,Bart data/trank_data_2026.csv
Rob Diaz III,robert-diaz,Long Beach State,long-beach-state,2025-26,1.30967,https://barttorvik.com/playerstat.php?year=2026&p=134376,Rob Diaz,Long Beach St.,matched_player_and_team,Bart data/trank_data_2026.csv
Gianni Hunt,gianni-hunt,Cal State Northridge,cal-state-northridge,2023-24,0.305887,https://barttorvik.com/playerstat.php?year=2024&p=71463,Gianni Hunt,Cal St. Northridge,matched_player_and_team,Bart data/trank_data_2024.csv
