status,player_name,source_school_dataset,source_season_dataset,source_profile_team_same_season,source_match,destination_school_dataset,first_big_west_season_dataset,destination_profile_team_same_season,destination_match,profile_url,profile_cache_path,source_url,outcome_url,notes
ok,E.J. Anosike,Tennessee,2020-21,Tennessee,TRUE,Cal State Fullerton,2021-22,Cal St Fullerton,TRUE,https://www.sports-reference.com/cbb/players/ej-anosike-1.html,data/cache/sports_reference_d1_profile_audit/ej-anosike-1.html,https://www.sports-reference.com/cbb/schools/tennessee/men/2021.html,https://www.sports-reference.com/cbb/schools/cal-state-fullerton/men/2022.html,
ok,Hamad Mousa,Dayton,2024-25,Dayton,TRUE,Cal Poly,2025-26,Cal Poly,TRUE,https://www.sports-reference.com/cbb/players/hamad-mousa-1.html,data/cache/sports_reference_d1_profile_audit/hamad-mousa-1.html,https://www.sports-reference.com/cbb/schools/dayton/men/2025.html,https://www.sports-reference.com/cbb/schools/cal-poly/men/2026.html,
ok,Dominic Brewton,Alcorn State,2022-23,Alcorn St.,TRUE,Cal State Fullerton,2023-24,Cal St Fullerton,TRUE,https://www.sports-reference.com/cbb/players/dominic-brewton-1.html,data/cache/sports_reference_d1_profile_audit/dominic-brewton-1.html,https://www.sports-reference.com/cbb/schools/alcorn-state/men/2023.html,https://www.sports-reference.com/cbb/schools/cal-state-fullerton/men/2024.html,
ok,"Larry Hughes, Jr.",Saint Louis,2024-25,Saint Louis,TRUE,Cal State Northridge,2025-26,Cal St Northridge,TRUE,https://www.sports-reference.com/cbb/players/larry-hughes-jr-1.html,data/cache/sports_reference_d1_profile_audit/larry-hughes-jr-1.html,https://www.sports-reference.com/cbb/schools/saint-louis/men/2025.html,https://www.sports-reference.com/cbb/schools/cal-state-northridge/men/2026.html,
ok,Stephan Swenson,Stetson,2023-24,Stetson,TRUE,UC Santa Barbara,2024-25,UCSB,TRUE,https://www.sports-reference.com/cbb/players/stephan-swenson-1.html,data/cache/sports_reference_d1_profile_audit/stephan-swenson-1.html,https://www.sports-reference.com/cbb/schools/stetson/men/2024.html,https://www.sports-reference.com/cbb/schools/california-santa-barbara/men/2025.html,
ok,"Marcus Adams, Jr.",Brigham Young,2023-24,BYU,TRUE,Cal State Northridge,2024-25,Cal St Northridge,TRUE,https://www.sports-reference.com/cbb/players/marcus-adams-jr-1.html,data/cache/sports_reference_d1_profile_audit/marcus-adams-jr-1.html,https://www.sports-reference.com/cbb/schools/brigham-young/men/2024.html,https://www.sports-reference.com/cbb/schools/cal-state-northridge/men/2025.html,
ok,Devin Askew,California,2023-24,Cal,TRUE,Long Beach State,2024-25,Long Beach State,TRUE,https://www.sports-reference.com/cbb/players/devin-askew-1.html,data/cache/sports_reference_d1_profile_audit/devin-askew-1.html,https://www.sports-reference.com/cbb/schools/california/men/2024.html,https://www.sports-reference.com/cbb/schools/long-beach-state/men/2025.html,
ok,Petar Majstorović,Syracuse,2024-25,Syracuse,TRUE,Long Beach State,2025-26,Long Beach State,TRUE,https://www.sports-reference.com/cbb/players/petar-majstorovic-1.html,data/cache/sports_reference_d1_profile_audit/petar-majstorovic-1.html,https://www.sports-reference.com/cbb/schools/syracuse/men/2025.html,https://www.sports-reference.com/cbb/schools/long-beach-state/men/2026.html,
ok,Tom Beattie,Hawaii,2024-25,Hawaii,TRUE,UC San Diego,2025-26,UC San Diego,TRUE,https://www.sports-reference.com/cbb/players/tom-beattie-1.html,data/cache/sports_reference_roster_diff_profiles/tom-beattie-1.html,https://www.sports-reference.com/cbb/schools/hawaii/men/2025.html,https://www.sports-reference.com/cbb/schools/california-san-diego/men/2026.html,
ok,Justin McKoy,North Carolina,2022-23,UNC,TRUE,Hawaii,2023-24,Hawaii,TRUE,https://www.sports-reference.com/cbb/players/justin-mckoy-1.html,data/cache/sports_reference_d1_profile_audit/justin-mckoy-1.html,https://www.sports-reference.com/cbb/schools/north-carolina/men/2023.html,https://www.sports-reference.com/cbb/schools/hawaii/men/2024.html,
