status,player_name,source_school_dataset,source_season_dataset,source_profile_team_same_season,source_match,destination_school_dataset,first_big_west_season_dataset,destination_profile_team_same_season,destination_match,profile_url,profile_cache_path,source_url,outcome_url,notes
review,Hamad Mousa,Dayton,2024-25,,,Cal Poly,2025-26,,,https://www.sports-reference.com/cbb/players/hamad-mousa-1.html,,https://www.sports-reference.com/cbb/schools/dayton/men/2025.html,https://www.sports-reference.com/cbb/schools/cal-poly/men/2026.html,player_profile_not_cached
review,"Larry Hughes, Jr.",Saint Louis,2024-25,,,Cal State Northridge,2025-26,,,https://www.sports-reference.com/cbb/players/larry-hughes-jr-1.html,,https://www.sports-reference.com/cbb/schools/saint-louis/men/2025.html,https://www.sports-reference.com/cbb/schools/cal-state-northridge/men/2026.html,player_profile_not_cached
review,Stephan Swenson,Stetson,2023-24,,,UC Santa Barbara,2024-25,,,https://www.sports-reference.com/cbb/players/stephan-swenson-1.html,,https://www.sports-reference.com/cbb/schools/stetson/men/2024.html,https://www.sports-reference.com/cbb/schools/california-santa-barbara/men/2025.html,player_profile_not_cached
review,"Marcus Adams, Jr.",Brigham Young,2023-24,,,Cal State Northridge,2024-25,,,https://www.sports-reference.com/cbb/players/marcus-adams-jr-1.html,,https://www.sports-reference.com/cbb/schools/brigham-young/men/2024.html,https://www.sports-reference.com/cbb/schools/cal-state-northridge/men/2025.html,player_profile_not_cached
review,Petar Majstorović,Syracuse,2024-25,,,Long Beach State,2025-26,,,https://www.sports-reference.com/cbb/players/petar-majstorovic-1.html,,https://www.sports-reference.com/cbb/schools/syracuse/men/2025.html,https://www.sports-reference.com/cbb/schools/long-beach-state/men/2026.html,player_profile_not_cached
review,Justin McKoy,North Carolina,2022-23,,,Hawaii,2023-24,,,https://www.sports-reference.com/cbb/players/justin-mckoy-1.html,,https://www.sports-reference.com/cbb/schools/north-carolina/men/2023.html,https://www.sports-reference.com/cbb/schools/hawaii/men/2024.html,player_profile_not_cached
review,Lassina Traoré,Saint Louis,2021-22,,,Long Beach State,2022-23,,,https://www.sports-reference.com/cbb/players/lassina-traore-1.html,,https://www.sports-reference.com/cbb/schools/saint-louis/men/2022.html,https://www.sports-reference.com/cbb/schools/long-beach-state/men/2023.html,player_profile_not_cached
review,Miro Little,Utah,2024-25,,,UC Santa Barbara,2025-26,,,https://www.sports-reference.com/cbb/players/miro-little-2.html,,https://www.sports-reference.com/cbb/schools/utah/men/2025.html,https://www.sports-reference.com/cbb/schools/california-santa-barbara/men/2026.html,player_profile_not_cached
review,Chris Howell,Saint Mary's,2023-24,,,UC San Diego,2024-25,,,,,https://www.sports-reference.com/cbb/schools/saint-marys-ca/men/2024.html,https://www.sports-reference.com/cbb/schools/california-san-diego/men/2025.html,no_player_profile_link_found_in_cached_school_pages
review,"Marqui Worthy, Jr.",Massachusetts,2024-25,,,UC Riverside,2025-26,,,,,https://www.sports-reference.com/cbb/schools/massachusetts/men/2025.html,https://www.sports-reference.com/cbb/schools/california-riverside/men/2026.html,no_player_profile_link_found_in_cached_school_pages
