status,player_name,source_school_dataset,source_season_dataset,destination_school,first_big_west_season,player_in_page,school_in_page,season_in_url_or_page,table_row_found,source_games_dataset,parsed_gp,gp_match,source_mpg_dataset,parsed_mpg,mpg_match,source_ppg_dataset,parsed_ppg,ppg_match,source_url,cache_path,notes
ok,Aniwaniwa Tait-Jones,Hawaii–Hilo,2022-23,UC San Diego,2023-24,False,False,True,True,23,23.0,TRUE,32.73913043478261,32.7,TRUE,17.608695652173914,17.6,TRUE,https://hiloathletics.com/sports/mens-basketball/stats/2022-23,data/cache/d2_source_page_audit/https_3A_2F_2Fhiloathletics.com_2Fsports_2Fmens-basketball_2Fstats_2F2022-23.html,
ok,Joel Murray,West Texas A&M,2020-21,Long Beach State,2021-22,True,True,True,True,22,22.0,TRUE,35.45454545454545,35.5,TRUE,23.318181818181817,23.3,TRUE,https://gobuffsgo.com/sports/mens-basketball/stats/2020-21,data/cache/d2_source_page_audit/https_3A_2F_2Fgobuffsgo.com_2Fsports_2Fmens-basketball_2Fstats_2F2020-21.html,
ok,Max Jones,Tampa,2021-22,Cal State Fullerton,2022-23,True,True,True,False,21,,,33.04761904761905,,,21.904761904761905,,,https://www.tampaspartans.com/sports/mbkb/2021-22/players/maxjonesdgr9?view=career,data/cache/d2_source_page_audit/https_3A_2F_2Fwww.tampaspartans.com_2Fsports_2Fmbkb_2F2021-22_2Fplayers_2Fmaxjonesdgr9_3Fview_3Dcareer.html,
ok,Owen Koonce,Colorado Mesa,2023-24,Cal Poly,2024-25,False,True,True,True,34,34.0,TRUE,24.558823529411764,24.6,TRUE,13.235294117647058,13.2,TRUE,https://cmumavericks.com/sports/mens-basketball/stats/2023-24,data/cache/d2_source_page_audit/https_3A_2F_2Fcmumavericks.com_2Fsports_2Fmens-basketball_2Fstats_2F2023-24.html,
ok,Hayden Gray,Azusa Pacific,2022-23,UC San Diego,2023-24,False,True,True,True,30,30.0,TRUE,26.833333333333332,26.8,TRUE,10.0,10.0,TRUE,https://athletics.apu.edu/sports/mens-basketball/stats/2022-23,data/cache/d2_source_page_audit/https_3A_2F_2Fathletics.apu.edu_2Fsports_2Fmens-basketball_2Fstats_2F2022-23.html,
ok,Joshua Ward,Palm Beach Atlantic,2024-25,Cal State Fullerton,2025-26,False,True,True,True,29,29.0,TRUE,32.13793103448276,32.1,TRUE,14.96551724137931,15.0,TRUE,https://pbasailfish.com/sports/mens-basketball/stats/2024-25,data/cache/d2_source_page_audit/https_3A_2F_2Fpbasailfish.com_2Fsports_2Fmens-basketball_2Fstats_2F2024-25.html,
ok,Andrew Henderson,Cal State San Bernardino,2024-25,UC Riverside,2025-26,False,False,True,True,35,35.0,TRUE,33.8,33.8,TRUE,17.257142857142856,17.3,TRUE,https://csusbathletics.com/sports/mens-basketball/stats/2024-25,data/cache/d2_source_page_audit/https_3A_2F_2Fcsusbathletics.com_2Fsports_2Fmens-basketball_2Fstats_2F2024-25.html,
ok,Isaac Jessup,Colorado Mesa,2023-24,Cal Poly,2024-25,False,True,True,True,34,34.0,TRUE,24.941176470588236,24.9,TRUE,10.147058823529411,10.1,TRUE,https://cmumavericks.com/sports/mens-basketball/stats/2023-24,data/cache/d2_source_page_audit/https_3A_2F_2Fcmumavericks.com_2Fsports_2Fmens-basketball_2Fstats_2F2023-24.html,
ok,Tyler McGhie,Southern Nazarene,2022-23,UC San Diego,2023-24,False,True,True,True,32,32.0,TRUE,31.90625,31.9,TRUE,16.59375,16.6,TRUE,https://snuathletics.com/sports/mens-basketball/stats/2022-23,data/cache/d2_source_page_audit/https_3A_2F_2Fsnuathletics.com_2Fsports_2Fmens-basketball_2Fstats_2F2022-23.html,
ok,Leo Beath,Lynn,2024-25,UC San Diego,2025-26,False,True,True,True,30,30.0,TRUE,30.333333333333332,30.3,TRUE,17.833333333333332,17.8,TRUE,https://lynnfightingknights.com/sports/mens-basketball/stats/2024-25,data/cache/d2_source_page_audit/https_3A_2F_2Flynnfightingknights.com_2Fsports_2Fmens-basketball_2Fstats_2F2024-25.html,
