player_name,player_slug,source_school,source_level,destination_school,destination_school_slug,first_big_west_season,has_source_stats,has_first_year_outcome,first_playable_big_west_season,outcome_lag_years,games,games_started,mpg,ppg,rpg,apg,spg,bpg,topg,fg_pct,fg3_pct,ft_pct,efg_pct,sports_reference_school_cache,recommended_action
Juan Munoz,juan-munoz,Longwood,D1,Hawaii,hawaii,2021-22,TRUE,FALSE,2023-24,2,34,16,19.4,9.1,1.6,1.7,0.7,0.1,1.6,.429,.409,.846,.573,data/cache/sports_reference_big_west_schools/hawaii_2024.html,can_use_first_playable_outcome_after_lag_review
Devin Tillis,devin-tillis,UNLV,D1,UC Irvine,uc-irvine,2021-22,TRUE,FALSE,2022-23,1,33,32,22.4,7.3,6.2,1.4,0.8,0.1,1.0,.508,.412,.711,.585,data/cache/sports_reference_big_west_schools/uc-irvine_2023.html,can_use_first_playable_outcome_after_lag_review
Logan McLaughlin,logan-mclaughlin,Abilene Christian,D1,Cal Poly,cal-poly,2022-23,TRUE,FALSE,2024-25,2,9,0,4.7,1.7,0.7,0.3,0.1,0.0,0.6,.286,.231,1.000,.393,data/cache/sports_reference_big_west_schools/cal-poly_2025.html,can_use_first_playable_outcome_after_lag_review
Pablo Tamba,pablo-tamba,Idaho State,D1,UC Davis,uc-davis,2022-23,TRUE,FALSE,2023-24,1,31,4,13.8,3.3,2.9,0.8,0.5,0.4,0.5,.486,.273,.540,.529,data/cache/sports_reference_big_west_schools/uc-davis_2024.html,can_use_first_playable_outcome_after_lag_review
Austin Johnson,austin-johnson2,North Carolina A&T,D1,Long Beach State,long-beach-state,2023-24,TRUE,FALSE,2024-25,1,32,31,27.4,7.6,5.5,1.0,0.4,0.8,1.9,.508,.000,.779,.508,data/cache/sports_reference_big_west_schools/long-beach-state_2025.html,can_use_first_playable_outcome_after_lag_review
Marsalis Roberson,marsalis-roberson,California,D1,UC Davis,uc-davis,2023-24,TRUE,FALSE,2024-25,1,1,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,data/cache/sports_reference_big_west_schools/uc-davis_2025.html,can_use_first_playable_outcome_after_lag_review
Tom Mark,tom-mark,Tallahassee Community College,JUCO,Cal State Bakersfield,cal-state-bakersfield,2022-23,FALSE,FALSE,2023-24,1,31,20,21.5,5.4,3.5,0.8,1.0,1.1,1.0,.522,.167,.595,.529,data/cache/sports_reference_big_west_schools/cal-state-bakersfield_2024.html,later_outcome_found_but_source_stats_missing
Keith Richard,keith-richard,South Plains College,JUCO,Cal State Fullerton,cal-state-fullerton,2022-23,FALSE,FALSE,2023-24,1,6,0,10.2,3.0,0.5,0.7,0.2,0.2,1.0,.278,.222,.750,.333,data/cache/sports_reference_big_west_schools/cal-state-fullerton_2024.html,later_outcome_found_but_source_stats_missing
Isaiah Moses,isaiah-moses,Alaska Anchorage,D2,UC Riverside,uc-riverside,2022-23,FALSE,FALSE,2023-24,1,33,30,29.9,12.2,2.9,3.8,0.9,0.0,2.2,.399,.329,.846,.475,data/cache/sports_reference_big_west_schools/uc-riverside_2024.html,later_outcome_found_but_source_stats_missing
Mezziah Oakman,mezziah-oakman,City College of San Francisco,JUCO,UC Santa Barbara,uc-santa-barbara,2022-23,FALSE,FALSE,2023-24,1,1,0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,,data/cache/sports_reference_big_west_schools/uc-santa-barbara_2024.html,later_outcome_found_but_source_stats_missing
Cameron Clark,cam-clark,College of the Sequoias,JUCO,Cal State Bakersfield,cal-state-bakersfield,2023-24,FALSE,FALSE,2024-25,1,23,0,6.5,0.9,1.3,0.2,0.1,0.3,0.3,.421,,.667,.421,data/cache/sports_reference_big_west_schools/cal-state-bakersfield_2025.html,later_outcome_found_but_source_stats_missing
LoLo Rudolph,lolo-rudolph,Hutchinson Community College,JUCO,Cal State Fullerton,cal-state-fullerton,2023-24,FALSE,FALSE,2024-25,1,31,16,21.8,2.1,2.3,1.3,0.4,0.1,1.3,.297,.185,.622,.336,data/cache/sports_reference_big_west_schools/cal-state-fullerton_2025.html,later_outcome_found_but_source_stats_missing
Jalen Barbee,jalen-barbee,Cochise College,JUCO,Cal State Northridge,cal-state-northridge,2023-24,FALSE,FALSE,2024-25,1,29,0,4.2,1.4,1.0,0.1,0.2,0.0,0.1,.500,.357,.750,.596,data/cache/sports_reference_big_west_schools/cal-state-northridge_2025.html,later_outcome_found_but_source_stats_missing
Gavin Davis,gavin-davis,West Los Angeles College,JUCO,UC Riverside,uc-riverside,2023-24,FALSE,FALSE,2024-25,1,32,0,5.5,1.1,0.3,0.2,0.1,0.1,0.3,.378,.261,.667,.459,data/cache/sports_reference_big_west_schools/uc-riverside_2025.html,later_outcome_found_but_source_stats_missing
Dylan Purnell,dylan-purnell,South Plains College,JUCO,Cal State Bakersfield,cal-state-bakersfield,2024-25,FALSE,FALSE,2025-26,1,16,0,8.6,2.6,1.9,0.3,0.3,0.0,0.6,.381,.100,.429,.393,data/cache/sports_reference_big_west_schools/cal-state-bakersfield_2026.html,later_outcome_found_but_source_stats_missing
Zachary Visentin,zachary-visentin,Snow College,JUCO,Cal State Fullerton,cal-state-fullerton,2022-23,FALSE,FALSE,,,,,,,,,,,,,,,,data/cache/sports_reference_big_west_schools/cal-state-fullerton_2026.html,no_later_big_west_stats_found_in_cached_sports_reference_pages
C.J. Hardy,cj-hardy,West Los Angeles College,JUCO,Cal State Bakersfield,cal-state-bakersfield,2023-24,FALSE,FALSE,,,,,,,,,,,,,,,,data/cache/sports_reference_big_west_schools/cal-state-bakersfield_2026.html,no_later_big_west_stats_found_in_cached_sports_reference_pages
B.J. Comer,bj-comer,Ranger College,JUCO,Cal State Northridge,cal-state-northridge,2023-24,FALSE,FALSE,,,,,,,,,,,,,,,,data/cache/sports_reference_big_west_schools/cal-state-northridge_2026.html,no_later_big_west_stats_found_in_cached_sports_reference_pages
Noah Williams,noah-williams2,Barton Community College,JUCO,Cal State Northridge,cal-state-northridge,2023-24,FALSE,FALSE,,,,,,,,,,,,,,,,data/cache/sports_reference_big_west_schools/cal-state-northridge_2026.html,no_later_big_west_stats_found_in_cached_sports_reference_pages
P.J. Fuller II,pj-fuller,Washington,D1,Cal State Northridge,cal-state-northridge,2023-24,TRUE,FALSE,,,,,,,,,,,,,,,,data/cache/sports_reference_big_west_schools/cal-state-northridge_2026.html,no_later_big_west_stats_found_in_cached_sports_reference_pages
Quincy McGriff,quincy-mcgriff,Duquesne,D1,Cal State Northridge,cal-state-northridge,2023-24,TRUE,FALSE,,,,,,,,,,,,,,,,data/cache/sports_reference_big_west_schools/cal-state-northridge_2026.html,no_later_big_west_stats_found_in_cached_sports_reference_pages
Yesan Warren,yesan-warren,Frank Phillips College,JUCO,Cal State Fullerton,cal-state-fullerton,2024-25,FALSE,FALSE,,,,,,,,,,,,,,,,data/cache/sports_reference_big_west_schools/cal-state-fullerton_2026.html,no_later_big_west_stats_found_in_cached_sports_reference_pages
Naceiar Kirksey,naceiar-kirksey,Monroe College,JUCO,Cal State Northridge,cal-state-northridge,2025-26,FALSE,FALSE,,,,,,,,,,,,,,,,,no_later_big_west_stats_found_in_cached_sports_reference_pages
Quinton Webb,quinton-webb,New Mexico,D1,Cal State Northridge,cal-state-northridge,2025-26,TRUE,FALSE,,,,,,,,,,,,,,,,,no_later_big_west_stats_found_in_cached_sports_reference_pages
Tanner Cuff,tanner-cuff,Evansville,D1,Hawaii,hawaii,2025-26,TRUE,FALSE,,,,,,,,,,,,,,,,,no_later_big_west_stats_found_in_cached_sports_reference_pages
Grant Gondrezick II,grant-gondrezick,Detroit Mercy,D1,Long Beach State,long-beach-state,2025-26,TRUE,FALSE,,,,,,,,,,,,,,,,,no_later_big_west_stats_found_in_cached_sports_reference_pages
Ylan Esso-Essis,ylan-esso-essis,Modesto Junior College,JUCO,UC Davis,uc-davis,2025-26,FALSE,FALSE,,,,,,,,,,,,,,,,,no_later_big_west_stats_found_in_cached_sports_reference_pages
Tyson Dunn,tyson-dunn,Buffalo,D1,UC San Diego,uc-san-diego,2025-26,TRUE,FALSE,,,,,,,,,,,,,,,,,no_later_big_west_stats_found_in_cached_sports_reference_pages
