player_name,source_school,source_level,destination_school,first_big_west_season,expected_source_season,collection_bucket,source_status,source_evidence,outcome_status,outcome_evidence,next_action
J.P. Moorman II,Temple,D1,UC Riverside,2021-22,2020-21,needs_source_stats,found,https://www.sports-reference.com/cbb/schools/temple/men/2021.html,found_sports_reference,https://www.sports-reference.com/cbb/schools/california-riverside/men/2022.html,ready_after_rebuild
Jhaylon Martinez,UNLV,D1,UC Riverside,2021-22,2020-21,needs_source_stats,likely_no_source_stats_at_listed_school,"Listed source school is supported by VC, but Sports Reference school page has no player row.",found_sports_reference,https://www.sports-reference.com/cbb/schools/california-riverside/men/2022.html,exclude_or_mark_no_source_stats
Jérôme Desrosiers,Princeton,D1,Hawaii,2021-22,2020-21,needs_source_stats,canceled_source_season,Princeton/Ivy League did not play 2020-21; no source stat row expected.,found_sports_reference,https://www.sports-reference.com/cbb/schools/hawaii/men/2022.html,exclude_or_mark_no_source_stats
Lassina Traoré,Saint Louis,D1,Long Beach State,2022-23,2021-22,needs_source_stats,found,https://www.sports-reference.com/cbb/schools/saint-louis/men/2022.html,found_sports_reference,https://www.sports-reference.com/cbb/schools/long-beach-state/men/2023.html,ready_after_rebuild
Matija Svetozarević,Portland,D1,Hawaii,2022-23,2021-22,needs_source_stats,found,https://www.sports-reference.com/cbb/schools/portland/men/2022.html,found_sports_reference,https://www.sports-reference.com/cbb/schools/hawaii/men/2023.html,ready_after_rebuild
Ben Griscti,Incarnate Word,D1,UC Riverside,2023-24,2022-23,needs_source_stats,found,https://www.sports-reference.com/cbb/schools/incarnate-word/men/2023.html,found_official_school_page,https://gohighlanders.com/sports/mens-basketball/stats/2023-24,ready_after_rebuild
Clancy Bird,Seattle,D1,UC Riverside,2023-24,2022-23,needs_source_stats,likely_no_source_stats_at_listed_school,"Listed source school is supported by VC, but Sports Reference school page has no player row.",found_sports_reference,https://www.sports-reference.com/cbb/schools/california-riverside/men/2024.html,exclude_or_mark_no_source_stats
Drew Carter,Colorado,D1,UC Davis,2023-24,2022-23,needs_source_stats,likely_no_source_stats_at_listed_school,"Listed source school is supported by VC, but Sports Reference school page has no player row.",found_sports_reference,https://www.sports-reference.com/cbb/schools/california-davis/men/2024.html,exclude_or_mark_no_source_stats
Isa Silva,Stanford,D1,Long Beach State,2023-24,2022-23,needs_source_stats,found,https://www.sports-reference.com/cbb/schools/stanford/men/2023.html,found_official_school_page,https://longbeachstate.com/sports/mens-basketball/stats/2023-24,ready_after_rebuild
Jaden Alexander,New Mexico State,D1,Cal State Bakersfield,2023-24,2022-23,needs_source_stats,likely_no_source_stats_at_listed_school,"Listed source school is supported by VC, but Sports Reference school page has no player row.",found_sports_reference,https://www.sports-reference.com/cbb/schools/cal-state-bakersfield/men/2024.html,exclude_or_mark_no_source_stats
Jarred Hyder,California,D1,Cal Poly,2023-24,2022-23,needs_source_stats,found,https://www.sports-reference.com/cbb/schools/california/men/2022.html,found_sports_reference,https://www.sports-reference.com/cbb/schools/cal-poly/men/2024.html,ready_after_rebuild
Matthue Cotton,Yale,D1,Hawaii,2023-24,2022-23,needs_source_stats,likely_no_source_stats_at_listed_school,"Listed source school is supported by VC, but Sports Reference school page has no player row.",found_sports_reference,https://www.sports-reference.com/cbb/schools/hawaii/men/2024.html,exclude_or_mark_no_source_stats
"Carl Daughtery, Jr.",Central Arkansas,D1,UC Davis,2024-25,2023-24,needs_source_stats,found,https://www.sports-reference.com/cbb/schools/central-arkansas/men/2024.html,found_official_school_page,https://ucdavisaggies.com/sports/mens-basketball/stats/2024-25,ready_after_rebuild
Luka Tarlać,Utah,D1,Cal Poly,2024-25,2023-24,needs_source_stats,found,https://www.sports-reference.com/cbb/schools/utah/men/2024.html,found_sports_reference,https://www.sports-reference.com/cbb/schools/cal-poly/men/2025.html,ready_after_rebuild
Parker Strauss,Northwestern,D1,UC Riverside,2024-25,2023-24,needs_source_stats,likely_redshirt_no_source_stats,VC has redshirt/expected-redshirt evidence during the expected source season.,found_sports_reference,https://www.sports-reference.com/cbb/schools/california-riverside/men/2025.html,exclude_or_mark_no_source_stats
"Ramel Lloyd, Jr.",Nebraska,D1,Long Beach State,2024-25,2023-24,needs_source_stats,likely_no_source_stats_at_listed_school,"Listed source school is supported by VC, but Sports Reference school page has no player row.",found_sports_reference,https://www.sports-reference.com/cbb/schools/long-beach-state/men/2025.html,exclude_or_mark_no_source_stats
Aleks Szymczyk,Charlotte,D1,Cal State Northridge,2025-26,2024-25,needs_source_stats,found,https://www.sports-reference.com/cbb/schools/charlotte/men/2025.html,found_official_school_page,https://gomatadors.com/sports/mens-basketball/stats/2025-26,ready_after_rebuild
Dailin Smith,Alabama A&M,D1,Cal State Bakersfield,2025-26,2024-25,needs_source_stats,found,https://www.sports-reference.com/cbb/schools/alabama-am/men/2023.html,found_sports_reference,https://www.sports-reference.com/cbb/schools/cal-state-bakersfield/men/2026.html,ready_after_rebuild
Dimitrije Vukićević,Washington State,D1,UC San Diego,2025-26,2024-25,needs_source_stats,likely_redshirt_no_source_stats,VC has redshirt/expected-redshirt evidence during the expected source season.,found_sports_reference,https://www.sports-reference.com/cbb/schools/california-san-diego/men/2026.html,exclude_or_mark_no_source_stats
Dre Bullock,South Dakota,D1,Hawaii,2025-26,2024-25,needs_source_stats,found,https://www.sports-reference.com/cbb/schools/south-dakota/men/2025.html,found_official_school_page,https://hawaiiathletics.com/sports/mens-basketball/stats/2025-26,ready_after_rebuild
