player_name,player_slug,source_school,source_level,destination_school,first_big_west_season,missing_source_stats,missing_outcome_stats,reason,priority,expected_source_season,recommended_next_step,current_missing_reason,collection_bucket
J.P. Moorman II,jp-moorman-ii,Temple,D1,UC Riverside,2021-22,True,False,missing_source_stats,1,2020-21,review_transfer_timing_or_no_source_stats,sports_reference_source_row_not_in_local_cache,needs_source_stats
Jhaylon Martinez,jhaylon-martinez,UNLV,D1,UC Riverside,2021-22,True,False,missing_source_stats,1,2020-21,review_transfer_timing_or_no_source_stats,sports_reference_source_row_not_in_local_cache,needs_source_stats
Jérôme Desrosiers,jrme-desrosiers,Princeton,D1,Hawaii,2021-22,True,False,missing_source_stats,1,2020-21,fetch_sports_reference_later_or_use_source_school_page,sports_reference_source_row_not_in_local_cache,needs_source_stats
Lassina Traoré,lassina-traor,Saint Louis,D1,Long Beach State,2022-23,True,False,missing_source_stats,1,2021-22,review_transfer_timing_or_no_source_stats,sports_reference_source_row_not_in_local_cache,needs_source_stats
Matija Svetozarević,matija-svetozarevi,Portland,D1,Hawaii,2022-23,True,False,missing_source_stats,1,2021-22,review_transfer_timing_or_no_source_stats,sports_reference_source_row_not_in_local_cache,needs_source_stats
Ben Griscti,benjamin-griscti,Incarnate Word,D1,UC Riverside,2023-24,True,False,missing_source_stats,1,2022-23,review_transfer_timing_or_no_source_stats,sports_reference_source_row_not_in_local_cache,needs_source_stats
Clancy Bird,clancy-bird,Seattle,D1,UC Riverside,2023-24,True,False,missing_source_stats,1,2022-23,review_transfer_timing_or_no_source_stats,sports_reference_source_row_not_in_local_cache,needs_source_stats
Drew Carter,drew-carter,Colorado,D1,UC Davis,2023-24,True,False,missing_source_stats,1,2022-23,review_transfer_timing_or_no_source_stats,sports_reference_source_row_not_in_local_cache,needs_source_stats
Isa Silva,isael-silva,Stanford,D1,Long Beach State,2023-24,True,False,missing_source_stats,1,2022-23,review_transfer_timing_or_no_source_stats,sports_reference_source_row_not_in_local_cache,needs_source_stats
Jaden Alexander,jaden-alexander,New Mexico State,D1,Cal State Bakersfield,2023-24,True,False,missing_source_stats,1,2022-23,review_transfer_timing_or_no_source_stats,sports_reference_source_row_not_in_local_cache,needs_source_stats
Jarred Hyder,jarred-hyder,California,D1,Cal Poly,2023-24,True,False,missing_source_stats,1,2022-23,review_transfer_timing_or_no_source_stats,sports_reference_source_row_not_in_local_cache,needs_source_stats
Matthue Cotton,matthue-cotton,Yale,D1,Hawaii,2023-24,True,False,missing_source_stats,1,2022-23,review_transfer_timing_or_no_source_stats,sports_reference_source_row_not_in_local_cache,needs_source_stats
"Carl Daughtery, Jr.",carl-daughtery-jr,Central Arkansas,D1,UC Davis,2024-25,True,False,missing_source_stats,1,2023-24,review_transfer_timing_or_no_source_stats,sports_reference_source_row_not_in_local_cache,needs_source_stats
Luka Tarlać,luka-tarla,Utah,D1,Cal Poly,2024-25,True,False,missing_source_stats,1,2023-24,review_transfer_timing_or_no_source_stats,sports_reference_source_row_not_in_local_cache,needs_source_stats
Parker Strauss,parker-strauss,Northwestern,D1,UC Riverside,2024-25,True,False,missing_source_stats,1,2023-24,review_transfer_timing_or_no_source_stats,sports_reference_source_row_not_in_local_cache,needs_source_stats
