player_name,player_slug,destination_school,destination_school_slug,destination_conference,destination_level,source_school,source_school_slug,source_conference,source_level,transfer_year,first_big_west_season,commit_date,signed_date,enrolled_date,target_event_type,target_event_date,source_event_type,source_event_date,pathway_type,position,height,weight,class,hs_grad_year,juco_flag,redshirt_flag,model_training_window,phase1_d2_transfer_match,phase1_model_training_eligible,phase1_review_status,source_url
Jacob Davison,jacob-davison,Cal Poly,cal-poly,Big West,D1,Eastern Washington,eastern-washington,Big Sky,D1,2021,2021-22,,,2021-04-06,ENROLLMENT,2021-04-06,TRANSFER,2015-09-16,d1_big_west,Shooting Guard,76,175,OTHER,2016,FALSE,TRUE,TRUE,FALSE,,,https://www.verbalcommits.com/players/jacob-davison
Julien Franklin,julien-franklin,Cal Poly,cal-poly,Big West,D1,Oregon State,oregon-state,PAC 12,D1,2021,2021-22,,,2021-04-18,ENROLLMENT,2021-04-18,TRANSFER,2017-09-10,d1_big_west,Small Forward,79,200,INELIGIBLE,2019,FALSE,TRUE,TRUE,FALSE,,,https://www.verbalcommits.com/players/julien-franklin
Trevon Taylor,trevon-taylor,Cal Poly,cal-poly,Big West,D1,James Madison,james-madison,Sun Belt,D1,2021,2021-22,,,2021-05-15,ENROLLMENT,2021-05-15,TRANSFER,2020-04-24,d1_big_west,Shooting Guard,78,210,OTHER,2018,FALSE,FALSE,TRUE,FALSE,,,https://www.verbalcommits.com/players/trevon-taylor
Kaleb Higgins,kaleb-higgins,Cal State Bakersfield,cal-state-bakersfield,Big West,D1,Holmes Community College,holmes-community-college,,JUCO,2021,2021-22,,,2021-04-14,ENROLLMENT,2021-04-14,ALL_SCHOOLS_ATTENDED,,juco_big_west,Point Guard,70,155,INELIGIBLE,2019,TRUE,FALSE,TRUE,FALSE,,,https://www.verbalcommits.com/players/kaleb-higgins
E.J. Anosike,ej-anosike,Cal State Fullerton,cal-state-fullerton,Big West,D1,Tennessee,tennessee,SEC,D1,2021,2021-22,,,2021-06-17,ENROLLMENT,2021-06-17,TRANSFER,2020-03-27,d1_big_west,Small Forward,79,236,OTHER,2017,FALSE,FALSE,TRUE,FALSE,,,https://www.verbalcommits.com/players/ej-anosike
Christian Gray,christian-gray,Cal State Northridge,cal-state-northridge,Big West,D1,Fresno State,fresno-state,Mountain West,D1,2021,2021-22,,,2021-09-07,ENROLLMENT,2021-09-07,TRANSFER,2018-06-28,d1_big_west,Small Forward,78,250,OTHER,2016,TRUE,TRUE,TRUE,FALSE,,,https://www.verbalcommits.com/players/christian-gray
Onyi Eyisi,onyi-eyisi,Cal State Northridge,cal-state-northridge,Big West,D1,Fordham,fordham,Atlantic 10,D1,2021,2021-22,,,2021-08-08,ENROLLMENT,2021-08-08,TRANSFER,2018-03-07,d1_big_west,Center,81,225,OTHER,2018,FALSE,FALSE,TRUE,FALSE,,,https://www.verbalcommits.com/players/onyi-eyisi
Juan Munoz,juan-munoz,Hawaii,hawaii,Big West,D1,Longwood,longwood,Big South,D1,2021,2021-22,,,2021-04-08,ENROLLMENT,2021-04-08,TRANSFER,2014-08-23,d1_big_west,Point Guard,72,170,OTHER,2017,FALSE,TRUE,TRUE,FALSE,,,https://www.verbalcommits.com/players/juan-munoz
Jérôme Desrosiers,jrme-desrosiers,Hawaii,hawaii,Big West,D1,Princeton,princeton,Ivy,D1,2021,2021-22,,,2021-02-02,ENROLLMENT,2021-02-02,TRANSFER,2016-05-01,d1_big_west,Power Forward,79,235,OTHER,2017,FALSE,FALSE,TRUE,FALSE,,,https://www.verbalcommits.com/players/jrme-desrosiers
Kamaka Hepa,kamaka-hepa,Hawaii,hawaii,Big West,D1,Texas,texas,Big XII,D1,2021,2021-22,,,2021-04-26,ENROLLMENT,2021-04-26,TRANSFER,2016-06-16,d1_big_west,Power Forward,82,215,OTHER,2018,FALSE,FALSE,TRUE,FALSE,,,https://www.verbalcommits.com/players/kamaka-hepa
Joel Murray,joel-murray,Long Beach State,long-beach-state,Big West,D1,West Texas A&M,west-texas-a-m,LSC,D2,2021,2021-22,,,2021-04-07,ENROLLMENT,2021-04-07,TRANSFER,2018-09-02,d2_big_west,Point Guard,72,170,OTHER,2018,FALSE,FALSE,TRUE,TRUE,TRUE,auto_include,https://www.verbalcommits.com/players/joel-murray
