player_name,player_slug,destination_school,destination_school_slug,target_event_date,sports_reference_url,sports_reference_rows,finding,recommended_action,resolved_source_school,resolved_source_level,resolved_source_conference,notes
Aboubacar Traoré,aboubacar-traor,Long Beach State,long-beach-state,2021-08-27,https://www.sports-reference.com/cbb/players/aboubacar-traore-1.html,2021-22 Long Beach State 32g 23.6mpg 8.3ppg | 2022-23 Long Beach State 33g 31.6mpg 10.1ppg | 2023-24 Long Beach State 36g 31.0mpg 12.0ppg | 2024-25 Louisville 25g 13.6mpg 4.6ppg,big_west_first_then_transferred_out,exclude_not_inbound_transfer,,,,First college row is Long Beach State; later rows are outbound transfer history.
Akira Jacobs,akira-jacobs,Hawaii,hawaii,2023-05-17,https://www.sports-reference.com/cbb/players/akira-jacobs-1.html,2023-24 Hawaii 28g 6.8mpg 2.4ppg | 2024-25 Hawaii 30g 18.9mpg 6.9ppg | 2025-26 Fordham 32g 28.4mpg 7.2ppg,big_west_first_then_transferred_out,exclude_not_inbound_transfer,,,,First college row is Hawaii; later rows are outbound transfer history.
Andrew Nagy,andrew-nagy,Long Beach State,long-beach-state,2024-04-30,https://www.sports-reference.com/cbb/players/andrew-nagy-1.html,2024-25 Long Beach State 26g 17.8mpg 3.5ppg,big_west_first_no_prior_stats,exclude_not_inbound_transfer,,,,No Sports Reference row before 2024-25.
Antwan Robinson,antwan-robinson,Cal State Fullerton,cal-state-fullerton,2022-06-26,https://www.sports-reference.com/cbb/players/antwan-robinson-1.html,2023-24 Cal State Fullerton 19g 14.9mpg 4.3ppg | 2024-25 Cal State Fullerton 30g 23.3mpg 6.4ppg,big_west_first_then_transferred_out,exclude_not_inbound_transfer,,,,First college row is Cal State Fullerton; later rows are outbound transfer history.
Ariel Bland,ariel-bland,UC Santa Barbara,uc-santa-barbara,2021-05-05,https://www.sports-reference.com/cbb/players/ariel-bland-1.html,2021-22 UC Santa Barbara 8g 4.8mpg 1.3ppg | 2022-23 UC Santa Barbara 2g 3.5mpg 0.0ppg | 2023-24 UC Santa Barbara 31g 21.1mpg 6.0ppg | 2024-25 UC Santa Barbara 27g 7.7mpg 1.9ppg | 2025-26 Bethune-Cookman 32g 19.9mpg 4.8ppg,big_west_first_then_transferred_out,exclude_not_inbound_transfer,,,,First college row is UC Santa Barbara; later rows are outbound transfer history.
Barrington Hargress,barrington-hargress,UC Riverside,uc-riverside,2022-08-07,https://www.sports-reference.com/cbb/players/barrington-hargress-1.html,2023-24 UC Riverside 34g 31.6mpg 12.6ppg | 2024-25 UC Riverside 34g 31.9mpg 20.2ppg | 2025-26 Colorado 33g 32.5mpg 14.7ppg,big_west_first_then_transferred_out,exclude_not_inbound_transfer,,,,First college row is UC Riverside; later rows are outbound transfer history.
Bryan Ndjonga,bryan-ndjonga,Cal State Northridge,cal-state-northridge,2023-04-25,https://www.sports-reference.com/cbb/players/bryan-ndjonga-1.html,2023-24 Cal State Northridge 32g 11.2mpg 3.0ppg | 2024-25 Central Michigan 29g 19.4mpg 5.4ppg | 2025-26 Canisius 31g 32.7mpg 13.9ppg,big_west_first_then_transferred_out,exclude_not_inbound_transfer,,,,First college row is Cal State Northridge; later rows are outbound transfer history.
Carter Welling,carter-welling,UC Irvine,uc-irvine,2020-11-19,https://www.sports-reference.com/cbb/players/carter-welling-1.html,2023-24 UC Irvine 30g 13.8mpg 7.0ppg | 2024-25 Utah Valley 32g 24.5mpg 13.1ppg | 2025-26 Clemson 32g 20.8mpg 10.2ppg,big_west_first_then_transferred_out,exclude_not_inbound_transfer,,,,First college row is UC Irvine; later rows are outbound transfer history.
Davis Bynum,davis-bynum,Cal State Fullerton,cal-state-fullerton,2023-06-24,https://www.sports-reference.com/cbb/players/davis-bynum-1.html,2024-25 Cal State Fullerton 11g 13.6mpg 5.5ppg | 2025-26 Rider 28g 19.0mpg 6.0ppg,big_west_first_then_transferred_out,exclude_not_inbound_transfer,,,,First college row is Cal State Fullerton; later rows are outbound transfer history.
Derin Saran,derin-saran,UC Irvine,uc-irvine,2023-06-12,https://www.sports-reference.com/cbb/players/derin-saran-1.html,2023-24 UC Irvine 31g 19.1mpg 10.1ppg | 2024-25 Stanford 5g 4.0mpg 0.6ppg | 2025-26 UC Irvine 35g 29.7mpg 11.5ppg,big_west_first_then_transferred_out,exclude_not_inbound_transfer,,,,First college row is UC Irvine; later rows are outbound transfer history.
