first_big_west_season,destination_school,total_inbound,D1,D2,JUCO,NAIA,model_ready_playable_total,model_ready_d1,model_ready_d2,missing_d1_missing_big_west_outcome,missing_d1_missing_source_stats,missing_d1_missing_source_stats_and_missing_big_west_outcome,missing_d2_missing_big_west_outcome,missing_d2_missing_source_stats,missing_d2_missing_source_stats_and_missing_big_west_outcome,missing_juco_missing_source_stats,missing_juco_missing_source_stats_and_missing_big_west_outcome,missing_naia_missing_source_stats_and_missing_big_west_outcome
2021-22,Cal Poly,3,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0
2021-22,Cal State Bakersfield,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2021-22,Cal State Fullerton,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2021-22,Cal State Northridge,2,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
2021-22,Hawaii,3,3,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0
2021-22,Long Beach State,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2021-22,UC Davis,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2021-22,UC Irvine,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2021-22,UC Riverside,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2022-23,Cal Poly,4,4,0,0,0,3,3,0,1,0,0,0,0,0,0,0,0
2022-23,Cal State Bakersfield,3,1,0,2,0,1,1,0,0,0,0,0,0,0,1,1,0
2022-23,Cal State Fullerton,5,2,1,2,0,2,1,1,0,1,0,0,0,0,0,2,0
2022-23,Cal State Northridge,4,4,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0
2022-23,Hawaii,2,2,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
2022-23,Long Beach State,4,2,0,2,0,1,1,0,0,1,0,0,0,0,2,0,0
2022-23,UC Davis,3,2,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0
2022-23,UC Irvine,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2022-23,UC Riverside,5,3,1,1,0,3,3,0,0,0,0,0,0,1,1,0,0
2022-23,UC San Diego,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2022-23,UC Santa Barbara,3,1,0,2,0,1,1,0,0,0,0,0,0,0,1,1,0
2023-24,Cal Poly,4,2,0,2,0,1,1,0,0,1,0,0,0,0,2,0,0
2023-24,Cal State Bakersfield,6,3,0,3,0,2,2,0,0,1,0,0,0,0,1,2,0
2023-24,Cal State Fullerton,5,2,2,1,0,4,2,2,0,0,0,0,0,0,0,1,0
2023-24,Cal State Northridge,11,6,1,4,0,5,4,1,2,0,0,0,0,0,1,3,0
2023-24,Hawaii,2,2,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
2023-24,Long Beach State,3,3,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0
2023-24,UC Davis,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2023-24,UC Riverside,4,2,0,2,0,0,0,0,0,2,0,0,0,0,1,1,0
2023-24,UC San Diego,3,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0
2023-24,UC Santa Barbara,2,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
2024-25,Cal Poly,7,1,6,0,0,5,0,5,0,1,0,0,1,0,0,0,0
2024-25,Cal State Bakersfield,5,0,0,5,0,0,0,0,0,0,0,0,0,0,4,1,0
2024-25,Cal State Fullerton,5,2,1,2,0,3,2,1,0,0,0,0,0,0,1,1,0
2024-25,Cal State Northridge,6,5,1,0,0,6,5,1,0,0,0,0,0,0,0,0,0
2024-25,Hawaii,4,4,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0
2024-25,Long Beach State,7,5,0,2,0,4,4,0,0,1,0,0,0,0,2,0,0
2024-25,UC Davis,4,3,0,1,0,2,2,0,0,1,0,0,0,0,1,0,0
2024-25,UC Irvine,2,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
2024-25,UC Riverside,3,3,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0
2024-25,UC San Diego,5,2,3,0,0,5,2,3,0,0,0,0,0,0,0,0,0
2024-25,UC Santa Barbara,5,5,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0
2025-26,Cal Poly,2,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0
2025-26,Cal State Bakersfield,5,5,0,0,0,3,3,0,0,2,0,0,0,0,0,0,0
2025-26,Cal State Fullerton,6,2,3,1,0,5,2,3,0,0,0,0,0,0,1,0,0
2025-26,Cal State Northridge,9,6,0,3,0,2,2,0,1,3,0,0,0,0,2,1,0
2025-26,Hawaii,8,6,1,1,0,5,4,1,1,1,0,0,0,0,1,0,0
2025-26,Long Beach State,10,7,1,2,0,4,3,1,1,3,0,0,0,0,2,0,0
2025-26,UC Davis,5,2,0,3,0,2,2,0,0,0,0,0,0,0,2,1,0
2025-26,UC Irvine,2,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
2025-26,UC Riverside,10,6,3,1,0,8,5,3,0,1,0,0,0,0,1,0,0
2025-26,UC San Diego,8,6,2,0,0,5,3,2,1,2,0,0,0,0,0,0,0
2025-26,UC Santa Barbara,4,4,0,0,0,3,3,0,0,1,0,0,0,0,0,0,0
2026-27,Cal Poly,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2026-27,Cal State Bakersfield,7,5,1,0,1,0,0,0,4,0,1,1,0,0,0,0,1
2026-27,Cal State Fullerton,6,1,3,1,1,0,0,0,0,0,1,3,0,0,0,1,1
2026-27,Cal State Northridge,7,6,0,1,0,0,0,0,4,0,2,0,0,0,0,1,0
2026-27,Hawaii,9,8,1,0,0,0,0,0,7,0,1,1,0,0,0,0,0
2026-27,Long Beach State,11,6,3,2,0,0,0,0,4,0,2,3,0,0,0,2,0
2026-27,UC Davis,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2026-27,UC Irvine,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2026-27,UC Riverside,8,5,3,0,0,0,0,0,5,0,0,3,0,0,0,0,0
2026-27,UC San Diego,4,3,0,1,0,0,0,0,3,0,0,0,0,0,0,1,0
2026-27,UC Santa Barbara,5,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
