review_priority,player_name,source_school,source_level,destination_school,listed_first_big_west_season,first_playable_big_west_season,outcome_lag_years,has_source_stats,games,mpg,ppg,rpg,apg,review_needed,sports_reference_school_cache
1,Juan Munoz,Longwood,D1,Hawaii,2021-22,2023-24,2,TRUE,34,19.4,9.1,1.6,1.7,source_ready_confirm_shift_to_first_playable_outcome,data/cache/sports_reference_big_west_schools/hawaii_2024.html
1,Devin Tillis,UNLV,D1,UC Irvine,2021-22,2022-23,1,TRUE,33,22.4,7.3,6.2,1.4,source_ready_confirm_shift_to_first_playable_outcome,data/cache/sports_reference_big_west_schools/uc-irvine_2023.html
1,Logan McLaughlin,Abilene Christian,D1,Cal Poly,2022-23,2024-25,2,TRUE,9,4.7,1.7,0.7,0.3,source_ready_confirm_shift_to_first_playable_outcome,data/cache/sports_reference_big_west_schools/cal-poly_2025.html
1,Pablo Tamba,Idaho State,D1,UC Davis,2022-23,2023-24,1,TRUE,31,13.8,3.3,2.9,0.8,source_ready_confirm_shift_to_first_playable_outcome,data/cache/sports_reference_big_west_schools/uc-davis_2024.html
1,Austin Johnson,North Carolina A&T,D1,Long Beach State,2023-24,2024-25,1,TRUE,32,27.4,7.6,5.5,1.0,source_ready_confirm_shift_to_first_playable_outcome,data/cache/sports_reference_big_west_schools/long-beach-state_2025.html
1,Marsalis Roberson,California,D1,UC Davis,2023-24,2024-25,1,TRUE,1,3.0,0.0,0.0,0.0,source_ready_confirm_shift_to_first_playable_outcome,data/cache/sports_reference_big_west_schools/uc-davis_2025.html
2,Tom Mark,Tallahassee Community College,JUCO,Cal State Bakersfield,2022-23,2023-24,1,FALSE,31,21.5,5.4,3.5,0.8,find_source_stats_then_confirm_shift_to_first_playable_outcome,data/cache/sports_reference_big_west_schools/cal-state-bakersfield_2024.html
2,Keith Richard,South Plains College,JUCO,Cal State Fullerton,2022-23,2023-24,1,FALSE,6,10.2,3.0,0.5,0.7,find_source_stats_then_confirm_shift_to_first_playable_outcome,data/cache/sports_reference_big_west_schools/cal-state-fullerton_2024.html
2,Isaiah Moses,Alaska Anchorage,D2,UC Riverside,2022-23,2023-24,1,FALSE,33,29.9,12.2,2.9,3.8,find_source_stats_then_confirm_shift_to_first_playable_outcome,data/cache/sports_reference_big_west_schools/uc-riverside_2024.html
2,Mezziah Oakman,City College of San Francisco,JUCO,UC Santa Barbara,2022-23,2023-24,1,FALSE,1,5.0,0.0,2.0,0.0,find_source_stats_then_confirm_shift_to_first_playable_outcome,data/cache/sports_reference_big_west_schools/uc-santa-barbara_2024.html
2,Cameron Clark,College of the Sequoias,JUCO,Cal State Bakersfield,2023-24,2024-25,1,FALSE,23,6.5,0.9,1.3,0.2,find_source_stats_then_confirm_shift_to_first_playable_outcome,data/cache/sports_reference_big_west_schools/cal-state-bakersfield_2025.html
2,LoLo Rudolph,Hutchinson Community College,JUCO,Cal State Fullerton,2023-24,2024-25,1,FALSE,31,21.8,2.1,2.3,1.3,find_source_stats_then_confirm_shift_to_first_playable_outcome,data/cache/sports_reference_big_west_schools/cal-state-fullerton_2025.html
2,Jalen Barbee,Cochise College,JUCO,Cal State Northridge,2023-24,2024-25,1,FALSE,29,4.2,1.4,1.0,0.1,find_source_stats_then_confirm_shift_to_first_playable_outcome,data/cache/sports_reference_big_west_schools/cal-state-northridge_2025.html
2,Gavin Davis,West Los Angeles College,JUCO,UC Riverside,2023-24,2024-25,1,FALSE,32,5.5,1.1,0.3,0.2,find_source_stats_then_confirm_shift_to_first_playable_outcome,data/cache/sports_reference_big_west_schools/uc-riverside_2025.html
2,Dylan Purnell,South Plains College,JUCO,Cal State Bakersfield,2024-25,2025-26,1,FALSE,16,8.6,2.6,1.9,0.3,find_source_stats_then_confirm_shift_to_first_playable_outcome,data/cache/sports_reference_big_west_schools/cal-state-bakersfield_2026.html
