player_name,player_slug,source_school,source_school_slug,source_conference,destination_school,destination_school_slug,first_big_west_season,expected_source_season,position,height,weight,class,local_cache_status,recommended_next_step,current_missing_reason,source_status,source_evidence,next_action,sports_reference_url,cache_path,status,matched_count,matched_players,missing_players,outcome_status,outcome_evidence,source_url
Jérôme Desrosiers,jrme-desrosiers,Princeton,princeton,Ivy,Hawaii,hawaii,2021-22,2020-21,Power Forward,79,235,OTHER,no_local_player_page,fetch_sports_reference_later_or_use_source_school_page,sports_reference_source_row_not_in_local_cache,canceled_source_season,Princeton/Ivy League did not play 2020-21; no source stat row expected.,exclude_or_mark_no_source_stats,https://www.sports-reference.com/cbb/schools/princeton/men/2021.html,data/cache/sports_reference_source_schools/princeton_2021.html,http_404,0,,Jérôme Desrosiers,found_sports_reference,https://www.sports-reference.com/cbb/schools/hawaii/men/2022.html,https://www.verbalcommits.com/players/jrme-desrosiers
J.P. Moorman II,jp-moorman-ii,Temple,temple,American,UC Riverside,uc-riverside,2021-22,2020-21,Small Forward,79,210,OTHER,source_school_page_cached_no_player_row,review_transfer_timing_or_no_source_stats,sports_reference_source_row_not_in_local_cache,likely_no_source_stats_at_listed_school,"Listed source school is supported by VC, but Sports Reference school page has no player row.",exclude_or_mark_no_source_stats,https://www.sports-reference.com/cbb/schools/temple/men/2021.html,data/cache/sports_reference_source_schools/temple_2021.html,cached,0,,J.P. Moorman II,found_sports_reference,https://www.sports-reference.com/cbb/schools/california-riverside/men/2022.html,https://www.verbalcommits.com/players/jp-moorman-ii
Jhaylon Martinez,jhaylon-martinez,UNLV,unlv,Mountain West,UC Riverside,uc-riverside,2021-22,2020-21,Center,83,255,INELIGIBLE,source_school_page_cached_no_player_row,review_transfer_timing_or_no_source_stats,sports_reference_source_row_not_in_local_cache,likely_no_source_stats_at_listed_school,"Listed source school is supported by VC, but Sports Reference school page has no player row.",exclude_or_mark_no_source_stats,https://www.sports-reference.com/cbb/schools/nevada-las-vegas/men/2021.html,data/cache/sports_reference_source_schools/unlv_2021.html,cached,0,,Jhaylon Martinez,found_sports_reference,https://www.sports-reference.com/cbb/schools/california-riverside/men/2022.html,https://www.verbalcommits.com/players/jhaylon-martinez
"John Square, Jr.",john-square-jr,Fairleigh Dickinson,fairleigh-dickinson,Northeast,Cal State Fullerton,cal-state-fullerton,2022-23,2021-22,Power Forward,78,195,INELIGIBLE,source_school_page_cached_no_player_row,review_transfer_timing_or_no_source_stats,sports_reference_source_row_not_in_local_cache,likely_no_source_stats_at_listed_school,"Listed source school is supported by VC, but Sports Reference school page has no player row.",exclude_or_mark_no_source_stats,https://www.sports-reference.com/cbb/schools/fairleigh-dickinson/men/2022.html,data/cache/sports_reference_source_schools/fairleigh-dickinson_2022.html,cached,0,,"John Square, Jr.",found_official_school_page,https://fullertontitans.com/sports/mens-basketball/stats/2022-23,https://www.verbalcommits.com/players/john-square-jr
Matija Svetozarević,matija-svetozarevi,Portland,portland,West Coast,Hawaii,hawaii,2022-23,2021-22,Small Forward,79,215,INELIGIBLE,source_school_page_cached_no_player_row,review_transfer_timing_or_no_source_stats,sports_reference_source_row_not_in_local_cache,likely_no_source_stats_at_listed_school,"Listed source school is supported by VC, but Sports Reference school page has no player row.",exclude_or_mark_no_source_stats,https://www.sports-reference.com/cbb/schools/portland/men/2022.html,data/cache/sports_reference_source_schools/portland_2022.html,cached,0,,Matija Svetozarević,found_sports_reference,https://www.sports-reference.com/cbb/schools/hawaii/men/2023.html,https://www.verbalcommits.com/players/matija-svetozarevi
Lassina Traoré,lassina-traor,Saint Louis,saint-louis,Atlantic 10,Long Beach State,long-beach-state,2022-23,2021-22,Power Forward,81,245,COLLEGE_SENIOR,source_school_page_cached_no_player_row,review_transfer_timing_or_no_source_stats,sports_reference_source_row_not_in_local_cache,likely_no_source_stats_at_listed_school,"Listed source school is supported by VC, but Sports Reference school page has no player row.",exclude_or_mark_no_source_stats,https://www.sports-reference.com/cbb/schools/saint-louis/men/2022.html,data/cache/sports_reference_source_schools/saint-louis_2022.html,cached,0,,Lassina Traoré,found_sports_reference,https://www.sports-reference.com/cbb/schools/long-beach-state/men/2023.html,https://www.verbalcommits.com/players/lassina-traor
Jarred Hyder,jarred-hyder,California,california,PAC 12,Cal Poly,cal-poly,2023-24,2022-23,Point Guard,75,185,INELIGIBLE,source_school_page_cached_no_player_row,review_transfer_timing_or_no_source_stats,sports_reference_source_row_not_in_local_cache,likely_redshirt_no_source_stats,VC has redshirt/expected-redshirt evidence during the expected source season.,exclude_or_mark_no_source_stats,https://www.sports-reference.com/cbb/schools/california/men/2023.html,data/cache/sports_reference_source_schools/california_2023.html,cached,0,,Jarred Hyder,found_sports_reference,https://www.sports-reference.com/cbb/schools/cal-poly/men/2024.html,https://www.verbalcommits.com/players/jarred-hyder
Jaden Alexander,jaden-alexander,New Mexico State,new-mexico-state,WAC,Cal State Bakersfield,cal-state-bakersfield,2023-24,2022-23,Shooting Guard,76,190,COLLEGE_JUNIOR,source_school_page_cached_no_player_row,review_transfer_timing_or_no_source_stats,sports_reference_source_row_not_in_local_cache,likely_no_source_stats_at_listed_school,"Listed source school is supported by VC, but Sports Reference school page has no player row.",exclude_or_mark_no_source_stats,https://www.sports-reference.com/cbb/schools/new-mexico-state/men/2023.html,data/cache/sports_reference_source_schools/new-mexico-state_2023.html,cached,0,,Jaden Alexander,found_sports_reference,https://www.sports-reference.com/cbb/schools/cal-state-bakersfield/men/2024.html,https://www.verbalcommits.com/players/jaden-alexander
Matthue Cotton,matthue-cotton,Yale,yale,Ivy,Hawaii,hawaii,2023-24,2022-23,Shooting Guard,77,200,INELIGIBLE,source_school_page_cached_no_player_row,review_transfer_timing_or_no_source_stats,sports_reference_source_row_not_in_local_cache,likely_no_source_stats_at_listed_school,"Listed source school is supported by VC, but Sports Reference school page has no player row.",exclude_or_mark_no_source_stats,https://www.sports-reference.com/cbb/schools/yale/men/2023.html,data/cache/sports_reference_source_schools/yale_2023.html,cached,0,,Matthue Cotton,found_sports_reference,https://www.sports-reference.com/cbb/schools/hawaii/men/2024.html,https://www.verbalcommits.com/players/matthue-cotton
Isa Silva,isael-silva,Stanford,stanford,PAC 12,Long Beach State,long-beach-state,2023-24,2022-23,Point Guard,76,190,COLLEGE_SENIOR,source_school_page_cached_no_player_row,review_transfer_timing_or_no_source_stats,sports_reference_source_row_not_in_local_cache,likely_no_source_stats_at_listed_school,"Listed source school is supported by VC, but Sports Reference school page has no player row.",exclude_or_mark_no_source_stats,https://www.sports-reference.com/cbb/schools/stanford/men/2023.html,data/cache/sports_reference_source_schools/stanford_2023.html,cached,0,,Isa Silva,found_official_school_page,https://longbeachstate.com/sports/mens-basketball/stats/2023-24,https://www.verbalcommits.com/players/isael-silva
