Player Name,Team,Conference,Position,Height,Year,Season,first_d1_season,d1_school,GP,MIN,MPG,FGM,FGA,FG%,3PTM,3PTA,3PT%,FTM,FTA,FT%,PTS,PPG,ORB,DRB,TOT RB,RPG,PF,AST,TO,STL,BLK,APG,SPG,DRBPG,ORBPG,BPG,TOPG,eFG,three_share,AST_TOV,FTR,TS_pct,usg,pts_per_40,reb_per_40,ast_per_40,stl_per_40,blk_per_40,tov_per_40,source_url
E.J. Bryson,Azusa Pacific,,,,,2025-26,2026-27,Cal State Bakersfield,26,766,29.46153846153846,83,236,0.352,14,75,0.187,75,99,0.758,255,9.807692307692308,15,56,71,2.730769230769231,52,74,60,35,5,2.8461538461538463,1.3461538461538463,2.1538461538461537,0.5769230769230769,0.19230769230769232,2.3076923076923075,0.3813559322033898,0.3177966101694915,1.2333333333333334,0.4194915254237288,0.4560738303047646,0.443289817232376,13.315926892950392,3.7075718015665795,3.864229765013055,1.8276762402088773,0.26109660574412535,3.133159268929504,https://athletics.apu.edu/sports/mens-basketball/stats/2025-26
Malcolm Bell,Cal Poly Pomona,,,,,2025-26,2026-27,Cal State Fullerton,29,958,33.03448275862069,159,400,0.398,74,202,0.366,110,125,0.88,502,17.310344827586206,8,59,67,2.310344827586207,55,63,45,29,2,2.1724137931034484,1.0,2.0344827586206895,0.27586206896551724,0.06896551724137931,1.5517241379310345,0.49,0.505,1.4,0.3125,0.5516483516483517,0.5219206680584552,20.960334029227557,2.7974947807933193,2.6304801670146136,1.210855949895616,0.08350730688935282,1.8789144050104385,https://broncoathletics.com/sports/mens-basketball/stats/2025-26
Matthew Willenborg,Central Oklahoma,,,,,2025-26,2026-27,Cal State Fullerton,33,1105,33.484848484848484,245,505,0.485,56,163,0.344,127,158,0.804,673,20.393939393939394,77,228,305,9.242424242424242,80,40,51,46,99,1.2121212121212122,1.393939393939394,6.909090909090909,2.3333333333333335,3.0,1.5454545454545454,0.5405940594059406,0.3227722772277228,0.7843137254901961,0.31287128712871287,0.5857063287614008,0.5660814479638009,24.361990950226243,11.040723981900452,1.4479638009049773,1.665158371040724,3.583710407239819,1.8461538461538463,https://bronchosports.com/sports/mens-basketball/stats/2025-26
Tiernan Stynes,Quincy,,,,,2025-26,2026-27,Cal State Fullerton,28,920,32.857142857142854,157,319,0.492,56,150,0.373,60,75,0.8,430,15.357142857142858,48,114,162,5.785714285714286,64,68,57,28,4,2.4285714285714284,1.0,4.071428571428571,1.7142857142857142,0.14285714285714285,2.0357142857142856,0.5799373040752351,0.4702194357366771,1.1929824561403508,0.23510971786833856,0.6107954545454546,0.44456521739130433,18.695652173913043,7.043478260869565,2.9565217391304346,1.2173913043478262,0.17391304347826086,2.4782608695652173,https://quhawks.com/sports/mens-basketball/stats/2025-26
Jaden Matingou,Point Loma Nazarene,,,,,2025-26,2026-27,Hawaii,32,912,28.5,121,246,0.492,32,88,0.364,106,141,0.752,380,11.875,36,94,130,4.0625,99,138,92,33,3,4.3125,1.03125,2.9375,1.125,0.09375,2.875,0.556910569105691,0.35772357723577236,1.5,0.573170731707317,0.6168030125957668,0.438640350877193,16.666666666666668,5.701754385964913,6.052631578947368,1.4473684210526316,0.13157894736842105,4.035087719298246,https://plnusealions.com/sports/mens-basketball/stats/2025-26
Brett Wright,Trevecca Nazarene,,,,,2025-26,2026-27,Long Beach State,28,620,22.142857142857142,108,230,0.47,85,179,0.475,44,53,0.83,345,12.321428571428571,12,54,66,2.357142857142857,60,6,23,7,8,0.21428571428571427,0.25,1.9285714285714286,0.42857142857142855,0.2857142857142857,0.8214285714285714,0.6543478260869565,0.7782608695652173,0.2608695652173913,0.23043478260869565,0.6809568924680246,0.4456774193548387,22.258064516129032,4.258064516129032,0.3870967741935484,0.45161290322580644,0.5161290322580645,1.4838709677419355,https://tnutrojans.com/sports/mens-basketball/stats/2025-26
Colin Ruffin,Missouri Southern,,,,,2025-26,2026-27,Long Beach State,28,765,27.321428571428573,110,231,0.476,25,77,0.325,75,104,0.721,320,11.428571428571429,33,111,144,5.142857142857143,74,79,39,49,3,2.8214285714285716,1.75,3.9642857142857144,1.1785714285714286,0.10714285714285714,1.3928571428571428,0.5303030303030303,0.3333333333333333,2.0256410256410255,0.45021645021645024,0.5781182251770487,0.4127581699346405,16.73202614379085,7.529411764705882,4.130718954248366,2.5620915032679736,0.1568627450980392,2.0392156862745097,https://mssulions.com/sports/mens-basketball/stats/2025-26
Jaden Tengan,Cal State Monterey Bay,,,,,2025-26,2026-27,Long Beach State,29,912,31.448275862068964,149,292,0.51,29,81,0.358,100,146,0.685,427,14.724137931034482,46,152,198,6.827586206896552,69,51,77,55,9,1.7586206896551724,1.896551724137931,5.241379310344827,1.5862068965517242,0.3103448275862069,2.6551724137931036,0.559931506849315,0.2773972602739726,0.6623376623376623,0.5,0.5993150684931506,0.4750438596491228,18.728070175438596,8.68421052631579,2.236842105263158,2.412280701754386,0.39473684210526316,3.3771929824561404,https://otterathletics.com/sports/mens-basketball/stats/2025-26
Aidan Rice,Western Washington,,,,,2025-26,2026-27,UC Riverside,29,991,34.172413793103445,175,374,0.468,69,187,0.369,110,130,0.846,529,18.24137931034483,18,73,91,3.1379310344827585,73,116,87,32,7,4.0,1.103448275862069,2.5172413793103448,0.6206896551724138,0.2413793103448276,3.0,0.5601604278074866,0.5,1.3333333333333333,0.34759358288770054,0.613404452690167,0.5229061553985873,21.352169525731583,3.6730575176589304,4.682139253279516,1.2916246215943492,0.28254288597376387,3.511604439959637,https://wwuvikings.com/sports/mens-basketball/stats/2025-26
Easton Reagan,Northwest Nazarene,,,,,2025-26,2026-27,UC Riverside,29,998,34.41379310344828,209,398,0.525,51,137,0.372,98,133,0.737,567,19.551724137931036,44,116,160,5.517241379310345,61,47,52,34,6,1.6206896551724137,1.1724137931034482,4.0,1.5172413793103448,0.20689655172413793,1.793103448275862,0.5891959798994975,0.3442211055276382,0.9038461538461539,0.3341708542713568,0.621002365723298,0.5095390781563126,22.725450901803608,6.412825651302605,1.8837675350701404,1.3627254509018036,0.24048096192384769,2.0841683366733466,https://nnusports.com/sports/mens-basketball/stats/2025-26
