feature,label,permutation_importance_mean,permutation_importance_std,model_feature_importance,importance,direction
source_conference,source_conference,1.573824852547651,0.2672994862157141,88.29708089553473,0.6725553089596545,positive
source_conf_power,source_conf_power,3.4645992225686983,0.6374864897015963,9.712447110159909,0.6439989499614412,positive
source_apg,source_apg,2.1036864372657385,0.48406685568700314,6.774979313921527,0.3950085939266373,positive
source_pts_per_40,source_pts_per_40,1.8590125499771815,0.4586958945830655,5.833231845648715,0.3483696524877241,positive
height_in,height_in,1.0287063120193853,0.35726728697509963,4.9178003643921295,0.20042999677538795,positive
source_ts_pct,source_ts_pct,1.051151758027563,0.254170707871478,3.966857656869816,0.20000918004310902,positive
source_tov_per_40,source_tov_per_40,0.7952009062349618,0.325043648361336,4.66514391310128,0.15884690855204847,positive
source_fg3_pct,source_fg3_pct,0.670626243075011,0.2936158526715024,4.224117993785896,0.13527512451970994,positive
source_ast_per_40,source_ast_per_40,0.6300872260601234,0.2629306385193663,3.1732277939504185,0.12349386739440427,positive
position,position,0.2608490679524045,0.1731566539436284,8.557074260232621,0.08393881962577833,positive
source_efg_pct,source_efg_pct,0.4139212476537731,0.1443190785262695,2.111501800029326,0.08124840938194088,positive
destination_conf_power,destination_conf_power,0.343962997249422,0.24221137497977036,2.6512991309907,0.07157839417209287,positive
source_blk_per_40,source_blk_per_40,0.328745262029097,0.20269511287080483,2.4245591528072747,0.06791581505673143,positive
source_fg_pct,source_fg_pct,0.28379191047849583,0.21560085906251994,2.796875641138037,0.06181743813418274,positive
weight_lbs,weight_lbs,0.23162438217696182,0.15338535857955524,2.5355911016456147,0.05159939388935973,positive
source_three_rate,source_three_rate,0.20549021408302898,0.15308153309036282,2.107948477442361,0.04513618335309846,positive
source_bpm,source_bpm,0.1406324158606645,0.11313171937700656,1.3668598403575032,0.030546845722626816,positive
source_ws,source_ws,0.12254155534478524,0.11655510170336454,1.361967893607899,0.0273917055018899,positive
source_reb_per_40,source_reb_per_40,0.10527382929673479,0.12029403701440038,1.760810643130231,0.026208099086843375,positive
source_level,source_level,0.07009755371483006,0.06538953555976378,2.1203774260415846,0.021745159955308107,positive
conf_power_delta,conf_power_delta,0.08134812816249841,0.09622432956843818,1.2683214308322117,0.01983358581906399,positive
source_bpg,source_bpg,0.0662879516655365,0.10892591064844971,1.2584953420219145,0.017180947616495065,positive
source_ft_pct,source_ft_pct,0.06387445059084648,0.05125213219366503,0.7121150025076177,0.014287786055161875,positive
source_per,source_per,0.0358928931432347,0.11934000294328641,1.550398959495133,0.01323949559139809,positive
source_spg,source_spg,0.04819728109307566,0.05379374917850455,0.6447015515900476,0.011267416851929907,positive
source_minutes_share,source_minutes_share,0.04804221760678651,0.046038717869444606,0.5813008964442234,0.01095334774489335,positive
source_mpg,source_mpg,0.04804221760678144,0.0460387178694413,0.5813008964441786,0.010953347744892272,positive
source_games,source_games,0.013917555509741674,0.12623627110500826,1.5087596638324519,0.009245169421049986,positive
source_ft_rate,source_ft_rate,0.03173504893328181,0.056623645614350925,0.6919086624065167,0.00863033994534667,positive
source_stl_per_40,source_stl_per_40,0.020908031461875566,0.06246902602955342,0.7579742618179042,0.00705460265904914,positive
source_ppg,source_ppg,0.022906551229041127,0.027321937796469006,0.3140105098265882,0.005389479406475351,positive
source_usg_pct,source_usg_pct,0.016578319326287217,0.0286321982187736,0.345659904439109,0.004436931770769735,positive
source_topg,source_topg,-0.009321465112140359,0.013479038193374778,0.15905298195894543,0.002334828859013661,negative
source_rpg,source_rpg,-0.00505980725794708,0.016134641671109708,0.21286326640450057,0.0018405633393165474,negative
