feature,label,permutation_importance_mean,permutation_importance_std,model_feature_importance,importance,direction
source_three_rate,source_three_rate,0.2892402217686644,0.07648905222032097,1.1170620959386792,0.8417550841140968,positive
source_apg,source_apg,0.17777039544414097,0.04968578094124376,0.717162404372528,0.5239755718818684,positive
source_conference,source_conference,0.014216917924955963,0.0204571946403703,1.8482541536317458,0.4294915786705351,positive
source_conf_power,source_conf_power,0.07738436263831994,0.04918953816773351,0.5758072128152621,0.2851426017887141,positive
source_ts_pct,source_ts_pct,0.07242820031615846,0.03278732510160134,0.4123942933009977,0.23949563926662304,positive
source_pts_per_40,source_pts_per_40,0.06098252418262488,0.025852762473756858,0.3716578649524155,0.20693652912205832,positive
height_in,height_in,0.05200629786186274,0.0349466853498112,0.37459369364538736,0.18895161601035104,positive
source_fg3_pct,source_fg3_pct,0.03565540648582484,0.0356754317432386,0.44045345096105976,0.16928672066381506,positive
source_spg,source_spg,0.04638968818232718,0.021983049020626574,0.3069633603277125,0.16266393193100848,positive
source_ft_pct,source_ft_pct,0.03235883851808034,0.027260887179656496,0.3278035686574436,0.1380685806284399,positive
source_per,source_per,0.007917468834130826,0.02218226173974859,0.2721332880766737,0.07531920895486804,positive
conf_power_delta,conf_power_delta,0.0021600229802633654,0.0211667383696662,0.2429914287043543,0.057069067216399226,positive
source_efg_pct,source_efg_pct,0.010234900859674134,0.010249046828831652,0.11562723958221355,0.046255380809574545,positive
weight_lbs,weight_lbs,-0.0002112291951240297,0.016458352429816137,0.19998469730164692,0.04371895255821673,negative
source_blk_per_40,source_blk_per_40,0.0033565715193957456,0.01283813785970899,0.14936881793126416,0.039289340078948215,positive
source_topg,source_topg,-0.004668416130200481,0.007696549937255611,0.09492461189279652,0.030227791221342733,negative
source_tov_per_40,source_tov_per_40,0.0016619186430065435,0.009301338650043437,0.11782260855362094,0.028946706756564848,positive
source_bpg,source_bpg,0.004564749284680725,0.005557025151761146,0.0639782399925201,0.023315316881432242,positive
source_stl_per_40,source_stl_per_40,0.0038396286942730005,0.004997350344194254,0.0627044028688704,0.021535442111666733,positive
destination_conf_power,destination_conf_power,0.0030308880565529496,0.004538566910556451,0.05823284975450946,0.018890054750263126,positive
source_ws,source_ws,0.0023785811239411146,0.0030588493930506886,0.031214971782021407,0.011689687687359326,positive
source_ft_rate,source_ft_rate,0.00020618423549452204,0.0023349571694609122,0.030471512202229205,0.007022367092776187,positive
source_usg_pct,source_usg_pct,-1.3087410994294668e-05,0.0003011042786868211,0.0034728356876281355,0.0007787411996442917,negative
source_mpg,source_mpg,0.0,0.0,0.0,0.0,positive
source_reb_per_40,source_reb_per_40,0.0,0.0,0.0,0.0,positive
source_ast_per_40,source_ast_per_40,0.0,0.0,0.0,0.0,positive
source_bpm,source_bpm,0.0,0.0,0.0,0.0,positive
source_minutes_share,source_minutes_share,0.0,0.0,0.0,0.0,positive
source_games,source_games,0.0,0.0,0.0,0.0,positive
source_ppg,source_ppg,0.0,0.0,0.0,0.0,positive
source_fg_pct,source_fg_pct,0.0,0.0,0.0,0.0,positive
position,position,0.0,0.0,0.0,0.0,positive
source_level,source_level,0.0,0.0,0.0,0.0,positive
source_rpg,source_rpg,0.0,0.0,0.0,0.0,positive
