feature,label,permutation_importance_mean,permutation_importance_std,model_feature_importance,importance,direction
source_three_rate,source_three_rate,0.3101672323373806,0.07878628236893195,1.1516998343972864,0.8375439909052446,positive
source_apg,source_apg,0.1789495257175036,0.04969957684466033,0.7138519254574189,0.49340279431974343,positive
source_conference,source_conference,0.016300782361764844,0.020798051699296452,1.93934576919135,0.4315328906388807,positive
source_conf_power,source_conf_power,0.060946671887296286,0.04506342374260423,0.5267711092454528,0.22654693931966283,positive
source_ts_pct,source_ts_pct,0.06393423124379559,0.030382685636089545,0.3790769197588502,0.20186351138912295,positive
source_fg3_pct,source_fg3_pct,0.0446188982329682,0.03688671804209517,0.4648157369505958,0.1821832227082299,positive
height_in,height_in,0.04862790156287957,0.03478598823653774,0.37168463761888443,0.17072963405043945,positive
source_spg,source_spg,0.04984244912744721,0.022724897262475403,0.3202250324915717,0.16246529664849554,positive
source_pts_per_40,source_pts_per_40,0.04809768694004564,0.02214563899020529,0.3183770071698541,0.15870899363548432,positive
source_ft_pct,source_ft_pct,0.027049092402167095,0.024450464969029074,0.28280044836642154,0.11065389618513158,positive
source_level,source_level,0.0066484645655046195,0.008081522595056678,0.24501499632231022,0.06339665610039726,positive
conf_power_delta,conf_power_delta,0.0016371244660560835,0.01774806722405058,0.20875259602487103,0.046223211927083306,positive
weight_lbs,weight_lbs,-0.00028829212908364487,0.01590889705312423,0.19139964354277053,0.040034840923149864,negative
source_bpg,source_bpg,0.006945698769179831,0.007803744174371102,0.09140724634701197,0.03228925257638942,positive
source_efg_pct,source_efg_pct,0.007078026694860462,0.0073907505504196514,0.08224926315967042,0.030656352103250618,positive
source_topg,source_topg,-0.0024340973182749304,0.007290539278899784,0.09643995877309301,0.02459985154459112,negative
source_blk_per_40,source_blk_per_40,0.0017582854325244313,0.008446800531657328,0.09841006393015225,0.023698878065769608,positive
source_tov_per_40,source_tov_per_40,-0.0009169094823038848,0.006971217400349188,0.09037688299307801,0.020414401782284937,negative
destination_conf_power,destination_conf_power,0.0031566063999315273,0.003890347004332853,0.0505188938949496,0.016526047362456296,positive
source_stl_per_40,source_stl_per_40,0.002618377423923035,0.0036349259979102724,0.04643289840326274,0.014642118027809382,positive
source_ft_rate,source_ft_rate,0.0003628991511293145,0.002082602292322115,0.026000101475240935,0.006064660875420506,positive
source_ast_per_40,source_ast_per_40,0.0,0.0,0.0,0.0,positive
source_reb_per_40,source_reb_per_40,0.0,0.0,0.0,0.0,positive
source_rpg,source_rpg,0.0,0.0,0.0,0.0,positive
source_games,source_games,0.0,0.0,0.0,0.0,positive
source_mpg,source_mpg,0.0,0.0,0.0,0.0,positive
source_fg_pct,source_fg_pct,0.0,0.0,0.0,0.0,positive
position,position,0.0,0.0,0.0,0.0,positive
source_minutes_share,source_minutes_share,0.0,0.0,0.0,0.0,positive
source_ppg,source_ppg,0.0,0.0,0.0,0.0,positive
