feature,label,permutation_importance_mean,permutation_importance_std,model_feature_importance,importance,direction
source_three_rate,source_three_rate,0.10157074466985479,0.03803320050382624,0.524489189293608,1.0,positive
source_conference,source_conference,0.0068063281734577095,0.004528829260001541,0.4697540054517081,0.39846281609348594,positive
source_ts_pct,source_ts_pct,0.02595844433727319,0.016230303424821083,0.2049140248108725,0.3096190784601851,positive
source_ft_pct,source_ft_pct,0.01515841358107951,0.018589958558273563,0.23324671749639767,0.26742883616994373,positive
source_conf_power,source_conf_power,0.018346529960026524,0.016544425790187986,0.19613193714904323,0.2579562496230341,positive
source_pts_per_40,source_pts_per_40,0.016927012714423418,0.01030731418174631,0.1425968011478977,0.20874245925211135,positive
conf_power_delta,conf_power_delta,0.007409485380162317,0.012808517087944624,0.1554176575392457,0.16229818529664725,positive
source_efg_pct,source_efg_pct,0.0109982235639411,0.009824223216543424,0.11183766117244295,0.1502614807055456,positive
source_stl_per_40,source_stl_per_40,0.007745296906206622,0.00943599064281005,0.11966563507719057,0.13701573003354958,positive
weight_lbs,weight_lbs,0.006239639255752771,0.009143264388456245,0.11545771407364269,0.12491233245995662,positive
source_ast_per_40,source_ast_per_40,-0.0031443092913849393,0.010061404171048288,0.1324161108759623,0.11956082676085485,negative
source_minutes_share,source_minutes_share,0.00910294737607339,0.006842090132194386,0.08495458379472666,0.11856338816390015,positive
source_mpg,source_mpg,0.009102245804959008,0.00684161560135943,0.08494860239884536,0.1185546821416467,positive
height_in,height_in,0.009384573978771571,0.007512880948283351,0.08224382510106787,0.11815966499407488,positive
source_tov_per_40,source_tov_per_40,0.005906511282186444,0.00433619490484815,0.06358329247984154,0.08338261319291751,positive
source_fg3_pct,source_fg3_pct,-0.0013010990269591628,0.007623309670045446,0.08580806171331609,0.07312711216474545,negative
source_level,source_level,0.0017039291523685551,0.002697214129681123,0.0770504858756871,0.06882777826836925,positive
destination_conf_power,destination_conf_power,0.0021235727079913502,0.0037729938094163635,0.04700304980093701,0.048391121174442824,positive
source_fg_pct,source_fg_pct,-0.0013241459851786263,0.0017602579457795732,0.021585523106088175,0.024284142120427163,negative
source_blk_per_40,source_blk_per_40,8.970639027758854e-05,0.0015583312235885694,0.01643767755197343,0.013066056860707581,positive
source_ft_rate,source_ft_rate,-0.00028102991391313335,0.0005262868194342134,0.007466121244340362,0.007354116945379079,negative
source_reb_per_40,source_reb_per_40,0.0,0.0,0.0,0.0,positive
source_games,source_games,0.0,0.0,0.0,0.0,positive
position,position,0.0,0.0,0.0,0.0,positive
