feature,label,permutation_importance_mean,permutation_importance_std,model_feature_importance,importance,direction
source_conference,source_conference,1.8356408022914397,0.29411888187280316,88.88614622968592,0.7052226758990138,positive
source_conf_power,source_conf_power,3.608462176444809,0.6691964050025281,9.945904032885576,0.6447579491507479,positive
source_ast_per_40,source_ast_per_40,2.3295966468626568,0.5731406906535077,7.398873748709604,0.42065154720907744,positive
source_pts_per_40,source_pts_per_40,1.8606531753449094,0.4650061545976442,5.936064230688918,0.3360947419568022,positive
source_ts_pct,source_ts_pct,1.3903545538159086,0.29485820864149054,4.666695505005881,0.25218311845298014,positive
height_in,height_in,1.1307630181713564,0.358370599726473,4.855321163172633,0.20986816517843804,positive
source_tov_per_40,source_tov_per_40,0.9979747870801428,0.33879888737489555,5.36123614840497,0.19006538111758958,positive
source_fg3_pct,source_fg3_pct,0.6566651989364942,0.2784140543724219,4.00581217294489,0.12721425407610998,positive
source_mpg,source_mpg,0.6112124986820836,0.24021451086751547,3.177958747677778,0.11593111380007552,positive
source_minutes_share,source_minutes_share,0.6042936199676288,0.23899568239810534,3.1566820531217883,0.11468492350259757,positive
destination_conf_power,destination_conf_power,0.4666704677667427,0.27442530116874486,2.9973304304930335,0.09108441687084178,positive
position,position,0.284778465240502,0.1914845040290019,8.4787882988174,0.08550749688429282,positive
source_efg_pct,source_efg_pct,0.4366852862187039,0.13746946912841923,1.9489885772914612,0.0813809223788329,positive
weight_lbs,weight_lbs,0.34364750668053945,0.19165828276171748,2.9208310504676254,0.07028441555505488,positive
source_fg_pct,source_fg_pct,0.30779545788597457,0.23019540192072027,2.90213755000438,0.06423896346815636,positive
source_level,source_level,0.16147599911539548,0.10155847511130514,3.43146602366889,0.04229162740573181,positive
source_three_rate,source_three_rate,0.162521805961998,0.12839783523531015,1.7573726446767075,0.0349318671389037,positive
source_stl_per_40,source_stl_per_40,0.15823228729003583,0.13517402191898256,1.7873702946905108,0.034353617503306184,positive
source_reb_per_40,source_reb_per_40,0.1164610063271498,0.11332310981240258,1.7490303699411427,0.02723552860864808,positive
conf_power_delta,conf_power_delta,0.11339905944148594,0.10965126795692015,1.460291505411824,0.02542703590347611,positive
source_blk_per_40,source_blk_per_40,0.07718665764449625,0.0887857938944087,0.9881053539381744,0.01728088592870246,positive
source_ft_rate,source_ft_rate,0.04013766211698906,0.049521788073470394,0.5829307192569463,0.009297191777288194,positive
source_ft_pct,source_ft_pct,0.02246545862260394,0.029425134054309944,0.4317980637565516,0.005678613751204083,positive
source_games,source_games,0.009192171231663026,0.05649627953800474,0.6738427807941604,0.0045608218680510786,positive
