feature,label,permutation_importance_mean,permutation_importance_std,model_feature_importance,importance,direction
source_ppg,source_ppg,0.042800957100018654,0.007776795377878781,0.11190252861013014,1.0,positive
source_games,source_games,0.024533698991055154,0.006670040660903319,0.09592353675614627,0.6868051325227116,positive
conf_power_delta,conf_power_delta,0.02859100539682794,0.005856452535531007,0.06424521019891527,0.6304465606984225,positive
source_tov_per_40,source_tov_per_40,0.02110688619097601,0.0048430566110261855,0.05526670400000434,0.49343732350398317,positive
source_ft_pct,source_ft_pct,0.01768228851523651,0.0035556589573137107,0.05470683429870212,0.4434287420998806,positive
source_stl_per_40,source_stl_per_40,0.016512743655755193,0.004235525526918046,0.05091672227725631,0.4134857152092004,positive
source_pts_per_40,source_pts_per_40,0.01615662720853018,0.0033199633694345316,0.05048470783853614,0.406949287559309,positive
source_apg,source_apg,0.011470482234554522,0.003089225956322644,0.04002226612930625,0.3038587251007871,positive
source_mpg,source_mpg,0.011079518960075233,0.002600701511189972,0.03281687817418257,0.272622110792547,positive
source_bpm,source_bpm,0.011512749922571347,0.002030072027400396,0.029878334159164226,0.2681913648062023,positive
source_efg_pct,source_efg_pct,0.007857616366419998,0.003053506288827777,0.043991011370395745,0.2673986416311663,positive
source_ast_per_40,source_ast_per_40,0.010101029751110564,0.0020307529619074324,0.03441110420498747,0.2646039028825331,positive
source_ft_rate,source_ft_rate,0.009356382166284904,0.0017707207883650672,0.029334980857393115,0.23602034846174763,positive
source_minutes_share,source_minutes_share,0.009070656989535736,0.0021822066896618115,0.024827171104661667,0.21590160122868873,positive
source_reb_per_40,source_reb_per_40,0.007820784701698863,0.0012077763375720899,0.02803383060689961,0.20984274971688688,positive
source_conf_power,source_conf_power,0.006604316179226302,0.0018646340843324492,0.02627750966316708,0.1865117955607143,positive
source_ts_pct,source_ts_pct,0.006123394853580507,0.0010941838726492457,0.02541070569085184,0.17667163360708546,positive
source_per,source_per,0.004903364477157263,0.0012380004494839045,0.023608049632044704,0.15312512133998513,positive
source_spg,source_spg,0.005987815073479253,0.0012210976836591878,0.017285226303896884,0.1457261785900734,positive
source_blk_per_40,source_blk_per_40,0.005005587493531435,0.0019001177236952385,0.018809417044263498,0.1374052208754694,positive
source_fg3_pct,source_fg3_pct,0.004899473748767588,0.0009391827277327203,0.014175815112643134,0.1193546855059613,positive
source_bpg,source_bpg,0.0041991086840210716,0.0019364590092710006,0.013696093670909588,0.10782192000959345,positive
source_three_rate,source_three_rate,0.0038024975495522554,0.0012483601104206572,0.014772128384322548,0.1061084036680087,positive
source_conference,source_conference,0.003982399071209936,0.0008089648384820595,0.012120710806725162,0.09915273456399339,positive
source_usg_pct,source_usg_pct,0.0027483977129734716,0.0007733571016378115,0.014882956360353736,0.09172779256501537,positive
source_fg_pct,source_fg_pct,0.002029343931434732,0.0005727467004555764,0.017031911424136622,0.08932934936840708,positive
weight_lbs,weight_lbs,0.0032018879824946334,0.000803363026432704,0.011575736556475575,0.08626320306332866,positive
height_in,height_in,0.002836463602952993,0.0005481400727115822,0.010101273025406556,0.07587001792221879,positive
source_topg,source_topg,0.002280347756503051,0.00035068215351469694,0.008755312582179403,0.06326298704948442,positive
source_rpg,source_rpg,0.0024255655185174614,0.0005935690515465271,0.008059902854926172,0.0628129350604663,positive
source_ws,source_ws,0.0017235750928509042,0.0006328032468360327,0.006479467980786897,0.04732284108309462,positive
destination_conf_power,destination_conf_power,0.0011952865314996785,0.0004122808322858391,0.007271338355790294,0.04274766415309374,positive
position,position,0.0006240122763337463,0.0004610192828067587,0.0029246239644390203,0.019201823690523527,positive
source_level,source_level,7.771561172376095e-17,6.661338147750939e-17,0.0,1.0894468300157768e-15,positive
