feature,label,permutation_importance_mean,permutation_importance_std,model_feature_importance,importance,direction
source_ppg,source_ppg,0.04055908217492101,0.007269619994796401,0.10571697134034468,1.0,positive
conf_power_delta,conf_power_delta,0.03234585947560633,0.00621901099829591,0.0695064350468947,0.741490514020993,positive
source_games,source_games,0.02480704993934673,0.006870494805952233,0.09431800766742657,0.7238463804200452,positive
source_tov_per_40,source_tov_per_40,0.0213341097189632,0.004952440428439269,0.06184991810173765,0.5496212526499086,positive
source_stl_per_40,source_stl_per_40,0.02124790231753901,0.005122424514939626,0.06150955016879421,0.5470581204261452,positive
source_ft_pct,source_ft_pct,0.01999967202873094,0.0038991197541918864,0.058487406000117544,0.5171579078757471,positive
source_pts_per_40,source_pts_per_40,0.018923544220492566,0.0033111674545011323,0.055450083702436474,0.48974621832080933,positive
source_apg,source_apg,0.012175436175436238,0.0034746397003205904,0.04380311730249758,0.34585139280791577,positive
source_minutes_share,source_minutes_share,0.013585568085624316,0.0031519092207744643,0.03355105614300314,0.32792120704713146,positive
source_conf_power,source_conf_power,0.010800208716266895,0.0024805666050825466,0.03483726090894284,0.2915833307737297,positive
source_mpg,source_mpg,0.010609035746417047,0.0025902555287352115,0.03147482379206668,0.276032852435924,positive
source_efg_pct,source_efg_pct,0.008648219719382361,0.0025607005031093415,0.038796339098692297,0.2747283689240554,positive
source_ast_per_40,source_ast_per_40,0.009616016132835619,0.0019675782745442218,0.033203284601312354,0.26788283660114387,positive
source_ft_rate,source_ft_rate,0.008400553270460248,0.0017753381845501267,0.030511846337481316,0.23971864811436877,positive
source_fg3_pct,source_fg3_pct,0.007703763172878186,0.0015721382589340832,0.025066466466532353,0.20880725241303466,positive
source_reb_per_40,source_reb_per_40,0.006290896058818429,0.001235468798650465,0.027197061429505395,0.1959678842268991,positive
source_spg,source_spg,0.006931568401510851,0.0015432057567676633,0.02046704740825561,0.17998122920395065,positive
source_blk_per_40,source_blk_per_40,0.005152014674347949,0.0017554549414028852,0.02501799582733555,0.17087524159289563,positive
source_ts_pct,source_ts_pct,0.005051063840548767,0.0007739815547728346,0.01970462625926135,0.1492777213975659,positive
weight_lbs,weight_lbs,0.004500336274372565,0.0010681674435396417,0.020401184248994356,0.14376623742258088,positive
source_three_rate,source_three_rate,0.004543769921322721,0.0011930912844014025,0.01770939957134112,0.13422388906198618,positive
source_conference,source_conference,0.005154017628951976,0.0008874148846004233,0.013474140000270791,0.12722652691818825,positive
height_in,height_in,0.004661225703109023,0.0011945917327123958,0.014276652817643756,0.12297299841091086,positive
source_rpg,source_rpg,0.0038214326898646372,0.0010759298611155341,0.014489425002489368,0.11135480720893648,positive
source_bpg,source_bpg,0.004027798070052066,0.0014099119254830134,0.012717268760710762,0.10770233289586392,positive
source_topg,source_topg,0.003559280983068924,0.0005043356758454335,0.011532044729878432,0.09628693237856213,positive
source_fg_pct,source_fg_pct,0.0029026118098580216,0.0005458344991195922,0.010890376999878208,0.0841448012600887,positive
destination_conf_power,destination_conf_power,0.0017113878952056433,0.00047393072478537555,0.012466287839863867,0.07248550135134837,positive
source_level,source_level,0.00019332148606389932,0.00010653179580967989,0.0004686657254780958,0.004633134734386195,positive
position,position,-2.0989747643790358e-05,0.0001778769785156849,0.001105256700812942,0.00449245239279845,negative
