feature,label,permutation_importance_mean,permutation_importance_std,model_feature_importance,importance,direction
conf_power_delta,conf_power_delta,0.09117990244104704,0.012021987503788379,0.06090603023767471,0.7631187309377663,positive
source_mpg,source_mpg,0.08714738689407647,0.014537715548974399,0.05076448991894722,0.7094220690958408,positive
source_stl_per_40,source_stl_per_40,0.07494265707917325,0.012396593651014398,0.041119202971458435,0.603278056516148,positive
source_pts_per_40,source_pts_per_40,0.069094006809843,0.009166431532672747,0.04035241901874542,0.5627380097288748,positive
source_tov_per_40,source_tov_per_40,0.06153478105409386,0.008283867618932727,0.03976350277662277,0.511418062214887,positive
source_ft_rate,source_ft_rate,0.06082297670622644,0.008722337158781913,0.032686322927474976,0.48777998028046415,positive
source_conference,source_conference,0.0078064398622554685,0.0013799503044365548,0.1493538599461317,0.4513694771759782,positive
source_ft_pct,source_ft_pct,0.053441159569042704,0.007376492892503058,0.03641137108206749,0.4491811256592716,positive
source_games,source_games,0.05243122512783466,0.005635089391018092,0.03777862712740898,0.4461971452574573,positive
source_blk_per_40,source_blk_per_40,0.053041503787543444,0.008493663005982264,0.03351140022277832,0.4387845202488427,positive
source_ast_per_40,source_ast_per_40,0.046995972943565965,0.007945462651518855,0.03199964389204979,0.3949537335464995,positive
source_fg3_pct,source_fg3_pct,0.04488438764692495,0.007142588572901014,0.0324578583240509,0.3822858543895884,positive
source_three_rate,source_three_rate,0.040324953446564324,0.006754938038307345,0.027684049680829048,0.33949773503634467,positive
position,position,0.004210800416912558,0.0007194135898751597,0.11354065500199795,0.33179369691373706,positive
source_efg_pct,source_efg_pct,0.036545653887303464,0.005858078207097731,0.027271121740341187,0.31352253677948394,positive
weight_lbs,weight_lbs,0.03199489229068132,0.004745601024863285,0.03356585651636124,0.30043529607496156,positive
source_reb_per_40,source_reb_per_40,0.03191017156273636,0.004311117285352443,0.026537859812378883,0.2810553960726053,positive
source_fg_pct,source_fg_pct,0.029939328944329397,0.004603918202207223,0.02871568687260151,0.27391913188948736,positive
source_minutes_share,source_minutes_share,0.017550561200329714,0.004006740387582069,0.05167656019330025,0.2538900024904033,positive
height_in,height_in,0.02250331959190993,0.0035472205876041917,0.026863552629947662,0.22002684267235248,positive
source_ts_pct,source_ts_pct,0.021943459632324525,0.003455430152470392,0.026033876463770866,0.21412070016368775,positive
source_conf_power,source_conf_power,0.018586905631305817,0.0027700211368032225,0.028415601700544357,0.198411985062736,positive
destination_conf_power,destination_conf_power,0.005826338020782712,0.0013482451776702768,0.022590436041355133,0.09884140028098451,positive
source_level,source_level,0.0,0.0,0.0,0.0,positive
