model_name,status,cv_mae,cv_rmse,cv_r2,cv_corr,train_mae,train_rmse,notes
elastic_net,ok,2.8591731640634075,4.908775279994282,-0.04460879315589783,0.09025692742762263,2.571663366615525,4.385845891165116,
mean_baseline,baseline,2.918513674197384,4.832359401375956,-0.012338676573659724,-0.14810612755669422,2.918513674197384,4.832359401375956,predicts the training-set mean impact score for every row
rf_500_depth4_leaf4,ok,2.934308705906388,4.944533562386948,-0.05988326213543704,-0.10648546871140029,2.3410573881907446,4.032012754321448,
rf_300_depth3_leaf5,ok,2.96634987341395,4.98639308333508,-0.07790478152105185,-0.07698786843863371,2.4645229428849804,4.118972300965109,
extra_trees_500_leaf4,ok,2.9748553024249245,4.925626968289497,-0.051793329743653915,-0.11033871529517794,2.663001283393066,4.375254248666448,
ridge_alpha_10,ok,3.0209317434955487,5.141679054041036,-0.14608625501070782,0.05289631355549677,2.431399881422172,4.212908251925861,
lightgbm_more_regularized,ok,3.218485983911215,5.144781313162875,-0.14746966657854355,-0.008347609533325083,1.9299695372500685,3.377701931906141,
gradient_boosting_shallow,ok,3.265022090844841,5.175572825026732,-0.16124597918159345,-0.06756480819083101,2.236076351072726,3.5619436385856504,
lightgbm_small_leaf,ok,3.3720857134449354,5.3401597478712155,-0.236277238227939,-0.05838505101435465,1.3956715351267777,2.725646153787135,
hist_gradient_boosting_l2,ok,3.3861253185911617,5.405360415020874,-0.2666501800635257,-0.10344620230353443,1.183460647311116,2.622621205688589,
ridge_alpha_1,ok,3.6427847218489235,5.947602799092203,-0.5335265164448502,0.0024492491915917296,2.30545587904034,4.037551338670507,
