model_name,status,cv_mae,cv_rmse,cv_r2,cv_corr,train_mae,train_rmse,notes
elastic_net_a1_00_l10_05,ok,2.841577110572997,4.844201962156464,-0.017306590387852427,0.031235312111587362,2.7092915676167424,4.594535118838327,
ridge_alpha_100,ok,2.848544337146638,4.8612419897072074,-0.024476159804915243,0.03035630378328106,2.653319240134026,4.522345266893584,
elastic_net_a0_50_l10_10,ok,2.854507153096956,4.87948886684519,-0.032181422806310644,0.03924304906431505,2.6653956775557317,4.522807392478506,
rf_300_depth2_leaf8,ok,2.887221795406216,4.83315790414125,-0.012673263450226235,0.055447519420794296,2.6181592366117066,4.3608583980716,
elastic_net_a0_20_l10_25,ok,2.8950230708621647,4.951257724477089,-0.06276793172567019,0.04942287955459619,2.6200155262972205,4.429239692099356,
ridge_alpha_30,ok,2.9084362119000486,4.9567557814958425,-0.06512951467684802,0.04085951379422967,2.574162073246844,4.384486111853533,
mean_baseline,baseline,2.918513674197384,4.832359401375956,-0.012338676573659724,-0.14810612755669422,2.918513674197384,4.832359401375956,predicts the training-set mean impact score for every row
rf_500_depth4_leaf4,ok,2.937600467249927,4.919087910994148,-0.04900254936513204,-0.08340453645827824,2.3844296936193463,4.068878227814514,
elastic_net_a0_10_l10_50,ok,2.9594486871496115,5.041528085122113,-0.1018735477508077,0.05378161453980969,2.603842415201741,4.357974099193856,
extra_trees_500_leaf4,ok,2.9616484663272167,4.911859333504646,-0.04592180557300529,-0.10429672379679071,2.683886871813409,4.409358993080845,
rf_500_depth3_leaf5,ok,2.9623086225588176,4.959699478589753,-0.06639499953017336,-0.05076042514429043,2.4705211694236855,4.135676152263869,
rf_800_depth_none_leaf5,ok,2.9712507818907588,4.944682250901328,-0.05994700721277546,-0.004673611086240314,1.9358523864509105,3.7320508333605202,
ridge_alpha_10,ok,3.0345853917078998,5.121711874496539,-0.13720212367991813,0.03488139810016799,2.516815537200954,4.2711047078835485,
rf_800_depth6_leaf3,ok,3.0879734914410184,5.125319734094451,-0.13880483417082035,-0.1328478359767966,1.9594713060688578,3.5190811682633254,
xgboost_depth4_slow,ok,3.0925789560461094,5.042969199154295,-0.10250357593183335,-0.04588418992630493,1.571330917107648,3.226024560365583,
lightgbm_depth2_regularized,ok,3.1148343058711023,5.08172847066705,-0.11951595476529242,-0.00789261583365863,2.1922794640782564,3.5981947131728194,
extra_trees_800_depth3_leaf6,ok,3.126988251629275,4.994774350282793,-0.0815313709373755,-0.02596714395345738,2.754061794016796,4.3717157480760775,
extra_trees_800_depth_none_leaf5,ok,3.133938722329694,5.026312616082483,-0.0952326154118408,-0.02383534776499494,2.1083740948084495,3.7989548371207187,
elastic_net_a0_05_l10_15,ok,3.1410480868977517,5.238501098929365,-0.18965615039854922,0.02515846400822499,2.5225748149504175,4.248145030598873,
hist_gradient_boosting_more_l2,ok,3.159786991807778,5.080399300833981,-0.11893039328156241,-0.006652463160508742,1.7354154675231637,3.2947209733761187,
gradient_boosting_shallow,ok,3.208604685598862,5.1085366598762025,-0.1313589168576419,-0.038360480808501615,2.255958893920242,3.5391899982214574,
xgboost_depth2_regularized,ok,3.2276386661172425,5.209945496608755,-0.1767216270863341,-0.1502273444711743,2.1128334198307632,3.358541239881363,
lightgbm_more_regularized,ok,3.2690837793676137,5.124006434610056,-0.13822129977073616,-0.005080518512993245,1.9331198830361842,3.37533597988283,
ridge_alpha_3,ok,3.323258580054343,5.42616059865837,-0.27641724311460547,0.0107349949386939,2.466534882343434,4.174993359421973,
hist_gradient_boosting_l2,ok,3.400062491243162,5.332354170548458,-0.2326658087750939,-0.07587559318945755,1.2636379722671829,2.6505891863595976,
gradient_boosting_deeper,ok,3.42772002480437,5.4179121791840625,-0.27253957587071187,-0.10885983111118247,1.8796231160729087,2.9921880301354253,
xgboost_wide_low_reg,ok,3.4320392957535284,5.5424571514191,-0.33171736887796777,-0.13350625519042328,1.1366705111080204,1.5945455748577975,
xgboost_depth3_balanced,ok,3.43954660558495,5.482181570636329,-0.30290936640077604,-0.1759200074780018,1.6847574275166823,2.5495245866097282,
lightgbm_small_leaf,ok,3.44141895968541,5.3591972899253095,-0.24510754784228284,-0.07157022210114133,1.4697216704354241,2.74594465936792,
lightgbm_wider,ok,3.4865453654837237,5.325722357213291,-0.22960159893115972,-0.054227967009540246,1.0490908970180077,2.6090037860786577,
gradient_boosting_many_tiny,ok,3.494439467821332,5.469611772208305,-0.2969414747606811,-0.15911770069899533,2.1449473435628588,3.07186359724195,
ridge_alpha_1,ok,3.7377917007700114,5.809873702836449,-0.46332488698667795,-0.01748933900733427,2.4275751047011798,4.125419321721468,
ridge_alpha_0_1,ok,4.422161957361958,6.548834919901687,-0.8592400313708464,-0.05640559788098404,2.4051909998878056,4.09119635810807,
