first_big_west_season,source_level,reason,count
2021-22,D1,missing_big_west_outcome,2
2021-22,D1,missing_source_stats,3
2021-22,JUCO,missing_source_stats,1
2022-23,D1,missing_big_west_outcome,2
2022-23,D1,missing_source_stats,3
2022-23,D2,missing_source_stats;missing_big_west_outcome,1
2022-23,JUCO,missing_source_stats,6
2022-23,JUCO,missing_source_stats;missing_big_west_outcome,4
2023-24,D1,missing_big_west_outcome,4
2023-24,D1,missing_source_stats,7
2023-24,JUCO,missing_source_stats,5
2023-24,JUCO,missing_source_stats;missing_big_west_outcome,7
2024-25,D1,missing_source_stats,4
2024-25,D2,missing_source_stats,1
2024-25,JUCO,missing_source_stats,8
2024-25,JUCO,missing_source_stats;missing_big_west_outcome,2
2025-26,D1,missing_big_west_outcome,4
2025-26,D1,missing_source_stats,13
2025-26,JUCO,missing_source_stats,10
2025-26,JUCO,missing_source_stats;missing_big_west_outcome,2
2026-27,D1,missing_big_west_outcome,36
2026-27,D1,missing_source_stats;missing_big_west_outcome,8
2026-27,D2,missing_big_west_outcome,11
2026-27,JUCO,missing_source_stats;missing_big_west_outcome,5
2026-27,NAIA,missing_source_stats;missing_big_west_outcome,2
