player_name,player_slug,priority,source_school,source_school_slug,destination_school,destination_school_slug,expected_source_season,first_big_west_season,has_big_west_outcome,local_cache_status,source_page_status,source_page_url,source_milestones,destination_milestones,source_in_vc_attended,vc_redshirt_at_source_season,classification,recommended_action,needs_user_review,notes
Jérôme Desrosiers,jrme-desrosiers,1,Princeton,princeton,Hawaii,hawaii,2020-21,2021-22,TRUE,no_local_player_page,not_cached,,2016-05-01 TRANSFER Princeton,2021-02-02 ENROLLMENT Hawaii,FALSE,FALSE,canceled_source_season,mark_no_source_stats,FALSE,Princeton/Ivy League did not play 2020-21; no source stat row expected.
J.P. Moorman II,jp-moorman-ii,1,Temple,temple,UC Riverside,uc-riverside,2020-21,2021-22,TRUE,source_school_page_cached_no_player_row,cached_no_player_row,https://www.sports-reference.com/cbb/schools/temple/men/2021.html,2016-04-18 TRANSFER Temple,2021-03-29 ENROLLMENT UC Riverside,FALSE,FALSE,likely_no_source_stats_at_listed_school,mark_no_source_stats_or_confirm_redshirt,FALSE,"Listed source school is supported by VC, but Sports Reference school page has no player row."
Jhaylon Martinez,jhaylon-martinez,1,UNLV,unlv,UC Riverside,uc-riverside,2020-21,2021-22,TRUE,source_school_page_cached_no_player_row,cached_no_player_row,https://www.sports-reference.com/cbb/schools/nevada-las-vegas/men/2021.html,2019-04-03 TRANSFER UNLV,2021-04-14 ENROLLMENT UC Riverside | 2024-03-18 TRANSFER UC Riverside,FALSE,FALSE,likely_no_source_stats_at_listed_school,mark_no_source_stats_or_confirm_redshirt,FALSE,"Listed source school is supported by VC, but Sports Reference school page has no player row."
Matija Svetozarević,matija-svetozarevi,1,Portland,portland,Hawaii,hawaii,2021-22,2022-23,TRUE,source_school_page_cached_no_player_row,cached_no_player_row,https://www.sports-reference.com/cbb/schools/portland/men/2022.html,2021-07-18 TRANSFER Portland,2022-08-10 ENROLLMENT Hawaii | 2024-04-13 TRANSFER Hawaii,FALSE,FALSE,likely_no_source_stats_at_listed_school,mark_no_source_stats_or_confirm_redshirt,FALSE,"Listed source school is supported by VC, but Sports Reference school page has no player row."
Lassina Traoré,lassina-traor,1,Saint Louis,saint-louis,Long Beach State,long-beach-state,2021-22,2022-23,TRUE,source_school_page_cached_no_player_row,cached_no_player_row,https://www.sports-reference.com/cbb/schools/saint-louis/men/2022.html,2021-11-05 TRANSFER Saint Louis,2022-04-27 ENROLLMENT Long Beach State | 2024-03-28 TRANSFER Long Beach State,FALSE,FALSE,likely_no_source_stats_at_listed_school,mark_no_source_stats_or_confirm_redshirt,FALSE,"Listed source school is supported by VC, but Sports Reference school page has no player row."
Jarred Hyder,jarred-hyder,1,California,california,Cal Poly,cal-poly,2022-23,2023-24,TRUE,source_school_page_cached_no_player_row,cached_no_player_row,https://www.sports-reference.com/cbb/schools/california/men/2023.html,2020-04-25 TRANSFER California | 2022-09-01 REDSHIRT California,2023-04-24 ENROLLMENT Cal Poly | 2024-04-05 TRANSFER Cal Poly | 2024-08-29 ENROLLMENT Cal Poly,FALSE,TRUE,likely_redshirt_no_source_stats,mark_no_source_stats,FALSE,VC has redshirt/expected-redshirt evidence during the expected source season.
Jaden Alexander,jaden-alexander,1,New Mexico State,new-mexico-state,Cal State Bakersfield,cal-state-bakersfield,2022-23,2023-24,TRUE,source_school_page_cached_no_player_row,cached_no_player_row,https://www.sports-reference.com/cbb/schools/new-mexico-state/men/2023.html,2022-04-29 TRANSFER New Mexico State,2023-04-06 ENROLLMENT Cal State Bakersfield (expectedRedshirt) | 2026-04-07 TRANSFER Cal State Bakersfield (expectedRedshirt) | 2026-05-21 ENROLLMENT Cal State Bakersfield,FALSE,FALSE,likely_no_source_stats_at_listed_school,mark_no_source_stats_or_confirm_redshirt,FALSE,"Listed source school is supported by VC, but Sports Reference school page has no player row."
Matthue Cotton,matthue-cotton,1,Yale,yale,Hawaii,hawaii,2022-23,2023-24,TRUE,source_school_page_cached_no_player_row,cached_no_player_row,https://www.sports-reference.com/cbb/schools/yale/men/2023.html,2017-07-15 TRANSFER Yale,2023-02-19 ENROLLMENT Hawaii,FALSE,FALSE,likely_no_source_stats_at_listed_school,mark_no_source_stats_or_confirm_redshirt,FALSE,"Listed source school is supported by VC, but Sports Reference school page has no player row."
Isa Silva,isael-silva,1,Stanford,stanford,Long Beach State,long-beach-state,2022-23,2023-24,TRUE,source_school_page_cached_no_player_row,cached_no_player_row,https://www.sports-reference.com/cbb/schools/stanford/men/2023.html,2019-06-09 TRANSFER Stanford,2023-05-03 ENROLLMENT Long Beach State | 2024-04-24 TRANSFER Long Beach State,FALSE,FALSE,likely_no_source_stats_at_listed_school,mark_no_source_stats_or_confirm_redshirt,FALSE,"Listed source school is supported by VC, but Sports Reference school page has no player row."
Drew Carter,drew-carter,1,Colorado,colorado,UC Davis,uc-davis,2022-23,2023-24,TRUE,source_school_page_cached_no_player_row,cached_no_player_row,https://www.sports-reference.com/cbb/schools/colorado/men/2023.html,2020-07-26 TRANSFER Colorado (formerWalkOn),2023-07-07 ENROLLMENT UC Davis | 2024-04-12 TRANSFER UC Davis,FALSE,FALSE,likely_no_source_stats_at_listed_school,mark_no_source_stats_or_confirm_redshirt,FALSE,"Listed source school is supported by VC, but Sports Reference school page has no player row."
Ben Griscti,benjamin-griscti,1,Incarnate Word,incarnate-word,UC Riverside,uc-riverside,2022-23,2023-24,TRUE,source_school_page_cached_no_player_row,cached_no_player_row,https://www.sports-reference.com/cbb/schools/incarnate-word/men/2023.html,2021-04-21 TRANSFER Incarnate Word,2023-04-30 ENROLLMENT UC Riverside | 2024-08-18 TEAM_EXIT UC Riverside,FALSE,FALSE,likely_no_source_stats_at_listed_school,mark_no_source_stats_or_confirm_redshirt,FALSE,"Listed source school is supported by VC, but Sports Reference school page has no player row."
Clancy Bird,clancy-bird,1,Seattle,seattle,UC Riverside,uc-riverside,2022-23,2023-24,TRUE,source_school_page_cached_no_player_row,cached_no_player_row,https://www.sports-reference.com/cbb/schools/seattle/men/2023.html,2021-01-19 TRANSFER Seattle,2023-09-06 ENROLLMENT UC Riverside | 2024-05-28 TEAM_EXIT UC Riverside,FALSE,FALSE,likely_no_source_stats_at_listed_school,mark_no_source_stats_or_confirm_redshirt,FALSE,"Listed source school is supported by VC, but Sports Reference school page has no player row."
Luka Tarlać,luka-tarla,1,Utah,utah,Cal Poly,cal-poly,2023-24,2024-25,TRUE,source_school_page_cached_no_player_row,cached_no_player_row,https://www.sports-reference.com/cbb/schools/utah/men/2024.html,2022-04-29 ENROLLMENT Utah | 2024-04-12 TRANSFER Utah,2024-06-25 SIGNING Cal Poly | 2024-09-20 ENROLLMENT Cal Poly,TRUE,FALSE,likely_no_source_stats_at_listed_school,mark_no_source_stats_or_confirm_redshirt,FALSE,"Listed source school is supported by VC, but Sports Reference school page has no player row."
