first_big_west_season,destination_school,player_name,source_school,source_conference,source_level,source_season,class,position,games,mpg,ppg,rpg,apg,spg,bpg,topg,fg_pct,fg3_pct,ft_pct,efg_pct,source_url,candidate_action
2022-23,Cal Poly,Bryan Penn-Johnson,Louisiana State,SEC,D1,2020-21,JR,C,5,3.4,0.4,0.6,0.2,0.0,0.0,0.8,1.000,,,1.000,https://www.sports-reference.com/cbb/players/bryan-penn-johnson-1.html,add_transfer_row_and_d1_source_stats
2025-26,Cal State Bakersfield,Ron Jessamy,Tennessee State,OVC,D1,2024-25,SO,F,26,18.7,8.9,5.8,0.7,0.3,1.3,1.8,.592,.000,.627,.592,https://www.sports-reference.com/cbb/players/ron-jessamy-1.html,add_transfer_row_and_d1_source_stats
2022-23,Cal State Fullerton,John Mikey Square,Fairleigh Dickinson,NEC,D1,2021-22,SO,F,25,22.0,8.5,5.0,1.3,0.9,1.0,1.0,.541,.412,.658,.565,https://www.sports-reference.com/cbb/players/john-squarejr-1.html,add_transfer_row_and_d1_source_stats
2022-23,Cal State Northridge,De'Sean Allen-Eikens,New Orleans,Southland,D1,2021-22,SO,G,14,19.4,5.9,3.2,1.1,0.4,0.3,1.3,.431,.250,.600,.472,https://www.sports-reference.com/cbb/players/desean-allen-eikens-1.html,add_transfer_row_and_d1_source_stats
2025-26,Cal State Northridge,Aleksander Szymczyk,Charlotte,AAC,D1,2024-25,SO,F,20,4.9,1.1,0.8,0.2,0.0,0.0,0.4,.296,.286,.286,.370,https://www.sports-reference.com/cbb/players/aleksander-szymczyk-1.html,add_transfer_row_and_d1_source_stats
2025-26,Cal State Northridge,Joshua O'Garro,Texas State,Sun Belt,D1,2024-25,SR,G,32,30.1,9.6,7.0,1.6,0.9,0.6,1.1,.450,.333,.849,.494,https://www.sports-reference.com/cbb/players/josh-ogarro-1.html,add_transfer_row_and_d1_source_stats
2025-26,Hawaii,Quandre Bullock,South Dakota,Summit,D1,2024-25,SR,G,30,22.8,12.1,3.6,1.6,1.4,0.5,1.5,.439,.320,.756,.520,https://www.sports-reference.com/cbb/players/quandre-bullock-1.html,add_transfer_row_and_d1_source_stats
2023-24,Long Beach State,Isael Silva,Stanford,Pac-12,D1,2022-23,SO,G,32,12.9,3.2,0.5,1.2,0.3,0.0,0.9,.427,.250,.613,.461,https://www.sports-reference.com/cbb/players/isa-silva-1.html,add_transfer_row_and_d1_source_stats
2024-25,Long Beach State,TJ Wainwright,Robert Morris,Horizon,D1,2023-24,SO,G,27,22.6,10.0,2.1,1.4,0.5,0.1,1.9,.428,.333,.753,.502,https://www.sports-reference.com/cbb/players/tj-wainwright-1.html,add_transfer_row_and_d1_source_stats
2025-26,Long Beach State,Demarshay Johnson,San Diego State,MWC,D1,2024-25,JR,F,15,4.4,1.1,0.7,0.0,0.1,0.3,0.3,.727,,.333,.727,https://www.sports-reference.com/cbb/players/demarshay-johnsonjr-1.html,add_transfer_row_and_d1_source_stats
2025-26,Long Beach State,JJ Chaikovsky,NJIT,AmEast,D1,2023-24,FR,F,9,3.3,0.7,0.7,0.2,0.0,0.4,0.0,.400,.000,1.000,.400,https://www.sports-reference.com/cbb/players/jj-chaikovsky-1.html,add_transfer_row_and_d1_source_stats
2022-23,UC Davis,DeAndre Henry,Nevada,MWC,D1,2021-22,SO,F,15,5.7,1.1,1.4,0.0,0.1,0.0,0.2,.368,.333,1.000,.421,https://www.sports-reference.com/cbb/players/deandre-henry-1.html,add_transfer_row_and_d1_source_stats
2022-23,UC Davis,Robby Beasley,Montana,Big Sky,D1,2021-22,SO,G,32,30.6,11.8,2.7,1.8,1.0,0.2,1.5,.391,.369,.824,.500,https://www.sports-reference.com/cbb/players/robby-beasley-1.html,add_transfer_row_and_d1_source_stats
2024-25,UC Davis,Carl Daugherty,Central Arkansas,A-Sun,D1,2023-24,SO,G,29,19.2,9.9,2.7,0.3,0.9,0.2,1.2,.375,.310,.735,.428,https://www.sports-reference.com/cbb/players/carl-daugherty-1.html,add_transfer_row_and_d1_source_stats
2023-24,UC Riverside,Benjamin Griscti,Incarnate Word,Southland,D1,2022-23,SO,C,31,14.5,5.2,3.5,0.4,0.4,0.5,0.6,.470,.382,.563,.580,https://www.sports-reference.com/cbb/players/benjamin-griscti-1.html,add_transfer_row_and_d1_source_stats
