first_big_west_season,destination_school,destination_school_slug,player_name,class,position,height,weight,profile_prior_season,profile_prior_school,profile_prior_conf,profile_prior_level_guess,candidate_action,sports_reference_player_url,already_in_inbound_transfers,already_in_inbound_same_program,inbound_matched_first_big_west_season,inbound_source_school,inbound_source_level,model_ready_playable,audit_status
2022-23,Cal Poly,cal-poly,Aidan Prukop,SO,G,6-4,180,2021-22,Did not play - redshirt,,NO_STATS,do_not_use_as_source_stat_row_without_earlier_playable_season,https://www.sports-reference.com/cbb/players/aidan-prukop-1.html,FALSE,FALSE,,,,FALSE,possible_missing_transfer
2022-23,Cal Poly,cal-poly,Bryan Penn-Johnson,JR,C,7-0,260,2020-21,Louisiana State,SEC,D1,add_transfer_row_and_d1_source_stats,https://www.sports-reference.com/cbb/players/bryan-penn-johnson-1.html,FALSE,FALSE,,,,FALSE,possible_missing_transfer
2023-24,Cal Poly,cal-poly,Tuukka Jaakkola,SR,F,6-10,240,2022-23,Did not play - dnp,,NO_STATS,do_not_use_as_source_stat_row_without_earlier_playable_season,https://www.sports-reference.com/cbb/players/tuukka-jaakkola-1.html,FALSE,FALSE,,,,FALSE,possible_missing_transfer
2024-25,Cal Poly,cal-poly,Eric Brown,SO,F,6-8,225,2023-24,Did not play - dnp,,NO_STATS,do_not_use_as_source_stat_row_without_earlier_playable_season,https://www.sports-reference.com/cbb/players/eric-brown-5.html,FALSE,FALSE,,,,FALSE,possible_missing_transfer
2022-23,Cal State Bakersfield,cal-state-bakersfield,Naseem Gaskin,JR,G,6-4,185,2021-22,Did not play - juco,,JUCO,add_transfer_row_and_find_juco_source_stats,https://www.sports-reference.com/cbb/players/naseem-gaskin-1.html,FALSE,FALSE,,,,FALSE,possible_missing_transfer
2023-24,Cal State Bakersfield,cal-state-bakersfield,Kareem Watson,SO,G,6-7,180,2022-23,Did not play - redshirt,,NO_STATS,do_not_use_as_source_stat_row_without_earlier_playable_season,https://www.sports-reference.com/cbb/players/kareem-watson-1.html,FALSE,FALSE,,,,FALSE,possible_missing_transfer
2024-25,Cal State Bakersfield,cal-state-bakersfield,CJ Hardy,JR,G,6-3,170,2023-24,Did not play - juco,,JUCO,add_transfer_row_and_find_juco_source_stats,https://www.sports-reference.com/cbb/players/cj-hardy-1.html,FALSE,FALSE,,,,FALSE,possible_missing_transfer
2024-25,Cal State Bakersfield,cal-state-bakersfield,Kadar Waller,SR,G,5-10,170,2023-24,Did not play - redshirt,,NO_STATS,do_not_use_as_source_stat_row_without_earlier_playable_season,https://www.sports-reference.com/cbb/players/kadar-waller-1.html,FALSE,FALSE,,,,FALSE,possible_missing_transfer
2025-26,Cal State Bakersfield,cal-state-bakersfield,AJ George,JR,F,6-6,190,2024-25,SMU,ACC,JUCO,add_transfer_row_and_find_juco_source_stats,https://www.sports-reference.com/cbb/players/aj-george-1.html,FALSE,FALSE,,,,FALSE,possible_missing_transfer
2025-26,Cal State Bakersfield,cal-state-bakersfield,Ron Jessamy,JR,F,6-8,210,2024-25,Tennessee State,OVC,D1,add_transfer_row_and_d1_source_stats,https://www.sports-reference.com/cbb/players/ron-jessamy-1.html,FALSE,FALSE,,,,FALSE,possible_missing_transfer
2022-23,Cal State Fullerton,cal-state-fullerton,Daeshawn Eaton,JR,G,6-2,160,2021-22,Did not play - juco,,JUCO,add_transfer_row_and_find_juco_source_stats,https://www.sports-reference.com/cbb/players/daeshawn-eaton-1.html,FALSE,FALSE,,,,FALSE,possible_missing_transfer
2022-23,Cal State Fullerton,cal-state-fullerton,John Mikey Square,JR,F,6-6,210,2021-22,Fairleigh Dickinson,NEC,D1,add_transfer_row_and_d1_source_stats,https://www.sports-reference.com/cbb/players/john-squarejr-1.html,FALSE,FALSE,,,,FALSE,possible_missing_transfer
2022-23,Cal State Fullerton,cal-state-fullerton,Lathaniel Bastian,SO,G,6-8,225,2021-22,Did not play - non-major team,,D2,add_transfer_row_and_find_d2_source_stats,https://www.sports-reference.com/cbb/players/lathaniel-bastian-1.html,FALSE,FALSE,,,,FALSE,possible_missing_transfer
2023-24,Cal State Fullerton,cal-state-fullerton,Sydney Shipp,SR,G,6-0,170,2022-23,Did not play - non-major team,,D2,add_transfer_row_and_find_d2_source_stats,https://www.sports-reference.com/cbb/players/sydney-shipp-1.html,FALSE,FALSE,,,,FALSE,possible_missing_transfer
2023-24,Cal State Fullerton,cal-state-fullerton,Trevor Williams,JR,G,6-1,170,2022-23,Did not play - dnp,,NO_STATS,do_not_use_as_source_stat_row_without_earlier_playable_season,https://www.sports-reference.com/cbb/players/trevor-williams-3.html,FALSE,FALSE,,,,FALSE,possible_missing_transfer
2023-24,Cal State Fullerton,cal-state-fullerton,Zach Visentin,JR,C,6-9,280,2022-23,Did not play - juco,,JUCO,add_transfer_row_and_find_juco_source_stats,https://www.sports-reference.com/cbb/players/zach-visentin-1.html,FALSE,FALSE,,,,FALSE,possible_missing_transfer
2024-25,Cal State Fullerton,cal-state-fullerton,Simon Tilahun,SO,G,6-1,160,2023-24,Did not play - dnp,,NO_STATS,do_not_use_as_source_stat_row_without_earlier_playable_season,https://www.sports-reference.com/cbb/players/simon-tilahun-1.html,FALSE,FALSE,,,,FALSE,possible_missing_transfer
2022-23,Cal State Northridge,cal-state-northridge,Adam Afifi,JR,F,6-9,235,2021-22,Did not play - juco,,JUCO,add_transfer_row_and_find_juco_source_stats,https://www.sports-reference.com/cbb/players/adam-afifi-1.html,FALSE,FALSE,,,,FALSE,possible_missing_transfer
2022-23,Cal State Northridge,cal-state-northridge,De'Sean Allen-Eikens,JR,G,6-6,219,2021-22,New Orleans,Southland,D1,add_transfer_row_and_d1_source_stats,https://www.sports-reference.com/cbb/players/desean-allen-eikens-1.html,FALSE,FALSE,,,,FALSE,possible_missing_transfer
2022-23,Cal State Northridge,cal-state-northridge,John Wade,JR,G,6-5,175,2021-22,Did not play - juco,,JUCO,add_transfer_row_and_find_juco_source_stats,https://www.sports-reference.com/cbb/players/john-wade-iii-1.html,FALSE,FALSE,,,,FALSE,possible_missing_transfer
2024-25,Cal State Northridge,cal-state-northridge,Joseph Barrio,SO,G,6-1,170,2023-24,Did not play - dnp,,NO_STATS,do_not_use_as_source_stat_row_without_earlier_playable_season,https://www.sports-reference.com/cbb/players/joseph-barrio-1.html,FALSE,FALSE,,,,FALSE,possible_missing_transfer
2024-25,Cal State Northridge,cal-state-northridge,PJ Fuller,SR,G,6-4,175,2023-24,Did not play - dnp,,NO_STATS,do_not_use_as_source_stat_row_without_earlier_playable_season,https://www.sports-reference.com/cbb/players/pj-fuller-1.html,FALSE,FALSE,,,,FALSE,possible_missing_transfer
2024-25,Cal State Northridge,cal-state-northridge,Robert Thibiant,JR,G,6-2,185,2023-24,Did not play - manager,,NO_STATS,do_not_use_as_source_stat_row_without_earlier_playable_season,https://www.sports-reference.com/cbb/players/robert-thibiant-1.html,FALSE,FALSE,,,,FALSE,possible_missing_transfer
2025-26,Cal State Northridge,cal-state-northridge,Aleksander Szymczyk,JR,F,6-10,240,2024-25,Charlotte,AAC,D1,add_transfer_row_and_d1_source_stats,https://www.sports-reference.com/cbb/players/aleksander-szymczyk-1.html,FALSE,FALSE,,,,FALSE,possible_missing_transfer
2025-26,Cal State Northridge,cal-state-northridge,Joshua O'Garro,SR,G,6-5,175,2024-25,Texas State,Sun Belt,D1,add_transfer_row_and_d1_source_stats,https://www.sports-reference.com/cbb/players/josh-ogarro-1.html,FALSE,FALSE,,,,FALSE,possible_missing_transfer
2024-25,Hawaii,hawaii,Osa Obasohan,SO,G,6-4,220,2023-24,Did not play - dnp,,NO_STATS,do_not_use_as_source_stat_row_without_earlier_playable_season,https://www.sports-reference.com/cbb/players/osa-obasohan-1.html,FALSE,FALSE,,,,FALSE,possible_missing_transfer
2025-26,Hawaii,hawaii,Quandre Bullock,SR,G,6-6,195,2024-25,South Dakota,Summit,D1,add_transfer_row_and_d1_source_stats,https://www.sports-reference.com/cbb/players/quandre-bullock-1.html,FALSE,FALSE,,,,FALSE,possible_missing_transfer
