first_big_west_season,destination_school,player_name,source_school_or_label,source_level,source_season,sports_reference_player_url,candidate_action,needed
2022-23,Cal Poly,Aidan Prukop,Did not play - redshirt,NO_STATS,2021-22,https://www.sports-reference.com/cbb/players/aidan-prukop-1.html,do_not_use_as_source_stat_row_without_earlier_playable_season,no source stat row from this label; check earlier playable season before adding
2023-24,Cal Poly,Tuukka Jaakkola,Did not play - dnp,NO_STATS,2022-23,https://www.sports-reference.com/cbb/players/tuukka-jaakkola-1.html,do_not_use_as_source_stat_row_without_earlier_playable_season,no source stat row from this label; check earlier playable season before adding
2024-25,Cal Poly,Eric Brown,Did not play - dnp,NO_STATS,2023-24,https://www.sports-reference.com/cbb/players/eric-brown-5.html,do_not_use_as_source_stat_row_without_earlier_playable_season,no source stat row from this label; check earlier playable season before adding
2022-23,Cal State Bakersfield,Naseem Gaskin,Did not play - juco,JUCO,2021-22,https://www.sports-reference.com/cbb/players/naseem-gaskin-1.html,add_transfer_row_and_find_juco_source_stats,find JUCO prior team and source-season stats from school/VC/official pages
2023-24,Cal State Bakersfield,Kareem Watson,Did not play - redshirt,NO_STATS,2022-23,https://www.sports-reference.com/cbb/players/kareem-watson-1.html,do_not_use_as_source_stat_row_without_earlier_playable_season,no source stat row from this label; check earlier playable season before adding
2024-25,Cal State Bakersfield,CJ Hardy,Did not play - juco,JUCO,2023-24,https://www.sports-reference.com/cbb/players/cj-hardy-1.html,add_transfer_row_and_find_juco_source_stats,find JUCO prior team and source-season stats from school/VC/official pages
2024-25,Cal State Bakersfield,Kadar Waller,Did not play - redshirt,NO_STATS,2023-24,https://www.sports-reference.com/cbb/players/kadar-waller-1.html,do_not_use_as_source_stat_row_without_earlier_playable_season,no source stat row from this label; check earlier playable season before adding
2025-26,Cal State Bakersfield,AJ George,SMU,JUCO,2024-25,https://www.sports-reference.com/cbb/players/aj-george-1.html,add_transfer_row_and_find_juco_source_stats,find JUCO prior team and source-season stats from school/VC/official pages
2022-23,Cal State Fullerton,Daeshawn Eaton,Did not play - juco,JUCO,2021-22,https://www.sports-reference.com/cbb/players/daeshawn-eaton-1.html,add_transfer_row_and_find_juco_source_stats,find JUCO prior team and source-season stats from school/VC/official pages
2022-23,Cal State Fullerton,Lathaniel Bastian,Did not play - non-major team,D2,2021-22,https://www.sports-reference.com/cbb/players/lathaniel-bastian-1.html,add_transfer_row_and_find_d2_source_stats,find D2 prior team and source-season stats from school/VC/official pages
2023-24,Cal State Fullerton,Sydney Shipp,Did not play - non-major team,D2,2022-23,https://www.sports-reference.com/cbb/players/sydney-shipp-1.html,add_transfer_row_and_find_d2_source_stats,find D2 prior team and source-season stats from school/VC/official pages
