priority,player_name,player_slug,source_school,source_school_slug,source_level,destination_school,destination_school_slug,first_big_west_season,expected_source_season,has_big_west_outcome,model_training_window,local_cache_status,recommended_next_step,current_missing_reason,source_url
1,Jérôme Desrosiers,jrme-desrosiers,Princeton,princeton,D1,Hawaii,hawaii,2021-22,2020-21,TRUE,TRUE,no_local_player_page,fetch_sports_reference_later_or_use_source_school_page,sports_reference_source_row_not_in_local_cache,https://www.verbalcommits.com/players/jrme-desrosiers
1,Jhaylon Martinez,jhaylon-martinez,UNLV,unlv,D1,UC Riverside,uc-riverside,2021-22,2020-21,TRUE,TRUE,source_school_page_cached_no_player_row,review_transfer_timing_or_no_source_stats,sports_reference_source_row_not_in_local_cache,https://www.verbalcommits.com/players/jhaylon-martinez
1,Jaden Alexander,jaden-alexander,New Mexico State,new-mexico-state,D1,Cal State Bakersfield,cal-state-bakersfield,2023-24,2022-23,TRUE,TRUE,source_school_page_cached_no_player_row,review_transfer_timing_or_no_source_stats,sports_reference_source_row_not_in_local_cache,https://www.verbalcommits.com/players/jaden-alexander
1,Matthue Cotton,matthue-cotton,Yale,yale,D1,Hawaii,hawaii,2023-24,2022-23,TRUE,TRUE,source_school_page_cached_no_player_row,review_transfer_timing_or_no_source_stats,sports_reference_source_row_not_in_local_cache,https://www.verbalcommits.com/players/matthue-cotton
1,Drew Carter,drew-carter,Colorado,colorado,D1,UC Davis,uc-davis,2023-24,2022-23,TRUE,TRUE,source_school_page_cached_no_player_row,review_transfer_timing_or_no_source_stats,sports_reference_source_row_not_in_local_cache,https://www.verbalcommits.com/players/drew-carter
1,Clancy Bird,clancy-bird,Seattle,seattle,D1,UC Riverside,uc-riverside,2023-24,2022-23,TRUE,TRUE,source_school_page_cached_no_player_row,review_transfer_timing_or_no_source_stats,sports_reference_source_row_not_in_local_cache,https://www.verbalcommits.com/players/clancy-bird
1,"Ramel Lloyd, Jr.",ramel-lloyd-jr,Nebraska,nebraska,D1,Long Beach State,long-beach-state,2024-25,2023-24,TRUE,TRUE,source_school_page_cached_no_player_row,review_transfer_timing_or_no_source_stats,sports_reference_source_row_not_in_local_cache,https://www.verbalcommits.com/players/ramel-lloyd-jr
1,Parker Strauss,parker-strauss,Northwestern,northwestern,D1,UC Riverside,uc-riverside,2024-25,2023-24,TRUE,TRUE,source_school_page_cached_no_player_row,review_transfer_timing_or_no_source_stats,sports_reference_source_row_not_in_local_cache,https://www.verbalcommits.com/players/parker-strauss
1,"James Evans, Jr.",james-evans,UNLV,unlv,D1,Cal State Northridge,cal-state-northridge,2025-26,2024-25,TRUE,TRUE,source_school_page_cached_no_player_row,review_transfer_timing_or_no_source_stats,sports_reference_source_row_not_in_local_cache,https://www.verbalcommits.com/players/james-evans
1,J.J. Chaikovsky,jj-chaikovsky,Cal State Northridge,cal-state-northridge,D1,Long Beach State,long-beach-state,2025-26,2024-25,TRUE,TRUE,source_school_page_cached_no_player_row,review_transfer_timing_or_no_source_stats,sports_reference_source_row_not_in_local_cache,https://www.verbalcommits.com/players/jj-chaikovsky
1,Dimitrije Vukićević,dimitrije-vukievi,Washington State,washington-state,D1,UC San Diego,uc-san-diego,2025-26,2024-25,TRUE,TRUE,source_school_page_cached_no_player_row,review_transfer_timing_or_no_source_stats,sports_reference_source_row_not_in_local_cache,https://www.verbalcommits.com/players/dimitrije-vukievi
1,Trap Johnson,trap-johnson,Montana State,montana-state,D1,UC San Diego,uc-san-diego,2025-26,2024-25,TRUE,TRUE,source_school_page_cached_no_player_row,review_transfer_timing_or_no_source_stats,sports_reference_source_row_not_in_local_cache,https://www.verbalcommits.com/players/trap-johnson
1,Hosana Kitenge,hosana-kitenge,Louisiana,louisiana,D1,UC Santa Barbara,uc-santa-barbara,2025-26,2024-25,TRUE,TRUE,source_school_page_cached_no_player_row,review_transfer_timing_or_no_source_stats,sports_reference_source_row_not_in_local_cache,https://www.verbalcommits.com/players/hosana-kitenge
2,Guzmán Vasilić,guzmn-vasili,Southeastern Oklahoma State,southeastern-oklahoma-state,D2,Cal Poly,cal-poly,2024-25,2023-24,TRUE,TRUE,,manual_d2_school_page_or_confirm_no_stat_row,d2_source_row_not_in_phase1_school_stats,https://www.verbalcommits.com/players/guzmn-vasili
2,Kaleb Higgins,kaleb-higgins,Holmes Community College,holmes-community-college,JUCO,Cal State Bakersfield,cal-state-bakersfield,2021-22,2020-21,TRUE,TRUE,,manual_juco_or_official_school_page,source_level_not_yet_supported,https://www.verbalcommits.com/players/kaleb-higgins
2,Marvin McGhee III,marvin-mcghee,South Georgia Technical College,south-georgia-technical-college,JUCO,Cal State Bakersfield,cal-state-bakersfield,2022-23,2021-22,TRUE,TRUE,,manual_juco_or_official_school_page,source_level_not_yet_supported,https://www.verbalcommits.com/players/marvin-mcghee
2,Amari Stroud,amari-stroud,Allan Hancock College,allan-hancock-college2,JUCO,Long Beach State,long-beach-state,2022-23,2021-22,TRUE,TRUE,,manual_juco_or_official_school_page,source_level_not_yet_supported,https://www.verbalcommits.com/players/amari-stroud
2,Chayce Polynice,chayce-polynice,College of Southern Idaho,college-of-southern-idaho2,JUCO,Long Beach State,long-beach-state,2022-23,2021-22,TRUE,TRUE,,manual_juco_or_official_school_page,source_level_not_yet_supported,https://www.verbalcommits.com/players/chayce-polynice
2,Sam Manu,sam-manu,College of San Mateo,college-of-san-mateo,JUCO,UC Davis,uc-davis,2022-23,2021-22,TRUE,TRUE,,manual_juco_or_official_school_page,source_level_not_yet_supported,https://www.verbalcommits.com/players/sam-manu
2,Vlad Salaridze,vladimer-salaridze,Eastern Florida State College,eastern-florida-state-college2,JUCO,UC Riverside,uc-riverside,2022-23,2021-22,TRUE,TRUE,,manual_juco_or_official_school_page,source_level_not_yet_supported,https://www.verbalcommits.com/players/vladimer-salaridze
2,Evans Kipruto,evans-kipruto2,Barton Community College,barton-community-college,JUCO,UC Santa Barbara,uc-santa-barbara,2022-23,2021-22,TRUE,TRUE,,manual_juco_or_official_school_page,source_level_not_yet_supported,https://www.verbalcommits.com/players/evans-kipruto2
2,Cam Malray,cameron-malray,Dodge City Community College,dodge-city-community-college,JUCO,Cal Poly,cal-poly,2023-24,2022-23,TRUE,TRUE,,manual_juco_or_official_school_page,source_level_not_yet_supported,https://www.verbalcommits.com/players/cameron-malray
2,Joel Armotrading,joel-armotrading,College of Southern Idaho,college-of-southern-idaho,JUCO,Cal Poly,cal-poly,2023-24,2022-23,TRUE,TRUE,,manual_juco_or_official_school_page,source_level_not_yet_supported,https://www.verbalcommits.com/players/joel-armotrading
2,Corey Stephenson,corey-stephenson,Northeast Mississippi Community College,northeast-mississippi-community-college,JUCO,Cal State Bakersfield,cal-state-bakersfield,2023-24,2022-23,TRUE,TRUE,,manual_juco_or_official_school_page,source_level_not_yet_supported,https://www.verbalcommits.com/players/corey-stephenson
