first_big_west_season,destination_school,destination_school_slug,player_name,player_key,class,position,height,weight,sports_reference_player_url,roster_cache_path,previous_team_roster_status,already_in_inbound_transfers,already_in_inbound_same_program,inbound_matched_first_big_west_season,inbound_source_school,inbound_source_level,model_ready_playable,model_source_level,profile_cache_status,profile_prior_season,profile_prior_school,profile_prior_conf,profile_prior_level_guess,profile_transfer_candidate,candidate_action,audit_status
2021-22,Cal Poly,cal-poly,Ajani Kennedy,ajani kennedy,SR,F,6-9,225,https://www.sports-reference.com/cbb/players/ajani-kennedy-1.html,data/cache/sports_reference_big_west_schools/cal-poly_2022.html,no_previous_team_cache,FALSE,FALSE,,,,FALSE,,not_cached,,,,,FALSE,fetch_or_review_player_profile,needs_prior_roster_cache
2021-22,Cal Poly,cal-poly,Alimamy Koroma,alimamy koroma,JR,F,6-8,220,https://www.sports-reference.com/cbb/players/alimamy-koroma-1.html,data/cache/sports_reference_big_west_schools/cal-poly_2022.html,no_previous_team_cache,FALSE,FALSE,,,,FALSE,,not_cached,,,,,FALSE,fetch_or_review_player_profile,needs_prior_roster_cache
2021-22,Cal Poly,cal-poly,Brantly Stevenson,brantly stevenson,SO,F,6-4,185,https://www.sports-reference.com/cbb/players/brantly-stevenson-1.html,data/cache/sports_reference_big_west_schools/cal-poly_2022.html,no_previous_team_cache,FALSE,FALSE,,,,FALSE,,not_cached,,,,,FALSE,fetch_or_review_player_profile,needs_prior_roster_cache
2021-22,Cal Poly,cal-poly,Camren Pierce,camren pierce,SO,G,5-10,175,https://www.sports-reference.com/cbb/players/camren-pierce-1.html,data/cache/sports_reference_big_west_schools/cal-poly_2022.html,no_previous_team_cache,FALSE,FALSE,,,,FALSE,,not_cached,,,,,FALSE,fetch_or_review_player_profile,needs_prior_roster_cache
2021-22,Cal Poly,cal-poly,Daniel Esparza,daniel esparza,FR,G,6-2,175,https://www.sports-reference.com/cbb/players/daniel-esparza-1.html,data/cache/sports_reference_big_west_schools/cal-poly_2022.html,no_previous_team_cache,FALSE,FALSE,,,,FALSE,,not_cached,,,,,FALSE,fetch_or_review_player_profile,needs_prior_roster_cache
2021-22,Cal Poly,cal-poly,Hayden Jory,hayden jory,FR,G,5-11,170,https://www.sports-reference.com/cbb/players/hayden-jory-1.html,data/cache/sports_reference_big_west_schools/cal-poly_2022.html,no_previous_team_cache,FALSE,FALSE,,,,FALSE,,not_cached,,,,,FALSE,fetch_or_review_player_profile,needs_prior_roster_cache
2021-22,Cal Poly,cal-poly,Jacob Davison,jacob davison,SR,G,6-4,175,https://www.sports-reference.com/cbb/players/jacob-davison-1.html,data/cache/sports_reference_big_west_schools/cal-poly_2022.html,no_previous_team_cache,TRUE,TRUE,2021-22,Eastern Washington,D1,TRUE,D1,not_cached,,,,,FALSE,already_in_transfer_table,already_in_transfer_table
2021-22,Cal Poly,cal-poly,Julien Franklin,julien franklin,SO,G,6-7,200,https://www.sports-reference.com/cbb/players/julien-franklin-1.html,data/cache/sports_reference_big_west_schools/cal-poly_2022.html,no_previous_team_cache,TRUE,TRUE,2021-22,Oregon State,D1,TRUE,D1,not_cached,,,,,FALSE,already_in_transfer_table,already_in_transfer_table
2021-22,Cal Poly,cal-poly,Kobe Sanders,kobe sanders,SO,G,6-6,175,https://www.sports-reference.com/cbb/players/kobe-sanders-1.html,data/cache/sports_reference_big_west_schools/cal-poly_2022.html,no_previous_team_cache,FALSE,FALSE,,,,FALSE,,not_cached,,,,,FALSE,fetch_or_review_player_profile,needs_prior_roster_cache
2021-22,Cal Poly,cal-poly,Kyle Colvin,kyle colvin,SO,F,6-6,200,https://www.sports-reference.com/cbb/players/kyle-colvin-1.html,data/cache/sports_reference_big_west_schools/cal-poly_2022.html,no_previous_team_cache,FALSE,FALSE,,,,FALSE,,not_cached,,,,,FALSE,fetch_or_review_player_profile,needs_prior_roster_cache
2021-22,Cal Poly,cal-poly,Matur Dhal,matur dhal,FR,C,6-11,195,https://www.sports-reference.com/cbb/players/matur-dhal-1.html,data/cache/sports_reference_big_west_schools/cal-poly_2022.html,no_previous_team_cache,FALSE,FALSE,,,,FALSE,,not_cached,,,,,FALSE,fetch_or_review_player_profile,needs_prior_roster_cache
2021-22,Cal Poly,cal-poly,Nick Carlson,nick carlson,SO,G,6-0,155,https://www.sports-reference.com/cbb/players/nick-carlson-1.html,data/cache/sports_reference_big_west_schools/cal-poly_2022.html,no_previous_team_cache,FALSE,FALSE,,,,FALSE,,not_cached,,,,,FALSE,fetch_or_review_player_profile,needs_prior_roster_cache
2021-22,Cal Poly,cal-poly,Trevon Taylor,trevon taylor,JR,G,6-6,197,https://www.sports-reference.com/cbb/players/trevon-taylor-1.html,data/cache/sports_reference_big_west_schools/cal-poly_2022.html,no_previous_team_cache,TRUE,TRUE,2021-22,James Madison,D1,TRUE,D1,not_cached,,,,,FALSE,already_in_transfer_table,already_in_transfer_table
2021-22,Cal Poly,cal-poly,Tuukka Jaakkola,tuukka jaakkola,SR,F,6-10,240,https://www.sports-reference.com/cbb/players/tuukka-jaakkola-1.html,data/cache/sports_reference_big_west_schools/cal-poly_2022.html,no_previous_team_cache,FALSE,FALSE,,,,FALSE,,cached,2020-21,Cal Poly,Big West,D1,FALSE,add_transfer_row_and_d1_source_stats,needs_prior_roster_cache
2022-23,Cal Poly,cal-poly,Aaron Price,aaron price,FR,F,6-8,195,https://www.sports-reference.com/cbb/players/aaron-price-jr-1.html,data/cache/sports_reference_big_west_schools/cal-poly_2023.html,had_previous_team_cache,FALSE,FALSE,,,,FALSE,,cached,,,,,FALSE,manual_review_prior_school,new_roster_player_no_prior_school_on_cached_profile
2022-23,Cal Poly,cal-poly,Aidan Prukop,aidan prukop,SO,G,6-4,180,https://www.sports-reference.com/cbb/players/aidan-prukop-1.html,data/cache/sports_reference_big_west_schools/cal-poly_2023.html,had_previous_team_cache,FALSE,FALSE,,,,FALSE,,cached,2021-22,Did not play - redshirt,,NO_STATS,TRUE,do_not_use_as_source_stat_row_without_earlier_playable_season,possible_missing_transfer
2022-23,Cal Poly,cal-poly,Bryan Penn-Johnson,bryan penn johnson,JR,C,7-0,260,https://www.sports-reference.com/cbb/players/bryan-penn-johnson-1.html,data/cache/sports_reference_big_west_schools/cal-poly_2023.html,had_previous_team_cache,FALSE,FALSE,,,,FALSE,,cached,2020-21,Louisiana State,SEC,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_missing_transfer
2022-23,Cal Poly,cal-poly,Chance Hunter,chance hunter,SR,G,6-6,190,https://www.sports-reference.com/cbb/players/chance-hunter-1.html,data/cache/sports_reference_big_west_schools/cal-poly_2023.html,had_previous_team_cache,TRUE,TRUE,2022-23,California Baptist,D1,TRUE,D1,cached,2021-22,California Baptist,WAC,D1,TRUE,already_in_transfer_table,already_in_transfer_table
2022-23,Cal Poly,cal-poly,Cole Haller,cole haller,FR,F,6-7,185,https://www.sports-reference.com/cbb/players/cole-haller-1.html,data/cache/sports_reference_big_west_schools/cal-poly_2023.html,had_previous_team_cache,FALSE,FALSE,,,,FALSE,,cached,,,,,FALSE,manual_review_prior_school,new_roster_player_no_prior_school_on_cached_profile
2022-23,Cal Poly,cal-poly,Isaac Spears,isaac spears,SO,G,6-4,170,https://www.sports-reference.com/cbb/players/isaac-spears-1.html,data/cache/sports_reference_big_west_schools/cal-poly_2023.html,had_previous_team_cache,TRUE,TRUE,2022-23,Montana State,D1,TRUE,D1,not_cached,,,,,FALSE,already_in_transfer_table,already_in_transfer_table
2022-23,Cal Poly,cal-poly,Martin Cohen,martin cohen,FR,G,,,https://www.sports-reference.com/cbb/players/martin-cohen-1.html,data/cache/sports_reference_big_west_schools/cal-poly_2023.html,had_previous_team_cache,FALSE,FALSE,,,,FALSE,,cached,,,,,FALSE,manual_review_prior_school,new_roster_player_no_prior_school_on_cached_profile
2022-23,Cal Poly,cal-poly,Nick Fleming,nick fleming,SR,G,6-1,165,https://www.sports-reference.com/cbb/players/nick-fleming-1.html,data/cache/sports_reference_big_west_schools/cal-poly_2023.html,had_previous_team_cache,TRUE,TRUE,2022-23,Southern Utah,D1,TRUE,D1,not_cached,,,,,FALSE,already_in_transfer_table,already_in_transfer_table
2023-24,Cal Poly,cal-poly,Cam Malray,cam malray,JR,F,6-8,220,https://www.sports-reference.com/cbb/players/cam-malray-1.html,data/cache/sports_reference_big_west_schools/cal-poly_2024.html,had_previous_team_cache,TRUE,TRUE,2023-24,Dodge City Community College,JUCO,FALSE,,not_cached,,,,,FALSE,already_in_transfer_table,already_in_transfer_table
2023-24,Cal Poly,cal-poly,Jackson Mosley,jackson mosley,FR,G,5-10,170,https://www.sports-reference.com/cbb/players/jackson-mosley-1.html,data/cache/sports_reference_big_west_schools/cal-poly_2024.html,had_previous_team_cache,FALSE,FALSE,,,,FALSE,,cached,,,,,FALSE,manual_review_prior_school,new_roster_player_no_prior_school_on_cached_profile
2023-24,Cal Poly,cal-poly,Jarred Hyder,jarred hyder,SR,G,6-3,180,https://www.sports-reference.com/cbb/players/jarred-hyder-1.html,data/cache/sports_reference_big_west_schools/cal-poly_2024.html,had_previous_team_cache,TRUE,TRUE,2023-24,California,D1,FALSE,,not_cached,,,,,FALSE,already_in_transfer_table,already_in_transfer_table
