player_name,player_slug,source_school,source_school_slug,source_conference,source_level,destination_school,destination_school_slug,first_big_west_season,pathway_type,sr_season,sr_team,sr_conf,class,position,games,games_started,mpg,minutes,minutes_share,ppg,rpg,apg,spg,bpg,topg,fg_pct,fg3_pct,ft_pct,efg_pct,ts_pct,three_rate,ft_rate,per,ts_pct_advanced,usg_pct,ows,dws,ws,ws_per_40,bpm,source_url
Joel Murray,joel-murray,West Texas A&M,west-texas-a-m,LSC,D2,Long Beach State,long-beach-state,2021-22,d2_big_west,2021-22,Long Beach State,Big West,JR,G,33,30,32.1,1059.3,0.8025,16.7,3.0,2.8,1.5,0.1,2.5,0.449,0.371,0.853,0.479,0.5509369226708893,0.16153846153846155,0.37692307692307697,19.2,0.543,27.4,2.2,1.2,3.5,0.131,1.3,https://www.sports-reference.com/cbb/players/joel-murray-1.html
Max Jones,max-jones,Tampa,tampa,SSC,D2,Cal State Fullerton,cal-state-fullerton,2022-23,d2_big_west,2022-23,Cal State Fullerton,Big West,,G,32,32,31.9,1020.8,0.7975,12.5,4.0,2.2,0.9,0.3,2.1,0.444,0.395,0.785,0.502,0.5657132512671976,0.29347826086956524,0.4565217391304348,16.8,0.56,22.3,2.0,1.7,3.7,0.144,2.8,https://www.sports-reference.com/cbb/schools/cal-state-fullerton/men/2023.html
Beril Kabamba,beril-kabamba2,Spring Hill,spring-hill,SIAC,D2,Cal State Fullerton,cal-state-fullerton,2023-24,d2_big_west,2023-24,Cal State Fullerton,Big West,JR,F,29,7,17.1,495.90000000000003,0.42750000000000005,3.6,3.5,0.8,0.4,0.1,1.3,0.381,0.192,0.686,0.411,0.4875406283856988,0.3103448275862069,0.6206896551724138,7.5,0.48,15.7,-0.2,0.7,0.5,0.04,-4.7,https://www.sports-reference.com/cbb/players/beril-kabamba-1.html
Jalen Cooper,jalen-cooper,Palm Beach Atlantic,palm-beach-atlantic,SSC,D2,Cal State Fullerton,cal-state-fullerton,2023-24,d2_big_west,2023-24,Cal State Fullerton,Big West,JR,G,20,4,13.6,272.0,0.33999999999999997,3.4,3.1,0.6,0.4,0.2,1.0,0.509,0.4,0.438,0.566,0.5570117955439056,0.2962962962962963,0.2962962962962963,11.3,0.553,15.7,0.0,0.4,0.5,0.072,-4.4,https://www.sports-reference.com/cbb/players/jalen-cooper-1.html
Mahmoud Fofana,mahmoud-fofana,Cal State San Bernardino,cal-state-san-bernardino,CCAA,D2,Cal State Northridge,cal-state-northridge,2023-24,d2_big_west,2023-24,Cal State Northridge,Big West,JR,F,31,12,21.8,675.8000000000001,0.545,5.1,5.6,0.7,0.8,0.4,0.9,0.464,0.158,0.509,0.475,0.48185941043083896,0.13333333333333333,0.4,11.7,0.484,13.4,0.5,1.2,1.7,0.1,-1.8,https://www.sports-reference.com/cbb/players/mahmoud-fofana-1.html
Aniwaniwa Tait-Jones,aniwaniwa-tait-jones,Hawaii–Hilo,hawaii–hilo,PacWest,D2,UC San Diego,uc-san-diego,2023-24,d2_big_west,2023-24,UC San Diego,Big West,JR,F,33,33,29.6,976.8000000000001,0.74,13.8,5.8,2.9,1.1,0.3,2.2,0.561,0.346,0.731,0.577,0.631868131868132,0.09411764705882353,0.6470588235294118,22.7,0.622,23.5,3.0,1.5,4.5,0.186,3.3,https://www.sports-reference.com/cbb/players/aniwaniwa-tait-jones-1.html
Hayden Gray,hayden-gray,Azusa Pacific,azusa-pacific,PacWest,D2,UC San Diego,uc-san-diego,2023-24,d2_big_west,2023-24,UC San Diego,Big West,JR,G,33,33,32.7,1079.1000000000001,0.8175000000000001,9.0,4.2,3.8,1.7,0.5,1.7,0.472,0.343,0.831,0.521,0.5639097744360902,0.28169014084507044,0.28169014084507044,16.1,0.563,15.5,2.0,1.7,3.7,0.136,2.5,https://www.sports-reference.com/cbb/players/hayden-gray-1.html
Tyler McGhie,tyler-mcghie,Southern Nazarene,southern-nazarene,GAC,D2,UC San Diego,uc-san-diego,2023-24,d2_big_west,2023-24,UC San Diego,Big West,JR,G,23,0,28.6,657.8000000000001,0.7150000000000001,13.9,2.9,1.3,0.5,0.2,0.3,0.44,0.414,0.647,0.575,0.5811036789297659,0.6460176991150441,0.1327433628318584,19.2,0.582,22.6,2.0,0.7,2.7,0.162,4.0,https://www.sports-reference.com/cbb/players/tyler-mcghie-1.html
Ethan Menzies,ethan-menzies,Colorado Mesa,colorado-mesa,RMAC,D2,Cal Poly,cal-poly,2024-25,d2_big_west,2024-25,Cal Poly,Big West,SR,F,26,5,9.7,252.2,0.2425,2.4,1.5,0.7,0.3,0.1,0.8,0.463,0.318,0.625,0.528,0.5376344086021505,0.38095238095238093,0.14285714285714285,7.9,0.536,14.7,0.0,0.2,0.2,0.03,-3.0,https://www.sports-reference.com/cbb/players/ethan-menzies-1.html
Guzmán Vasilić,guzmn-vasili,Southeastern Oklahoma State,southeastern-oklahoma-state,GAC,D2,Cal Poly,cal-poly,2024-25,d2_big_west,2024-25,Cal Poly,Big West,FR,G,30,9,17.6,528.0,0.44000000000000006,5.2,2.3,0.7,0.2,0.1,1.1,0.437,0.356,0.737,0.56,0.5824372759856631,0.6904761904761905,0.14285714285714285,8.4,0.574,15.1,0.3,0.3,0.5,0.04,-3.3,https://www.sports-reference.com/cbb/players/guzman-vasilic-1.html
