player_name,player_slug,source_school,source_school_slug,source_conference,source_level,destination_school,destination_school_slug,first_big_west_season,source_season,source_stat_source,position,height_in,weight_lbs,source_conf_power,destination_conf_power,conf_power_delta,source_games,source_mpg,source_minutes_share,source_ppg,source_rpg,source_apg,source_spg,source_bpg,source_topg,source_fg_pct,source_fg3_pct,source_ft_pct,source_efg_pct,source_ts_pct,source_three_rate,source_ft_rate,source_per,source_usg_pct,source_ws,source_bpm,source_pts_per_40,source_reb_per_40,source_ast_per_40,source_stl_per_40,source_blk_per_40,source_tov_per_40,big_west_games,big_west_games_started,big_west_mpg,big_west_minutes,big_west_minutes_share,big_west_ppg,big_west_rpg,big_west_apg,big_west_spg,big_west_bpg,big_west_topg,big_west_ts_pct,big_west_per,big_west_usg_pct,big_west_ws,big_west_ws_per_40,big_west_bpm,big_west_porpag,production_score,impact_score,outcome_tier,source_url,outcome_url
E.J. Anosike,ej-anosike,Tennessee,tennessee,SEC,D1,Cal State Fullerton,cal-state-fullerton,2021-22,2020-21,sports_reference_source_school_cache,F,79.0,236.0,40.37,28.77,-11.599999999999998,22,8.5,0.2125,1.7,1.9,0.3,0.4,0.0,0.2,0.342,0.0,0.6,0.342,0.40553435114503816,0.0,0.5294117647058824,11.4,14.1,0.5,1.1,8.0,8.941176470588236,1.411764705882353,1.8823529411764706,0.0,0.9411764705882353,32,32,32.7,1046.4,0.8175000000000001,16.3,8.3,1.8,0.8,0.3,1.9,0.58972503617945,24.8,25.3,5.3,0.201,3.3,4.21684,23.19,95.83333333333334,Big West impact starter,https://www.sports-reference.com/cbb/schools/tennessee/men/2021.html,https://www.sports-reference.com/cbb/schools/cal-state-fullerton/men/2022.html
Hamad Mousa,hamad-mousa,Dayton,dayton,Atlantic 10,D1,Cal Poly,cal-poly,2025-26,2024-25,sports_reference_source_school_cache,G,80.0,190.0,34.66,29.37,-5.289999999999996,20,7.6,0.19,1.3,0.5,0.4,0.2,0.0,0.6,0.304,0.077,0.688,0.326,0.41881443298969073,0.5833333333333334,0.6666666666666667,2.7,14.6,-0.1,-8.8,6.842105263157895,2.6315789473684212,2.1052631578947367,1.0526315789473684,0.0,3.1578947368421053,32,30,31.3,1001.6,0.7825,20.4,6.3,2.0,1.0,0.4,2.5,0.6175829498667958,21.5,28.0,3.9,0.154,3.7,3.60809,25.939999999999998,93.68055555555556,Big West impact starter,https://www.sports-reference.com/cbb/schools/dayton/men/2025.html,https://www.sports-reference.com/cbb/schools/cal-poly/men/2026.html
Dominic Brewton,dominic-brewton,Alcorn State,alcorn-state,SWAC,D1,Cal State Fullerton,cal-state-fullerton,2023-24,2022-23,sports_reference_source_school_cache,G,75.0,185.0,21.82,29.59,7.77,27,25.7,0.6425,12.0,3.7,1.7,1.1,0.0,1.9,0.403,0.254,0.816,0.433,0.49652432969215493,0.23809523809523808,0.34285714285714286,17.1,27.6,1.7,0.3,18.67704280155642,5.7587548638132295,2.6459143968871595,1.7120622568093387,0.0,2.9571984435797667,31,28,33.1,1026.1000000000001,0.8275,17.0,4.8,2.4,1.5,0.2,2.1,0.5185456320156174,19.8,29.7,3.1,0.12,2.0,2.64603,22.18,90.19097222222223,Big West impact starter,https://www.sports-reference.com/cbb/schools/alcorn-state/men/2023.html,https://www.sports-reference.com/cbb/schools/cal-state-fullerton/men/2024.html
"Larry Hughes, Jr.",larry-hughes-jr,Saint Louis,saint-louis,Atlantic 10,D1,Cal State Northridge,cal-state-northridge,2025-26,2024-25,sports_reference_source_school_cache,G,76.0,175.0,34.66,29.37,-5.289999999999996,7,15.1,0.3775,4.7,2.1,0.7,0.1,0.3,0.4,0.4,0.346,0.0,0.55,0.5465116279069768,0.8604651162790699,0.0,9.9,16.5,0.2,-7.0,12.450331125827814,5.562913907284768,1.8543046357615895,0.26490066225165565,0.794701986754967,1.0596026490066226,33,33,31.5,1039.5,0.7875,17.7,2.9,0.9,1.5,0.2,1.4,0.5811662726556344,16.2,23.9,3.5,0.135,2.2,2.64754,20.85,90.13888888888889,Big West impact starter,https://www.sports-reference.com/cbb/schools/saint-louis/men/2025.html,https://www.sports-reference.com/cbb/schools/cal-state-northridge/men/2026.html
Stephan Swenson,stephan-swenson,Stetson,stetson,ASUN,D1,UC Santa Barbara,uc-santa-barbara,2024-25,2023-24,sports_reference_source_school_cache,G,74.0,195.0,27.08,30.41,3.330000000000002,35,33.3,0.8324999999999999,13.9,4.7,5.8,1.5,0.1,2.7,0.41,0.324,0.819,0.466,0.5128394332939787,0.33884297520661155,0.2727272727272727,18.4,25.3,3.5,-0.8,16.696696696696698,5.645645645645646,6.966966966966967,1.801801801801802,0.12012012012012013,3.2432432432432434,33,33,29.8,983.4,0.745,13.4,3.7,4.4,1.8,0.2,2.2,0.5969351389878831,19.9,23.7,4.1,0.168,5.1,2.96127,19.37,89.44444444444444,Big West impact starter,https://www.sports-reference.com/cbb/schools/stetson/men/2024.html,https://www.sports-reference.com/cbb/schools/california-santa-barbara/men/2025.html
Aniwaniwa Tait-Jones,aniwaniwa-tait-jones,Hawaii–Hilo,hawaii–hilo,PacWest,D2,UC San Diego,uc-san-diego,2023-24,2022-23,phase1_school_stats,W,78.0,205.0,13.16,29.59,16.43,23,32.73913043478261,0.8184782608695652,17.608695652173914,9.173913043478262,3.4782608695652173,1.173913043478261,0.391304347826087,3.347826086956522,0.466,0.259,0.701,0.4773462783171521,0.53560093101989,0.08737864077669903,0.5080906148867314,,,,,21.51394422310757,11.208499335989378,4.249667994687915,1.4342629482071714,0.47808764940239046,4.090305444887118,33,33,29.6,976.8000000000001,0.74,13.8,5.8,2.9,1.1,0.3,2.2,0.631868131868132,22.7,23.5,4.5,0.186,3.3,3.26841,19.77,88.52430555555554,Big West impact starter,https://hiloathletics.com/sports/mens-basketball/stats/2022-23,https://www.sports-reference.com/cbb/players/aniwaniwa-tait-jones-1.html
Joel Murray,joel-murray,West Texas A&M,west-texas-a-m,LSC,D2,Long Beach State,long-beach-state,2021-22,2020-21,phase1_school_stats,G,72.0,170.0,13.24,28.77,15.53,22,35.45454545454545,0.8863636363636364,23.318181818181817,6.181818181818182,4.181818181818182,1.8636363636363635,0.09090909090909091,2.4545454545454546,0.47,0.3,0.807,0.509090909090909,0.5687361419068736,0.2597402597402597,0.38961038961038963,,,,,26.307692307692307,6.9743589743589745,4.717948717948717,2.1025641025641026,0.10256410256410257,2.7692307692307696,33,30,32.1,1059.3,0.8025,16.7,3.0,2.8,1.5,0.1,2.5,0.5509369226708893,19.2,27.4,3.5,0.131,1.3,3.10224,20.63,88.42013888888889,Big West impact starter,https://gobuffsgo.com/sports/mens-basketball/stats/2020-21,https://www.sports-reference.com/cbb/players/joel-murray-1.html
"Marcus Adams, Jr.",marcus-adams-jr,Brigham Young,brigham-young,Big XII,D1,Cal State Northridge,cal-state-northridge,2024-25,2023-24,sports_reference_source_school_cache,F,80.0,195.0,44.56,30.41,-14.150000000000002,1,8.0,0.2,2.0,2.0,1.0,0.0,0.0,0.0,0.167,0.0,0.0,0.167,0.16666666666666666,0.5,0.0,-11.0,36.7,0.0,-39.3,10.0,10.0,5.0,0.0,0.0,0.0,32,20,28.9,924.8,0.7224999999999999,16.1,4.9,1.5,1.0,0.3,1.6,0.6277292576419214,21.0,23.5,4.1,0.179,4.3,3.00037,20.69,88.36805555555556,Big West impact starter,https://www.sports-reference.com/cbb/schools/brigham-young/men/2024.html,https://www.sports-reference.com/cbb/schools/cal-state-northridge/men/2025.html
Max Jones,max-jones,Tampa,tampa,SSC,D2,Cal State Fullerton,cal-state-fullerton,2022-23,2021-22,phase1_school_stats,G,77.0,205.0,16.99,29.79,12.8,21,33.04761904761905,0.8261904761904763,21.904761904761905,4.476190476190476,2.7142857142857144,1.1904761904761905,0.38095238095238093,2.2857142857142856,0.445,0.325,0.853,0.5014836795252225,0.5751150230046009,0.34718100890207715,0.42433234421364985,,,,,26.51296829971181,5.4178674351585006,3.2853025936599423,1.440922190201729,0.46109510086455324,2.766570605187319,32,32,31.9,1020.8,0.7975,12.5,4.0,2.2,0.9,0.3,2.1,0.5657132512671976,16.8,22.3,3.7,0.144,2.8,2.63081,16.63,88.24652777777777,Big West impact starter,https://www.tampaspartans.com/sports/mbkb/2021-22/players/maxjonesdgr9?view=career,https://www.sports-reference.com/cbb/schools/cal-state-fullerton/men/2023.html
Devin Askew,devin-askew,California,california,PAC 12,D1,Long Beach State,long-beach-state,2024-25,2023-24,sports_reference_source_school_cache,G,77.0,195.0,41.26,30.41,-10.849999999999998,6,24.3,0.6075,6.2,4.2,2.5,0.7,0.0,1.8,0.313,0.143,0.789,0.344,0.46213476446034585,0.43396226415094336,0.6037735849056605,8.9,17.8,0.1,-4.7,10.205761316872428,6.91358024691358,4.11522633744856,1.1522633744855966,0.0,2.962962962962963,32,32,36.0,1152.0,0.9,18.9,4.6,4.5,1.5,0.1,3.7,0.5434782608695652,18.2,31.2,2.8,0.096,0.6,3.03766,24.539999999999996,88.21180555555556,Big West impact starter,https://www.sports-reference.com/cbb/schools/california/men/2024.html,https://www.sports-reference.com/cbb/schools/long-beach-state/men/2025.html
