player_name,player_slug,source_school,source_level,destination_school,first_big_west_season,missing_source_stats,missing_outcome_stats,reason
Kaleb Higgins,kaleb-higgins,Holmes Community College,JUCO,Cal State Bakersfield,2021-22,TRUE,FALSE,missing_source_stats
Juan Munoz,juan-munoz,Longwood,D1,Hawaii,2021-22,FALSE,TRUE,missing_big_west_outcome
Jérôme Desrosiers,jrme-desrosiers,Princeton,D1,Hawaii,2021-22,TRUE,FALSE,missing_source_stats
Devin Tillis,devin-tillis,UNLV,D1,UC Irvine,2021-22,FALSE,TRUE,missing_big_west_outcome
Jhaylon Martinez,jhaylon-martinez,UNLV,D1,UC Riverside,2021-22,TRUE,FALSE,missing_source_stats
Logan McLaughlin,logan-mclaughlin,Abilene Christian,D1,Cal Poly,2022-23,FALSE,TRUE,missing_big_west_outcome
Marvin McGhee III,marvin-mcghee,South Georgia Technical College,JUCO,Cal State Bakersfield,2022-23,TRUE,FALSE,missing_source_stats
Tom Mark,tom-mark,Tallahassee Community College,JUCO,Cal State Bakersfield,2022-23,TRUE,TRUE,missing_source_stats;missing_big_west_outcome
Keith Richard,keith-richard,South Plains College,JUCO,Cal State Fullerton,2022-23,TRUE,TRUE,missing_source_stats;missing_big_west_outcome
Zachary Visentin,zachary-visentin,Snow College,JUCO,Cal State Fullerton,2022-23,TRUE,TRUE,missing_source_stats;missing_big_west_outcome
Amari Stroud,amari-stroud,Allan Hancock College,JUCO,Long Beach State,2022-23,TRUE,FALSE,missing_source_stats
Chayce Polynice,chayce-polynice,College of Southern Idaho,JUCO,Long Beach State,2022-23,TRUE,FALSE,missing_source_stats
Pablo Tamba,pablo-tamba,Idaho State,D1,UC Davis,2022-23,FALSE,TRUE,missing_big_west_outcome
Sam Manu,sam-manu,College of San Mateo,JUCO,UC Davis,2022-23,TRUE,FALSE,missing_source_stats
Isaiah Moses,isaiah-moses,Alaska Anchorage,D2,UC Riverside,2022-23,TRUE,TRUE,missing_source_stats;missing_big_west_outcome
Vlad Salaridze,vladimer-salaridze,Eastern Florida State College,JUCO,UC Riverside,2022-23,TRUE,FALSE,missing_source_stats
Evans Kipruto,evans-kipruto2,Barton Community College,JUCO,UC Santa Barbara,2022-23,TRUE,FALSE,missing_source_stats
Mezziah Oakman,mezziah-oakman,City College of San Francisco,JUCO,UC Santa Barbara,2022-23,TRUE,TRUE,missing_source_stats;missing_big_west_outcome
Cam Malray,cameron-malray,Dodge City Community College,JUCO,Cal Poly,2023-24,TRUE,FALSE,missing_source_stats
Joel Armotrading,joel-armotrading,College of Southern Idaho,JUCO,Cal Poly,2023-24,TRUE,FALSE,missing_source_stats
C.J. Hardy,cj-hardy,West Los Angeles College,JUCO,Cal State Bakersfield,2023-24,TRUE,TRUE,missing_source_stats;missing_big_west_outcome
Cameron Clark,cam-clark,College of the Sequoias,JUCO,Cal State Bakersfield,2023-24,TRUE,TRUE,missing_source_stats;missing_big_west_outcome
Corey Stephenson,corey-stephenson,Northeast Mississippi Community College,JUCO,Cal State Bakersfield,2023-24,TRUE,FALSE,missing_source_stats
Jaden Alexander,jaden-alexander,New Mexico State,D1,Cal State Bakersfield,2023-24,TRUE,FALSE,missing_source_stats
LoLo Rudolph,lolo-rudolph,Hutchinson Community College,JUCO,Cal State Fullerton,2023-24,TRUE,TRUE,missing_source_stats;missing_big_west_outcome
B.J. Comer,bj-comer,Ranger College,JUCO,Cal State Northridge,2023-24,TRUE,TRUE,missing_source_stats;missing_big_west_outcome
Jalen Barbee,jalen-barbee,Cochise College,JUCO,Cal State Northridge,2023-24,TRUE,TRUE,missing_source_stats;missing_big_west_outcome
Keonte Jones,keonte-jones,Midland College,JUCO,Cal State Northridge,2023-24,TRUE,FALSE,missing_source_stats
Noah Williams,noah-williams2,Barton Community College,JUCO,Cal State Northridge,2023-24,TRUE,TRUE,missing_source_stats;missing_big_west_outcome
P.J. Fuller II,pj-fuller,Washington,D1,Cal State Northridge,2023-24,FALSE,TRUE,missing_big_west_outcome
Quincy McGriff,quincy-mcgriff,Duquesne,D1,Cal State Northridge,2023-24,FALSE,TRUE,missing_big_west_outcome
Matthue Cotton,matthue-cotton,Yale,D1,Hawaii,2023-24,TRUE,FALSE,missing_source_stats
Austin Johnson,austin-johnson2,North Carolina A&T,D1,Long Beach State,2023-24,FALSE,TRUE,missing_big_west_outcome
Drew Carter,drew-carter,Colorado,D1,UC Davis,2023-24,TRUE,FALSE,missing_source_stats
Marsalis Roberson,marsalis-roberson,California,D1,UC Davis,2023-24,FALSE,TRUE,missing_big_west_outcome
Chip Brunt,chris-brunt,Gulf Coast State College,JUCO,UC Riverside,2023-24,TRUE,FALSE,missing_source_stats
Clancy Bird,clancy-bird,Seattle,D1,UC Riverside,2023-24,TRUE,FALSE,missing_source_stats
Gavin Davis,gavin-davis,West Los Angeles College,JUCO,UC Riverside,2023-24,TRUE,TRUE,missing_source_stats;missing_big_west_outcome
Guzmán Vasilić,guzmn-vasili,Southeastern Oklahoma State,D2,Cal Poly,2024-25,TRUE,FALSE,missing_source_stats
Dylan Purnell,dylan-purnell,South Plains College,JUCO,Cal State Bakersfield,2024-25,TRUE,TRUE,missing_source_stats;missing_big_west_outcome
Gloire Goma,gloire-goma,Clarendon College,JUCO,Cal State Bakersfield,2024-25,TRUE,FALSE,missing_source_stats
Jemel Jones,jemel-jones,South Suburban College,JUCO,Cal State Bakersfield,2024-25,TRUE,FALSE,missing_source_stats
Marvin McGhee IV,marvin-mcghee-iv,Bishop State Community College,JUCO,Cal State Bakersfield,2024-25,TRUE,FALSE,missing_source_stats
Shakiru Odunewu,shakiru-odunewu,West Valley College,JUCO,Cal State Bakersfield,2024-25,TRUE,FALSE,missing_source_stats
Freddie Cooper,freddie-cooper,Moberly Area Community College,JUCO,Cal State Fullerton,2024-25,TRUE,FALSE,missing_source_stats
Yesan Warren,yesan-warren,Frank Phillips College,JUCO,Cal State Fullerton,2024-25,TRUE,TRUE,missing_source_stats;missing_big_west_outcome
Christian Richardson,christian-richardson,Butler Community College,JUCO,Long Beach State,2024-25,TRUE,FALSE,missing_source_stats
"Cory Curtis, Jr.",cory-curtis-jr,Independence Community College,JUCO,Long Beach State,2024-25,TRUE,FALSE,missing_source_stats
"Ramel Lloyd, Jr.",ramel-lloyd-jr,Nebraska,D1,Long Beach State,2024-25,TRUE,FALSE,missing_source_stats
Jamaal Unuakhalu,jamal-unuakhalu,Moorpark College,JUCO,UC Davis,2024-25,TRUE,FALSE,missing_source_stats
Parker Strauss,parker-strauss,Northwestern,D1,UC Riverside,2024-25,TRUE,FALSE,missing_source_stats
Jake Davis,jake-davis2,West Valley College,JUCO,Cal Poly,2025-26,TRUE,FALSE,missing_source_stats
Davis White,davis-white,College of the Sequoias,JUCO,Cal State Fullerton,2025-26,TRUE,FALSE,missing_source_stats
Davius Loury,davius-loury,John A. Logan College,JUCO,Cal State Northridge,2025-26,TRUE,FALSE,missing_source_stats
Jai Chisolm,jai-chisolm,University of South Carolina Salkehatchie,JUCO,Cal State Northridge,2025-26,TRUE,FALSE,missing_source_stats
"James Evans, Jr.",james-evans,UNLV,D1,Cal State Northridge,2025-26,TRUE,FALSE,missing_source_stats
