player_name,player_slug,source_school,source_school_slug,source_conference,source_level,destination_school,destination_school_slug,first_big_west_season,source_season,source_stat_level,source_stat_source,class,position,games,games_started,mpg,minutes,minutes_share,ppg,rpg,apg,spg,bpg,topg,fg_pct,fg3_pct,ft_pct,efg_pct,ts_pct,three_rate,ft_rate,per,ts_pct_advanced,usg_pct,ows,dws,ws,ws_per_40,bpm,source_url
Jacob Davison,jacob-davison,Eastern Washington,eastern-washington,Big Sky,D1,Cal Poly,cal-poly,2021-22,2020-21,D1,sports_reference_source_school_cache,,G,22,11,21.0,462.0,0.525,9.8,2.6,1.5,0.6,0.4,1.5,0.386,0.356,0.804,0.471,0.5144897102057959,0.4767441860465116,0.24418604651162792,14.5,0.51,26.5,0.5,0.7,1.1,0.099,-0.9,https://www.sports-reference.com/cbb/schools/eastern-washington/men/2021.html
Julien Franklin,julien-franklin,Oregon State,oregon-state,PAC 12,D1,Cal Poly,cal-poly,2021-22,2020-21,D1,sports_reference_source_school_cache,,G,21,0,6.3,132.29999999999998,0.1575,0.8,0.7,0.5,0.3,0.0,0.3,0.3,0.182,0.5,0.35,0.3533568904593639,0.5,0.3,4.3,0.372,11.9,-0.1,0.2,0.1,0.026,-4.4,https://www.sports-reference.com/cbb/schools/oregon-state/men/2021.html
Trevon Taylor,trevon-taylor,James Madison,james-madison,Sun Belt,D1,Cal Poly,cal-poly,2021-22,2020-21,D1,sports_reference_source_school_cache,,G,7,0,6.0,42.0,0.15,1.7,1.4,0.3,0.3,0.1,0.4,0.417,0.333,0.0,0.5,0.5,0.5294117647058824,0.0,15.1,0.5,17.2,0.1,0.1,0.1,0.116,12.8,https://www.sports-reference.com/cbb/schools/james-madison/men/2021.html
E.J. Anosike,ej-anosike,Tennessee,tennessee,SEC,D1,Cal State Fullerton,cal-state-fullerton,2021-22,2020-21,D1,sports_reference_source_school_cache,,F,22,0,8.5,187.0,0.2125,1.7,1.9,0.3,0.4,0.0,0.2,0.342,0.0,0.6,0.342,0.40553435114503816,0.0,0.5294117647058824,11.4,0.4,14.1,0.2,0.4,0.5,0.117,1.1,https://www.sports-reference.com/cbb/schools/tennessee/men/2021.html
Christian Gray,christian-gray,Fresno State,fresno-state,Mountain West,D1,Cal State Northridge,cal-state-northridge,2021-22,2020-21,D1,sports_reference_source_school_cache,,F,18,7,13.7,246.6,0.34249999999999997,5.3,3.0,0.4,0.1,0.1,0.8,0.589,0.0,0.644,0.589,0.6309523809523809,0.03225806451612903,0.8064516129032258,17.2,0.614,19.4,0.7,0.2,0.9,0.144,-3.0,https://www.sports-reference.com/cbb/schools/fresno-state/men/2021.html
Onyi Eyisi,onyi-eyisi,Fordham,fordham,Atlantic 10,D1,Cal State Northridge,cal-state-northridge,2021-22,2020-21,D1,sports_reference_source_school_cache,,F,14,1,15.0,210.0,0.375,3.2,2.3,0.0,0.3,0.4,0.6,0.486,0.0,0.55,0.486,0.5134788189987163,0.0,0.5599999999999999,7.8,0.506,14.3,0.0,0.2,0.2,0.034,-5.5,https://www.sports-reference.com/cbb/schools/fordham/men/2021.html
Juan Munoz,juan-munoz,Longwood,longwood,Big South,D1,Hawaii,hawaii,2021-22,2020-21,D1,sports_reference_source_school_cache,,G,29,28,32.7,948.3000000000001,0.8175000000000001,13.0,3.2,2.9,1.2,0.0,2.5,0.378,0.384,0.807,0.495,0.5382577012255714,0.611111111111111,0.2685185185185185,14.7,0.535,23.6,1.4,1.0,2.4,0.1,-0.9,https://www.sports-reference.com/cbb/schools/longwood/men/2021.html
Kamaka Hepa,kamaka-hepa,Texas,texas,Big XII,D1,Hawaii,hawaii,2021-22,2020-21,D1,sports_reference_source_school_cache,,F,9,1,6.4,57.6,0.16,2.9,1.0,0.1,0.1,0.2,0.3,0.5,0.5,0.0,0.722,0.7093933463796477,0.9,0.05,18.4,0.704,18.5,0.2,0.1,0.2,0.167,6.1,https://www.sports-reference.com/cbb/schools/texas/men/2021.html
Joel Murray,joel-murray,West Texas A&M,west-texas-a-m,LSC,D2,Long Beach State,long-beach-state,2021-22,2020-21,D2,phase1_school_stats,Jr.,G,22,,35.45454545454545,780.0,0.8863636363636364,23.318181818181817,6.181818181818182,4.181818181818182,1.8636363636363635,0.09090909090909091,2.4545454545454546,0.47,0.3,0.807,0.509090909090909,0.5687361419068736,0.2597402597402597,0.38961038961038963,,,,,,,,,https://gobuffsgo.com/sports/mens-basketball/stats/2020-21
Kane Milling,kane-milling,Nevada,nevada,Mountain West,D1,UC Davis,uc-davis,2021-22,2020-21,D1,sports_reference_source_school_cache,,G,26,4,22.3,579.8000000000001,0.5575,4.8,2.1,1.0,0.5,0.1,0.9,0.385,0.368,0.676,0.486,0.5249343832020997,0.55,0.325,7.5,0.516,12.6,0.3,0.6,0.8,0.058,0.0,https://www.sports-reference.com/cbb/schools/nevada/men/2021.html
Devin Tillis,devin-tillis,UNLV,unlv,Mountain West,D1,UC Irvine,uc-irvine,2021-22,2020-21,D1,sports_reference_source_school_cache,,F,24,8,19.1,458.40000000000003,0.47750000000000004,3.7,3.5,1.2,0.7,0.0,1.2,0.534,0.381,0.947,0.603,0.6722383720930234,0.375,0.33333333333333337,11.2,0.656,10.7,0.6,0.6,1.2,0.101,-1.2,https://www.sports-reference.com/cbb/schools/nevada-las-vegas/men/2021.html
J.P. Moorman II,jp-moorman-ii,Temple,temple,American,D1,UC Riverside,uc-riverside,2021-22,2020-21,D1,sports_reference_source_school_cache,,F,16,13,26.8,428.8,0.67,7.3,5.3,2.2,0.7,0.3,1.3,0.396,0.358,0.684,0.486,0.5120650953984287,0.5,0.18181818181818182,12.0,0.504,16.4,0.4,0.6,1.0,0.093,2.7,https://www.sports-reference.com/cbb/schools/temple/men/2021.html
Chance Hunter,chance-hunter,California Baptist,california-baptist,WAC,D1,Cal Poly,cal-poly,2022-23,2021-22,D1,sports_reference_cache,JR,G,29,18,20.8,603.2,0.52,7.3,4.0,1.0,0.4,0.3,1.2,0.386,0.315,0.44,0.47,0.47108931337119253,0.5285714285714286,0.24285714285714285,11.0,0.47,21.9,0.2,1.0,1.2,0.08,-3.3,https://www.sports-reference.com/cbb/players/chance-hunter-1.html
Isaac Spears,isaac-spears,Montana State,montana-state,Big Sky,D1,Cal Poly,cal-poly,2022-23,2021-22,D1,sports_reference_source_school_cache,,G,12,0,2.7,32.400000000000006,0.0675,1.3,0.3,0.3,0.0,0.0,0.7,0.333,0.25,0.5,0.4,0.4276315789473684,0.5384615384615384,0.3846153846153846,-1.3,0.42,41.4,-0.1,0.0,-0.1,-0.132,-27.1,https://www.sports-reference.com/cbb/schools/montana-state/men/2022.html
Logan McLaughlin,logan-mclaughlin,Abilene Christian,abilene-christian,WAC,D1,Cal Poly,cal-poly,2022-23,2021-22,D1,sports_reference_source_school_cache,,G,14,0,8.8,123.20000000000002,0.22000000000000003,3.5,1.3,0.5,0.5,0.0,0.1,0.436,0.346,0.857,0.551,0.5794701986754967,0.6785714285714286,0.17857142857142858,17.5,0.579,17.5,0.3,0.3,0.6,0.187,-5.6,https://www.sports-reference.com/cbb/schools/abilene-christian/men/2022.html
Nick Fleming,nick-fleming,Southern Utah,southern-utah,WAC,D1,Cal Poly,cal-poly,2022-23,2021-22,D1,sports_reference_source_school_cache,,G,32,1,11.2,358.4,0.27999999999999997,2.8,1.2,1.1,0.3,0.1,0.8,0.341,0.292,0.63,0.424,0.4587155963302752,0.5555555555555555,0.2962962962962963,7.4,0.455,17.0,0.1,0.4,0.5,0.051,-4.8,https://www.sports-reference.com/cbb/schools/southern-utah/men/2022.html
Modestas Kancleris,modestas-kancleris,Creighton,creighton,Big East,D1,Cal State Bakersfield,cal-state-bakersfield,2022-23,2021-22,D1,sports_reference_source_school_cache,,F,14,0,2.4,33.6,0.06,0.2,0.5,0.1,0.2,0.1,0.1,0.0,0.0,0.5,0.0,0.1736111111111111,0.25,1.0,6.8,0.191,13.4,-0.1,0.1,0.0,0.031,0.8,https://www.sports-reference.com/cbb/schools/creighton/men/2022.html
Garrison Wade,garrison-wade,Dartmouth,dartmouth,Ivy,D1,Cal State Fullerton,cal-state-fullerton,2022-23,2021-22,D1,sports_reference_source_school_cache,,F,25,18,23.6,590.0,0.5900000000000001,6.6,4.6,0.9,0.6,0.6,1.5,0.394,0.338,0.744,0.479,0.5153029356652092,0.49122807017543857,0.2807017543859649,12.2,0.514,17.8,0.3,0.8,1.1,0.075,-2.3,https://www.sports-reference.com/cbb/schools/dartmouth/men/2022.html
"John Square, Jr.",john-square-jr,Fairleigh Dickinson,fairleigh-dickinson,Northeast,D1,Cal State Fullerton,cal-state-fullerton,2022-23,2021-22,D1,sports_reference_source_school_cache,,F,25,24,22.0,550.0,0.55,8.5,5.0,1.3,0.9,1.0,1.0,0.541,0.412,0.658,0.565,0.6006218202374223,0.12068965517241378,0.5,22.1,0.589,18.6,1.5,0.3,1.9,0.136,0.1,https://www.sports-reference.com/cbb/schools/fairleigh-dickinson/men/2022.html
Max Jones,max-jones,Tampa,tampa,SSC,D2,Cal State Fullerton,cal-state-fullerton,2022-23,2021-22,D2,phase1_school_stats,Sr.,G,21,,33.04761904761905,694.0,0.8261904761904763,21.904761904761905,4.476190476190476,2.7142857142857144,1.1904761904761905,0.38095238095238093,2.2857142857142856,0.445,0.325,0.853,0.5014836795252225,0.5751150230046009,0.34718100890207715,0.42433234421364985,,,,,,,,,https://www.tampaspartans.com/sports/mbkb/2021-22/players/maxjonesdgr9?view=career
DeSean Allen-Eikens,desean-allen-eikens,New Orleans,new-orleans,Southland,D1,Cal State Northridge,cal-state-northridge,2022-23,2021-22,D1,sports_reference_source_school_cache,,G,14,7,19.4,271.59999999999997,0.485,5.9,3.2,1.1,0.4,0.3,1.3,0.431,0.25,0.6,0.472,0.5006788866259335,0.33333333333333337,0.35294117647058826,10.8,0.495,17.7,0.1,0.4,0.5,0.067,-4.2,https://www.sports-reference.com/cbb/schools/new-orleans/men/2022.html
