year,conference,rank,player_name,team,obpr,dbpr,bpr,poss,box_obpr,box_dbpr,box_bpr,adj_team_off_eff,adj_team_def_eff,adj_team_eff_margin,plus_minus
2020-21,All,1,Jared Butler,Baylor,7.27,3.10,10.38,1578,6.52,2.41,8.93,126.4,84.7,41.7,449
2020-21,All,2,Davion Mitchell,Baylor,6.56,3.04,9.61,1705,6.41,1.97,8.38,126.8,84.3,42.5,485
2020-21,All,3,Evan Mobley,USC,5.01,4.57,9.58,1905,5.08,3.67,8.75,113.6,85.0,28.6,318
2020-21,All,4,Luka Garza,Iowa,7.38,2.06,9.44,1724,7.48,2.15,9.62,123.5,93.8,29.8,274
2020-21,All,5,Drew Timme,Gonzaga,7.17,2.08,9.25,1674,6.40,1.00,7.40,129.5,85.5,44.0,592
2020-21,All,6,Franz Wagner,Michigan,4.27,4.80,9.08,1500,4.35,3.75,8.10,118.4,81.8,36.6,338
2020-21,All,7,McKinley Wright,Colorado,6.04,2.87,8.91,1728,5.89,1.65,7.54,116.1,87.2,28.9,305
2020-21,All,8,Grayson Murphy,Belmont,5.98,2.60,8.58,1480,5.83,1.69,7.52,114.5,91.9,22.6,340
2020-21,All,9,Neemias Queta,Utah State,3.63,4.94,8.58,1455,4.31,4.10,8.41,108.3,84.1,24.1,273
2020-21,All,10,Jay Huff,Virginia,4.05,4.49,8.54,1048,3.82,3.98,7.81,117.4,85.3,32.2,194
2020-21,All,11,Miles McBride,West Virginia,5.82,2.48,8.30,1764,5.88,1.87,7.74,115.4,90.6,24.8,195
2020-21,All,12,Corey Kispert,Gonzaga,6.28,1.91,8.20,1888,6.03,0.70,6.73,128.9,83.0,45.9,694
2020-21,All,13,DeJon Jarreau,Houston,4.26,3.92,8.18,1440,4.63,2.44,7.06,117.0,81.9,35.1,374
2020-21,All,14,Chris Duarte,Oregon,5.40,2.71,8.12,1505,5.10,2.63,7.73,118.1,91.3,26.8,225
2020-21,All,15,Ayo Dosunmu,Illinois,5.42,2.48,7.89,1754,4.73,1.79,6.52,118.8,85.7,33.1,325
2020-21,All,16,Kofi Cockburn,Illinois,4.36,3.52,7.89,1491,3.31,2.20,5.51,120.0,83.2,36.8,329
2020-21,All,17,Quentin Grimes,Houston,5.30,2.44,7.74,1628,5.91,1.21,7.12,115.9,83.2,32.8,383
2020-21,All,18,Sam Hauser,Virginia,5.45,2.27,7.72,1309,4.94,1.49,6.43,115.4,88.1,27.2,172
2020-21,All,19,Gaige Prim,Missouri State,4.50,3.18,7.68,1137,4.29,2.34,6.63,110.6,89.4,21.1,219
2020-21,All,20,Jalen Suggs,Gonzaga,4.42,3.20,7.62,1616,3.94,2.50,6.44,126.9,85.0,41.9,509
2020-21,All,21,Cameron Krutwig,Loyola Chicago,4.04,3.27,7.31,1302,4.59,1.80,6.39,109.9,82.2,27.7,305
2020-21,All,22,Joel Ayayi,Gonzaga,5.09,2.19,7.28,1842,4.56,1.00,5.56,128.4,83.7,44.7,641
2020-21,All,23,Kendric Davis,SMU,6.25,1.01,7.26,1056,7.04,0.75,7.80,109.1,92.9,16.2,99
2020-21,All,24,Matthew Hurt,Duke,5.94,1.31,7.25,1348,6.05,1.25,7.30,113.4,93.9,19.6,106
2020-21,All,25,Micah Potter,Wisconsin,4.33,2.92,7.25,1149,4.74,1.96,6.70,114.6,84.0,30.6,185
2020-21,All,26,Aamir Simms,Clemson,3.94,3.30,7.24,1156,4.14,1.66,5.80,106.2,83.8,22.4,127
2020-21,All,27,DeAndre Williams,Memphis,3.38,3.83,7.21,962,3.37,2.62,5.99,106.7,80.6,26.1,169
2020-21,All,28,E.J. Liddell,Ohio State,4.48,2.68,7.16,1446,4.16,2.36,6.51,120.0,91.9,28.1,196
2020-21,All,29,Jordan Schakel,San Diego State,5.31,1.80,7.11,1318,5.15,0.38,5.53,115.1,84.5,30.6,318
2020-21,All,30,Herbert Jones,Alabama,2.69,4.35,7.04,1670,2.94,3.64,6.58,113.1,84.2,28.8,276
2020-21,All,31,Osun Osunniyi,Saint Bonaventure,3.04,3.95,6.99,1172,3.35,3.07,6.42,113.0,86.3,26.7,208
2020-21,All,32,Alex Barcello,BYU,5.45,1.49,6.95,1499,5.60,1.08,6.68,114.7,88.7,26.1,212
2020-21,All,33,MaCio Teague,Baylor,5.58,1.36,6.94,1648,5.28,0.20,5.49,124.3,84.8,39.4,427
2020-21,All,34,Myles Johnson,Rutgers,2.19,4.69,6.88,1168,1.39,4.80,6.19,110.7,86.0,24.7,92
2020-21,All,35,Scottie Barnes,Florida State,4.22,2.64,6.86,1064,3.58,2.36,5.94,115.6,89.0,26.6,162
2020-21,All,36,Dru Smith,Missouri,4.17,2.68,6.86,1576,3.68,2.67,6.35,110.0,92.6,17.5,59
2020-21,All,37,RJ Cole,Connecticut,5.50,1.28,6.78,1197,4.61,0.55,5.16,116.1,87.6,28.5,198
2020-21,All,38,Matt Coleman III,Texas,4.92,1.86,6.78,1619,4.02,0.88,4.91,114.1,87.5,26.6,222
2020-21,All,39,Jose Alvarado,Georgia Tech,4.78,1.99,6.77,1649,4.56,1.92,6.48,113.2,92.7,20.6,143
2020-21,All,40,Andrew Nembhard,Gonzaga,5.27,1.42,6.69,1762,3.90,0.37,4.27,128.5,87.0,41.5,555
2020-21,All,41,Isaiah Jackson,Kentucky,2.14,4.52,6.66,918,1.48,4.61,6.09,110.3,84.5,25.7,91
2020-21,All,42,Joe Wieskamp,Iowa,5.10,1.54,6.64,1625,4.89,1.70,6.59,123.1,94.8,28.3,234
2020-21,All,43,Jeremiah Robinson-Earl,Villanova,3.93,2.68,6.61,1430,3.65,1.64,5.29,117.4,89.9,27.5,200
2020-21,All,44,Justin Bean,Utah State,3.44,3.17,6.61,1309,3.75,1.33,5.08,108.1,82.0,26.1,261
2020-21,All,45,Marcus Sasser,Houston,5.08,1.51,6.59,1505,4.29,0.27,4.56,119.8,83.9,35.8,381
2020-21,All,46,Darius Days,LSU,5.08,1.48,6.56,1361,3.89,1.56,5.46,121.0,96.4,24.6,227
2020-21,All,47,Oscar da Silva,Stanford,3.86,2.69,6.55,1384,3.64,1.87,5.51,106.6,88.3,18.3,88
2020-21,All,48,Marcus Zegarowski,Creighton,5.06,1.48,6.54,1718,4.77,0.81,5.59,113.0,89.3,23.7,182
2020-21,All,49,Isaiah Livers,Michigan,4.28,2.24,6.52,1243,4.16,1.64,5.80,118.4,85.9,32.5,226
2020-21,All,50,Marreon Jackson,Toledo,5.18,1.34,6.52,1821,4.77,1.96,6.73,114.8,96.6,18.2,240
2020-21,All,51,Armando Bacot,North Carolina,3.79,2.70,6.49,1164,4.99,1.85,6.84,109.5,87.5,22.0,111
2020-21,All,52,Josiah-Jordan James,Tennessee,2.93,3.55,6.48,1166,2.42,2.80,5.22,111.1,84.2,26.9,185
2020-21,All,53,Charles Bassey,Western Kentucky,2.90,3.52,6.42,1459,3.32,3.27,6.59,106.6,90.1,16.5,145
2020-21,All,54,Marcus Garrett,Kansas,3.14,3.27,6.41,1628,2.96,2.34,5.30,108.9,86.5,22.3,110
2020-21,All,55,Jason Preston,Ohio,4.81,1.57,6.37,1179,5.12,1.33,6.45,111.8,93.0,18.8,139
2020-21,All,56,Jacob Gilyard,Richmond,4.45,1.91,6.36,1468,3.47,2.17,5.64,109.5,94.9,14.6,75
2020-21,All,57,Collin Gillespie,Villanova,5.28,1.04,6.32,1118,5.09,0.21,5.30,119.3,92.7,26.6,174
2020-21,All,58,Aaron Henry,Michigan State,2.68,3.64,6.31,1573,2.68,3.67,6.35,105.5,91.0,14.5,-9
2020-21,All,59,Roman Penn,Drake,4.50,1.81,6.31,1010,3.82,0.47,4.29,115.2,88.9,26.2,235
2020-21,All,60,Kyler Edwards,Texas Tech,3.71,2.60,6.31,1523,4.07,1.83,5.89,112.8,85.5,27.3,224
2020-21,All,61,Nah'Shon Hyland,VCU,3.15,3.12,6.26,1368,2.67,1.76,4.42,103.5,83.0,20.5,167
2020-21,All,62,Cade Cunningham,Oklahoma State,3.42,2.84,6.26,1752,2.95,2.80,5.74,107.8,88.8,18.9,75
2020-21,All,63,Matthew Mayer,Baylor,4.13,2.13,6.26,814,3.30,2.25,5.55,128.1,88.2,39.9,235
2020-21,All,64,DeVante' Jones,Coastal Carolina,4.30,1.95,6.25,1345,4.14,1.79,5.92,102.8,93.5,9.3,136
2020-21,All,65,Anton Watson,Gonzaga,3.25,2.98,6.22,1128,2.26,2.08,4.34,125.8,85.2,40.7,371
2020-21,All,66,Paul Scruggs,Xavier,4.00,2.19,6.19,1190,4.62,1.99,6.62,109.1,93.5,15.6,72
2020-21,All,67,Kyle Young,Ohio State,4.87,1.29,6.17,1204,3.73,1.19,4.93,123.8,93.1,30.6,179
2020-21,All,68,Carlik Jones,Louisville,3.75,2.38,6.13,1189,2.77,1.54,4.31,107.9,88.5,19.3,94
2020-21,All,69,Jordan Goodwin,Saint Louis,3.41,2.68,6.09,1219,3.26,2.35,5.61,111.2,92.4,18.8,157
2020-21,All,70,Hunter Dickinson,Michigan,2.35,3.73,6.08,1233,2.18,2.31,4.48,119.1,80.1,39.0,299
2020-21,All,71,Jermaine Samuels,Villanova,4.79,1.24,6.03,1206,5.11,0.95,6.05,119.3,94.1,25.2,151
2020-21,All,72,Isaiah Miller,UNC Greensboro,2.56,3.45,6.02,1604,2.18,3.10,5.28,106.2,90.2,16.0,174
2020-21,All,73,Xavier Johnson,Pittsburgh,3.90,2.11,6.01,918,4.31,1.44,5.76,110.0,92.0,18.0,79
2020-21,All,74,Trevion Williams,Purdue,3.48,2.48,5.97,1157,3.51,2.12,5.63,109.5,90.2,19.3,49
2020-21,All,75,Jacob Grandison,Illinois,4.17,1.77,5.94,823,3.36,0.71,4.07,124.3,82.7,41.5,229
2020-21,All,76,John Petty Jr.,Alabama,3.31,2.61,5.93,1884,2.76,1.97,4.73,111.0,84.2,26.8,256
2020-21,All,77,Jaime Jaquez Jr.,UCLA,3.64,2.27,5.91,1830,3.22,2.01,5.23,113.9,92.0,21.9,147
2020-21,All,78,Balsa Koprivica,Florida State,2.50,3.37,5.87,828,2.27,1.66,3.92,111.2,82.4,28.8,123
2020-21,All,79,Moses Moody,Arkansas,4.10,1.73,5.83,2026,3.89,1.25,5.14,113.0,87.3,25.7,305
2020-21,All,80,Hunter Cattoor,Virginia Tech,4.04,1.75,5.80,820,2.87,1.30,4.16,115.6,90.4,25.2,143
2020-21,All,81,Javonte Smart,LSU,5.11,0.67,5.79,1810,4.38,0.93,5.32,119.2,96.9,22.3,179
2020-21,All,82,LJ Figueroa,Oregon,3.88,1.91,5.78,1387,3.21,1.87,5.07,117.6,92.9,24.8,195
2020-21,All,83,Marcus Carr,Minnesota,4.29,1.47,5.76,1848,4.49,1.51,6.00,104.6,93.2,11.4,-44
2020-21,All,84,Austin Reaves,Oklahoma,4.51,1.22,5.73,1508,4.46,1.29,5.75,112.2,93.5,18.7,100
2020-21,All,85,Sasha Stefanovic,Purdue,4.10,1.61,5.72,1230,4.09,0.66,4.75,113.5,89.4,24.1,152
2020-21,All,86,David Duke,Providence,3.30,2.40,5.70,1634,3.08,1.83,4.91,107.0,92.2,14.8,55
2020-21,All,87,Trayce Jackson-Davis,Indiana,3.41,2.28,5.69,1576,2.74,1.76,4.50,107.1,90.6,16.5,24
2020-21,All,88,Jaylin Williams,Auburn,3.19,2.44,5.63,1337,3.31,2.43,5.74,111.6,92.7,19.0,79
2020-21,All,89,Gabe Osabuohien,West Virginia,2.02,3.61,5.63,868,1.22,3.24,4.46,119.9,89.4,30.5,122
2020-21,All,90,Donta Scott,Maryland,3.33,2.28,5.61,1496,3.30,2.02,5.32,111.2,89.2,21.9,101
2020-21,All,91,Marek Dolezaj,Syracuse,3.64,1.96,5.61,1707,3.53,1.94,5.46,112.2,93.2,19.0,114
2020-21,All,92,Hyunjung Lee,Davidson,6.11,-0.52,5.60,1014,6.35,0.09,6.43,115.7,100.9,14.8,83
2020-21,All,93,Terrence Shannon Jr.,Texas Tech,3.96,1.63,5.59,1258,3.36,0.89,4.25,116.1,87.4,28.7,202
2020-21,All,94,Trey Murphy III,Virginia,4.46,1.13,5.59,1126,4.18,1.19,5.38,118.1,88.3,29.7,199
2020-21,All,95,Jalen Pickett,Siena,4.03,1.55,5.58,836,2.86,0.99,3.85,101.7,96.3,5.4,70
2020-21,All,96,Tucker Richardson,Colgate,4.20,1.37,5.57,906,3.57,1.10,4.67,117.2,93.3,24.0,205
2020-21,All,97,Tre Mitchell,Massachusetts,3.41,2.14,5.54,768,3.56,1.39,4.95,111.0,94.3,16.8,88
2020-21,All,98,Eugene Omoruyi,Oregon,3.59,1.94,5.53,1472,4.00,2.04,6.04,115.3,92.5,22.8,184
2020-21,All,99,Marquise Kennedy,Loyola Chicago,3.14,2.38,5.52,778,2.10,1.51,3.61,117.1,84.7,32.5,235
2020-21,All,100,D'Mitrik Trice,Wisconsin,3.61,1.89,5.50,1730,3.54,1.16,4.71,111.0,85.8,25.2,147
2020-21,All,101,Mitch Ballock,Creighton,3.97,1.53,5.50,1823,3.05,0.43,3.48,112.0,89.1,22.9,205
2020-21,All,102,Eli Brooks,Michigan,3.59,1.90,5.49,1424,3.40,1.34,4.73,120.4,85.5,34.9,305
2020-21,All,103,Anthony Polite,Florida State,3.32,2.16,5.48,985,3.67,1.65,5.32,114.5,87.1,27.4,153
2020-21,All,104,Sharife Cooper,Auburn,4.91,0.56,5.46,775,4.00,0.52,4.53,116.3,95.6,20.7,39
2020-21,All,105,Michael Hughes,Duquesne,2.03,3.43,5.46,842,2.45,2.46,4.91,100.8,90.6,10.2,20
2020-21,All,106,Trent Frazier,Illinois,3.59,1.86,5.45,1854,2.64,1.27,3.91,118.9,85.9,33.0,305
2020-21,All,107,Jaquori McLaughlin,UC Santa Barbara,4.59,0.85,5.44,1370,5.73,0.45,6.18,109.3,92.5,16.8,226
2020-21,All,108,Alex Lomax,Memphis,2.80,2.63,5.42,747,2.82,1.79,4.61,106.4,83.8,22.6,149
2020-21,All,109,Tre Mann,Florida,3.10,2.29,5.40,1382,3.16,1.87,5.03,110.5,88.9,21.6,101
2020-21,All,110,James Bouknight,Connecticut,3.65,1.68,5.33,798,3.30,0.59,3.89,113.2,86.1,27.1,124
2020-21,All,111,Matt Haarms,BYU,2.34,2.97,5.32,1013,1.67,1.63,3.30,112.4,88.2,24.2,108
2020-21,All,112,Collin Welp,UC Irvine,2.91,2.37,5.28,1159,2.62,2.15,4.77,102.1,88.3,13.9,143
