Player Name,Team,Conference,season,reason,candidate_urls,next_action
Argel Pettit IV,Chestnut Hill,Central Athletic,2025-26,https://griffinathletics.com/sports/mens-basketball/stats: incapsula_protected_or_template_page; parsed 23 HTML tables but no matching player row found,https://griffinathletics.com/sports/mens-basketball/stats,manual row or player profile; URL loads but scraper did not find player
Jake Nguyen,Jefferson,Central Athletic,2025-26,https://jeffersonrams.com/sports/mens-basketball/stats: incapsula_protected_or_template_page; parsed 23 HTML tables but no matching player row found,https://jeffersonrams.com/sports/mens-basketball/stats,manual row or player profile; URL loads but scraper did not find player
Say'Quon Deas,Elizabeth City State,Central Intercollegiate Athletic,2025-26,https://ecsuvikings.com/sports/mens-basketball/stats: html_with_tables; parsed 23 HTML tables but no matching player row found,https://ecsuvikings.com/sports/mens-basketball/stats,manual row or player profile; URL loads but scraper did not find player
Jaron Walker,Virginia Union,Central Intercollegiate Athletic,2025-26,https://vuusports.com/sports/mens-basketball/stats: incapsula_protected_or_template_page; parsed 2 HTML tables but no matching player row found,https://vuusports.com/sports/mens-basketball/stats,manual row or player profile; URL loads but scraper did not find player
Owen Pederson,Barton,Conference Carolinas,2025-26,https://bartonbulldogs.com/sports/mens-basketball/stats/2025-26: incapsula_protected_or_template_page; parsed 23 HTML tables but no matching player row found,https://bartonbulldogs.com/sports/mens-basketball/stats/2025-26,manual row or player profile; URL loads but scraper did not find player
Raquavian Jones,Erskine,Conference Carolinas,2025-26,https://erskinesports.com/sports/mens-basketball/stats: incapsula_protected_or_template_page; parsed 23 HTML tables but no matching player row found,https://erskinesports.com/sports/mens-basketball/stats,manual row or player profile; URL loads but scraper did not find player
A.J. Woodard,Ferrum,Conference Carolinas,2025-26,https://ferrumpanthers.com/sports/mens-basketball/stats: html_with_tables; parsed 23 HTML tables but no matching player row found,https://ferrumpanthers.com/sports/mens-basketball/stats,manual row or player profile; URL loads but scraper did not find player
Philip Layne,North Greenville,Conference Carolinas,2025-26,https://nguathletics.com/sports/mens-basketball/stats: incapsula_protected_or_template_page; parsed 23 HTML tables but no matching player row found,https://nguathletics.com/sports/mens-basketball/stats,manual row or player profile; URL loads but scraper did not find player
Jalen Bradberry,District of Columbia,East Coast,2025-26,https://udcfirebirds.com/sports/mens-basketball/stats: HTTP Error 404: Not Found,https://udcfirebirds.com/sports/mens-basketball/stats,better official stats URL or manual row
Louis Connor,Lake Erie,Great Midwest Athletic,2025-26,https://lakeeriestorm.com/sports/mens-basketball/stats: incapsula_protected_or_template_page; parsed 23 HTML tables but no matching player row found,https://lakeeriestorm.com/sports/mens-basketball/stats,manual row or player profile; URL loads but scraper did not find player
Matty Foor,Newberry,South Atlantic,2025-26,https://newberrywolves.com/sports/mens-basketball/stats: incapsula_protected_or_template_page; parsed 23 HTML tables but no matching player row found,https://newberrywolves.com/sports/mens-basketball/stats,manual row or player profile; URL loads but scraper did not find player
Lorenzo Sedita,Tusculum,South Atlantic,2025-26,https://tusculumpioneers.com/sports/mens-basketball/stats: HTTP Error 404: Not Found,https://tusculumpioneers.com/sports/mens-basketball/stats,better official stats URL or manual row
Cam Oates,Edward Waters,Southern Intercollegiate Athletic,2025-26,https://ewutigerpride.com/sports/mens-basketball/stats: incapsula_protected_or_template_page; parsed 23 HTML tables but no matching player row found,https://ewutigerpride.com/sports/mens-basketball/stats,manual row or player profile; URL loads but scraper did not find player
