Player Name,Team,Conference,season,reason,candidate_urls,next_action
Malikai Delgado,Bridgeport,Central Athletic,2025-26,https://www.ubknights.com/sports/mbkb/2025-26/teams/bridgeport: html_with_tables; parsed 18 HTML tables but no matching player row found,https://www.ubknights.com/sports/mbkb/2025-26/teams/bridgeport,manual row or player profile; URL loads but scraper did not find player
Javelle Epps,Bridgeport,Central Athletic,2025-26,https://www.ubknights.com/sports/mbkb/2025-26/teams/bridgeport: html_with_tables; parsed 18 HTML tables but no matching player row found,https://www.ubknights.com/sports/mbkb/2025-26/teams/bridgeport,manual row or player profile; URL loads but scraper did not find player
"Turone Kelley, Jr.",Bridgeport,Central Athletic,2025-26,https://www.ubknights.com/sports/mbkb/2025-26/teams/bridgeport: html_with_tables; parsed 18 HTML tables but no matching player row found,https://www.ubknights.com/sports/mbkb/2025-26/teams/bridgeport,manual row or player profile; URL loads but scraper did not find player
Glenn Manigault III,Bridgeport,Central Athletic,2025-26,https://www.ubknights.com/sports/mbkb/2025-26/teams/bridgeport: html_with_tables; parsed 18 HTML tables but no matching player row found,https://www.ubknights.com/sports/mbkb/2025-26/teams/bridgeport,manual row or player profile; URL loads but scraper did not find player
Juelz Dickerson,Dominican NY,Central Athletic,2025-26,https://www.chargerathletics.com/sports/mbkb/2025-26/teams/dominicanny: html_with_tables; parsed 18 HTML tables but no matching player row found,https://www.chargerathletics.com/sports/mbkb/2025-26/teams/dominicanny,manual row or player profile; URL loads but scraper did not find player
Nathaniel Wooden,Dominican NY,Central Athletic,2025-26,https://www.chargerathletics.com/sports/mbkb/2025-26/teams/dominicanny: html_with_tables; parsed 18 HTML tables but no matching player row found,https://www.chargerathletics.com/sports/mbkb/2025-26/teams/dominicanny,manual row or player profile; URL loads but scraper did not find player
Jeremiah Williams,Dominican NY,Central Athletic,2025-26,https://www.chargerathletics.com/sports/mbkb/2025-26/teams/dominicanny: html_with_tables; parsed 18 HTML tables but no matching player row found,https://www.chargerathletics.com/sports/mbkb/2025-26/teams/dominicanny,manual row or player profile; URL loads but scraper did not find player
Ky Panda-Massey,St Thomas Aquinas,East Coast,2025-26,https://stacathletics.com/sports/mens-basketball/stats: HTTP Error 404: Not Found,https://stacathletics.com/sports/mens-basketball/stats,better official stats URL or manual row
Elhadji Diop,St Thomas Aquinas,East Coast,2025-26,https://stacathletics.com/sports/mens-basketball/stats: HTTP Error 404: Not Found,https://stacathletics.com/sports/mens-basketball/stats,better official stats URL or manual row
Delos Rossell,Northwood MI,Great Midwest Athletic,2025-26,https://www.gonorthwood.com/sports/mbkb/2025-26/teams/northwood?view=lineup: html_with_tables; parsed 6 HTML tables but no matching player row found,https://www.gonorthwood.com/sports/mbkb/2025-26/teams/northwood?view=lineup,manual row or player profile; URL loads but scraper did not find player
Jacob Burgess,Northwood MI,Great Midwest Athletic,2025-26,https://www.gonorthwood.com/sports/mbkb/2025-26/teams/northwood?view=lineup: html_with_tables; parsed 6 HTML tables but no matching player row found,https://www.gonorthwood.com/sports/mbkb/2025-26/teams/northwood?view=lineup,manual row or player profile; URL loads but scraper did not find player
Jaiden Krynicki,Northwood MI,Great Midwest Athletic,2025-26,https://www.gonorthwood.com/sports/mbkb/2025-26/teams/northwood?view=lineup: html_with_tables; parsed 6 HTML tables but no matching player row found,https://www.gonorthwood.com/sports/mbkb/2025-26/teams/northwood?view=lineup,manual row or player profile; URL loads but scraper did not find player
