Player Name,Team,Conference,GP,MIN,MPG,FGM,FGA,FG%,3PTM,3PTA,3PT%,FTM,FTA,FT%,PTS,PPG,ORB,DRB,TOT RB,RPG,PF,AST,TO,STL,BLK,APG,TOPG,SPG,BPG
Malikai Delgado,Bridgeport,Central Athletic,4.0,67.0,16.75,12.0,31.0,38.7,3.0,6.0,50.0,0.0,1.0,0.0,27.0,6.75,4.0,9.0,13.0,3.25,7.0,11.0,8.0,7.0,1.0,2.75,2.0,1.75,0.25
Javelle Epps,Bridgeport,Central Athletic,4.0,12.0,3.0,2.0,4.0,50.0,2.0,2.0,100.0,0.0,0.0,,6.0,1.5,0.0,1.0,1.0,0.25,1.0,0.0,1.0,0.0,0.0,0.0,0.25,0.0,0.0
"Turone Kelley, Jr.",Bridgeport,Central Athletic,5.0,12.0,2.4,1.0,4.0,25.0,0.0,1.0,0.0,0.0,0.0,,2.0,0.4,1.0,2.0,3.0,0.6,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.0,0.0
Glenn Manigault III,Bridgeport,Central Athletic,5.0,14.0,2.8,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2
Juelz Dickerson,Dominican NY,Central Athletic,3.0,79.0,26.333333333333332,7.0,17.0,41.2,0.0,5.0,0.0,10.0,11.0,90.9,24.0,8.0,2.0,15.0,17.0,5.666666666666667,7.0,3.0,4.0,9.0,3.0,1.0,1.3333333333333333,3.0,1.0
Nathaniel Wooden,Dominican NY,Central Athletic,6.0,23.0,3.8333333333333335,2.0,6.0,33.3,0.0,1.0,0.0,3.0,4.0,75.0,7.0,1.1666666666666667,1.0,1.0,2.0,0.3333333333333333,2.0,0.0,2.0,1.0,0.0,0.0,0.3333333333333333,0.1666666666666666,0.0
Jeremiah Williams,Dominican NY,Central Athletic,4.0,8.0,2.0,1.0,3.0,33.3,0.0,0.0,,0.0,2.0,0.0,2.0,0.5,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,0.0
Ky Panda-Massey,St Thomas Aquinas,East Coast,8.0,154.0,19.25,28.0,59.0,47.5,1.0,9.0,11.1,20.0,24.0,83.3,77.0,9.625,3.0,10.0,13.0,1.625,17.0,20.0,14.0,4.0,0.0,2.5,1.75,0.5,0.0
Elhadji Diop,St Thomas Aquinas,East Coast,6.0,39.0,6.5,3.0,17.0,17.6,1.0,11.0,9.1,0.0,0.0,,7.0,1.1666666666666667,5.0,6.0,11.0,1.8333333333333333,6.0,0.0,9.0,1.0,2.0,0.0,1.5,0.1666666666666666,0.3333333333333333
Delos Rossell,Northwood MI,Great Midwest Athletic,5.0,22.0,4.4,3.0,7.0,42.9,3.0,6.0,50.0,1.0,2.0,50.0,10.0,2.0,2.0,2.0,4.0,0.8,1.0,1.0,5.0,1.0,0.0,0.2,1.0,0.2,0.0
Jacob Burgess,Northwood MI,Great Midwest Athletic,2.0,6.0,3.0,1.0,3.0,33.3,0.0,1.0,0.0,0.0,0.0,,2.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.5,0.0
Jaiden Krynicki,Northwood MI,Great Midwest Athletic,7.0,37.0,5.285714285714286,1.0,8.0,12.5,1.0,7.0,14.3,0.0,1.0,0.0,3.0,0.4285714285714285,0.0,11.0,11.0,1.5714285714285714,0.0,6.0,5.0,0.0,2.0,0.8571428571428571,0.7142857142857143,0.0,0.2857142857142857
