Player Name,Team,source_url,audit_status,mismatch_fields,profile_url,profile_stats_endpoint,profile_json_status,stats_page_match_text,profile_match_text,profile_stats_json,team_GP,profile_GP,delta_GP,team_MIN,profile_MIN,delta_MIN,team_MPG,profile_MPG,delta_MPG,team_FGM,profile_FGM,delta_FGM,team_FGA,profile_FGA,delta_FGA,team_FG%,profile_FG%,delta_FG%,team_3PTM,profile_3PTM,delta_3PTM,team_3PTA,profile_3PTA,delta_3PTA,team_3PT%,profile_3PT%,delta_3PT%,team_FTM,profile_FTM,delta_FTM,team_FTA,profile_FTA,delta_FTA,team_FT%,profile_FT%,delta_FT%,team_PTS,profile_PTS,delta_PTS,team_PPG,profile_PPG,delta_PPG,team_TOT RB,profile_TOT RB,delta_TOT RB,team_RPG,profile_RPG,delta_RPG,team_AST,profile_AST,delta_AST,team_APG,profile_APG,delta_APG,team_TO,profile_TO,delta_TO,team_TOPG,profile_TOPG,delta_TOPG,team_STL,profile_STL,delta_STL,team_SPG,profile_SPG,delta_SPG,team_BLK,profile_BLK,delta_BLK,team_BPG,profile_BPG,delta_BPG,error
"Walker, Jamaal",Palm Beach Atlantic,https://pbasailfish.com/sports/mens-basketball/stats/2025-26,ok,,https://pbasailfish.com/sports/mens-basketball/roster/jamaal-walker/8615,https://pbasailfish.com/services/responsive-roster-bio.ashx?type=stats&rp_id=8615&path=mbball&year=2025&player_id=0,profile_json_checked,"05 Walker, Jamaal 05 Walker, Jamaal 1 0 1 1.0 1 1 1.000 0 0 .000 0 0 .000 2 2.0 1 0 1 1.0 0 0 0 0 0 View Bio",SIDEARM profile current_stats footer,"{""3PT%"": 0.0, ""3PTA"": 0.0, ""3PTM"": 0.0, ""AST"": 0.0, ""BLK"": 0.0, ""DRB"": 0.0, ""FG%"": 1.0, ""FGA"": 1.0, ""FGM"": 1.0, ""FT%"": 0.0, ""FTA"": 0.0, ""FTM"": 0.0, ""GP"": 1, ""MIN"": 1.0, ""MPG"": 1.0, ""ORB"": 1.0, ""PF"": 0.0, ""PPG"": 2.0, ""PTS"": 2.0, ""RPG"": 1.0, ""STL"": 0.0, ""TO"": 0.0, ""TOT RB"": 1.0, ""pts_per_40"": 80.0, ""reb_per_40"": 40.0}",1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,
"Olivier, Dezmund",Illinois Springfield,https://uisprairiestars.com/sports/mens-basketball/stats,ok,,https://uisprairiestars.com/sports/mens-basketball/roster/dezmund-olivier/4297,https://uisprairiestars.com/services/responsive-roster-bio.ashx?type=stats&rp_id=4297&path=mbball&year=2025&player_id=1608,profile_json_checked,"5 Olivier, Dezmund 5 Olivier, Dezmund 1 0 4 4.0 2 2 1.000 0 0 .000 0 0 .000 4 4.0 1 0 1 1.0 1 0 0 1 1 View Bio",SIDEARM profile current_stats footer,"{""3PT%"": 0.0, ""3PTA"": 0.0, ""3PTM"": 0.0, ""AST"": 0.0, ""BLK"": 1.0, ""DRB"": 0.0, ""FG%"": 1.0, ""FGA"": 2.0, ""FGM"": 2.0, ""FT%"": 0.0, ""FTA"": 0.0, ""FTM"": 0.0, ""GP"": 1, ""MIN"": 4.0, ""MPG"": 4.0, ""ORB"": 1.0, ""PF"": 1.0, ""PPG"": 4.0, ""PTS"": 4.0, ""RPG"": 1.0, ""STL"": 1.0, ""TO"": 0.0, ""TOT RB"": 1.0, ""pts_per_40"": 40.0, ""reb_per_40"": 10.0}",1.0,1.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,1.0,1.0,0.0,1.0,,,1.0,1.0,0.0,1.0,,,
"Busick, Drew",Indianapolis,https://athletics.uindy.edu/sports/mens-basketball/stats,ok,,https://athletics.uindy.edu/sports/mens-basketball/roster/drew-busick/15776,https://athletics.uindy.edu/services/responsive-roster-bio.ashx?type=stats&rp_id=15776&path=mbball&year=2025&player_id=9293,profile_json_checked,"23 Busick, Drew 23 Busick, Drew 1 0 2 2.0 0 0 .000 0 0 .000 0 0 .000 0 0.0 0 0 0 0.0 0 1 1 0 0 View Bio",SIDEARM profile current_stats footer,"{""3PT%"": 0.0, ""3PTA"": 0.0, ""3PTM"": 0.0, ""AST"": 1.0, ""BLK"": 0.0, ""DRB"": 0.0, ""FG%"": 0.0, ""FGA"": 0.0, ""FGM"": 0.0, ""FT%"": 0.0, ""FTA"": 0.0, ""FTM"": 0.0, ""GP"": 1, ""MIN"": 2.0, ""MPG"": 2.0, ""ORB"": 0.0, ""PF"": 0.0, ""PPG"": 0.0, ""PTS"": 0.0, ""RPG"": 0.0, ""STL"": 0.0, ""TO"": 1.0, ""TOT RB"": 0.0, ""pts_per_40"": 0.0, ""reb_per_40"": 0.0}",1.0,1.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,,,1.0,1.0,0.0,1.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,
"Johnson Jr. , Andre",Ouachita Baptist,https://obutigers.com/sports/mens-basketball/stats,ok,,https://obutigers.com/sports/mens-basketball/roster/andre-johnson-jr/8385,https://obutigers.com/services/responsive-roster-bio.ashx?type=stats&rp_id=8385&path=mbball&year=2025&player_id=4144,profile_json_checked,"23 Johnson Jr. , Andre 23 Johnson Jr. , Andre 1 0 4 4.0 0 1 .000 0 0 .000 0 0 .000 0 0.0 0 2 2 2.0 2 0 1 1 0 View Bio",SIDEARM profile current_stats footer,"{""3PT%"": 0.0, ""3PTA"": 0.0, ""3PTM"": 0.0, ""AST"": 0.0, ""BLK"": 0.0, ""DRB"": 2.0, ""FG%"": 0.0, ""FGA"": 1.0, ""FGM"": 0.0, ""FT%"": 0.0, ""FTA"": 0.0, ""FTM"": 0.0, ""GP"": 1, ""MIN"": 4.0, ""MPG"": 4.0, ""ORB"": 0.0, ""PF"": 2.0, ""PPG"": 0.0, ""PTS"": 0.0, ""RPG"": 2.0, ""STL"": 1.0, ""TO"": 1.0, ""TOT RB"": 2.0, ""pts_per_40"": 0.0, ""reb_per_40"": 20.0}",1.0,1.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,0.0,1.0,,,1.0,1.0,0.0,1.0,,,0.0,0.0,0.0,0.0,,,
"Bonner, Kaedon",Southern Nazarene,https://snuathletics.com/sports/mens-basketball/stats/2025-26,ok,,https://snuathletics.com/sports/mens-basketball/roster/kaedon-bonner/9752,https://snuathletics.com/services/responsive-roster-bio.ashx?type=stats&rp_id=9752&path=mbball&year=2025&player_id=0,profile_json_checked,"14 Bonner, Kaedon 14 Bonner, Kaedon 2 0 4 2.0 1 1 1.000 1 1 1.000 0 0 .000 3 1.5 0 0 0 0.0 0 0 2 0 0 View Bio",SIDEARM profile current_stats footer,"{""3PT%"": 1.0, ""3PTA"": 1.0, ""3PTM"": 1.0, ""AST"": 0.0, ""BLK"": 0.0, ""DRB"": 0.0, ""FG%"": 1.0, ""FGA"": 1.0, ""FGM"": 1.0, ""FT%"": 0.0, ""FTA"": 0.0, ""FTM"": 0.0, ""GP"": 2, ""MIN"": 4.0, ""MPG"": 2.0, ""ORB"": 0.0, ""PF"": 0.0, ""PPG"": 1.5, ""PTS"": 3.0, ""RPG"": 0.0, ""STL"": 0.0, ""TO"": 2.0, ""TOT RB"": 0.0, ""pts_per_40"": 30.0, ""reb_per_40"": 0.0}",2.0,2.0,0.0,4.0,4.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.0,2.0,0.0,1.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,
"Abashidze, Shota",Southern Nazarene,https://snuathletics.com/sports/mens-basketball/stats/2025-26,ok,,https://snuathletics.com/sports/mens-basketball/roster/shota-abashidze/9751,https://snuathletics.com/services/responsive-roster-bio.ashx?type=stats&rp_id=9751&path=mbball&year=2025&player_id=0,profile_json_checked,"10 Abashidze, Shota 10 Abashidze, Shota 1 0 2 2.0 0 0 .000 0 0 .000 0 0 .000 0 0.0 0 0 0 0.0 0 0 1 0 0 View Bio",SIDEARM profile current_stats footer,"{""3PT%"": 0.0, ""3PTA"": 0.0, ""3PTM"": 0.0, ""AST"": 0.0, ""BLK"": 0.0, ""DRB"": 0.0, ""FG%"": 0.0, ""FGA"": 0.0, ""FGM"": 0.0, ""FT%"": 0.0, ""FTA"": 0.0, ""FTM"": 0.0, ""GP"": 1, ""MIN"": 2.0, ""MPG"": 2.0, ""ORB"": 0.0, ""PF"": 0.0, ""PPG"": 0.0, ""PTS"": 0.0, ""RPG"": 0.0, ""STL"": 0.0, ""TO"": 1.0, ""TOT RB"": 0.0, ""pts_per_40"": 0.0, ""reb_per_40"": 0.0}",1.0,1.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,0.0,1.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,
"Miller, Jaden",East Central,https://ecutigers.com/sports/mens-basketball/stats,ok,,https://ecutigers.com/sports/mens-basketball/roster/jaden-miller/7006,https://ecutigers.com/services/responsive-roster-bio.ashx?type=stats&rp_id=7006&path=mbball&year=2025&player_id=3027,profile_json_checked,"03 Miller, Jaden 03 Miller, Jaden 28 28 911 32.5 95 171 .556 15 31 .484 95 124 .766 300 10.7 8 84 92 3.3 27 232 86 25 3 View Bio",SIDEARM profile current_stats footer,"{""3PT%"": 0.484, ""3PTA"": 31.0, ""3PTM"": 15.0, ""AST"": 232.0, ""BLK"": 3.0, ""DRB"": 84.0, ""FG%"": 0.556, ""FGA"": 171.0, ""FGM"": 95.0, ""FT%"": 0.766, ""FTA"": 124.0, ""FTM"": 95.0, ""GP"": 28, ""MIN"": 911.0, ""MPG"": 32.535714285714285, ""ORB"": 8.0, ""PF"": 27.0, ""PPG"": 10.7, ""PTS"": 300.0, ""RPG"": 3.3, ""STL"": 25.0, ""TO"": 86.0, ""TOT RB"": 92.0, ""pts_per_40"": 13.154774972557629, ""reb_per_40"": 4.057080131723381}",28.0,28.0,0.0,910.0,911.0,1.0,32.5,32.535714285714285,0.0357142857142847,95.0,95.0,0.0,171.0,171.0,0.0,0.556,0.556,0.0,15.0,15.0,0.0,31.0,31.0,0.0,0.484,0.484,0.0,95.0,95.0,0.0,124.0,124.0,0.0,0.766,0.766,0.0,300.0,300.0,0.0,10.714285714285714,10.7,-0.014285714285714235,92.0,92.0,0.0,3.2857142857142856,3.3,0.014285714285714235,232.0,232.0,0.0,8.285714285714286,,,86.0,86.0,0.0,3.0714285714285716,,,25.0,25.0,0.0,0.8928571428571429,,,3.0,3.0,0.0,0.1071428571428571,,,
"Harris, Landon",Southwestern Oklahoma State,https://swosuathletics.com/sports/mens-basketball/stats,ok,,https://swosuathletics.com/sports/mens-basketball/roster/landon-harris/5212,https://swosuathletics.com/services/responsive-roster-bio.ashx?type=stats&rp_id=5212&path=mbball&year=2025&player_id=2517,profile_json_checked,"12 Harris, Landon 12 Harris, Landon 2 0 5 2.5 1 1 1.000 0 0 .000 0 0 .000 2 1.0 0 4 4 2.0 0 0 0 0 0 View Bio",SIDEARM profile current_stats footer,"{""3PT%"": 0.0, ""3PTA"": 0.0, ""3PTM"": 0.0, ""AST"": 0.0, ""BLK"": 0.0, ""DRB"": 4.0, ""FG%"": 1.0, ""FGA"": 1.0, ""FGM"": 1.0, ""FT%"": 0.0, ""FTA"": 0.0, ""FTM"": 0.0, ""GP"": 2, ""MIN"": 5.0, ""MPG"": 2.5, ""ORB"": 0.0, ""PF"": 0.0, ""PPG"": 1.0, ""PTS"": 2.0, ""RPG"": 2.0, ""STL"": 0.0, ""TO"": 0.0, ""TOT RB"": 4.0, ""pts_per_40"": 16.0, ""reb_per_40"": 32.0}",2.0,2.0,0.0,5.0,5.0,0.0,2.5,2.5,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,4.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,
"Farr, Mason",Colorado Mesa,https://cmumavericks.com/sports/mens-basketball/stats/2025-26,ok,,https://cmumavericks.com/sports/mens-basketball/roster/mason-farr/23673,https://cmumavericks.com/services/responsive-roster-bio.ashx?type=stats&rp_id=23673&path=mbball&year=2025&player_id=0,profile_json_checked,"22 Farr, Mason 22 Farr, Mason 4 0 6 1.5 0 1 .000 0 1 .000 0 0 .000 0 0.0 0 2 2 0.5 1 1 2 0 0 View Bio",SIDEARM profile current_stats footer,"{""3PT%"": 0.0, ""3PTA"": 1.0, ""3PTM"": 0.0, ""AST"": 1.0, ""BLK"": 0.0, ""DRB"": 2.0, ""FG%"": 0.0, ""FGA"": 1.0, ""FGM"": 0.0, ""FT%"": 0.0, ""FTA"": 0.0, ""FTM"": 0.0, ""GP"": 4, ""MIN"": 6.0, ""MPG"": 1.5, ""ORB"": 0.0, ""PF"": 1.0, ""PPG"": 0.0, ""PTS"": 0.0, ""RPG"": 0.5, ""STL"": 0.0, ""TO"": 2.0, ""TOT RB"": 2.0, ""pts_per_40"": 0.0, ""reb_per_40"": 13.333333333333334}",4.0,4.0,0.0,6.0,6.0,0.0,1.5,1.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.5,0.5,0.0,1.0,1.0,0.0,0.25,,,2.0,2.0,0.0,0.5,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,
"Moore, Bobby",Point Loma,https://plnusealions.com/sports/mens-basketball/stats,ok,,https://plnusealions.com/sports/mens-basketball/roster/bobby-moore/7200,https://plnusealions.com/services/responsive-roster-bio.ashx?type=stats&rp_id=7200&path=mbball&year=2025&player_id=0,profile_json_checked,"32 Moore, Bobby 32 Moore, Bobby 4 0 7 1.8 1 1 1.000 0 0 .000 0 0 .000 2 0.5 1 4 5 1.3 1 0 0 0 2 View Bio",SIDEARM profile current_stats footer,"{""3PT%"": 0.0, ""3PTA"": 0.0, ""3PTM"": 0.0, ""AST"": 0.0, ""BLK"": 2.0, ""DRB"": 4.0, ""FG%"": 1.0, ""FGA"": 1.0, ""FGM"": 1.0, ""FT%"": 0.0, ""FTA"": 0.0, ""FTM"": 0.0, ""GP"": 4, ""MIN"": 7.0, ""MPG"": 1.75, ""ORB"": 1.0, ""PF"": 1.0, ""PPG"": 0.5, ""PTS"": 2.0, ""RPG"": 1.3, ""STL"": 0.0, ""TO"": 0.0, ""TOT RB"": 5.0, ""pts_per_40"": 11.428571428571429, ""reb_per_40"": 29.714285714285715}",4.0,4.0,0.0,7.2,7.0,-0.20000000000000018,1.8,1.75,-0.050000000000000044,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.5,0.5,0.0,5.0,5.0,0.0,1.25,1.3,0.050000000000000044,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,2.0,2.0,0.0,0.5,,,
