Player Name,Team,source_url,audit_status,mismatch_fields,profile_url,profile_stats_endpoint,profile_json_status,stats_page_match_text,profile_match_text,profile_stats_json,team_GP,profile_GP,delta_GP,team_MIN,profile_MIN,delta_MIN,team_MPG,profile_MPG,delta_MPG,team_FGM,profile_FGM,delta_FGM,team_FGA,profile_FGA,delta_FGA,team_FG%,profile_FG%,delta_FG%,team_3PTM,profile_3PTM,delta_3PTM,team_3PTA,profile_3PTA,delta_3PTA,team_3PT%,profile_3PT%,delta_3PT%,team_FTM,profile_FTM,delta_FTM,team_FTA,profile_FTA,delta_FTA,team_FT%,profile_FT%,delta_FT%,team_PTS,profile_PTS,delta_PTS,team_PPG,profile_PPG,delta_PPG,team_TOT RB,profile_TOT RB,delta_TOT RB,team_RPG,profile_RPG,delta_RPG,team_AST,profile_AST,delta_AST,team_APG,profile_APG,delta_APG,team_TO,profile_TO,delta_TO,team_TOPG,profile_TOPG,delta_TOPG,team_STL,profile_STL,delta_STL,team_SPG,profile_SPG,delta_SPG,team_BLK,profile_BLK,delta_BLK,team_BPG,profile_BPG,delta_BPG,error
Jason Shields,Holy Family,https://athletics.holyfamily.edu/sports/mens-basketball/stats/2025-26,profile_fetch_failed,,https://athletics.holyfamily.edu/sports/mens-basketball/roster/jason-shields/3981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HTTP Error 404: Not Found
Brandon Hooks,Holy Family,https://athletics.holyfamily.edu/sports/mens-basketball/stats/2025-26,profile_fetch_failed,,https://athletics.holyfamily.edu/sports/mens-basketball/roster/brandon-hooks/3985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HTTP Error 404: Not Found
Jayson Love,Holy Family,https://athletics.holyfamily.edu/sports/mens-basketball/stats/2025-26,profile_fetch_failed,,https://athletics.holyfamily.edu/sports/mens-basketball/roster/jayson-love/3990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HTTP Error 404: Not Found
Fidel Mpanzo,Wilmington DE,https://wildcats.athletics.wilmu.edu/sports/mbkb/2025-26/teams/wilmingtondel?view=lineup&r=0&pos=sh,profile_link_not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jadyn Humber,Wilmington DE,https://wildcats.athletics.wilmu.edu/sports/mbkb/2025-26/teams/wilmingtondel?view=lineup&r=0&pos=sh,profile_link_not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elson Berhanu,Wilmington DE,https://wildcats.athletics.wilmu.edu/sports/mbkb/2025-26/teams/wilmingtondel?view=lineup&r=0&pos=sh,profile_link_not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Bogg,Wilmington DE,https://wildcats.athletics.wilmu.edu/sports/mbkb/2025-26/teams/wilmingtondel?view=lineup&r=0&pos=sh,profile_link_not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Izrael Everett,Bluefield State,https://gobstate.com/sports/mens-basketball/stats/2025-26,profile_stat_row_not_found,,https://gobstate.com/sports/mens-basketball/roster/izrael-everett/2824,https://gobstate.com/services/responsive-roster-bio.ashx?type=stats&rp_id=2824&path=mbball&year=2025&player_id=0,profile_json_checked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idris Williams,Livingstone,https://bluebearathletics.com/sports/mens-basketball/stats,profile_fetch_failed,,https://bluebearathletics.com/sports/mens-basketball/roster/idris-williams/5069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HTTP Error 404: Not Found
Curtis Bowser,Erskine,https://erskinesports.com/sports/mens-basketball/stats,profile_stat_row_not_found,,https://erskinesports.com/sports/mens-basketball/roster/jr-bowser/9040,https://erskinesports.com/services/responsive-roster-bio.ashx?type=stats&rp_id=9702&path=mbball&year=2025&player_id=0,profile_json_checked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
