canonical_team,team,season,stats_url,notes,review_reason
Claflin,Claflin,2025-26,https://athletics.claflin.edu/sports/mens-basketball/stats/2025-26,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Clarion,Clarion,2025-26,https://clariongoldeneagles.com/sports/mens-basketball/stats/2025-26,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Clayton State,Clayton State,2025-26,https://claytonstatesports.com/sports/mbball/stats/2025-26?path=mbball,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Columbus State,Columbus State,2025-26,https://csucougars.com/sports/mens-basketball,"Verified official men's basketball page. Official athletics site exposes stats through the basketball section, but a dedicated /stats URL could not be verified from the site navigation.",notes_not_actually_verified_stats;url_not_direct_stats_page;generic_team_page_not_stats
Concordia St Paul,Concordia St Paul,2025-26,https://cspbears.com/sports/mens-basketball,"Verified official men's basketball page. Dedicated statistics content is available through the athletics platform, but a direct cumulative /stats URL could not be confirmed from site navigation.",notes_not_actually_verified_stats;url_not_direct_stats_page;generic_team_page_not_stats
Daemen College,Daemen College,2025-26,https://daemenwildcats.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Dominican NY,Dominican NY,2025-26,,"Official athletics site located, but a verified 2025-26 cumulative/team statistics page could not be confirmed on the school athletics website.",blank_url;notes_not_actually_verified_stats
East Stroudsburg,East Stroudsburg,2025-26,https://esuwarriors.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Emory Henry,Emory Henry,2025-26,,Could not verify an official 2025-26 men's basketball cumulative/team statistics page on the athletics site.,blank_url;notes_not_actually_verified_stats
Fayetteville State,Fayetteville State,2025-26,https://fsubroncos.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
Fort Hays State,Fort Hays State,2025-26,https://fhsuathletics.com/sports/mens-basketball/stats/2025-26,Verified official 2025-26 Men's Basketball Cumulative Statistics page with team and player cumulative season statistics.,
Georgia College,Georgia College,2025-26,https://gcsubobcats.com/sports/mens-basketball/stats,Verified official 2025-26 Men's Basketball Cumulative Statistics page with team and player cumulative season statistics.,
Indiana University of Pennsylvania,Indiana University of Pennsylvania,2025-26,https://iupathletics.com/sports/mens-basketball/stats/2025-26,Verified official 2025-26 Men's Basketball Cumulative Statistics page.,
