Player Name,Team,Conference,season,reason,candidate_urls
"Olivier, Dezmund",Illinois Springfield,Great Lakes Valley,2025-26,no school domain or URL override found,
"Busick, Drew",Indianapolis,Great Lakes Valley,2025-26,no school domain or URL override found,
"Johnson Jr. , Andre",Ouachita Baptist,Great American,2025-26,no school domain or URL override found,
"Miller, Jaden",East Central,Great American,2025-26,no school domain or URL override found,
"Harris, Landon",Southwestern Oklahoma State,Great American,2025-26,no school domain or URL override found,
"Webb, Tyler",Arkansas-Monticello,Great American,2025-26,no school domain or URL override found,
"Moore, Bobby",Point Loma,PacWest,2025-26,no school domain or URL override found,
"Onuaguluchi, Kenechi",Jessup,PacWest,2025-26,no school domain or URL override found,
"McCullough, Jett",Alaska Fairbanks,Great Northwest,2025-26,no school domain or URL override found,
"Chase, Ephraim",Roosevelt,Great Lakes Intercollegiate,2025-26,no school domain or URL override found,
"Gigo, Anderson",Roosevelt,Great Lakes Intercollegiate,2025-26,no school domain or URL override found,
Malikai Delgado,Bridgeport,Central Athletic,2025-26,https://www.ubknights.com/sports/mbkb/2025-26/teams/bridgeport: html_with_tables; parsed 18 HTML tables but no matching player row found,https://www.ubknights.com/sports/mbkb/2025-26/teams/bridgeport
Javelle Epps,Bridgeport,Central Athletic,2025-26,https://www.ubknights.com/sports/mbkb/2025-26/teams/bridgeport: html_with_tables; parsed 18 HTML tables but no matching player row found,https://www.ubknights.com/sports/mbkb/2025-26/teams/bridgeport
"Turone Kelley, Jr.",Bridgeport,Central Athletic,2025-26,https://www.ubknights.com/sports/mbkb/2025-26/teams/bridgeport: html_with_tables; parsed 18 HTML tables but no matching player row found,https://www.ubknights.com/sports/mbkb/2025-26/teams/bridgeport
Glenn Manigault III,Bridgeport,Central Athletic,2025-26,https://www.ubknights.com/sports/mbkb/2025-26/teams/bridgeport: html_with_tables; parsed 18 HTML tables but no matching player row found,https://www.ubknights.com/sports/mbkb/2025-26/teams/bridgeport
Austin Amponsah,Caldwell,Central Athletic,2025-26,no school domain or URL override found,
Manny Smith,Caldwell,Central Athletic,2025-26,no school domain or URL override found,
Argel Pettit IV,Chestnut Hill,Central Athletic,2025-26,no school domain or URL override found,
"Travis Reed, Jr.",Chestnut Hill,Central Athletic,2025-26,no school domain or URL override found,
Juelz Dickerson,Dominican NY,Central Athletic,2025-26,no school domain or URL override found,
Nathaniel Wooden,Dominican NY,Central Athletic,2025-26,no school domain or URL override found,
Jeremiah Williams,Dominican NY,Central Athletic,2025-26,no school domain or URL override found,
Darius Sherman,Goldey Beacom,Central Athletic,2025-26,no school domain or URL override found,
Jake Nguyen,Jefferson,Central Athletic,2025-26,https://jeffersonrams.com/sports/mens-basketball/stats: incapsula_protected_or_template_page; parsed 23 HTML tables but no matching player row found,https://jeffersonrams.com/sports/mens-basketball/stats
Brandon Beamon,Post,Central Athletic,2025-26,no school domain or URL override found,
Cayleb Walters,Post,Central Athletic,2025-26,no school domain or URL override found,
Fidel Mpanzo,Wilmington DE,Central Athletic,2025-26,no school domain or URL override found,
Jadyn Humber,Wilmington DE,Central Athletic,2025-26,no school domain or URL override found,
Elson Berhanu,Wilmington DE,Central Athletic,2025-26,no school domain or URL override found,
Jeff Bogg,Wilmington DE,Central Athletic,2025-26,no school domain or URL override found,
Justin Morrisey,Bowie State,Central Intercollegiate Athletic,2025-26,no school domain or URL override found,
Chandler Mason,Claflin,Central Intercollegiate Athletic,2025-26,no school domain or URL override found,
Kaemon Khan,Claflin,Central Intercollegiate Athletic,2025-26,no school domain or URL override found,
Donte Hickman,Claflin,Central Intercollegiate Athletic,2025-26,no school domain or URL override found,
Say'Quon Deas,Elizabeth City State,Central Intercollegiate Athletic,2025-26,https://ecsuvikings.com/sports/mens-basketball/stats: incapsula_protected_or_template_page; parsed 23 HTML tables but no matching player row found,https://ecsuvikings.com/sports/mens-basketball/stats
Anthony Mendez,Fayetteville State,Central Intercollegiate Athletic,2025-26,no school domain or URL override found,
Tobias Shifflet,Fayetteville State,Central Intercollegiate Athletic,2025-26,no school domain or URL override found,
