team,season,missing_players,players
Southwest Minnesota State,2025-26,4,Buay Koak; Caleb Schlaak; Ethan Koltz; Reece Kircher
Virginia Wise,2025-26,4,Cole Caywood; Gunner Garrett; Teshawn Ricks; Filip Brkic
Wilmington DE,2025-26,4,Fidel Mpanzo; Jadyn Humber; Elson Berhanu; Jeff Bogg
Alabama Huntsville,2025-26,3,Victor Odiari; Carson Chandler; Aiden Weaver
Angelo State,2025-26,3,Ja'Queze Kirby; Devyn Paz; Darius Brady
Ashland,2025-26,3,Aden Gregory; Nohah Nichols; Matthew Chou
Belmont Abbey,2025-26,3,"JaVon Brooks; Josh Lindsay; Brian Carter, Jr."
Carson Newman,2025-26,3,David Gorianskii; Gaas Herman; Shamir Caruthers
Christian Brothers,2025-26,3,Kamden Days; Kamren Moore; Antonio Foxwell
Claflin,2025-26,3,Chandler Mason; Kaemon Khan; Donte Hickman
Clarion,2025-26,3,Jayden Statum; Caden Young; Brody McQuiston
Clayton State,2025-26,3,Dez'Mond Perkins; Jeremiah Barze; Bryce Dawson
Columbus State,2025-26,3,Dee Morton; Qmar Stroman; Demetrius Gibson
Concordia St Paul,2025-26,3,Alex Kopetzki; Allan Lankfard; Jackson Driessen
Daemen College,2025-26,3,Pat Rouse; Ayden Harrison; Ivan Yhomby
Dominican NY,2025-26,3,Juelz Dickerson; Nathaniel Wooden; Jeremiah Williams
East Stroudsburg,2025-26,3,"Kevin Coleman, Jr.; Shane Crissman; Milan Dean"
Emory Henry,2025-26,3,Isaac Cubero; Cross Arias; Ryan Steger
Fayetteville State,2025-26,3,Anthony Mendez; Tobias Shifflet; Gerardo Santiago
Fort Hays State,2025-26,3,Ben Johnson; Tegen Curley; David Johnson
Georgia College,2025-26,3,Austin Mosby-Weems; Marques Greene; Boston Kersh
Indiana University of Pennsylvania,2025-26,3,"Ralphie Blundo; Harry Keighley; Alfonso Pickens, Jr."
Johnson C Smith,2025-26,3,Jeremee Bryant; Christopher Mitchell; Micah Norris
Kentucky Wesleyan,2025-26,3,Tavion Williams; Haiden Evans; Carter Bischoff
King,2025-26,3,Oliver Peterson; Kalen Shemwell; Jackson Davidson
Millersville University,2025-26,3,Kyle Benjamin; Ethan Benne; Keith Jackson
Minnesota Duluth,2025-26,3,Andrew Rader; Billy DeMars; Brooks Johnson
Mississippi College,2025-26,3,John Ridger; Wesley Chapman; Will Andrews
Montevallo,2025-26,3,Luke Stephens; Jayden Young; Ty Odom
Nebraska Kearney,2025-26,3,Maal Jal; Chiaki Momma; Payton Jones
Newberry,2025-26,3,Matty Foor; A.J. Demirov; Desmond Ware
Newman University,2025-26,3,Jayden Schoen; Devin Walker; Aaron Murphy
North Greenville,2025-26,3,West Kellett; Philip Layne; Nick McConnell
Northwood MI,2025-26,3,Delos Rossell; Jacob Burgess; Jaiden Krynicki
Savannah State,2025-26,3,Mekhi Witter; Isaiah Isichei; Khalil Grace
St Edwards,2025-26,3,Travon Williams; Shug Jinkal; George McCoy
Tiffin,2025-26,3,Avonte Wiggins; Noah Trevino; Tavin Shaw
University of Mary,2025-26,3,Kenny Gonzalez; Wyatt Westin; Ryan Larson
Valdosta State,2025-26,3,Jose Cuello; Kaden Johnson; Andrew Haynes
WV Wesleyan,2025-26,3,Baustin Bowers; Navi Hewitt; Sion Cleveland
Western New Mexico,2025-26,3,Jalen Williams; Nathan Jones; Oskar Olechnowicz
Adelphi,2025-26,2,Carter Wilson; London Carson
American International,2025-26,2,Se'yphon Triplett; Miles Smith
Anderson SC,2025-26,2,Sam Perez; Jemeh Jones
Arkansas Fort Smith,2025-26,2,Zane Restelli; Markece Young
Assumption College,2025-26,2,Michael Pitman; Luke Latina
Benedict College,2025-26,2,Jay'Quan Nelson; Anthony Magwood-Spann
Caldwell,2025-26,2,Austin Amponsah; Manny Smith
Catawba,2025-26,2,Dermot Lowry; Malachi McCutcheon
Central State OH,2025-26,2,Dimaunye Smith-Powe; Marjoni Tate
Chestnut Hill,2025-26,2,"Argel Pettit IV; Travis Reed, Jr."
Eastern New Mexico,2025-26,2,"Jaden Clarke; Derrick Daniels, Jr."
Emmanuel GA,2025-26,2,Kolby Watson; Jamaal Leggett
Erskine,2025-26,2,Curtis Bowser; Raquavian Jones
Fort Valley State,2025-26,2,Jaylen Jackson; Josiah Lawson
Franklin Pierce,2025-26,2,Mahir Hrnjic; Fabrice Salvant
Gannon,2025-26,2,Lathan Coleman; Rocco Morabito
Hillsdale MI,2025-26,2,Israel Gentry; Michael App
Lander,2025-26,2,Reid Stodghill; Jaden Miller
Lincoln PA,2025-26,2,Jahmire Brewer; Yave Cruz
Lubbock Christian,2025-26,2,Emerson Juhasz; Adam Varadi
Miles College,2025-26,2,Isaiah Davis; Breland Price
Minot State,2025-26,2,Sean De Kovachich; Drew Kempel
Molloy,2025-26,2,Darius Coleman; Joshua Malcolm
Morehouse,2025-26,2,Quinton Steele; Donavin Williams
Northeastern State,2025-26,2,Sage Wayans; Ben Hagebusch
Northern State,2025-26,2,Braeden Vanbockern; Marley Baah-Yeboah
