Player Name,Team,Conference,season,reason,candidate_urls
Malikai Delgado,Bridgeport,Central Athletic,2025-26,https://www.ubknights.com/sports/mbkb/2025-26/teams/bridgeport: html_with_tables; parsed 18 HTML tables but no matching player row found,https://www.ubknights.com/sports/mbkb/2025-26/teams/bridgeport
Javelle Epps,Bridgeport,Central Athletic,2025-26,https://www.ubknights.com/sports/mbkb/2025-26/teams/bridgeport: html_with_tables; parsed 18 HTML tables but no matching player row found,https://www.ubknights.com/sports/mbkb/2025-26/teams/bridgeport
"Turone Kelley, Jr.",Bridgeport,Central Athletic,2025-26,https://www.ubknights.com/sports/mbkb/2025-26/teams/bridgeport: html_with_tables; parsed 18 HTML tables but no matching player row found,https://www.ubknights.com/sports/mbkb/2025-26/teams/bridgeport
Glenn Manigault III,Bridgeport,Central Athletic,2025-26,https://www.ubknights.com/sports/mbkb/2025-26/teams/bridgeport: html_with_tables; parsed 18 HTML tables but no matching player row found,https://www.ubknights.com/sports/mbkb/2025-26/teams/bridgeport
Jake Nguyen,Jefferson,Central Athletic,2025-26,https://jeffersonrams.com/sports/mens-basketball/stats: incapsula_protected_or_template_page; parsed 23 HTML tables but no matching player row found,https://jeffersonrams.com/sports/mens-basketball/stats
Say'Quon Deas,Elizabeth City State,Central Intercollegiate Athletic,2025-26,https://ecsuvikings.com/sports/mens-basketball/stats: incapsula_protected_or_template_page; parsed 23 HTML tables but no matching player row found,https://ecsuvikings.com/sports/mens-basketball/stats
Leon Cain,Livingstone,Central Intercollegiate Athletic,2025-26,"https://bluebearsports.com/sports/mens-basketball/stats: <urlopen error [Errno 8] nodename nor servname provided, or not known>",https://bluebearsports.com/sports/mens-basketball/stats
Kareem Fawlkes,Livingstone,Central Intercollegiate Athletic,2025-26,"https://bluebearsports.com/sports/mens-basketball/stats: <urlopen error [Errno 8] nodename nor servname provided, or not known>",https://bluebearsports.com/sports/mens-basketball/stats
Idris Williams,Livingstone,Central Intercollegiate Athletic,2025-26,"https://bluebearsports.com/sports/mens-basketball/stats: <urlopen error [Errno 8] nodename nor servname provided, or not known>",https://bluebearsports.com/sports/mens-basketball/stats
Trey Minard,Livingstone,Central Intercollegiate Athletic,2025-26,"https://bluebearsports.com/sports/mens-basketball/stats: <urlopen error [Errno 8] nodename nor servname provided, or not known>",https://bluebearsports.com/sports/mens-basketball/stats
Owen Pederson,Barton,Conference Carolinas,2025-26,https://bartonbulldogs.com/sports/mens-basketball/stats: incapsula_protected_or_template_page; parsed 23 HTML tables but no matching player row found,https://bartonbulldogs.com/sports/mens-basketball/stats
A.J. Woodard,Ferrum,Conference Carolinas,2025-26,https://ferrumpanthers.com/sports/mens-basketball/stats: html_with_tables; parsed 23 HTML tables but no matching player row found,https://ferrumpanthers.com/sports/mens-basketball/stats
Louis Connor,Lake Erie,Great Midwest Athletic,2025-26,https://lakeeriestorm.com/sports/mens-basketball/stats: incapsula_protected_or_template_page; parsed 23 HTML tables but no matching player row found,https://lakeeriestorm.com/sports/mens-basketball/stats
DaJaun Young,Edinboro,Pennsylvania State Athletic,2025-26,"https://fightingots.com/sports/mens-basketball/stats: <urlopen error [Errno 8] nodename nor servname provided, or not known>",https://fightingots.com/sports/mens-basketball/stats
John Mobley,Edinboro,Pennsylvania State Athletic,2025-26,"https://fightingots.com/sports/mens-basketball/stats: <urlopen error [Errno 8] nodename nor servname provided, or not known>",https://fightingots.com/sports/mens-basketball/stats
Zach Cavanagh,Edinboro,Pennsylvania State Athletic,2025-26,"https://fightingots.com/sports/mens-basketball/stats: <urlopen error [Errno 8] nodename nor servname provided, or not known>",https://fightingots.com/sports/mens-basketball/stats
Jackson Dailey,Edinboro,Pennsylvania State Athletic,2025-26,"https://fightingots.com/sports/mens-basketball/stats: <urlopen error [Errno 8] nodename nor servname provided, or not known>",https://fightingots.com/sports/mens-basketball/stats
Cam Oates,Edward Waters,Southern Intercollegiate Athletic,2025-26,https://ewutigerpride.com/sports/mens-basketball/stats/: incapsula_protected_or_template_page; parsed 23 HTML tables but no matching player row found,https://ewutigerpride.com/sports/mens-basketball/stats/
