Team,Conference,season,reason,missing_players
Augusta University,Peach Belt,2025-26,no school domain or URL override found,4
Barton,Conference Carolinas,2025-26,no school domain or URL override found,4
Cedarville,Great Midwest Athletic,2025-26,no school domain or URL override found,4
Central Oklahoma,Mid-America Intercollegiate,2025-26,no school domain or URL override found,4
Chowan,Conference Carolinas,2025-26,no school domain or URL override found,4
DYouville,East Coast,2025-26,no school domain or URL override found,4
Davis Elkins,Mountain East,2025-26,no school domain or URL override found,4
Edinboro,Pennsylvania State Athletic,2025-26,no school domain or URL override found,4
Fairmont State,Mountain East,2025-26,no school domain or URL override found,4
Felician College,Central Athletic,2025-26,no school domain or URL override found,4
Ferrum,Conference Carolinas,2025-26,no school domain or URL override found,4
Findlay,Great Midwest Athletic,2025-26,no school domain or URL override found,4
Francis Marion,Conference Carolinas,2025-26,no school domain or URL override found,4
Georgian Court,Central Athletic,2025-26,no school domain or URL override found,4
Lee University,Gulf South,2025-26,no school domain or URL override found,4
Lincoln Memorial,South Atlantic,2025-26,no school domain or URL override found,4
Livingstone,Central Intercollegiate Athletic,2025-26,no school domain or URL override found,4
Missouri Southern State,Mid-America Intercollegiate,2025-26,no school domain or URL override found,4
Pittsburg State,Mid-America Intercollegiate,2025-26,no school domain or URL override found,4
Sioux Falls,Northern Sun Intercollegiate,2025-26,no school domain or URL override found,4
Southwest Minnesota State,Northern Sun Intercollegiate,2025-26,no school domain or URL override found,4
Virginia Wise,South Atlantic,2025-26,no school domain or URL override found,4
Wilmington DE,Central Athletic,2025-26,no school domain or URL override found,4
Alabama Huntsville,Gulf South,2025-26,no school domain or URL override found,3
Angelo State,Lone Star,2025-26,no school domain or URL override found,3
Ashland,Great Midwest Athletic,2025-26,no school domain or URL override found,3
Belmont Abbey,Conference Carolinas,2025-26,no school domain or URL override found,3
Carson Newman,South Atlantic,2025-26,no school domain or URL override found,3
Christian Brothers,Gulf South,2025-26,no school domain or URL override found,3
Claflin,Central Intercollegiate Athletic,2025-26,no school domain or URL override found,3
Clarion,Pennsylvania State Athletic,2025-26,no school domain or URL override found,3
Clayton State,Peach Belt,2025-26,no school domain or URL override found,3
Columbus State,Peach Belt,2025-26,no school domain or URL override found,3
Concordia St Paul,Northern Sun Intercollegiate,2025-26,no school domain or URL override found,3
Daemen College,East Coast,2025-26,no school domain or URL override found,3
Dominican NY,Central Athletic,2025-26,no school domain or URL override found,3
East Stroudsburg,Pennsylvania State Athletic,2025-26,no school domain or URL override found,3
Emory Henry,South Atlantic,2025-26,no school domain or URL override found,3
Fayetteville State,Central Intercollegiate Athletic,2025-26,no school domain or URL override found,3
Fort Hays State,Mid-America Intercollegiate,2025-26,no school domain or URL override found,3
Georgia College,Peach Belt,2025-26,no school domain or URL override found,3
Indiana University of Pennsylvania,Pennsylvania State Athletic,2025-26,no school domain or URL override found,3
Johnson C Smith,Central Intercollegiate Athletic,2025-26,no school domain or URL override found,3
Kentucky Wesleyan,Great Midwest Athletic,2025-26,no school domain or URL override found,3
King,Conference Carolinas,2025-26,no school domain or URL override found,3
Millersville University,Pennsylvania State Athletic,2025-26,no school domain or URL override found,3
Minnesota Duluth,Northern Sun Intercollegiate,2025-26,no school domain or URL override found,3
Mississippi College,Gulf South,2025-26,no school domain or URL override found,3
Montevallo,Gulf South,2025-26,no school domain or URL override found,3
Nebraska Kearney,Mid-America Intercollegiate,2025-26,no school domain or URL override found,3
Newberry,South Atlantic,2025-26,no school domain or URL override found,3
Newman University,Mid-America Intercollegiate,2025-26,no school domain or URL override found,3
North Greenville,Conference Carolinas,2025-26,no school domain or URL override found,3
Northwood MI,Great Midwest Athletic,2025-26,no school domain or URL override found,3
Savannah State,Southern Intercollegiate Athletic,2025-26,no school domain or URL override found,3
St Edwards,Lone Star,2025-26,no school domain or URL override found,3
