Player Name,Team,Conference,source_url,source_method,row_match_text,raw_row_json,raw_# #,raw_Player Player,raw_GP GP,raw_GS GS,raw_MIN,raw_FGM,raw_FGA,raw_FG%,raw_3PT,raw_3PTA,raw_3PT%,raw_FTM,raw_FTA,raw_FT%,raw_PTS,raw_AVG,raw_OREB,raw_DREB,raw_REB,raw_AST,raw_STL,raw_BLK,raw_Name,raw_GP,raw_TO,raw_AST/TO Ratio,raw_#,raw_Yr,raw_Pos,raw_gp,raw_gs,raw_min,raw_fg,raw_pct,raw_3pt,raw_pct.1,raw_ft,raw_pct.2,raw_pts,raw_off,raw_def,raw_reb,raw_ast,raw_to,raw_stl,raw_blk,raw_pf,raw_dq,raw_a/to,raw_No.,raw_Minutes TOT,raw_Minutes AVG,raw_FG FGM,raw_FG FGA,raw_FG FG%,raw_3PT 3PT,raw_3PT 3PTA,raw_3PT 3PT%,raw_FT FTM,raw_FT FTA,raw_FT FT%,raw_Scoring PTS,raw_Scoring AVG,raw_Rebounds OFF,raw_Rebounds DEF,raw_Rebounds TOT,raw_Rebounds AVG,raw_PF PF,raw_AST AST,raw_TO TO,raw_STL STL,raw_BLK BLK,raw_Bio Link Bio Link,raw_FGM/G,raw_FGA/G,raw_AVG/G,raw_OFF,raw_OFF/G,raw_DEF,raw_DEF/G,raw_min/g,raw_fg/g,raw_3pt/g,raw_ft/g,raw_ppg,raw_mpg,raw_off/g,raw_def/g,raw_reb/g,raw_pf/g,raw_dq/g,raw_ast/g,raw_to/g,raw_stl/g,raw_blk/g,raw_0,raw_1,raw_2,raw_3,raw_4,raw_5,raw_6,raw_7,raw_8,raw_9,raw_10,raw_11,raw_12,raw_13,raw_14,raw_15,raw_16,raw_17,raw_18,raw_19,raw_20,raw_21,raw_22,raw_23,raw_24,raw_25,raw_26,raw_Player uniform #,raw_Player name Player,raw_MINUTES MIN,raw_MINUTES AVG,raw_SCORING PTS,raw_SCORING AVG,raw_REBOUNDS OFF,raw_REBOUNDS DEF,raw_REBOUNDS TOT,raw_REBOUNDS AVG
"Walker, Jamaal",Palm Beach Atlantic,Sunshine,https://pbasailfish.com/sports/mens-basketball/stats/2025-26,official_school_stats_page,"5.0 Walker, Jamaal  05 Walker, Jamaal 1 0.0 1 1 1 1.0 0 0 0.0 0 0 0.0 2 2.0 || 5.0 Walker, Jamaal  05 Walker, Jamaal 1 1.0 1.0 0.0 0.0 1.0 0.0 1.0 0.0 0.0 0.0 2.0","{""# #"": 5.0, ""3PT"": 0, ""3PT%"": 0.0, ""3PTA"": 0, ""AST"": 0.0, ""AVG"": 2.0, ""BLK"": 0.0, ""DREB"": 0.0, ""FG%"": 1.0, ""FGA"": 1, ""FGM"": 1, ""FT%"": 0.0, ""FTA"": 0, ""FTM"": 0, ""GP GP"": 1, ""GS GS"": 0.0, ""MIN"": 1.0, ""OREB"": 1.0, ""PTS"": 2.0, ""Player Player"": ""Walker, Jamaal  05 Walker, Jamaal"", ""REB"": 1.0, ""STL"": 0.0}",5.0,"Walker, Jamaal  05 Walker, Jamaal",1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Olivier, Dezmund",Illinois Springfield,Great Lakes Valley,https://uisprairiestars.com/sports/mens-basketball/stats,official_school_stats_page,"5.0 Olivier, Dezmund  5 Olivier, Dezmund 1 0.0 4 2 2 1.0 0 0 0.0 0 0 0.0 4 4.0 || 5.0 Olivier, Dezmund  05 Olivier, Dezmund 7 0.0 26 0 5 0.0 0 4 0.0 0 0 0.0 0 0.0 || 5.0 Olivier, Dezmund  5 Olivier, Dezmund 1 4.0 1.0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 1.0 4.0 || 5.0 Olivier, Dezmund  05 Olivier, Dezmund 7 3.7 0.0 0.0 0.0 0.1 0.4 0.6 0.0 0.3 0.0 0.0","{""# #"": 5.0, ""3PT"": 0, ""3PT%"": 0.0, ""3PTA"": 4, ""AST"": 0.0, ""AVG"": 0.0, ""BLK"": 0.0, ""DREB"": 0.4, ""FG%"": 0.0, ""FGA"": 5, ""FGM"": 0, ""FT%"": 0.0, ""FTA"": 0, ""FTM"": 0, ""GP GP"": 7, ""GS GS"": 0.0, ""MIN"": 3.7, ""OREB"": 0.1, ""PTS"": 0.0, ""Player Player"": ""Olivier, Dezmund  05 Olivier, Dezmund"", ""REB"": 0.6, ""STL"": 0.3}",5.0,"Olivier, Dezmund  05 Olivier, Dezmund",7.0,0.0,3.7,0.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.4,0.6,0.0,0.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Busick, Drew",Indianapolis,Great Lakes Valley,https://athletics.uindy.edu/sports/mens-basketball/stats,official_school_stats_page,"23.0 Busick, Drew  23 Busick, Drew 1 0.0 2 0 0 0.0 0 0 0.0 0 0 0.0 0 0.0 || 23.0 Busick, Drew  23 Busick, Drew 1 2.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 || #23 Busick, Drew 1 1 1 1.0","{""# #"": 23.0, ""3PT"": 0, ""3PT%"": 0.0, ""3PTA"": 0, ""AST"": 1, ""AST/TO Ratio"": 1.0, ""AVG"": 0.0, ""BLK"": 0.0, ""DREB"": 0.0, ""FG%"": 0.0, ""FGA"": 0, ""FGM"": 0, ""FT%"": 0.0, ""FTA"": 0, ""FTM"": 0, ""GP"": 1, ""GP GP"": 1, ""GS GS"": 0.0, ""MIN"": 2.0, ""Name"": ""#23 Busick, Drew"", ""OREB"": 0.0, ""PTS"": 0.0, ""Player Player"": ""Busick, Drew  23 Busick, Drew"", ""REB"": 0.0, ""STL"": 0.0, ""TO"": 1}",23.0,"Busick, Drew  23 Busick, Drew",1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"#23 Busick, Drew",1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Johnson Jr. , Andre",Ouachita Baptist,Great American,https://obutigers.com/sports/mens-basketball/stats,official_school_stats_page,"23.0 Johnson Jr. , Andre  23 Johnson Jr. , Andre 1 0.0 4 0 1 0.0 0 0 0.0 0 0 0.0 0 0.0 || 23.0 Johnson Jr. , Andre  23 Johnson Jr. , Andre 1 4.0 0.0 0.0 0.0 0.0 2.0 2.0 0.0 1.0 0.0 0.0","{""# #"": 23.0, ""3PT"": 0, ""3PT%"": 0.0, ""3PTA"": 0, ""AST"": 0.0, ""AVG"": 0.0, ""BLK"": 0.0, ""DREB"": 2.0, ""FG%"": 0.0, ""FGA"": 1, ""FGM"": 0, ""FT%"": 0.0, ""FTA"": 0, ""FTM"": 0, ""GP GP"": 1, ""GS GS"": 0.0, ""MIN"": 4.0, ""OREB"": 0.0, ""PTS"": 0.0, ""Player Player"": ""Johnson Jr. , Andre  23 Johnson Jr. , Andre"", ""REB"": 2.0, ""STL"": 1.0}",23.0,"Johnson Jr. , Andre  23 Johnson Jr. , Andre",1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bonner, Kaedon",Southern Nazarene,Great American,https://snuathletics.com/sports/mens-basketball/stats/2025-26,official_school_stats_page,"14.0 Bonner, Kaedon  14 Bonner, Kaedon 2 0.0 4 1 1 1.0 1 1 1.0 0 0 0.0 3 1.5 || 14.0 Bonner, Kaedon  14 Bonner, Kaedon 2 2.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.5","{""# #"": 14.0, ""3PT"": 1, ""3PT%"": 1.0, ""3PTA"": 1, ""AST"": 0.0, ""AVG"": 1.5, ""BLK"": 0.0, ""DREB"": 0.0, ""FG%"": 1.0, ""FGA"": 1, ""FGM"": 1, ""FT%"": 0.0, ""FTA"": 0, ""FTM"": 0, ""GP GP"": 2, ""GS GS"": 0.0, ""MIN"": 2.0, ""OREB"": 0.0, ""PTS"": 1.5, ""Player Player"": ""Bonner, Kaedon  14 Bonner, Kaedon"", ""REB"": 0.0, ""STL"": 0.0}",14.0,"Bonner, Kaedon  14 Bonner, Kaedon",2.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abashidze, Shota",Southern Nazarene,Great American,https://snuathletics.com/sports/mens-basketball/stats/2025-26,official_school_stats_page,"10.0 Abashidze, Shota  10 Abashidze, Shota 1 0.0 2 0 0 0.0 0 0 0.0 0 0 0.0 0 0.0 || 10.0 Abashidze, Shota  10 Abashidze, Shota 1 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0","{""# #"": 10.0, ""3PT"": 0, ""3PT%"": 0.0, ""3PTA"": 0, ""AST"": 0.0, ""AVG"": 0.0, ""BLK"": 0.0, ""DREB"": 0.0, ""FG%"": 0.0, ""FGA"": 0, ""FGM"": 0, ""FT%"": 0.0, ""FTA"": 0, ""FTM"": 0, ""GP GP"": 1, ""GS GS"": 0.0, ""MIN"": 2.0, ""OREB"": 0.0, ""PTS"": 0.0, ""Player Player"": ""Abashidze, Shota  10 Abashidze, Shota"", ""REB"": 0.0, ""STL"": 0.0}",10.0,"Abashidze, Shota  10 Abashidze, Shota",1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Miller, Jaden",East Central,Great American,https://ecutigers.com/sports/mens-basketball/stats,official_school_stats_page,"3.0 Miller, Jaden 03 Miller, Jaden 28 28.0 911 95 171 0.556 15 31 0.484 95 124 0.766 300 10.7 || 3.0 Miller, Jaden 03 Miller, Jaden 28 32.5 0.556 0.484 0.766 0.3 3.0 3.3 8.3 0.9 0.1 10.7 || #03 Miller, Jaden 28 232 86 2.7","{""# #"": 3.0, ""3PT"": 15, ""3PT%"": 0.484, ""3PTA"": 31, ""AST"": 232, ""AST/TO Ratio"": 2.7, ""AVG"": 10.7, ""BLK"": 0.1, ""DREB"": 3.0, ""FG%"": 0.556, ""FGA"": 171, ""FGM"": 95, ""FT%"": 0.766, ""FTA"": 124, ""FTM"": 95, ""GP"": 28, ""GP GP"": 28, ""GS GS"": 28.0, ""MIN"": 32.5, ""Name"": ""#03 Miller, Jaden"", ""OREB"": 0.3, ""PTS"": 10.7, ""Player Player"": ""Miller, Jaden 03 Miller, Jaden"", ""REB"": 3.3, ""STL"": 0.9, ""TO"": 86}",3.0,"Miller, Jaden 03 Miller, Jaden",28.0,28.0,32.5,95.0,171.0,0.556,15.0,31.0,0.484,95.0,124.0,0.766,10.7,10.7,0.3,3.0,3.3,232.0,0.9,0.1,"#03 Miller, Jaden",28.0,86.0,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Harris, Landon",Southwestern Oklahoma State,Great American,https://swosuathletics.com/sports/mens-basketball/stats,official_school_stats_page,"12.0 Harris, Landon  12 Harris, Landon 2 0.0 5 1 1 1.0 0 0 0.0 0 0 0.0 2 1.0 || 12.0 Harris, Landon  12 Harris, Landon 2 2.5 1.0 0.0 0.0 0.0 2.0 2.0 0.0 0.0 0.0 1.0","{""# #"": 12.0, ""3PT"": 0, ""3PT%"": 0.0, ""3PTA"": 0, ""AST"": 0.0, ""AVG"": 1.0, ""BLK"": 0.0, ""DREB"": 2.0, ""FG%"": 1.0, ""FGA"": 1, ""FGM"": 1, ""FT%"": 0.0, ""FTA"": 0, ""FTM"": 0, ""GP GP"": 2, ""GS GS"": 0.0, ""MIN"": 2.5, ""OREB"": 0.0, ""PTS"": 1.0, ""Player Player"": ""Harris, Landon  12 Harris, Landon"", ""REB"": 2.0, ""STL"": 0.0}",12.0,"Harris, Landon  12 Harris, Landon",2.0,0.0,2.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Webb, Tyler",Arkansas-Monticello,Great American,https://www.uamsports.com/sports/mens-basketball/stats,official_school_stats_page,"30.0 Webb, Tyler  30 Webb, Tyler 2 0.0 3 0 2 0.0 0 2 0.0 0 0 0.0 0 0.0 || 30.0 Webb, Tyler  30 Webb, Tyler 2 1.5 0.0 0.0 0.0 0.0 0.0 0.0 0.5 0.0 0.0 0.0","{""# #"": 30.0, ""3PT"": 0, ""3PT%"": 0.0, ""3PTA"": 2, ""AST"": 0.5, ""AVG"": 0.0, ""BLK"": 0.0, ""DREB"": 0.0, ""FG%"": 0.0, ""FGA"": 2, ""FGM"": 0, ""FT%"": 0.0, ""FTA"": 0, ""FTM"": 0, ""GP GP"": 2, ""GS GS"": 0.0, ""MIN"": 1.5, ""OREB"": 0.0, ""PTS"": 0.0, ""Player Player"": ""Webb, Tyler  30 Webb, Tyler"", ""REB"": 0.0, ""STL"": 0.0}",30.0,"Webb, Tyler  30 Webb, Tyler",2.0,0.0,1.5,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Farr, Mason",Colorado Mesa,Rocky Mountain,https://cmumavericks.com/sports/mens-basketball/stats/2025-26,official_school_stats_page,"22.0 Farr, Mason  22 Farr, Mason 4 0.0 6 0 1 0.0 0 1 0.0 0 0 0.0 0 0.0 || 22.0 Farr, Mason  22 Farr, Mason 4 1.5 0.0 0.0 0.0 0.0 0.5 0.5 0.3 0.0 0.0 0.0","{""# #"": 22.0, ""3PT"": 0, ""3PT%"": 0.0, ""3PTA"": 1, ""AST"": 0.3, ""AVG"": 0.0, ""BLK"": 0.0, ""DREB"": 0.5, ""FG%"": 0.0, ""FGA"": 1, ""FGM"": 0, ""FT%"": 0.0, ""FTA"": 0, ""FTM"": 0, ""GP GP"": 4, ""GS GS"": 0.0, ""MIN"": 1.5, ""OREB"": 0.0, ""PTS"": 0.0, ""Player Player"": ""Farr, Mason  22 Farr, Mason"", ""REB"": 0.5, ""STL"": 0.0}",22.0,"Farr, Mason  22 Farr, Mason",4.0,0.0,1.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.3,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
