Player Name,Team,Conference,source_url,source_method,row_match_text,GP,MIN,MPG,FGM,FGA,FG%,3PTM,3PTA,3PT%,FTM,FTA,FT%,PTS,PPG,ORB,DRB,TOT RB,RPG,PF,AST,TO,STL,BLK,APG,TOPG,SPG,BPG,pts_per_40,reb_per_40,ast_per_40,stl_per_40,blk_per_40,tov_per_40,eFG,three_share,AST_TOV,FTR,TS_pct
"Walker, Jamaal",Palm Beach Atlantic,Sunshine,https://pbasailfish.com/sports/mens-basketball/stats/2025-26,official_school_stats_page,"5.0 Walker, Jamaal  05 Walker, Jamaal 1 0.0 1 1 1 1.0 0 0 0.0 0 0 0.0 2 2.0 || 5.0 Walker, Jamaal  05 Walker, Jamaal 1 1.0 1.0 0.0 0.0 1.0 0.0 1.0 0.0 0.0 0.0 2.0",1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,80.0,40.0,0.0,0.0,0.0,,,,,,
"Olivier, Dezmund",Illinois Springfield,Great Lakes Valley,https://uisprairiestars.com/sports/mens-basketball/stats,official_school_stats_page,"5.0 Olivier, Dezmund  5 Olivier, Dezmund 1 0.0 4 2 2 1.0 0 0 0.0 0 0 0.0 4 4.0 || 5.0 Olivier, Dezmund  05 Olivier, Dezmund 7 0.0 26 0 5 0.0 0 4 0.0 0 0 0.0 0 0.0 || 5.0 Olivier, Dezmund  5 Olivier, Dezmund 1 4.0 1.0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 1.0 4.0 || 5.0 Olivier, Dezmund  05 Olivier, Dezmund 7 3.7 0.0 0.0 0.0 0.1 0.4 0.6 0.0 0.3 0.0 0.0",7.0,3.7,0.5285714285714286,0.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.4,0.6,0.0857142857142857,,0.0,,0.3,0.0,0.0,,0.0428571428571428,0.0,0.0,6.486486486486487,0.0,3.243243243243243,0.0,,,,,,
"Busick, Drew",Indianapolis,Great Lakes Valley,https://athletics.uindy.edu/sports/mens-basketball/stats,official_school_stats_page,"23.0 Busick, Drew  23 Busick, Drew 1 0.0 2 0 0 0.0 0 0 0.0 0 0 0.0 0 0.0 || 23.0 Busick, Drew  23 Busick, Drew 1 2.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 || #23 Busick, Drew 1 1 1 1.0",1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,,,,,
"Johnson Jr. , Andre",Ouachita Baptist,Great American,https://obutigers.com/sports/mens-basketball/stats,official_school_stats_page,"23.0 Johnson Jr. , Andre  23 Johnson Jr. , Andre 1 0.0 4 0 1 0.0 0 0 0.0 0 0 0.0 0 0.0 || 23.0 Johnson Jr. , Andre  23 Johnson Jr. , Andre 1 4.0 0.0 0.0 0.0 0.0 2.0 2.0 0.0 1.0 0.0 0.0",1.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,,0.0,,1.0,0.0,0.0,,1.0,0.0,0.0,20.0,0.0,10.0,0.0,,,,,,
"Bonner, Kaedon",Southern Nazarene,Great American,https://snuathletics.com/sports/mens-basketball/stats/2025-26,official_school_stats_page,"14.0 Bonner, Kaedon  14 Bonner, Kaedon 2 0.0 4 1 1 1.0 1 1 1.0 0 0 0.0 3 1.5 || 14.0 Bonner, Kaedon  14 Bonner, Kaedon 2 2.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.5",2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.5,0.75,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,30.0,0.0,0.0,0.0,0.0,,,,,,
"Abashidze, Shota",Southern Nazarene,Great American,https://snuathletics.com/sports/mens-basketball/stats/2025-26,official_school_stats_page,"10.0 Abashidze, Shota  10 Abashidze, Shota 1 0.0 2 0 0 0.0 0 0 0.0 0 0 0.0 0 0.0 || 10.0 Abashidze, Shota  10 Abashidze, Shota 1 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0",1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
"Miller, Jaden",East Central,Great American,https://ecutigers.com/sports/mens-basketball/stats,official_school_stats_page,"3.0 Miller, Jaden 03 Miller, Jaden 28 28.0 911 95 171 0.556 15 31 0.484 95 124 0.766 300 10.7 || 3.0 Miller, Jaden 03 Miller, Jaden 28 32.5 0.556 0.484 0.766 0.3 3.0 3.3 8.3 0.9 0.1 10.7 || #03 Miller, Jaden 28 232 86 2.7",28.0,32.5,1.1607142857142858,0.556,171.0,0.556,0.484,31.0,0.484,0.766,124.0,0.766,10.7,0.3821428571428571,0.3,3.0,3.3,0.1178571428571428,,232.0,86.0,0.9,0.1,8.285714285714286,3.0714285714285716,0.0321428571428571,0.0035714285714285,13.169230769230769,4.061538461538461,285.53846153846155,1.1076923076923078,0.123076923076923,105.84615384615384,,,,,
"Harris, Landon",Southwestern Oklahoma State,Great American,https://swosuathletics.com/sports/mens-basketball/stats,official_school_stats_page,"12.0 Harris, Landon  12 Harris, Landon 2 0.0 5 1 1 1.0 0 0 0.0 0 0 0.0 2 1.0 || 12.0 Harris, Landon  12 Harris, Landon 2 2.5 1.0 0.0 0.0 0.0 2.0 2.0 0.0 0.0 0.0 1.0",2.0,2.5,1.25,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,2.0,2.0,1.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,16.0,32.0,0.0,0.0,0.0,,,,,,
"Webb, Tyler",Arkansas-Monticello,Great American,https://www.uamsports.com/sports/mens-basketball/stats,official_school_stats_page,"30.0 Webb, Tyler  30 Webb, Tyler 2 0.0 3 0 2 0.0 0 2 0.0 0 0 0.0 0 0.0 || 30.0 Webb, Tyler  30 Webb, Tyler 2 1.5 0.0 0.0 0.0 0.0 0.0 0.0 0.5 0.0 0.0 0.0",2.0,1.5,0.75,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.5,,0.0,0.0,0.25,,0.0,0.0,0.0,0.0,13.333333333333334,0.0,0.0,,,,,,
"Farr, Mason",Colorado Mesa,Rocky Mountain,https://cmumavericks.com/sports/mens-basketball/stats/2025-26,official_school_stats_page,"22.0 Farr, Mason  22 Farr, Mason 4 0.0 6 0 1 0.0 0 1 0.0 0 0 0.0 0 0.0 || 22.0 Farr, Mason  22 Farr, Mason 4 1.5 0.0 0.0 0.0 0.0 0.5 0.5 0.3 0.0 0.0 0.0",4.0,1.5,0.375,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.125,,0.3,,0.0,0.0,0.075,,0.0,0.0,0.0,13.333333333333334,8.0,0.0,0.0,,,,,,
