Player Name,Team,Conference,source_url,source_method,row_match_text,GP,MIN,MPG,FGM,FGA,FG%,3PTM,3PTA,3PT%,FTM,FTA,FT%,PTS,PPG,ORB,DRB,TOT RB,RPG,PF,AST,TO,STL,BLK,APG,TOPG,SPG,BPG,pts_per_40,reb_per_40,ast_per_40,stl_per_40,blk_per_40,tov_per_40,eFG,three_share,AST_TOV,FTR,TS_pct,audit_status,acceptance_status
"Walker, Jamaal",Palm Beach Atlantic,Sunshine,https://pbasailfish.com/sports/mens-basketball/stats/2025-26,official_school_stats_page,"05 Walker, Jamaal  05 Walker, Jamaal 1 0.0 1 1.0 1 1 1.0 0 0 0.0 0 0 0.0 2 2.0 1 0 1 1.0 0 0 0 0 0 View Bio",1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,40.0,0.0,0.0,0.0,0.0,,,,,,ok,ok
"Olivier, Dezmund",Illinois Springfield,Great Lakes Valley,https://uisprairiestars.com/sports/mens-basketball/stats,official_school_stats_page,"5 Olivier, Dezmund  5 Olivier, Dezmund 1 0.0 4 4.0 2 2 1.0 0 0 0.0 0 0 0.0 4 4.0 1 0 1 1.0 1 0 0 1 1 View Bio",1.0,4.0,4.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,40.0,10.0,0.0,10.0,10.0,0.0,,,,,,ok,ok
"Busick, Drew",Indianapolis,Great Lakes Valley,https://athletics.uindy.edu/sports/mens-basketball/stats,official_school_stats_page,"23 Busick, Drew  23 Busick, Drew 1 0.0 2 2.0 0 0 0.0 0 0 0.0 0 0 0.0 0 0.0 0 0 0 0.0 0 1 1 0 0 View Bio",1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,,,,,,ok,ok
"Johnson Jr. , Andre",Ouachita Baptist,Great American,https://obutigers.com/sports/mens-basketball/stats,official_school_stats_page,"23 Johnson Jr. , Andre  23 Johnson Jr. , Andre 1 0.0 4 4.0 0 1 0.0 0 0 0.0 0 0 0.0 0 0.0 0 2 2 2.0 2 0 1 1 0 View Bio",1.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,0.0,10.0,0.0,10.0,,,,,,ok,ok
"Bonner, Kaedon",Southern Nazarene,Great American,https://snuathletics.com/sports/mens-basketball/stats/2025-26,official_school_stats_page,"14 Bonner, Kaedon  14 Bonner, Kaedon 2 0.0 4 2.0 1 1 1.0 1 1 1.0 0 0 0.0 3 1.5 0 0 0 0.0 0 0 2 0 0 View Bio",2.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,20.0,,,,,,ok,ok
"Abashidze, Shota",Southern Nazarene,Great American,https://snuathletics.com/sports/mens-basketball/stats/2025-26,official_school_stats_page,"10 Abashidze, Shota  10 Abashidze, Shota 1 0.0 2 2.0 0 0 0.0 0 0 0.0 0 0 0.0 0 0.0 0 0 0 0.0 0 0 1 0 0 View Bio",1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,,,,,,ok,ok
"Miller, Jaden",East Central,Great American,https://ecutigers.com/sports/mens-basketball/stats,official_school_stats_page,"03 Miller, Jaden 03 Miller, Jaden 28 28.0 911 32.5 95 171 0.556 15 31 0.484 95 124 0.766 300 10.7 8 84 92 3.3 27 232 86 25 3 View Bio",28.0,910.0,32.5,95.0,171.0,0.556,15.0,31.0,0.484,95.0,124.0,0.766,300.0,10.714285714285714,8.0,84.0,92.0,3.2857142857142856,27.0,232.0,86.0,25.0,3.0,8.285714285714286,3.0714285714285716,0.8928571428571429,0.1071428571428571,13.186813186813186,4.043956043956044,10.1978021978022,1.098901098901099,0.1318681318681318,3.780219780219781,,,,,,ok,ok
"Harris, Landon",Southwestern Oklahoma State,Great American,https://swosuathletics.com/sports/mens-basketball/stats,official_school_stats_page,"12 Harris, Landon  12 Harris, Landon 2 0.0 5 2.5 1 1 1.0 0 0 0.0 0 0 0.0 2 1.0 0 4 4 2.0 0 0 0 0 0 View Bio",2.0,5.0,2.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,32.0,0.0,0.0,0.0,0.0,,,,,,ok,ok
"Farr, Mason",Colorado Mesa,Rocky Mountain,https://cmumavericks.com/sports/mens-basketball/stats/2025-26,official_school_stats_page,"22 Farr, Mason  22 Farr, Mason 4 0.0 6 1.5 0 1 0.0 0 1 0.0 0 0 0.0 0 0.0 0 2 2 0.5 1 1 2 0 0 View Bio",4.0,6.0,1.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.5,1.0,1.0,2.0,0.0,0.0,0.25,0.5,0.0,0.0,0.0,13.333333333333334,6.666666666666667,0.0,0.0,13.333333333333334,,,,,,ok,ok
"Moore, Bobby",Point Loma,PacWest,https://plnusealions.com/sports/mens-basketball/stats,official_school_stats_page,"32 Moore, Bobby  32 Moore, Bobby 4 0.0 7 1.8 1 1 1.0 0 0 0.0 0 0 0.0 2 0.5 1 4 5 1.3 1 0 0 0 2 View Bio",4.0,7.2,1.8,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,1.0,4.0,5.0,1.25,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.5,11.11111111111111,27.77777777777778,0.0,0.0,11.11111111111111,0.0,,,,,,ok,ok
