player_name,team,conference,gp,min,mpg,ppg,rpg,raw_apg,raw_topg,raw_spg,raw_bpg,raw_ast_per_40,raw_tov_per_40,raw_stl_per_40,raw_blk_per_40,assist_stats_suspicious,turnover_stats_suspicious,steal_stats_suspicious,block_stats_suspicious
Drew Busick,Indianapolis,Great Lakes Valley,1.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,20.0,0.0,0.0,True,True,False,False
Andre Johnson Jr.,Ouachita Baptist,Great American,1.0,4.0,4.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,10.0,10.0,0.0,False,False,True,False
Kaedon Bonner,Southern Nazarene,Great American,2.0,2.0,1.0,0.75,0.0,0.0,1.0,0.0,0.0,0.0,40.0,0.0,0.0,False,True,False,False
Shota Abashidze,Southern Nazarene,Great American,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,0.0,0.0,False,True,False,False
Jaden Miller,East Central,Great American,28.0,32.5,1.1607142857142858,0.3821428571428571,0.11785714285714285,8.285714285714286,3.0714285714285716,0.03214285714285715,0.0035714285714285718,285.53846153846155,105.84615384615384,1.1076923076923078,0.12307692307692308,True,True,False,False
Tyler Webb,Arkansas-Monticello,Great American,2.0,1.5,0.75,0.0,0.0,0.25,0.0,0.0,0.0,13.333333333333334,0.0,0.0,0.0,True,False,False,False
Mason Farr,Colorado Mesa,Rocky Mountain,4.0,1.5,0.375,0.0,0.125,0.075,0.5,0.0,0.0,8.0,53.333333333333336,0.0,0.0,False,True,False,False
Bobby Moore,Point Loma,PacWest,4.0,1.8,0.45,0.125,0.325,0.0,0.0,0.0,0.125,0.0,0.0,0.0,11.11111111111111,False,False,False,True
Logan Schayes,Westmont,PacWest,6.0,2.3,0.3833333333333333,0.08333333333333333,0.03333333333333333,0.0,1.0,0.03333333333333333,0.0,0.0,104.34782608695653,3.4782608695652173,0.0,False,True,False,False
Kenechi Onuaguluchi,Jessup,PacWest,1.0,6.0,6.0,4.0,0.0,2.0,0.0,0.0,0.0,13.333333333333334,0.0,0.0,0.0,True,False,False,False
Jett McCullough,Alaska Fairbanks,Great Northwest,1.0,10.0,10.0,6.0,2.0,0.0,2.0,3.0,0.0,0.0,8.0,12.0,0.0,False,False,True,False
Ephraim Chase,Roosevelt,Great Lakes Intercollegiate,1.0,4.0,4.0,4.0,0.0,1.0,0.0,1.0,0.0,10.0,0.0,10.0,0.0,False,False,True,False
Anderson Gigo,Roosevelt,Great Lakes Intercollegiate,3.0,3.7,1.2333333333333334,0.43333333333333335,0.2333333333333333,0.0,1.3333333333333333,0.0,0.0,0.0,43.243243243243235,0.0,0.0,False,True,False,False
Jr. Travis Reed,Chestnut Hill,Central Athletic,3.0,11.3,3.766666666666667,1.6666666666666667,0.2333333333333333,0.09999999999999999,17.666666666666668,0.09999999999999999,0.0,1.0619469026548671,187.61061946902655,1.0619469026548671,0.0,False,True,False,False
Peter Mauro,Felician College,Central Athletic,5.0,3.4,0.6799999999999999,0.36,0.04,0.4,0.4,0.0,0.0,23.529411764705884,23.529411764705884,0.0,0.0,True,True,False,False
Donovan Long,Felician College,Central Athletic,3.0,11.0,3.6666666666666665,0.43333333333333335,0.3333333333333333,0.0,2.3333333333333335,0.2333333333333333,0.0,0.0,25.454545454545457,2.5454545454545454,0.0,False,True,False,False
Tajamir Brown,Felician College,Central Athletic,8.0,3.4,0.425,0.075,0.0375,0.05,2.25,0.0125,0.0,4.705882352941177,211.76470588235296,1.1764705882352942,0.0,False,True,False,False
Jordan Torres,Felician College,Central Athletic,5.0,2.8,0.5599999999999999,0.08,0.08,0.0,1.8,0.0,0.0,0.0,128.57142857142858,0.0,0.0,False,True,False,False
Miles White,Georgian Court,Central Athletic,10.0,11.2,1.12,0.15,0.13,0.05,3.5,0.03,0.03,1.7857142857142856,124.99999999999999,1.0714285714285714,1.0714285714285714,False,True,False,False
