team_id,team_name,conference,conference_code,current_player_count,phase1_player_count,school_domain,has_schedule_domain,schedule_url_2023-24,schedule_url_2024-25,schedule_url_2025-26
adams-state,Adams State,Rocky Mountain,RMAC,13,0,,FALSE,,,
adelphi,Adelphi,Northeast 10,NE10,12,0,,FALSE,,,
alabama-huntsville,Alabama Huntsville,Gulf South,GSC,18,0,,FALSE,,,
alaska-anchorage,Alaska Anchorage,Great Northwest,GNAC,15,0,,FALSE,,,
alaska-fairbanks,Alaska Fairbanks,Great Northwest,GNAC,14,0,,FALSE,,,
albany-state-ga,Albany State GA,Southern Intercollegiate Athletic,SIAC,14,0,,FALSE,,,
american-international,American International,Northeast 10,NE10,15,0,,FALSE,,,
anderson-sc,Anderson SC,South Atlantic,SAC,13,0,,FALSE,,,
angelo-state,Angelo State,Lone Star,LSC,14,0,,FALSE,,,
arkansas-fort-smith,Arkansas Fort Smith,Mid-America Intercollegiate,MIAA,16,0,,FALSE,,,
arkansas-tech,Arkansas Tech,Great American,GAC,14,0,,FALSE,,,
arkansas-monticello,Arkansas-Monticello,Great American,GAC,13,0,,FALSE,,,
ashland,Ashland,Great Midwest Athletic,G-MAC,18,0,,FALSE,,,
assumption-college,Assumption College,Northeast 10,NE10,15,0,,FALSE,,,
auburn-montgomery,Auburn Montgomery,Gulf South,GSC,12,0,,FALSE,,,
augusta-university,Augusta University,Peach Belt,PBC,16,0,,FALSE,,,
augustana-college,Augustana College,Northern Sun Intercollegiate,NSIC,14,0,,FALSE,,,
azusa-pacific,Azusa Pacific,PacWest,PacWest,13,1,athletics.apu.edu,TRUE,https://athletics.apu.edu/sports/mens-basketball/schedule/2023-24,https://athletics.apu.edu/sports/mens-basketball/schedule/2024-25,https://athletics.apu.edu/sports/mens-basketball/schedule/2025-26
barry,Barry,Sunshine,SSC,14,0,,FALSE,,,
barton,Barton,Conference Carolinas,Conference Carolinas,16,0,,FALSE,,,
belmont-abbey,Belmont Abbey,Conference Carolinas,Conference Carolinas,16,0,,FALSE,,,
bemidji-state,Bemidji State,Northern Sun Intercollegiate,NSIC,15,0,,FALSE,,,
benedict-college,Benedict College,Southern Intercollegiate Athletic,SIAC,13,0,,FALSE,,,
bentley,Bentley,Northeast 10,NE10,12,0,,FALSE,,,
biola,Biola,PacWest,PacWest,16,1,athletics.biola.edu,TRUE,https://athletics.biola.edu/sports/mens-basketball/schedule/2023-24,https://athletics.biola.edu/sports/mens-basketball/schedule/2024-25,https://athletics.biola.edu/sports/mens-basketball/schedule/2025-26
black-hills,Black Hills,Rocky Mountain,RMAC,13,0,,FALSE,,,
bloomsburg,Bloomsburg,Pennsylvania State Athletic,PSAC,15,0,,FALSE,,,
bluefield-state,Bluefield State,Central Intercollegiate Athletic,CIAA,17,0,,FALSE,,,
bowie-state,Bowie State,Central Intercollegiate Athletic,CIAA,15,0,,FALSE,,,
bridgeport,Bridgeport,Central Athletic,CACC,22,0,,FALSE,,,
csu-pueblo,CSU Pueblo,Rocky Mountain,RMAC,15,0,,FALSE,,,
csula,CSULA,California Collegiate,CCAA,12,0,,FALSE,,,
caldwell,Caldwell,Central Athletic,CACC,16,0,,FALSE,,,
california-pa,California PA,Pennsylvania State Athletic,PSAC,16,0,,FALSE,,,
cameron,Cameron,Lone Star,LSC,14,0,,FALSE,,,
carson-newman,Carson Newman,South Atlantic,SAC,13,0,,FALSE,,,
catawba,Catawba,South Atlantic,SAC,15,0,,FALSE,,,
cedarville,Cedarville,Great Midwest Athletic,G-MAC,15,0,,FALSE,,,
central-missouri,Central Missouri,Mid-America Intercollegiate,MIAA,13,0,,FALSE,,,
central-oklahoma,Central Oklahoma,Mid-America Intercollegiate,MIAA,15,0,,FALSE,,,
central-state-oh,Central State OH,Southern Intercollegiate Athletic,SIAC,15,0,,FALSE,,,
central-washington,Central Washington,Great Northwest,GNAC,16,0,,FALSE,,,
chadron,Chadron,Rocky Mountain,RMAC,13,0,,FALSE,,,
chaminade,Chaminade,PacWest,PacWest,12,0,,FALSE,,,
chestnut-hill,Chestnut Hill,Central Athletic,CACC,12,0,,FALSE,,,
chico,Chico,California Collegiate,CCAA,15,1,chicowildcats.com,TRUE,https://chicowildcats.com/sports/mens-basketball/schedule/2023-24,https://chicowildcats.com/sports/mens-basketball/schedule/2024-25,https://chicowildcats.com/sports/mens-basketball/schedule/2025-26
chowan,Chowan,Conference Carolinas,Conference Carolinas,17,0,,FALSE,,,
christian-brothers,Christian Brothers,Gulf South,GSC,15,0,,FALSE,,,
claflin,Claflin,Central Intercollegiate Athletic,CIAA,16,0,,FALSE,,,
clarion,Clarion,Pennsylvania State Athletic,PSAC,13,0,,FALSE,,,
clark-atlanta,Clark Atlanta,Southern Intercollegiate Athletic,SIAC,16,0,,FALSE,,,
